PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
"June 25, 1997",2 of 217 DOCUMENTS,Austin American-Statesman (Texas),"Global warming threatens parks, report warns",,News; Pg. A14,,350 words,,,"June 25, 1997",ENGLISH,,,,,,,Copyright 1997 The Austin American-Statesman
,national,park,global,warming,report,*,study,effect,group,wildlife,area,glacier,everglade,change,climate,forest,meadow,already,surface,become,largely,overlook,potentially,alarming,development,debate,release,tuesday,respected,environmental,warn,increase,temperature,threaten,height,seashore,bring,noticeable,shift,wildflower,sea,shorebird,number,accord,world,fund,add,new,home,element,pressure,put,administration,restrict,emission,greenhouse,gas,merely,future,impact,faraway,place,sign,detect,back,yard,alarmingly,many,cherish,natural,clearly,feeling,draw,skeptical,response,director,tion,question,existence,feel,science,still,much,doubt,among,predict,beginning,vake,fame,alpine,retreat,document,melting,permafrost,beneath,land,sinkhole,unable,support
,Kimmel,work,station,KTBC,meteorologist,vacation,weather,weatherman,go,week,weekend,ask,feel,Austin,television,schedule,plan,contract,native,replacement,leave,Hunter,Texas,channel,night,p.m.,news,let,cancel,next,report,hunter,hire,fall,result,manager,regard,issue,meeting,troy,need,morning,former,wednesday,weeknight,look,tv,another,Smith,KVUE,veteran,airwave,fire,dispute,tuesday,refuse,force,anchor,handle,release,fred,couple,ago,return,deal,craig,millar,postpone,late,difference,opinion,management,decision,within,office,1994,cordial,airplane,ticket,everything,tell,strongly,source,consult,allow,tension,brew,wasask,last,agree,sunday,hold,bring,board,pretty,steadfast,general,idea,option
,13,9,8,8,5,5,5,5,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"August 24, 1997",170 of 217 DOCUMENTS,Austin American-Statesman (Texas),City to State: 'Rules is rules',Mary Alice Davis,Editorial; Pg. H2,,829 words,,,"August 25, 1997",ENGLISH,,,,,,,Copyright 1997 The Austin American-Statesman
,law,Austin,city,case,state,rule,court,bill,rider,make,Maple_Run,Collins,limit,particular,much,general,lawmaker,we,constitution,decide,issue,lot,local,enact,legislative,force,many,high,profile,challenge,use,apply,point,sometimes,Legislature,straight,narrow,minor,may,process,constitutional,legislature,affair,go,decision,budget,specific,1995,utility,district,opinion,violate,away,along,every,provision,raise,know,1997,drug,include,prohibition,however,easily,either,way,speak,pretend,population,might,really,part,fact,Planned_Parenthood,local_bill,proud,bit,keep,walk,path,hurray,help,uphold,plan,sexually,active,soon,join,champion,purity,lawmake,judiciary,turn,look,chaotic,meddle,far,policy,knock
,12,11,10,9,8,8,8,7,7,5,5,5,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"September 2, 1997",171 of 217 DOCUMENTS,Austin American-Statesman (Texas),Curb excessive drinking,,Editorial; Pg. A10,,451 words,,,"September 3, 1997",ENGLISH,,,,,,,Copyright 1997 The Austin American-Statesman
,drink,student,college,alcohol,program,campus,help,campuse,binge,death,culture,excessive,ut,last,curb,appetite,education,provide,people,fraternity,ban,include,university,change,attitude,abuse,enforce,insurance,house,AMA,University,quote,study,half,third,today,drinker,other,acknowledge,reach,critical,point,many,die,week,gross,inebriation,similar,dozen,past,tragically,illuminate,problem,frog,identifiable,anything,do,grossly,answer,something,must,outreach,counseling,designate,driver,ride,home,"5,000",nation,largest,coordinator,effective,tool,demystify,let,know,excess,counselor,teach,safety,measure,unintentionally,much,several,national,sorority,chapter,rush,altogether,begin,pilot,six,policy,practice,concern,distribute,spread,word,danger
,10,7,5,5,5,4,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"October 22, 1997",177 of 217 DOCUMENTS,Austin American-Statesman (Texas),Players work hard to deal with cold,DAVID LENNON,Sports; Pg. C8,,552 words,,,"October 22, 1997",ENGLISH,,,,,,,Copyright 1997 The Austin American-Statesman
,cold,weather,game,series,team,go,indian,pitch,hitter,hand,world,sleeve,extra,play,warm,hit,baseball,feel,tuesday,three,temperature,long,condition,grow,marlin,baseman,affect,season,degree,grip,pitcher,ball,lot,think,Wrigley_Field,Marlins,Eisenreich,shortstop,omar,piece,rock,bat,depend,location,become,instrument,torture,freeze,tundra,night,minus,snow,whish,expect,today,thursday,instead,rain,pregame,warmup,sky,clear,plunge,aside,layer,seem,best,weapon,frigid,ignorance,deny,overly,concerned,prepare,change,climate,sunny,miami,chilly,drastic,school,outstanding,second,can,wait,honest,always,factor,standpoint,let,crazy,although,generally,consider,comfortable,successful,worse,sweep,frosty
,7,6,4,4,4,4,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"February 28, 1997",202 of 217 DOCUMENTS,Austin American-Statesman (Texas),ICAHN DROPS BID TO CONTROL RJR,Skip Wollenberg,Business; Pg. D8,,621 words,,,"February 28, 1997",ENGLISH,,,,,,,Copyright 1997 The Austin American-Statesman
,RJR,tobacco,stock,share,Icahn,business,food,percent,make,million,shareholder,sell,price,control,board,company,stake,win,fall,proxy,analyst,Nabisco,entire,chance,last,appear,less,ago,sale,thursday,close,deal,door,fight,doubt,back,time,management,settlement,large,trading,move,spin,separate,wednesday,satisfied,focus,financier,carl,icahn,runup,dim,force,speedy,spinoff,gain,corporate,raider,130,expense,invest,600,news,drop,1.121/2,36.621,announce,leave,open,resume,sometime,future,especially,turn,lower,ton,money,relatively,short,frame,follow,painewebber,realize,april,meeting,sharply,operating,division,show,improvement,top,willing,discuss,lawsuit,industry,reason,change,leadership,condition
,17,10,10,8,8,7,5,5,5,5,5,4,4,4,4,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"March 1, 1997",203 of 217 DOCUMENTS,Austin American-Statesman (Texas),Dangerfield gets birthday respect,SUZANNE M. PERREAULT,Metro/State; Pg. B12,,671 words,,,"March 1, 1997",ENGLISH,,,"Comedian Sandra Bernhard sings Happy Birthday' to Rodney Dangerfield during a 75th birthday celebration for him at the Aspen Comedy Festival in Aspen, Colo. on Wednesday. The tribute was taped and parts of it will be shown tonight on HBO.",,,,Copyright 1997 The Austin American-Statesman
,bring,birthday,actor,deliver,show,JEREMY,75th,comedian,dangerfield,wife,arrive,leave,love,jewish,man,million,buy,school,attend,three,powerful,message,old,thursday,football,player,president,today,do,everyone,rock,CHELSEA,NEW_YORK,New_York,Washington,finally,respect,easy,flight,land,snow,divert,mile,northwest,wait,hour,driver,pick,nearly,altitude,barely,enough,air,lead,beam,dream,true,good,rodriguez,tribute,tape,part,tonight,way,younger,older,care,dead,party,adolescent,tycoon,kid,settlement,jackson,ago,name,magazine,march,issue,picture,week,globe,tabloid,head,money,invest,3.8,stock,bond,private,high,tuition,much,cost,gas,share,oil,company,shop
,4,4,4,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"March 9, 1997",205 of 217 DOCUMENTS,Austin American-Statesman (Texas),Talk Back; A gunman holds a talk show hostage in the NBC movie,Ron Miller,Show World; Pg. 5,,865 words,,,"March 9, 1997",ENGLISH,,,"Peter Horton, who plays the head of the SWAT team, helped produce the project that addresses industry profit and responsibility.",,,,Copyright 1997 The Austin American-Statesman
,show,talk,tv,audience,Murder_Live,take,go,exploit,film,find,may,Horton,try,viewer,issue,time,play,people,make,studio,industry,movie,think,responsibility,change,seem,helgenberger,give,character,keep,Pia_Postman,gunman,set,host,public,role,television,anyone,air,fictional,feeling,excess,daytime,debate,run,entertainment,example,thriller,force,eye,certainly,guest,particularly,team,kill,help,produce,project,profit,point,though,much,watch,better,scene,order,actor,real,Postman,SWAT,p.m.,sunday,nbc,channel,walk,onto,popular,entire,hostage,use,courtroom,suicide,daughter,rape,victim,tell,national,execute,live,attempt,stop,telecast,warn,blow,kingdom,course,offer,dramatic,evidence
,16,11,10,6,6,5,5,5,5,5,5,5,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"March 30, 1997",207 of 217 DOCUMENTS,Austin American-Statesman (Texas),"From child to mother, with love",ANNE MORRIS,Lifestyle; Pg. D6,,710 words,,,"March 31, 1997",ENGLISH,,,Tara Elgin Holley,,,,Copyright 1997 The Austin American-Statesman
,story,Tara,mother,tell,write,book,Dawn,go,part,family,music,meet,grow,memoir,article,journal,dawn,Joe,editor,sing,person,interview,together,three,wrong,people,have,read,life,work,mental,wonderful,serious,talk,look,remember,whole,comfortable,publicity,friend,keeper,bring,along,early,copy,husband,former,schizophrenic,june,1991,call,voice,literary,award,carry,blurb,young,woman,audience,adore,schizophrenia,strike,become,street,leave,mutter,gibberish,contrast,recommend,change,joe,edit,rewrite,compose,certain,four,time,frequently,ask,question,hard,accept,situation,way,layer,letter,archivist,keep,save,student,job,support,choice,roam,sleeping,flatten,cardboard,box,behind
,13,13,10,8,6,6,5,4,4,4,4,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"April 26, 1997",212 of 217 DOCUMENTS,Austin American-Statesman (Texas),"For insects and diseases, choose natural methods",TED FISHER,Lifestyle; Pg. C5,,671 words,,,"April 29, 1997",ENGLISH,,,,,,,Copyright 1997 The Austin American-Statesman
,plant,garden,pest,control,disease,*,vegetable,many,insect,organic,may,bug,attack,small,soil,grow,help,variety,use,nontoxic,Austin,look,blight,allow,change,crop,rotation,problem,difficult,favorite,tomatoe,three,remain,matter,organisms,time,lettuce,leave,fertile,helpful,mulch,prevent,water,certain,keep,reduce,good,resistant,lot,veggy,lush,healthy,far,behind,complicated,environmental,concern,mild,winter,climate,we,type,nearly,live,expect,nature,ecology,instance,single,species,naturally,row,abundance,tend,build,yes,closely,related,eggplant,pepper,active,capable,infect,four,organism,exist,almost,indefinitely,dead,saprophyte,wide,range,inhabit,wait,proper,environment,original,wild,form
,20,12,9,8,8,8,7,7,6,5,4,4,4,4,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"May 1, 1997",213 of 217 DOCUMENTS,Austin American-Statesman (Texas),Gays see hype and help in Ellen',Maggie Jackson,Business; Pg. D1,,805 words,,,"May 2, 1997",ENGLISH,,,"Actress Ellen DeGeneres, left, meets a gay woman, played by Laura Dern, in Wednesday's much-anticipated episode of Ellen.' Gay employ ees groups are applauding the visibility Ellen' is giving homosexuality.",,,,Copyright 1997 The Austin American-Statesman
,gays,gay,employee,group,work,company,worker,workplace,discrimination,help,policy,people,co_workers,yet,kind,lesbian,number,national,harassment,leader,air,Ellen,founder,post,office,celebrate,true,within,ban,remain,fear,ell,many,flaky,need,public,partner,benefit,regard,issue,week,attention,president,organization,decide,make,today,lose,time,career,fight,legislation,afraid,receive,turn,include,commercial,thing,hit,GLOBE,straight,detroit,routinely,tell,colleague,degener,tv,character,wednesday,night,return,realm,homosexuality,mostly,far,sometimes,punish,often,taboo,reveal,selve,state,fire,sexuality,grow,closet,retaliation,necessarily,change,sitcom,lead,television,woman,show,ratings,boost,phenomenon,arguably,ever
,11,7,7,7,6,5,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
