PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
"April 23, 2006 Sunday",1 of 97 DOCUMENTS,Austin American-Statesman (Texas),WARMING SIGNS,Brad Buchholz AMERICAN-STATESMAN STAFF,INSIGHT; Pg. H01,,2698 words,,,"July 20, 2006",ENGLISH,,,,,,Newspaper,Copyright 2006 The Austin American-Statesman                               All Rights Reserved
,go,change,warming,people,have,species,climate,global,butterfly,think,coral,life,warm,thing,lot,bear,response,human,temperature,degree,happen,percent,mean,every,greenhouse,really,world,Parmesan,live,time,talk,effect,polar,glacier,ocean,make,tree,hurricane,can,know,poor,take,million,actually,reef,sea,animal,habitat,lose,high,way,food,place,checkerspot,show,many,rise,point,last,gass,water,little,nation,better,everything,nature,need,power,ground,oh,native,planet,definitely,question,might,depress,almost,papers,lecture,move,ice,die,range,event,new,100,cover,frog,melting,absolutely,average,start,put,expect,four,warmer,evolve,basically,urban
,sex,film,pear,p.m.,movie,oct,life,people,way,Mitchell,shortbus,thing,think,end,make,fear,gay,child,open,character,story,different,need,sexual,lot,last,challenge,interesting,show,John_Cameron_Mitchell,title,bus,name,salon,art,party,scene,place,director,go,create,other,today,best,know,direct,big,become,use,plan,mean,find,much,actually,hang,country,right,less,base,optimism,personal,romance,bad,explicit,really,change,language,audience,run,9828,great,hill,trail,ticket,www.agliff.org,festival,documentary,7:15,wednesday,drama,dolly,fan,Shortbus,Austin_Gay,Austin,New_York,American,BOX,take,short,yellow,ferry,special,kid,school,oppose,long,normal,new
,17,14,9,7,6,6,6,5,5,5,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1
"October 19, 2006 Thursday",81 of 97 DOCUMENTS,Austin American-Statesman (Texas),"Close, intriguing races",AMERICAN-STATESMAN STAFF,EDITORIAL; Pg. A14,,1170 words,,,"October 19, 2006",ENGLISH,,,,,,Newspaper,Copyright 2006 The Austin American-Statesman                               All Rights Reserved
,district,voter,democrat,candidate,rep.,state,Republican,school,teacher,give,work,term,past,time,incumbent,race,republican,pay,another,opponent,Bolton,Welch,Libertarian,Strama,strong,political,leadership,former,lot,run,vote,public,campaign,question,property,conservative,support,rise,Krusee,election,region,forum,president,handle,mark,legislator,however,produce,special,result,party,several,swing,back,raise,endorsement,issue,duty,service,ballot,majority,second,take,know,opposition,tough,answer,must,particularly,member,county,rancher,part,rights,water,Central_Texas,Iraq,House,first_time,Texas,Travis_County,Trans_Texas_Corridor,Williamson_County,Democratic,test,unusually,lineup,representative,beneficiary,roil,discontent,status,quo,walk,attend,neighborhood,hear,people,think
,17,14,8,7,7,6,6,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"October 24, 2006 Tuesday",82 of 97 DOCUMENTS,Austin American-Statesman (Texas),CENTRAL TEXAS DIGEST,compiled from staff and wire reports,METRO & STATE; Pg. B02,,944 words,,,"October 24, 2006",ENGLISH,,,,,,Newspaper,Copyright 2006 The Austin American-Statesman                               All Rights Reserved
,county,find,immigrant,police,voting,early,official,monday,attorney,probation,ask,family,arrest,nov,forum,hold,area,block,body,identify,miss,man,truck,engine,illegal,appear,jury,child,policy,city,Houston,austin,dog,election,run,http,hay,wednesday,district,soldier,remain,moraski,2001,identification,death,without,report,compartment,sunday,highway,decline,citizen,singer,oct,count,lopez,make,office,mattingly,plea,today,shot,four,200,another,crime,officer,suspect,community,people,Moraski,Smith,Mexico,Lopez,life,way,register,voter,cast,ballot,need,vote,precinct,go,site,information,list,location,available,//,wcportal,wilco.org,elections/index.html,travis,www.co.travis.tx.us/,county_clerk/election/default.asp,//elections.co.,.tx.us,burnet
,8,7,6,5,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"November 12, 2006 Sunday",87 of 97 DOCUMENTS,Austin American-Statesman (Texas),KLRU HIGHLIGHTS,,SHOWWORLD; Pg. 03,,445 words,,,"November 12, 2006",ENGLISH,,,,,,Newspaper,Copyright 2006 The Austin American-Statesman                               All Rights Reserved
,p.m.,var,tuesday,present,friday,examine,look,new,`,monday,installment,take,find,dead,life,legendary,far,witch,wednesday,best,thursday,music,noon,saturday,American_Experience,nature,grow,threat,survival,penguin,cause,climate,change,theater,final,prime,suspect,series,return,detective,jane,tennison,case,student,legend,outlaw,dramatic,sharpshooter,nova,four,use,evolutionary,data,scientific,implication,family,disability,frontline,explore,scandal,mayor,office,force,town,confront,basic,feeling,homosexuality,shed,light,confusing,often,contradictory,experience,gay,people,place,main,battlefield,culture,war,showcase,direct,documentary,woman,accuse,witchcraft,struggle,survive,isolate,village,banish,community,secret,investigate,urgent,rush,create,test
,15,14,5,4,4,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"November 17, 2006 Friday",88 of 97 DOCUMENTS,Austin American-Statesman (Texas),Airlines may add $50 emissions fee for Europe flights,Shelley Emling INTERNATIONAL STAFF,BUSINESS; Pg. D01,,513 words,,,"November 17, 2006",ENGLISH,,,,,,Newspaper,Copyright 2006 The Austin American-Statesman                               All Rights Reserved
,airlines,emission,United_States,global,warming,nation,airline,already,fee,proposal,percent,Europe,pay,extra,travel,require,flight,airport,draft,join,release,carbon,dioxide,aircraft,allowance,expert,cost,passenger,bear,surcharge,improvement,fuel,president,fly,older,plane,although,country,agreement,spokesman,continue,week,issue,world,economic,refuse,sign,emissions_trading,Kyoto_Protocol,americans,plan,use,abide,stringent,regulation,legislation,program,aim,reduce,gas,think,cause,approve,eu,2011,operator,buy,cover,amount,exceed,allocate,limit,expect,estimate,39.60,euro,pass,''regulator,alike,must,mind,security,route,vice,suspect,tired,saddle,prefer,expense,the,howl,can,afford,though,degree,consequence,choose,longer,hardest
,7,5,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"November 19, 2006 Sunday",89 of 97 DOCUMENTS,Austin American-Statesman (Texas),"If you're hot, you're hot",Shonda Novak and M.B. Taboada AMERICAN-STATESMAN STAFF,STATESMAN HOMES; Pg. F01,,1645 words,,,"November 19, 2006",ENGLISH,,,,,,Newspaper,Copyright 2006 The Austin American-Statesman                               All Rights Reserved
,market,home,price,sale,percent,Austin,buyer,estate,property,million,real,range,sell,downtown,median,people,demand,move,Central_Texas,go,seller,fall,builder,healthy,"200,000",strong,job,Phoenix,condominium,country,record,house,ago,start,much,less,lower,good,priced,agent,lot,area,first_time,Puckett,Portland,many,part,inventory,bubble,track,higher,look,starter,high,hit,almost,quarter,last,value,third,supply,september,broker,overall,several,place,appreciation,waterfront,lake,Boston,Dallas,Martin,cold,five,boom,way,developer,take,city,hot,run,fast,expensive,2005,new,office,"150,000",construction,afford,time,buy,earlier,luxury,past,coast,business,picture,listing,accord
,28,28,22,19,18,13,10,9,9,9,8,8,8,7,7,7,6,6,6,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"November 30, 2006 Thursday",91 of 97 DOCUMENTS,Austin American-Statesman (Texas),LETTERS,,EDITORIAL; Pg. A10,,1102 words,,,"November 30, 2006",ENGLISH,,,,,,Newspaper,Copyright 2006 The Austin American-Statesman                               All Rights Reserved
,Austin,developer,ut,fan,game,lake,nov,editorial,trail,building,city,government,cancer,hike_and_bike,take,nature,mention,feel,unit,give,percent,enjoy,letter,war,difficult,best,rock,Payne,better,much,point,setback,front,property,call,seem,public,easement,use,fair,pay,additional,affordable,development,net,artist,along,though,art,last,austin,column,cure,politician,reduce,emotion,money,everyone,may,aggy,orange,maroon,attend,science,section,recent,energy,disaster,place,music,American_Statesman,JOHN,Armstrong,Texas,Al_Jazeera,Music_Memorial,town,comparison,compromise,protect,practically,overhangs,perhaps,stand,plenty,company,briefly,allow,reduction,openness,space,four,season,conform,requirement,instead,focus,threat,prevent
,8,6,5,5,5,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"December 3, 2006 Sunday",92 of 97 DOCUMENTS,Austin American-Statesman (Texas),AMERICAN DIGEST,Compiled by American-Statesman staff,INSIGHT; Pg. G01,,471 words,,,"December 4, 2006",ENGLISH,,,,,,Newspaper,Copyright 2006 The Austin American-Statesman                               All Rights Reserved
,var,we,spend,kill,station,start,state,global,warming,emission,tell,aim,officer,people,homeowner,murderer,statesman.com,Texas,U.S.,Iraq,American,shopping,network,dining,vacation,know,mix,legitimate,money,well,former,director,community,access,cable,tv,plead,guilty,steal,"350,000",nonprofit,run,sentence,seven,prison,coal,fire,point,time,business,take,seriously,head,toward,future,sprint,full,speed,back,1950,spokesman,advocacy,group,plan,billion,build,power,plant,double,company,carbon,dioxide,stratosphere,troposphere,whatever,scientist,deal,truth,justice,antonin,scalia,correct,argument,layer,atmosphere,issue,case,settle,whether,federal,government,must,regulate,vehicle,greenhouse,gas,heck,job,the
,6,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"December 11, 2006 Monday",95 of 97 DOCUMENTS,Austin American-Statesman (Texas),Forging a new path,Pamela LeBlanc AMERICAN-STATESMAN STAFF,LIFE & ARTS; Pg. E01,,2419 words,,,"December 12, 2006",ENGLISH,,,,,,Newspaper,Copyright 2006 The Austin American-Statesman                               All Rights Reserved
,bike,lane,city,2007,road,Austin,route,path,pedestrian,cyclist,Portland,bridge,people,project,way,summer,cycle,bicycle,plan,trail,use,start,on_street,put,go,need,2008,many,street,Lake_Austin_Boulevard,transportation,work,birk,downtown,183,concrete,along,line,mile,infrastructure,make,car,traffic,include,off_street,ride,lance,update,cost,construction,stripe,parking,drive,take,group,loop,require,money,date,spring,2009,improvement,connect,rail,underpass,Birk,Beaudet,Third_Street,world,long,lot,facility,design,process,level,congestion,gas,run,begin,consist,combination,sign,stretch,motor,official,old,boulevard,riding,training,good,part,local,accommodate,360,interstate,think,improve,approve,stalling
,71,26,23,20,19,18,16,15,15,13,12,11,10,10,8,8,7,7,7,7,7,7,7,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"December 12, 2006 Tuesday",96 of 97 DOCUMENTS,Austin American-Statesman (Texas),Letters,,EDITORIAL; Pg. A12,,1057 words,,,"December 12, 2006",ENGLISH,,,,,,Newspaper,Copyright 2006 The Austin American-Statesman                               All Rights Reserved
,Iraq,student,group,administration,go,interest,troops,family,we,Bush,report,thanks,enough,increase,fact,time,tremendous,many,allow,university,area,fail,school,Iraq_Study_Group,U.S.,Wal_Mart,simplistic,find,lot,spite,take,state,problem,word,long,special,president,bush,u.,around,though,every,thing,oil,americans,drive,business,stable,world,politician,pull,interesting,recommendation,remember,welcome,diplomacy,bring,forget,although,let,reason,war,never,member,attendance,department,manner,promote,along,bad,ask,city,district,must,begin,arrive,daily,teacher,low,parent,child,American,Northcross,study,answer,offer,solution,solving,mess,think,create,surface,language,seem,blunt,forceful,careful,reader,instance
,7,6,5,5,5,5,5,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"December 14, 2006 Thursday",97 of 97 DOCUMENTS,Austin American-Statesman (Texas),METRO & STATE BRIEFING,From staff and wire reports,METRO & STATE; Pg. B03,,1388 words,,,"December 15, 2006",ENGLISH,,,,,,Newspaper,Copyright 2006 The Austin American-Statesman                               All Rights Reserved
,wednesday,Nelson,police,man,woman,back,steal,plant,release,agency,information,call,report,customer,item,time,director,plan,group,Collazo,Lyons,last,morning,demand,build,short,boy,save,fire,home,offer,pay,additional,program,accident,employee,art,work,state,wife,Belknap,Austin,Hernandez,still,robbery,week,insurance,wear,white,foot,tall,hair,gray,anyone,ask,night,p.m,know,911,neighbor,rescue,house,try,attic,rebate,combine,energy,percent,cost,insulation,reduce,electricity,utility,sentence,convict,late,community,possession,include,page,charge,conference,focus,lane,together,leader,today,block,afternoon,industrial,phone,set,executive,2002,end,join,later,name,better
,10,7,6,6,6,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
