PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
"October 30, 1999, Saturday",1 of 144 DOCUMENTS,Austin American-Statesman (Texas),Earth's no stranger to quick climate shifts,Paul Recer,News; Pg. A2,,474 words,,,"November 1, 1999",ENGLISH,,,,,,,Copyright 1999 The Austin American-Statesman
,change,ice,temperature,climate,study,warming,warm,Earth,Greenland,age,end,suggest,decade,global,gas,much,may,sudden,greenhouse,carbon,dioxide,Severinghaus,thousand,new,publish,friday,world,happen,expert,p.,severinghaus,trap,last,abrupt,increase,still,take,scientist,effect,might,tans,many,cause,core,OKokay,grip,abruptly,soar,accord,finding,prompt,fresh,concern,suddenly,method,analyze,show,air,rapidly,"15,000",ago,degree,lead,author,journal,science,within,couple,old,idea,find,faster,rapid,touch,surge,current,bring,melting,trend,vast,sheet,cover,hundred,recede,start,great,thaw,think,tippy,prone,stable,long,period,subject,right,condition,know,next,100
,wind,Carnoustie,play,par,shot,score,open,win,player,hole,British_Open,tournament,scottish,golf,hit,make,week,blow,289,last,calm,high,test,championship,world,challenge,toughest,1996,driver,next,1975,five,course,direction,consecutive,adjust,Woods,never,breeze,especially,howl,gary,1968,highest,picnic,blustery,potential,nightmare,leave,vivid,memory,horror,story,complete,location,offer,greater,far,venue,look,forward,begin,thursday,remember,condition,extreme,wreak,havoc,wreck,confidence,terrific,title,defeat,playoff,host,become,intimidating,lengthen,"7,065",yard,"7,361",longest,circuit,bunker,add,converted,locate,east,coast,town,fewer,"14,000",people,demand,different,depend,strength,zigzag,layout
,11,10,7,7,5,5,5,4,4,4,4,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"July 22, 1999, Thursday",114 of 144 DOCUMENTS,Austin American-Statesman (Texas),LETTES,,Editorial; Pg. A10,,1012 words,,,"July 22, 1999",ENGLISH,,,,,,,Copyright 1999 The Austin American-Statesman
,bus,july,stop,people,go,flag,family,austin,gov,wonder,letter,Bush,city,need,president,home,racial,exercise,bush,state,parent,harmful,policy,believe,still,American_Statesman,street,red,school,committee,problem,sensitivity,please,greatly,never,concerned,contrast,photograph,white,may,serve,community,place,important,along,jr.,greed,w.,another,campaign,around,job,much,enough,obscene,elect,time,vote,notice,lot,concern,run,democrat,political,better,response,shameless,activity,author,interstate,help,child,way,library,minor,change,material,displaying,drive,several,fact,upside,show,stripe,safety,criminal,cartoon,sign,`,accident,George,Texas,Capital_Metro,everybody,old,car,employee,answer,phone
,7,5,5,5,5,5,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1
"August 1, 1999, Sunday",118 of 144 DOCUMENTS,Austin American-Statesman (Texas),"In torrid Phoenix, lives revolve around the sun",Ted Anthony,Business; Pg. J5,,1647 words,,,"August 1, 1999",ENGLISH,,,"Jim Belnap owns George Brazil, an air-conditioning installation and service company in Phoenix. With a normal high of 106 degrees in July, Belnap and others in the industry stay busy.",,,,Copyright 1999 The Austin American-Statesman
,air,people,cool,Phoenix,conditioning,sun,heat,home,time,hot,keep,conditioner,god,desert,car,city,cooler,Sun_City,air_conditioned,Arizona,smile,rise,make,summer,degree,company,go,many,name,call,a.m.,become,tool,outside,use,high,swamp,build,society,sit,fan,room,around,phoenix,turn,decide,five,power,warmth,300,place,dog,metropolitan,glass,morning,enough,find,indoors,still,inside,change,beat,hour,street,outdoor,much,retire,lawn,middle,evaporative,work,live,center,indoor,spot,thermometers,temperature,highest,expect,ready,hospital,back,cook,worth,daylight,dry,try,region,show,curator,man,pioneer,today,exhibit,define,carry,bed,state,window
,22,14,13,12,10,9,9,7,6,6,6,6,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"September 19, 1999, Sunday",121 of 144 DOCUMENTS,Austin American-Statesman (Texas),"Would you pay $900,000 for this house?; You might, if Austin's home",Michelle Breyer,News; Pg. A1,,3829 words,,,"September 20, 1999",ENGLISH,,,R. Michelle Breyer,,,,Copyright 1999 The Austin American-Statesman
,house,home,Silicon_Valley,Austin,price,sell,housing,area,San_Jose,buy,cost,drive,market,high,go,Tracy,real,estate,Valley,move,city,afford,rise,company,look,build,lot,community,new,much,"200,000",job,high_tech,find,boom,make,today,nearly,million,commute,chateau,three,front,time,ago,less,many,around,last,1990,worker,broker,resident,back,Santa_Clara_Valley,pull,parent,money,expensive,median,family,neighborhood,percent,place,people,bedroom,near,land,can,live,grow,another,work,Texas,father,seem,past,decade,average,ask,rent,apartment,young,know,property,"100,000",anything,south,empty,side,take,hour,willing,leave,tree,early,demand,cause,industry
,47,38,29,21,18,16,15,15,14,13,13,12,12,11,11,11,10,10,10,9,9,9,9,9,9,8,8,8,8,8,8,8,8,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"September 19, 1999, Sunday",122 of 144 DOCUMENTS,Austin American-Statesman (Texas),Lagging indicators,,Business; Pg. H2,,130 words,,,"September 20, 1999",ENGLISH,,,,,,,Copyright 1999 The Austin American-Statesman
,indicator,statistic,include,economy,move,unemployment,rate,business,manufacturing,lead,consumer,order,goods,reflect,change,start,lag,labor,cost,spend,bank,interest,book,value,activity,typically,confirm,economic,trend,previously,spot,use,forecast,up,downs,cycle,among,sentiment,money,supply,stock,price,new,unfilled,durable,weekly,claim,state,coincident,tend,right,along,industrial,production,sale
,5,3,3,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"October 1, 1999, Friday",125 of 144 DOCUMENTS,Austin American-Statesman (Texas),"Without Gretzky, NHL needs new flavor",Mark Purdy,Sports; Pg. C1,,782 words,,,"October 1, 1999",ENGLISH,,,"Wayne Gretzky has waved goodbye to the National Hockey League, leaving a void to be filled in his sport. Gretzky was far from being the NHL's best player by the time he retired, but he remained hockey's best ambassador",,,,Copyright 1999 The Austin American-Statesman
,league,Walton,team,overtime,NHL,go,player,sour,taste,make,fan,shaky,hockey,goal,season,play,move,game,room,still,best,different,flavor,goalie,SWEET,TASTE,sport,need,either,doubtful,give,today,way,something,jump,loss,lose,door,ice,young,change,think,shape,take,extra,contract,holdout,create,skate,instead,lead,tie,watch,standing,receive,point,regulation,column,confusing,Gretzky,four_on_four,puzzle,wave,goodbye,gap,lure,despite,loyal,cult,fill,arenas,nightly,slip,television,ratings,public,perception,late,date,sosa,switch,baseball,defensive,bent,score,leave,probably,never,hear,five,nhl,1960,much,famous,actual,personality,sorely,lack,right
,8,8,6,6,6,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"October 17, 1999, Sunday",131 of 144 DOCUMENTS,Austin American-Statesman (Texas),Sex and the sea; Why coral reefs off the coast of Texas may be,Taylor Johnson,Life and Arts; Pg. K1,,1738 words,,,"October 17, 1999",ENGLISH,,,"Ninety feet below the surface of the Gulf of Mexico, a giant brain coral at the Flower Garden Banks National Marine Sanctuary spawns by releasing packets of eggs and sperm./ Filmmakers working for the National Geographic Society join researchers to document the story of the isolated reefs off the Texas coast, 110 miles into the Gulf of Mexico./ Cameraman Nick Calotinas, bottom left, and other crew members working on the National Geographic documentary, film a reef habitat / Our future depends on the condition of our seas, says Dr. Sylvia Earle. The author and former NOAA director was one of the scientists on the Flower Garden expedition. / Dr. Peter Vize, a cellular biologist at the University of Texas, climbs into a submersible in preparation for a dive to the reefs. The subs let scientists stay underwater up to eight hours./ Underwater video, shot by Franklin Viola, gives a close-up view of brain coral spawning, a crucial part of life in the ocean./ The NOAA ship Ferrel brings scientists to the reefs",,,,Copyright 1999 The Austin American-Statesman
,coral,reef,spawn,boat,sea,ocean,water,dive,scientist,Flower_Garden,research,work,brain,look,around,light,back,sanctuary,watch,understand,gulf,live,time,foot,several,take,Mexico,Vize,wave,ship,black,surface,reproductive,motion,tiny,species,excellent,development,health,explain,large,balance,die,within,researcher,call,night,make,swim,hang,world,creature,life,slowly,giant,try,begin,bubble,Texas,spree,surge,across,mile,beyond,cover,sex,eight,full,throw,packet,size,ball,past,future,invertebrate,event,star,graduate,student,site,runoff,damage,community,ecosystem,animal,forest,system,much,know,whole,former,supply,scuba,samples,group,filmmaker,film,national,explore
,27,15,10,9,8,7,7,7,7,7,6,6,6,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"October 19, 1999, Tuesday",132 of 144 DOCUMENTS,Austin American-Statesman (Texas),Gun lawsuits afailure of politics,Tom Teepen,Editorial; Pg. A9,,520 words,,,"November 1, 1999",ENGLISH,,,,,,,Copyright 1999 The Austin American-Statesman
,gun,lawsuit,Colt,gunmaker,business,produce,firearm,industry,manufacturer,political,system,control,go,may,litigation,public,policy,good,future,law,time,current,court,much,lobby,might,best,lie,around,national,Wild_West,manufacturing,legendary,report,plan,quit,retail,handgun,144,right,thing,wrong,reason,act,lawyer,scared,company,whimsical,blunt,often,poor,substitute,politics,instrument,fallout,case,indicate,enforcement,military,react,growth,municipal,private,seek,hold,costly,account,death,several,begin,talk,sue,city,lead,drop,exchange,improve,safety,feature,commitment,take,responsibility,way,distribute,sell,fashion,restraint,manner,production,sale,welcome,flurry,activity,motion,change,cynically,mainly,trade,involved
,6,5,5,4,4,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"November 28, 1999, Sunday",139 of 144 DOCUMENTS,Austin American-Statesman (Texas),"One reality, different opinions?; Racial views disparate even in",Steven A. Holmes,News; Pg. A2,,971 words,,,"November 29, 1999",ENGLISH,,,"Many see the American military as the paragon of racial integration, tolerance and equal opportunity. Can it be the same organization where two-thirds of those surveyed say they've recently experienced a racially offensive encounter?",,,,Copyright 1999 The Austin American-Statesman
,black,military,white,race,racial,percent,relation,nearly,racially,rank,minority,make,country,question,attitude,integration,report,man,woman,armed,force,personnel,thing,go,well,whether,institution,study,care,focus,sergeant,find,lead,Hispanic,American,survey,respond,previous,state,answer,hold,equal,opportunity,finding,issue,last,view,officer,member,time,among,little,racism,way,nothing,civilian,especially,different,wonder,incident,think,might,former,ever,perception,behavior,notion,cause,training,integrate,society,group,leadership,point,soldier,n.c.,effort,problem,respondent,official,stop,either,Army,Asian,Fayetteville,Pentagon,result,seem,depressingly,familiar,offensive,encounter,colleague,wide,disparity,startling,set,occur,calif
,13,13,9,9,9,9,6,5,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1
"December 13, 1999, Monday",140 of 144 DOCUMENTS,Austin American-Statesman (Texas),Techpeople,Lori Hawkins and Andrew Park,Business; Pg. D3,,304 words,,,"December 14, 1999",ENGLISH,,,"Tim Harmon, META Group, Frank Carlucci, Infraworks Corp., Sherman Lewis,Infraworks Corp.",,,,Copyright 1999 The Austin American-Statesman
,company,chairman,Austin,startup,analyst,exterprise,software,vice,president,former,director,appoint,board,Exterprise,Harmon,Carlucci,use,rip,apart,present,plan,industry,inc.,sell,help,collaborate,market,recently,opposite,experience,tim,harmon,impressed,pitch,october,send,resume,gear,seem,click,place,meet,team,write,letter,synchronization,real,live,technology,solution,pulpit,pound,last,interview,candidate,marketing,position,snap,job,move,area,start,jan,exactly,cold,longtime,intelligence,national,security,hand,spend,time,warmer,climate,austin,secretary,defense,deputy,ambassador,developer,specialize,application,protect,digital,information,new,corporate,boardroom,serve,telecommunication,networking,giant,merchant,bank,least,six,major,corporation,include
,4,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"December 19, 1999, Sunday",142 of 144 DOCUMENTS,Austin American-Statesman (Texas),"Life's labor; Unions, while weak in Texas, still made a",Bruce Hight,Business; Pg. E1,,2019 words,,,"December 19, 1999",ENGLISH,,,"Rebecca Harrington, director of the national AFL-CIO in Texas, was a participant at an Austin rally in November protesting the World Trade Organization. Harrington continues to work to recruit union members in the face of low unemployment, hostile management and often indifferent workers.",,,,Copyright 1999 The Austin American-Statesman
,worker,law,union,Texas,work,wage,Harrington,family,century,member,insurance,labor,state,employer,many,minimum,take,federal,business,jan.,compensation,part,pass,new,legislation,way,factory,country,child,right,benefit,employee,pay,hire,fire,safety,time,job,create,pro_worker,field,workplace,woman,long,national,may,1980,limiting,hour,much,live,support,world,give,provide,health,5.15,put,age,help,injure,1996,commission,week,people,recruit,1990,1967,oct,sept.,Social_Security,Green,right_to_work,U.S.,journey,society,toward,old,whose,well,percent,end,chip,fight,farm,protection,start,really,bad,stop,number,require,improve,course,accept,parcel,decent,something,better
,40,22,18,13,11,11,11,9,9,9,9,9,9,8,7,7,6,6,6,6,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"December 28, 1999, Tuesday",144 of 144 DOCUMENTS,Austin American-Statesman (Texas),Investment advisers will be put to the test,,Business; Pg. C1,,588 words,,,"December 29, 1999",ENGLISH,,,Lawrence Summers: Worries about Americans becoming overconfident.,,,,Copyright 1999 The Austin American-Statesman
,company,monday,economy,know,keep,passenger,busy,signal,Italian,investment,adviser,exam,customer,test,stock,focus,summer,feel,good,business,expansion,last,publisher,expand,online,million,electronic,internet,access,spend,delay,paul,flight,three,offer,go,wrong,call,U.S.,Seat,Northwest,beginning,new,take,competency,demonstrate,tell,license,next,pass,quizze,economics,ethic,goal,achieve,higher,level,investor,protection,barber,hairdresser,make,sure,cut,color,hair,require,financial,advis,er,prove,difference,bond,previous,mainly,security,law,roll,secretary,lawrence,warn,must,rest,laurel,nearly,decade,robust,performance,though,always,worry,danger,become,overconfident,proud,complacent,imprudent,lend,borrowing
,7,5,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
