PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
"June 16, 2004 Wednesday",1 of 103 DOCUMENTS,Austin American-Statesman (Texas),Rising seas erode Britain's coastline; Climate change doesn't seem to be waiting until the day after tomorrow,"Don Melvin, INTERNATIONAL STAFF",NEWS; Pg. A17,,774 words,,,"July 18, 2004",ENGLISH,,,,,,Newspaper,Copyright 2004 The Austin American Statesman
,sea,rise,report,Britain,global,warming,may,government,London,release,scientist,protect,flooding,level,problem,abandon,effort,coast,billion,threat,warn,might,city,foot,change,official,trust,recently,effect,country,lead,coastline,eat,away,threaten,expert,home,title,grow,retreat,part,study,go,century,warning,leader,security,write,head,weapon,terrorism,climate,area,inland,barrier,local,environmental,coordinate,policy,mile,National_Trust,British,climate_change,Samuels,Aberdeen_City_Council,point,movie,sudden,melt,polar,ice,cap,extent,tide,five,story,high,crash,less,visually,spectacular,believe,horrifying,perhaps,fact,rather,fiction,island,nation,shrink,private,charity,buys,shoreline,countryside,stretch,simply,wait,assortment
,drug,FDA,political,safety,unsafe,approve,agency,pressure,public,safe,group,research,outrage,despite,politically,government,action,national,laboratory,available,market,activist,scientific,lead,require,pill,independent,allow,influence,rather,evidence,risk,control,reject,politics,science,reach,monitor,subject,take,need,federal,autonomy,change,able,ensure,might,White_House,Congress,trust,politician,decide,effective,simple,distinction,become,increasingly,blurred,put,restrict,base,opinion,clout,september,suicide,warning,conflict,may,morning,deem,recommendation,panel,scientist,birth,conservative,member,congress,whatever,leaning,event,highlight,disturbing,trend,dictate,let,sell,keep,useful,furthermore,risky,admit,already,sale,recently,ask,separate,independence,association,pull
,23,14,11,8,6,6,6,5,5,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"December 19, 2004 Sunday",79 of 103 DOCUMENTS,Austin American-Statesman (Texas),Texas road trip: Warm clothes? Check. Trivial Pursuit? Check. Feed bags? Check.,"Katy Barron, AMERICAN-STATESMAN STAFF",TRAVEL; Pg. D1,,897 words,,,"December 19, 2004",ENGLISH,,,"Bevo and his handlers, the Silver Spurs, will take three days to make the 1,400-mile trek. From left, Bret Stanley, Billy Ott, David Whitley, Doug Jones and Scott Thelander will join at least 15 other members of the Texas Cowboys, a University of Texas service organization, who'll be driving to California for the Rose Bowl in two RVs.",,,Newspaper,Copyright 2004 The Austin American Statesman
,trip,plan,road,game,group,spirit,time,make,rv,Rose_Bowl,New_Year,football,student,Texas,Bevo,many,people,mile,travel,president,big,every,trailer,holiday,sleep,cost,Silver_Spurs,University,Pasadena,Texas_Cowboys,play,deal,tailgate,begin,route,fly,mascot,take,ride,three,lot,we,school,sure,major,last,can,find,bring,pack,plenty,member,vehicle,guy,bowl,cowboy,rent,outfit,seat,keep,less,go,country,music,cd,texas,fight,song,know,ut,car,woman,study,female,drive,Longhorns,Petkoff,Cowboys,California,biggest,history,judge,mood,orangeblood,moreover,longhorn,steer,word,psych,open,lead,straight,extreme,party,hope,end,ever,cherish,experience
,8,8,6,6,6,6,5,5,5,5,5,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"March 3, 2004, Wednesday",83 of 103 DOCUMENTS,Austin American-Statesman (Texas),"Hays County ponders forming mobility panel Authority could mean revival of toll road, other long-awaited road projects","Jason Embry, AMERICAN-STATESMAN STAFF",Metro/State; Pg. B1,,635 words,,,"March 12, 2004",ENGLISH,,,,,,,Copyright 2004 The Austin American Statesman
,county,state,commissioner,authority,project,transportation,road,toward,committee,join,official,city,consider,use,mobility,build,create,tuesday,study,form,include,new,draw,put,need,money,interstate,major,retailer,Travis,Williamson,Cabela,toll,whether,agency,list,three,last,way,fund,vote,2001,approval,revisit,million,limit,line,rm,west,ask,expect,look,part,store,package,tax,upgrade,Hays_County,San_Marcos,Central_Texas,Travis_County,Texas,Daigh,Kyle,Buda,marco,hay,regional,operate,roadway,try,employee,prioritize,wish,submit,give,tool,quest,keep,population,breathe,life,example,decide,serve,eastern,loop,around,board,decade,urbanize,metropolitan,area,go,future,bill,sound,extra,layer
,13,9,8,7,7,6,5,5,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"April 2, 2004, Friday",85 of 103 DOCUMENTS,Austin American-Statesman (Texas),Session on school finance is expected mid-month Governor still working to gain a consensus before calling lawmakers back,AMERICAN-STATESMAN STAFF,Metro/State; Pg. B1,,231 words,,,"April 3, 2004",ENGLISH,,,,,,,Copyright 2004 The Austin American Statesman
,Perry,session,school,consensus,property,tax,source,toward,special,legislative,april,propose,revenue,still,maintain,thursday,gov,move,call,finance,later,convene,leader,make,significant,progress,mention,possible,start,date,part,plan,end,system,financing,limiting,increase,appraisal,raise,local,entity,city,county,financial,incentive,improve,student,test,performance,offer,suggestion,pay,change,support,residential,business,separately,key,gop,backer,include,oppose,idea,spokeswoman,governor,reach,announce,think,emerge,least,basic,principle,educational,excellence,equity,eliminate,cut,capping,control,healthy,job,creation,climate,note,variety,option,discuss,Capitol,Rick_Perry,share_the_wealth,Texas_Municipal_League,Kathy_Walt,Robin_Hood
,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"June 6, 2004 Sunday",89 of 103 DOCUMENTS,Austin American-Statesman (Texas),"Reagan dead at 93; 40th president led conservative revolution, shifted global politics","Scott Shepard, WASHINGTON BUREAU",NEWS; Pg. A1,,2952 words,,,"June 12, 2004",ENGLISH,,,"JULY 25, 1984: In his re-election bid, President Reagan visited Austin with Vice President George H.W. Bush and spoke to about 12,000 people at Auditorium Shores. Reagan and Bush, in their first joint appearance outside Washington since 1980, were joined by cheerleaders Cathy Ludwig of the Houston Oilers and Leslie Scott of the University of Texas, right. MARCH 30, 1981: Secret Service agents shove Reagan into the presidential limousine after he was shot outside a Washington hotel, just two months after he was sworn into office. In an exhibition of his famous humor, Reagan told his wife in the hospital, 'Honey, I forgot to duck,' but the shooting reportedly resulted in some deep soul-searching about why he had been spared. SEPT. 9, 1980: President-elect Reagan, who professed a fondness for jelly beans that began when he quit smoking a pipe in the 1960s, holds a jarful he received from the International Business Council in Chicago. JAN. 22, 1981: Two days after Reagan's inauguration, former Presi",,,Newspaper,Copyright 2004 The Austin American Statesman
,Reagan,president,political,American,nation,government,become,presidency,conservative,take,write,know,term,later,arm,movie,speech,tell,percent,leave,world,call,federal,public,four,vision,country,time,office,actor,campaign,tax,idea,White_House,great,former,war,spend,every,fail,scandal,part,career,go,military,interest,hold,1980,freedom,americans,dream,critic,never,1986,order,man,Alzheimer,Soviet_Union,America,Iran,revolution,home,disease,husband,death,life,end,invasion,state,presidential,modern,lead,national,economic,policy,evil,empire,increase,elect,leader,reagan,abroad,second,history,personal,hostage,use,deal,people,grow,speak,popular,many,job,already,make,attempt,democrat,begin
,45,29,10,10,9,9,9,8,7,7,7,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"December 12, 2004 Sunday",91 of 103 DOCUMENTS,Austin American-Statesman (Texas),"A white Christmas in Central Texas?; It's possible, so enjoy those soon-to-depart 70s this afternoon","Dick Stanley, AMERICAN-STATESMAN STAFF",METRO/STATE; Pg. B1,,519 words,,,"December 12, 2004",ENGLISH,,,,,,Newspaper,Copyright 2004 The Austin American Statesman
,snow,week,meteorologist,model,cold,across,temperature,weather,low,Christmas,Texas,christmas,computer,part,high,area,prediction,last,possible,wednesday,predict,interstate,south,never,something,although,forecast,around,unusual,might,far,likely,front,rest,daytime,50s,air,hint,precipitation,Austin,GPS,Central_Texas,Rose,Canadian,chance,white,time,1929,5.5,inch,fall,three,beforehand,surprise,fluke,repeat,though,ready,talk,yet,anything,interpreting,atmospheric,dynamics,together,west,well,state,blanket,sleet,noontime,dec.,accuweather.com,write,web,discussion,next,show,idea,indeed,head,dusting,rarely,accord,trust,authority,start,raise,flag,doubt,look,ice,whether,know,rare,paint,especially,thing,arrival
,9,7,6,5,5,4,4,4,4,4,4,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"January 21, 2004, Wednesday",92 of 103 DOCUMENTS,Austin American-Statesman (Texas),Funerals and Memorials,,Metro/State; Pg. B4,,3973 words,,,"February 12, 2004",ENGLISH,,,,,,,Copyright 2004 The Austin American Statesman
,Texas,Austin,january,family,2004,wife,hold,survive,life,husband,daughter,service,love,friend,memorial,child,many,son,brother,may,bear,mother,p.m.,member,age,pass,church,Kerrville,away,father,follow,make,grandchild,sister,funeral,move,Round_Rock,we,lieu,flower,live,nephew,thursday,tx,meet,Michael,Ward,later,memory,honor,contribution,marry,niece,prewit,real,estate,know,teach,presbyterian,Ireland,Bloomsburg,PA,miss,e.,formerly,active,band,time,a.m.,tion,parent,three,numerous,arrangement,death,wednesday,interment,name,great,jr.,friday,include,country,never,home,jenning,France,good,1953,graduate,bachelor,adventure,man,industry,school,10:00,quest,drive,december
,33,31,24,23,22,19,15,15,14,14,13,13,12,12,12,11,11,11,11,10,9,9,9,9,8,8,8,8,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3
"May 16, 2004 Sunday",94 of 103 DOCUMENTS,Austin American-Statesman (Texas),METRO & STATE BRIEFING,Compiled from staff and wire reports,METRO/STATE; Pg. B2,,1104 words,,,"May 17, 2004",ENGLISH,,,,,,Newspaper,Copyright 2004 The Austin American Statesman
,police,turtle,officer,charge,attack,official,may,brother,four,rule,injury,market,nest,april,die,arrest,stab,case,benefit,baby,relative,ridley,sea,know,friday,dallas,indict,man,city,slay,department,federal,energy,company,Kemp,Saudi_Arabia,landmark,hold,breakfast,v.,season,former,state,attorney,work,justice,issue,infant,hospital,saturday,live,prepare,stand,show,week,coast,time,endangered,laid,egg,preservationist,another,quote,edition,use,county,jury,criminal,already,death,connection,sheriff,lancaster,thursday,firefighter,judge,fire,care,worker,kill,employee,office,project,manager,TEXAS,DIGEST,Texas,Simpson,Barrientez,Houston,McDonald,ABB,Washburn,mark,commemoration,50th,anniversary,board,desegregation
,7,7,7,6,6,5,5,5,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1
"May 30, 2004 Sunday",96 of 103 DOCUMENTS,Austin American-Statesman (Texas),Tot fun in the summertime,"Gretchen Heber, AMERICAN-STATESMAN STAFF",LIFESTYLE; Pg. K6,,756 words,,,"May 31, 2004",ENGLISH,,,,,,Newspaper,Copyright 2004 The Austin American Statesman
,kid,trouble,look,art,create,camp,painting,paint,bing,artist,help,make,life,story,well,recipe,McGill,summer,parent,find,book,youngster,situation,odd,time,another,draw,concentration,child,simple,sense,represent,little,sweet,prisoner,bar,color,spot,bit,endlessly,matter,adult,cooking,tale,bruh,possum,lively,illustration,toddler,chaos,chef,know,course,love,well_known,Harper_Collins,approach,freed,bound,formal,education,might,need,keep,mind,active,eye,television,absorb,dire,19.95,combine,history,common,mostly,woman,descent,document,internment,world,war,ii,picture,pass,barely,teenager,deport,theresienstadt,scene,sneak,study,secret,particularly,poignant,object,wish,huge,cake,way
,7,5,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"June 10, 2004 Thursday",97 of 103 DOCUMENTS,Austin American-Statesman (Texas),small worlds; KIDS BORED AGAIN? PUT DOWN THE GAMEBOY AND HEAD TO PLACES WHERE MEMORIES HAVE BEEN MADE FOR GENERATIONS,"Ricardo Gandara, AMERICAN-STATESMAN STAFF",XL ENT; Pg. 34,,2666 words,,,"June 12, 2004",ENGLISH,,,"Ethan West, 5 months, gets a good look at Kiddie Acres from mom Melinda West's carrier. Before you know it, Ethan will be among the throngs of toddlers who inhabit the park. Don't let the big orange dinosaur scare you. Peter Pan Mini Golf is entertainment for children of all ages. Strike a pose, and hopefully post a strike, at Dart Bowl. After a game, check out the collectibles or have a meal. These feet are ready to roll. Skate World has been part of countless big events in children's lives.",,,Newspaper,Copyright 2004 The Austin American Statesman
,child,p.m.,skate,place,birthday,time,hour,party,price,family,kid,bowling,parent,rink,Kiddie_Acres,open,ball,owner,saturday,good,take,fun,world,adult,ride,friday,play,course,night,bowl,available,Skate_World,machine,old,sunday,business,daughter,area,work,Austin,Dart_Bowl,Herrings,look,keep,know,try,golf,can,smile,small,go,little,ticket,found,thursday,a.m.,wednesday,per,son,every,peter,pan,include,think,people,make,rental,sock,entertain,character,pony,pin,speed,roller,dream,another,wheel,entertainment,simple,four,always,1979,train,park,music,table,turn,own,idea,enjoy,1980,close,grow,teens,mother,mini,call,ahead,right
,20,19,18,14,13,12,12,12,11,11,10,10,9,9,9,8,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"October 7, 2004 Thursday",99 of 103 DOCUMENTS,Austin American-Statesman (Texas),Business Digest,Compiled from staff and wire reports,BUSINESS; Pg. C1,,526 words,,,"October 8, 2004",ENGLISH,,,Wolfgang Bernhard,,,Newspaper,Copyright 2004 The Austin American Statesman
,million,barrel,percent,winter,price,chip,strike,crude,oil,rise,increase,gas,expect,cash,deal,security,former,memory,Netegrity,jump,52.02,loom,worker,week,agree,fuel,world,inventory,bill,natural,pay,acquire,computer,regulator,shareholder,company,fraud,complete,sale,hynix,facility,Nigerian,WASHINGTON,Nigeria,U.S.,Computer_Associates,DaimlerChrysler,future,surge,cent,wednesday,possible,main,union,join,national,set,begin,next,unless,government,talk,produce,daily,exporter,hour,later,report,commercially,available,grow,1.1,274,follow,3.4,prior,still,leave,level,ago,shortfall,trader,worried,global,supplies,remain,tight,colder,approach,high,usage,fire,heating,consumer,energy,information,administration,annual,outlook
,7,5,5,5,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"January 11, 2004, Sunday",100 of 103 DOCUMENTS,Austin American-Statesman (Texas),SARS scare targets a Chinese delicacy,"Andrew Yeh, SPECIAL TO THE AMERICAN-STATESMAN",News; Pg. A9,,691 words,,,"January 11, 2004",ENGLISH,,,"Crammed into cages, dogs await their fate in an animal market in Guangzhou, China. They are the most common animal sold in such markets, where they bring about 50 cents a pound.",,,,Copyright 2004 The Austin American Statesman
,civet,animal,cat,eat,SARS,restaurant,China,Guangzhou,recently,help,market,many,dog,zhong,cab,driver,time,prepare,look,specialize,local,wild,human,health,guangzhou,suspect,work,serve,exotic,wildlife,still,authority,take,vat,next,sell,sale,young,cage,heart,girl,bird,use,dish,Chinese,sumin,garrulous,pleasure,know,exactly,braise,soy,sauce,relative,mongoose,something,weasel,long,delicacy,southern,cost,much,200,nice,call,ye,wei,literally,cuisine,vilify,potentially,responsible,pass,government,begin,slaughtering,thousand,prevent,another,outbreak,severe,acute,respiratory,syndrome,saturday,world,organization,expert,search,patient,waitress,tv,producer,discharge,hospital,diagnose,case,july,disease
,10,8,7,5,5,4,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"January 15, 2004, Thursday",102 of 103 DOCUMENTS,Austin American-Statesman (Texas),CAFE CAPRICE'S INFUSION OF FUSION: BRINGING YOU THE WORLD ON A PLATTER,"Dale Rice, AMERICAN-STATESMAN RESTAURANT CRITIC",XL Ent; Pg. 6,,744 words,,,"January 17, 2004",ENGLISH,,,"At Cafe Caprice, Joani and Paul Constantine serve 'eclectic American cuisine,' such as the shrimp and grilled corn salad.",,,,Copyright 2004 The Austin American Statesman
,sauce,caprice,make,blend,dish,restaurant,good,chef,tuna,serve,soup,use,cuisine,fusion,small,green,salad,asparagus,sauteed,mushroom,thick,corn,cake,single,several,food,catch,local,though,table,plate,entree,pumpkin,schnitzel,lard,baby,squash,flavor,combination,meal,coconut,cream,shrimp,grill,garnish,dessert,glass,chocolate,mousse,raspberry,top,American,Basil,Mexican,Italian,part,flop,practice,technique,ingredient,disparate,place,influence,fail,never,diner,number,creative,less,successful,yet,another,new,spot,infuse,menu,time,predict,success,call,eclectic,subtle,graceful,perfectly,match,ambience,bistro,replace,longtime,romantic,town,owner,give,charm,grace,pale,wall,shade,window
,6,5,5,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"April 18, 2004, Sunday",103 of 103 DOCUMENTS,Austin American-Statesman (Texas),FUNERALS AND MEMORIALS,,Metro/State; Pg. B4,,4642 words,,,"April 18, 2004",ENGLISH,,,,,,,Copyright 2004 The Austin American Statesman
,Austin,april,2004,Texas,wife,family,service,husband,p.m.,funeral,love,survive,bear,memorial,member,friend,hold,pass,away,brother,home,daughter,grandchild,may,monday,dr.,son,child,nephew,tx,sunday,miss,make,work,life,sister,a.m.,follow,precede,death,Barbara,John,mrs,age,serve,parent,visitation,interment,memory,Cook_Walden,time,loving,niece,alvarez,church,University,graduate,retire,mother,battle,teach,receive,give,many,staff,ter,lieu,2:00,care,special,leave,chapel,ft.,TX,Charlie,always,marry,enjoy,three,11:00,retirement,school,thank,flower,w.,10:00,arrangement,friday,4:00,pallbearer,cherish,park,graveside,6:00,ann,ing,share,honor,5:00
,52,41,41,31,26,21,20,19,18,17,16,16,15,15,14,13,13,12,12,12,12,11,11,11,11,10,10,9,9,9,9,8,8,8,8,8,8,8,8,8,8,8,7,7,7,7,7,7,7,7,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
