PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
29 November 2018,1 of 144 DOCUMENTS,Austin American-Statesman (Texas),POLITIFACT; Cold spells don't negate climate change big picture,John Kruzel PolitiFact.com,TX NEWS; Pg. A2,,592 words,,,"February 26, 2019",ENGLISH,,,,,Article,,Copyright 2018                               All Rights Reserved
,global,temperature,drop,climate,Pletka,biggest,scientist,we,claim,2016,last,change,tell,average,trend,coldest,part,false,climatologist,article,event,degree,NASA,two_year,human,go,know,cool,1980,100,misleading,data,show,time,2017,warmest,record,take,place,february,c.,term,understanding,anything,long_term,Climate,impact,uncheck,warming,inflict,devastating,effect,environment,economy,public,health,warn,government,report,week,hear,national,assessment,blare,distress,call,other,less,alar,meet,press,foreign,policy,expert,conservative,allow,happen,hasten,add,cause,fact,main,contributor,argue,issue,subject,hysteria,certain,weather,phenomena,period,overlook,mainstream,media,narrative,need,recognize,talk,agenda
,7,5,5,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"August 26, 2018 Sunday",121 of 144 DOCUMENTS,Austin American-Statesman (Texas),UT wishbone left huge legacy,Kirk Bohls American-Statesman Staff,SPOR; Pg. C1,,2333 words,,,"August 27, 2018",ENGLISH,,,,,,Newspaper,Copyright 2018 The Austin American-Statesman                               All Rights Reserved
,wishbone,Texas,football,game,Royal,formation,coach,season,offense,team,quarterback,play,go,back,run,pass,school,black,player,around,later,national,spread,Bellard,call,â,longhorn,three,college,royal,option,big,tell,time,ou,ball,today,Koy,Longhorns,Switzer,take,work,start,fullback,know,end,many,thing,late,fan,1970,well,Arkansas,Navy,OU,Army,1968,koy,spring,rush,bear,never,lead,beyond,five,program,concept,prepare,change,ever,lot,tie,loss,next,talk,win,try,last,become,sooner,title,Oklahoma,Alabama,phone,customary,summer,stay,shape,offensive,backfield,wonder,training,earlier,consecutive,decision,put,bit,bewilder,necessity
,30,16,15,12,11,10,9,9,9,8,8,8,7,7,7,7,7,7,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"September 8, 2018 Saturday",123 of 144 DOCUMENTS,Austin American-Statesman (Texas),Conservatives forecast more favorable future,Chuck Lindell American-Statesman Staff,MAIN; Pg. A1,,727 words,,,"September 10, 2018",ENGLISH,,,,,,Newspaper,Copyright 2018 The Austin American-Statesman                               All Rights Reserved
,bill,bathroom,issue,conservative,session,policy,legislative,religious,state,school,government,republican,lawmaker,marriage,forum,public,locker,room,priority,transgender,district,transgender_friendly,Senate,friday,fight,2017,kolkhorst,last,rep.,time,legislation,protect,business,oppose,gay,hold,practice,thwart,several,well,intend,use,committee,gov,make,kill,special,pass,look,adopt,allow,restroom,town,woman,same_sex,Texas_Values,Krause,House,Kolkhorst,Abbott,faith_based,set,convene,four,speak,sponsor,advocacy,group,influential,circle,important,leave,unsettled,favor,defeat,way,fail,try,sen,lois,author,unsuccessful,limit,building,matt,krause,worth,ripe,advance,people,deeply,belief,rapid,pace,judge,appoint,president,combine,june
,9,8,7,6,6,5,5,5,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"September 18, 2018 Tuesday",124 of 144 DOCUMENTS,Austin American-Statesman (Texas),America might need Tim Gunn now more than ever,Eric Webb American-Statesman Staff,LIFE; Pg. D1,,1205 words,,,"September 18, 2018",ENGLISH,,,,,,Newspaper,Copyright 2018 The Austin American-Statesman                               All Rights Reserved
,Gunn,gunn,fashion,take,need,show,tuck,shirt,third,look,thing,new,sunday,fence,runway,know,man,art,style,call,find,go,word,can,three,rhapsodic,describe,proportion,jewel,ball,luncheon,sept,lead,time,keep,feel,pop,culture,old,respect,divide,queer,eye,tell,top,bottom,French,slaughter,bout,longtime,mentor,power,lesson,though,routine,wretch,excess,use,social,media,pants,we,2018,nation,make,host,society,series,back,article,piece,modern,today,always,place,fresh,1968,guess,become,well,hear,way,makeover,personal,believe,hate,unknown,eventually,care,America,New_York,Aretha_Franklin,France,rest,tim,teens,sharp,object,happen
,21,14,10,8,7,7,7,7,7,6,5,5,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1
30 October 2018,131 of 144 DOCUMENTS,Austin American-Statesman (Texas),Georgetown is already powered by 100 percent renewable energ,Claire Osborn cosborn@statesman.com,TX NEWS; Pg. B4,,483 words,,,"February 26, 2019",ENGLISH,,,,,Article,,Copyright 2018                               All Rights Reserved
,city,energy,solar,Georgetown,produce,panel,idea,power,renewable,million,prize,mayor,foundation,grant,Ross,100,percent,locally,monday,challenge,problem,put,resident,roof,farm,change,need,use,home,battery,receive,help,market,buy,october,"100,000",among,city_owned,Daly,already,official,step,closer,award,eight,across,country,potential,solution,toughest,face,start,run,wind,know,radically,world,agile,innovative,remain,sustainable,competitive,resilient,dale,statement,issue,install,place,seven,nine,around,multiple,location,assistant,manager,either,credit,bill,rooftop,choose,free,backup,curb,peak,demand,instance,august,late,extra,grow,quickly,2021,go,become,completely,bold,audacious,exactly,kind
,15,10,9,9,5,5,4,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1 November 2018,132 of 144 DOCUMENTS,Austin American-Statesman (Texas),"Their presentations are the only things, too, that silence t",,TX FEATURES; Pg. D8,,1082 words,,,"February 26, 2019",ENGLISH,,,,,Article,,Copyright 2018                               All Rights Reserved
,dance,yet,group,hotel,time,director,preservation,austin,city,TreeFolks,silence,season,author,emotion,report,history,tree,build,U.S.,guest,make,way,book,political,add,fresh,old,event,among,executive,member,community,open,design,set,stage,art,company,eight,take,gut,anger,fear,distrust,trust,anticipation,joy,surprise,feature,portion,employ,without,ball,number,together,venue,plant,million,change,special,call,wing,space,work,speaker,mayor,municipal,district,merit,award,luncheon,save,best,historical,structure,include,Austin,Tapestry_Dance_Company,Root_Ball,presentation,thing,wonderfully,chatty,four,depend,emcee,formerly,tame,roar,timely,humor,order,know,youth,write,age,squeeze,sort,wisdom
,5,5,5,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
18 November 2018,134 of 144 DOCUMENTS,Austin American-Statesman (Texas),Potential Democratic candidates,,TX NEWS; Pg. A8,,2516 words,,,"February 26, 2019",ENGLISH,,,,,Sidebar,,Copyright 2018                               All Rights Reserved
,downside,Trump,governor,president,former,democrat,campaign,senator,mayor,upside,state,run,candidate,Democratic,elect,term,party,experience,point,might,lose,political,last,congressman,New_York,Clinton,think,attorney,never,2016,make,already,vote,time,2020,turn,take,go,general,serve,leave,need,American,three_term,America,Obama,nomination,successful,trump,city,carry,moment,politics,third,answer,ago,race,great,do,name,offer,voter,office,back,future,Los_Angeles,U.S.,Iowa,re_election,New_York_City,Maryland,Congress,Garcetti,California,San_Francisco,september,star,many,vice,relationship,people,owner,man,spend,billionaire,big,reclaim,america,graduate,move,inner,positive,personality,field,away,senate,moderate,problem,veteran
,37,17,15,12,12,11,11,10,10,10,10,10,9,9,7,7,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
21 November 2018,135 of 144 DOCUMENTS,Austin American-Statesman (Texas),POLITIFACT; Median income has reached record levels,D.L. Davis PolitiFact.com,TX NEWS; Pg. A2,,526 words,,,"February 26, 2019",ENGLISH,,,,,Article,,Copyright 2018                               All Rights Reserved
,income,median,Trump,president,record,2017,economy,rise,level,credit,middle,class,economist,"61,372",percent,inflation_adjusted,broader,thanks,policy,strong,lift,fortune,americans,accurate,party,claim,administration,look,solely,number,however,accord,annual,1.8,increase,new,represent,high,time,household,reach,less,certain,deserve,full,trend,watch,major,2016,take,office,period,West_Virginia_Republican_Party,middle_class,U.S._Census_Bureau,politician,often,point,success,barometer,health,fall,campaign,tweet,give,context,vague,term,consistent,definition,generally,consider,reasonable,yardstick,study,publish,september,2018,previous,adjust,inflation,statistic,although,figure,close,past,census,data,show,1999,instance,"60,062",2007,shortly,"59,534",assertion,frequently,note,either
,11,8,8,7,6,5,4,4,4,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
12 December 2018,139 of 144 DOCUMENTS,Austin American-Statesman (Texas),Bourbon finally to come at Still Austin Whiskey Co.,Arianna Auber aauber@statesman.com,TX FEATURES; Pg. D2,,528 words,,,"February 26, 2019",ENGLISH,,,,,Article,,Copyright 2018                               All Rights Reserved
,grain,still,bourbon,whiskey,spirit,flavor,distillery,use,Austin,make,draw,well,rye,process,water,might,barrel,percent,Texas_grown,Texas,Kentucky,co.,produce,new,major,start,release,corn,barley,change,go,proof,rely,add,lot,taste,farmer,work,Austin_Whiskey,South_Austin,New_York,Seals,although,primary,base,gin,past,half,urban,goal,mind,realize,next,feature,aged,product,already,head,distiller,notice,young,mature,beautifully,part,hot,climate,allow,swifter,age,bulk,country,adjust,think,result,excited,finish,thing,feel,comparable,seven,nice,graham,cracker,nose,surprising,smoothness,110,slow,reduction,method,accord,ceo,brandy,typical,course,slowly,lower,distinct,pull
,9,8,8,7,5,5,5,5,5,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
30 December 2018,144 of 144 DOCUMENTS,Austin American-Statesman (Texas),"On a windy day in late winter of 1984, I arrived home to fin",Paul Robbins,TX NEWS; Pg. A18,,712 words,,,"February 26, 2019",ENGLISH,,,,,Article,,Copyright 2018                               All Rights Reserved
,Austin,company,gas,rate,city,customer,bill,pay,utility,energy,cost,winter,without,live,consumer,water,conservation,use,allow,home,advocate,charge,regressive,full,ratepayer,capital,Texas_Gas,late,1984,find,many,service,necessity,spike,million,policy,decade,electric,program,regulate,less,per,unit,municipal,generally,fuel,new,recovery,fee,exist,mean,system,improvement,outside,waste,money,high,never,act,franchise,interest,TARA,windy,arrive,cut,notice,indignity,suffer,sufficient,income,indelibly,etch,memory,scramble,restore,need,make,hard,choice,hour,week,close,heating,worry,take,away,meal,may,wonder,afford,main,regional,collect,140,2017,follow,local,reach,conclusion
,11,10,9,9,8,7,6,5,5,5,5,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
