PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
"June 10, 2002, Monday",2 of 65 DOCUMENTS,Austin American-Statesman (Texas),What we can do to cut energy use,American-Statesman,Editorial; Pg. A10,,547 words,,,"June 10, 2002",ENGLISH,,,,,,,Copyright 2002 The Austin American Statesman
,energy,wind,fossil,fuel,air,source,power,take,alternative,though,solar,use,light,web,site,report,role,human,play,change,bush,debate,consumer,federal,look,number,good,leave,instead,rely,appliance,save,keep,bulb,footprint,Bush,Austin_Energy,last,week,administration,send,time,clearly,acknowledge,existence,global,warming,cause,phenomenon,burn,much,harm,already,do,president,nothing,except,adapt,onslaught,criticism,begin,conservative,liberal,alike,distance,finding,spokesman,ari,fleischer,fall,back,earlier,campaign,rhetoric,cite,uncertainty,science,climate,scientific,political,continue,however,need,wait,resolve,action,curb,foul,question,pollute,pollution,literally,drive,being,regulatory,commission,chairman,pat,wood
,37,22,20,18,13,12,10,9,9,8,8,8,7,7,7,7,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2
"June 22, 2002, Saturday",49 of 65 DOCUMENTS,Austin American-Statesman (Texas),"Don't spend millions, Austin, when there'sa city budget shortfall",American-Statesman,Editorial; Pg. A14,,393 words,,,"June 22, 2002",ENGLISH,,,"Environmental groups want Austin to buy two properties to be used as parkland instead of development: the area near the defunct Seaholm power plant off West Cesar Chavez Street, above, and a Stratus Properties site near Circle C in Southwest Austin.",,,,Copyright 2002 The Austin American Statesman
,million,city,buy,spend,property,budget,tax,project,cut,cost,increase,development,plan,Lumbermen,roll,2003,fee,land,council,purchase,site,push,Austin,Stratus,Seaholm,stare,bleakest,picture,decade,mount,pressure,dollar,remove,begin,process,shortfall,already,half,impose,hire,freeze,across,board,propose,revenue,projection,still,look,shorter,library,hour,higher,electric,rate,sewer,drainage,trash,likelihood,raise,employee,expense,staff,reduction,hit,many,department,inspiring,financial,assessment,certainly,warrant,acquire,limit,yet,environmental,group,ask,near,stratus,agree,allow,830,home,900,apartment,square,foot,commercial,space,"1,250",acre,acreage,least,possibly,twice,much,past,five,protect
,8,6,5,4,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"June 28, 2002, Friday",50 of 65 DOCUMENTS,Austin American-Statesman (Texas),San Antonio CHL team calls it quits New AHL franchise forces Iguanas out,"Jason Cohen, AMERICAN-STATESMAN CORRESPONDENT",Sports; Pg. D1,,580 words,,,"June 28, 2002",ENGLISH,,,,,,,Copyright 2002 The Austin American Statesman
,Iguanas,season,team,CHL,Spurs,ice,bat,ownership,franchise,place,new,operation,SBC_Center,AHL,San_Antonio,fan,group,might,purchase,president,hockey,find,suspend,last,percent,iguana,playoff,great,player,four,club,Austin,Central_Hockey_League,Freeman_Coliseum,Florida_Panthers,Rampage,Southeast_Division,Hughes,loathe,nearest,rival,shut,door,wednesday,force,control,adjacent,earlier,report,accept,tenant,announce,involvement,april,executive,vice,decline,comment,situation,focus,conclude,everything,need,play,tell,unable,home,call,quit,base,upon,current,market,climate,decision,make,continue,work,conjunction,best,evaluate,option,available,average,fewer,"5,000",per,game,figure,behind,hope,move,owner,investor,share,increase,cost,partner,recently
,9,7,6,6,5,4,4,4,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"August 2, 2002, Friday",53 of 65 DOCUMENTS,Austin American-Statesman (Texas),U.S. vehicles blamed for greenhouse gases,"Jeff Nesmith, WASHINGTON BUREAU",News; Pg. A27,,505 words,,,"August 3, 2002",ENGLISH,,,,,,,Copyright 2002 The Austin American Statesman
,carbon,ton,car,million,dioxide,gas,greenhouse,truck,report,country,DeCicco,carmaker,vehicle,burden,mean,output,model,account,United_States,design,marketing,reduce,make,source,produce,planet,contain,try,manufacturer,size,around,fleet,2000,Japan,U.S.,General_Motors,concentrate,plenty,power,do,little,release,environmental,organization,charge,week,significant,headway,deal,find,way,hundred,pump,air,every,publish,tuesday,exhaust,pipe,largest,single,accord,automaker,corporate,fact,entire,production,four,without,exceed,sell,author,rank,somewhere,list,atmospheric,scientist,trap,heat,environment,cause,temperature,slowly,rise,national,abundant,usually,measure,term,put,talent,anything,address,product,harm,representative,automobile,industry,dismiss
,13,11,9,9,8,6,5,4,4,4,4,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"August 15, 2002, Thursday",54 of 65 DOCUMENTS,Austin American-Statesman (Texas),Aligned with nature Architects follow the sun in designing award-winning home,"Jeanne Claire van Ryzin, AMERICAN-STATESMAN ARTS WRITER",Lifestyle; Pg. E1,,810 words,,,"August 15, 2002",ENGLISH,,,"TOP: A catwalk connects the two wings of the second floor., ABOVE: Robert Jackson Architects situated the front entrance, augmented with a rock pool, on the line where the two wings of the house meet., LEFT: To complement the site, Jackson designed the basic shape of the house to fit the bending topography and built the house 200 feet down the hillside from the road. // TOP: A cozy second-floor study opens up to the two-story central room and connects via a catwalk to the other wing of the house., MIDDLE: The main living area opens up to easterly views complete with a large patio and infinity-edge pool., BOTTOM: Its walls aligned with the sunrise and sunset extremes of the winter and summer solstice, the central room frames the seasonal changes in the sky.Greg Hursley photos",,,,Copyright 2002 The Austin American Statesman
,house,Jackson,room,east,sun,connect,site,way,north,make,winter,summer,structure,wing,south,design,home,natural,align,west,wall,central,window,work,have,season,move,hillside,architecture,solar,movement,cut,outdoors,let,location,well,geometry,owner,cycle,foot,simple,narrow,long,line,fold,sunrise,sunset,shadow,across,connection,nature,Earth,Robert_Jackson_Architects,Austin,two_story,tell,time,progression,hour,course,rhythm,change,angles,light,back,precisely,nett,honor,award,chapter,competition,thousand,traditional,always,axe,noting,sacred,position,accord,orientation,ordinary,domestic,situate,respect,lunar,human,civilization,march,advent,urban,grid,modern,suburban,housing,development,technology,we,attention,relate
,18,14,8,7,6,5,5,5,5,5,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"August 17, 2002, Saturday",55 of 65 DOCUMENTS,Austin American-Statesman (Texas),Yemeni leaders learn Cedar Park's ways Visitors get a look at how democracy works,"Laura Heinauer, AMERICAN-STATESMAN STAFF",Metro/State; Pg. B1,,977 words,,,"August 17, 2002",ENGLISH,,,"Imtenan Al-Wadhwahi of the U.S. Department of State records a meeting Friday at the Cedar Park Library, where Cedar Park officials explain administration and politics at the local level to their counterparts from Yemen.",,,,Copyright 2002 The Austin American Statesman
,member,city,government,council,Cedar_Park,local,meeting,yeman,elect,we,political,program,delegate,still,Yemeni,Texas,group,past,new,several,law,yemeni,country,people,Huraibi_Hassen,Yemen,meet,friday,official,introduction,way,opportunity,learn,feeling,mayor,bob,young,leader,together,difference,attend,many,white,visit,department,share,real,democracy,common,resident,need,general,change,help,thing,leave,believe,ask,party,explain,delegation,woman,exchange,answer,2000,experience,fact,est,world,active,desert,hot,north,south,U.S.,Austin,mind,discuss,austin,suburb,newly,lesson,work,well,life,unique,culture,cherish,good,talk,staff,dress,red,blue,organizer,part,intend,administrative,organizational
,11,9,9,9,8,7,5,5,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"August 17, 2002, Saturday",56 of 65 DOCUMENTS,Austin American-Statesman (Texas),Accounting majors see saucy side of a profession rocked by scandal,"Erik Rodriguez, AMERICAN-STATESMAN STAFF",News; Pg. A1,,912 words,,,"August 17, 2002",ENGLISH,,,,,,,Copyright 2002 The Austin American Statesman
,accounting,student,university,class,course,business,fraud,program,offer,fall,corporate,ethic,school,new,study,profession,interest,University,textbook,dean,recent,teach,case,plan,percent,high,take,official,help,already,Cassidy,St._Edward,best,last,scandal,material,talk,nation,specialize,curriculum,use,event,organization,investigation,group,decline,number,accord,college,enrollment,available,bad,graduate,sign,professor,go,include,Arthur_Andersen,Central_Texas,American_Institute,Certified_Public_Accountants,Enron,UT,lesson,real,life,spring,assistant,supplement,book,chapter,responsibility,newspaper,clipping,company,catch,wave,every,give,ongoing,ever,across,retooling,revamp,place,newfound,emphasis,administrator,current,national,base,urging,launch,change,amid,gloomy,climate,earlier,week
,23,10,10,9,8,7,7,7,6,6,5,5,5,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"September 28, 2002, Saturday",58 of 65 DOCUMENTS,Austin American-Statesman (Texas),"Believe it or not, the '03 Honda Accord just got better",Pete Szilagyi,Lifestyle; Pg. D5,,769 words,,,"September 28, 2002",ENGLISH,,,"Feeling the competitive heat from the Altima and Camry, the seventh-generation Honda Accord is updated with more room, more comfort and more power.",,,,Copyright 2002 The Austin American Statesman
,Accord,accord,car,percent,2003,panel,front,side,air,bag,horsepower,four_cylinder,long,sedan,run,neglect,receive,latest,generation,already,visual,eye,design,trim,level,share,road,new,ride,test,engines,standard,model,power,seven,engine,price,equipment,information,base,payment,Accord_LX,Honda,American,dad,famous,kill,violently,slow,torture,change,oil,to,kid,check,otherwise,culture,sophisticated,man,whup,jeep,couple,various,dodge,sell,chance,whimper,survive,term,red,end,leprosy,rust,treadless,tire,start,enthusiastically,ready,another,spread,second,dealer,begin,seventh,truly,every,respect,significant,leap,ahead,product,special,look,sheet,metal,example,vestige,conservative,style
,11,9,4,4,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"October 15, 2002, Tuesday",60 of 65 DOCUMENTS,Austin American-Statesman (Texas),AOL's new software marks return of focus on existing members Company hopes to prevent an exodus of customers to rivals,"Shelley Emling, NEW YORK BUREAU",Business; Pg. D5,,482 words,,,"October 15, 2002",ENGLISH,,,,,,,Copyright 2002 The Austin American Statesman
,AOL,new,service,member,8.0,executive,million,stock,price,percent,analyst,subscriber,broadband,feature,dial_up,launch,hope,ad,company,give,revenue,subscription,increasingly,improve,msn,co.,business,include,allow,user,division,log,software,today,inc.,reach,audience,admit,internet,heyday,busy,try,snag,deal,lose,sight,strong,parent,gutter,insist,back,track,anemic,advertising,climate,focus,online,rather,frenetic,court,gear,toward,exactly,need,stop,customer,defect,aggressive,rival,provider,fear,unveil,oct,equal,cheaper,seek,regain,foot,face,management,slow,growth,poor,morale,among,many,"18,000",employee,addition,report,warn,plummet,235,next,turn,compete,chief,aim,boost
,12,10,8,5,4,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"October 17, 2002, Thursday",61 of 65 DOCUMENTS,Austin American-Statesman (Texas),"Remember Chile, forget the hype","Jordan McKay, SPECIAL TO THE AMERICAN-STATESMAN",XL Ent; Pg. 12,,919 words,,,"October 17, 2002",ENGLISH,,,,,,,Copyright 2002 The Austin American Statesman
,wine,Chilean,chardonnay,winemaker,last,promise,make,taste,good,flavor,Chile,cabernet,country,keep,thing,past,deep,fruit,article,industry,eviscerate,week,critic,section,angry,way,sampling,live,decade,work,realize,burgundy,memory,young,back,bottle,become,anger,drinker,lie,improvement,price,feeling,sit,take,person,long,time,2001,equipment,new,love,start,black,cherry,chocolate,Consuelo_Marin,Lecaros,headline,review,disparage,chilean,begin,late,world,influential,newspaper,wonder,run,business,police,blotter,seem,pungent,language,comprise,understandably,visceral,reaction,brutal,critique,prial,harsh,almost,personal,flow,second,rate,similarly,report,later,hundred,tart,short,smell,can,asparagus,hard,relatively
,24,7,6,5,4,4,4,4,4,4,4,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"October 18, 2002, Friday",62 of 65 DOCUMENTS,Austin American-Statesman (Texas),"Count on these10 With dishes from achiote buffalo to chocolate soup, Austin's top restaurants make every meal an adventure",,XL Dining Guide; Pg. 4,,2350 words,,,"October 19, 2002",ENGLISH,,,"The Hill Country antipasto plate at Hudson's on the Bend, with cured boar tenderloin, peppercorn-crusted antelope, marinated buffalo and brown sugar-ancho salmon. // The Driskill Grill makes its five-star mark with an elegant hotel setting and a snapper dish in tomato-basil sauce with lemon-artichoke risotto and grilled shrimp. // The success of the Cafe at the Four Seasons is a testament to the skill of chef Elmar Prambs. //Zoot's meticulous preparation shines in its crisp, chick pea-dusted oysters with saffron-vermouth aioli. //Chocolate soup at Wink means bittersweet broth and milk chocolate mousse with Earl Grey tea and ginger. // Aquarelle is home to classic French cooking. // The care lavished on the tiled beet salad speaks volumes at Emilia's. // At Jeffrey's, pork tenderloin is stuffed with shrimp, spinach, ricotta cheese and herbs. // Chef Alan Lazarus has made a home for Italian food on South Congress Avenue with Vespaio. // Chef David Dailey's crab cake appetizer at Castle Hill.",,,,Copyright 2002 The Austin American Statesman
,dish,restaurant,sauce,chef,top,plate,salad,make,chocolate,four,mound,food,produce,place,appetizer,small,entree,serve,green,rest,shrimp,fry,season,best,cream,tomato,dining,work,executive,past,vegetable,mint,feature,grill,bring,three,foie,gras,lightly,baby,pasta,duck,beet,st,flavor,lemon,menu,way,gnocchi,Jeffrey,today,element,slice,diner,dine,price,ago,snapper,potato,base,sear,oil,bitter,sweet,arugula,cafe,fill,tender,spinach,garnish,caramelize,form,dessert,point,mousse,drizzle,oyster,reduction,vinaigrette,chicken,fresh,ingredient,sabayon,wine,shellfish,herb,city,Hudson,Central_Texas,Castle_Hill,bend,evident,spot,showcase,begin,game,popular,marigold,infuse
,16,15,15,11,10,8,8,8,7,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2
"October 23, 2002, Wednesday",63 of 65 DOCUMENTS,Austin American-Statesman (Texas),Endorsements 2002: Texas Senate Bentzin deserves chance in District 14,,Editorial; Pg. A14,,1083 words,,,"October 23, 2002",ENGLISH,,,Ben Bentzin // Jeff Wentworth,,,,Copyright 2002 The Austin American Statesman
,Bentzin,Barrientos,district,Wentworth,record,state,big,take,heart,time,issue,bill,voter,enough,school,public,education,way,difference,however,arrest,abortion,lot,parent,look,wentworth,office,Senate,San_Antonio,sen,common,response,question,redrawn,face,challenge,business,transportation,increase,student,behind,can,though,advocate,help,college,career,new,seat,republican,kind,need,pursue,personal,computer,ground,hard,work,serious,survive,fight,primary,campaign,simple,government,tax,recently,video,charge,last,support,right,reflect,ambivalence,vote,require,notify,minor,expect,consent,give,matter,crowd,back,run,represent,behalf,client,open,Senate_District,high_tech,Travis_County,Legislature,ask,gonzalo,barriento,agree,example,meet
,11,10,7,7,6,6,5,5,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1
"October 29, 2002, Tuesday",64 of 65 DOCUMENTS,Austin American-Statesman (Texas),"Peace soldier As the world braces for war, Texas activist CHarlie Jackson is flying to Baghdad to make a statement against it","Brad Buchholz, AMERICAN-STATESMAN STAFF",Lifestyle; Pg. E1,,1965 words,,,"October 29, 2002",ENGLISH,,,"'Most people I know think I'm crazy,' Charlie Jackson says of his plans to visit Iraq with the humanitarian group Voices in the Wilderness. The former Austin resident (he moved to San Antonio last month) joined other peace activists during a rally at the Capitol on Saturday. // Charlie Jackson speaks during Saturday's peace rally on the south steps of the Capitol. He says he knows that his group's planned trip to Iraq next month could not stop a war, but he hopes that by taking a stand he can influence other people to do the same. // Jackson says friends have asked him how he can leave sons Connor, 11, and Jay, 15, for a potentially dangerous trip. But one of the motivations for his mission is concern for his boys' future. // The trip to Iraq will not be the first time Jackson has traveled in the name of his beliefs. This photo was taken in Guatemala in 2001 with Mayan children. He's also visited Bosnia to work for peace.",,,,Copyright 2002 The Austin American Statesman
,Jackson,people,war,peace,go,Iraq,son,thing,friend,time,we,Charlie_Jackson,Baghdad,plan,think,travel,way,soldier,father,put,family,stay,home,make,citizen,Sarajevo,stand,maybe,world,military,country,leave,voice,join,consider,little,activist,group,away,bus,caravan,religion,Iraqi,believe,work,know,charlie,do,foreign,jackson,take,might,send,live,boy,point,stop,end,else,someone,journey,begin,back,something,turn,tell,influence,U.S.,Middle_East,Austin,United_States,Tuzla,Bosnia,idea,opposition,prepare,represent,economic,sanction,have,need,feel,personal,never,right,front,line,rifle,carry,child,term,warn,really,guess,almost,last,another,zone,keep
,18,14,13,11,11,11,8,7,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"December 2, 2002, Monday",65 of 65 DOCUMENTS,Austin American-Statesman (Texas),"Back home Austin's Legends of Golf gave birth to the Senior PGA Tour. In May, today's golf legends will be coming . . .","Kevin Robbins, AMERICAN-STATESMAN STAFF",Sports; Pg. C1,,999 words,,,"December 2, 2002",ENGLISH,,,"Austin's Ben Crenshaw, watching a tee shot at the SBC Championship at San Antonio in October, is largely responsible for helping the bring a Champions Tour event to The Hills Country Club. // With highly respected Austin residents Tom Kite, above, and Ben Crenshaw as informal hosts, the Kinko's Classic expects a top field. // Showing the way: The standard bearer (above) will be a familiar site when the Kinko's Classic arrives in May // Staying home: Austin golf legend Ben Crenshaw (in red) and Tom Kite will serve as informal co-hosts for the event.",,,,Copyright 2002 The Austin American Statesman
,tournament,Austin,tour,event,golf,classic,people,Kinko,new,make,fan,million,money,include,player,gallery,good,charity,Champions_Tour,Bruno,way,organizer,junior,senior,play,party,champion,go,Senior,Hallman,pga,three,clinic,competition,serve,boast,mean,schedule,concert,legend,create,bear,popularity,favorite,third,life,marketing,time,kind,journey,championship,take,become,raise,hole,store,logo,swing,game,plan,prolink,have,do,sell,prize,last,atmosphere,popular,community,pro_ams,Hills_Country_Club,Golf,Alabama,Cavner,Minnesota,return,next,spring,name,thing,know,arrive,may,announce,prelude,gala,golfer,ben,crenshaw,compete,informal,host,promise,marquee,field,top,gather,nod,hope
,19,14,12,11,8,7,7,6,5,5,5,5,5,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
