PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
"October 18, 2011 Tuesday",5 of 119 DOCUMENTS,Austin American-Statesman (Texas),Researchers object to way TCEQ wants to edit report,Farzad Mashhood AMERICAN-STATESMAN STAFF,METRO; Pg. B01,,733 words,,,"October 22, 2011",ENGLISH,,,,,,Newspaper,Copyright 2011 The Austin American-Statesman                               All Rights Reserved
,report,Anderson,agency,publish,sea,level,change,state,chapter,rise,commission,take,commissioner,Galveston_Bay,climate,cut,include,research,scientific,center,Lester,researcher,environmental,official,human,bay,we,write,coast,keep,public,manager,section,article,2002,argue,editor,document,current,talk,delete,gonzalez,ask,work,theory,fine,alternative,never,fact,science,long_term,Houston_Advanced_Research_Center,Texas,Soward,unclear,health,balk,request,remove,reference,involvement,issue,characterization,nonprofit,group,pursue,regional,sustainability,statement,disagree,certain,part,irresponsible,whatever,send,rice,university,oceanographer,upper,attempt,censor,misinform,that,philosophy,absurd,senior,water,quality,division,propose,drastic,much,copy,receive,rename,originally,title,impact,half
,dring,water,state,Texas,1950,lake,record,rain,drought,percent,1957,agriculture,farmer,sell,meteorologist,end,compare,1947,current,bad,last,far,loss,rancher,board,include,emergency,other,blame,time,2010,build,reservoir,authority,less,volume,driest,Central_Texas,acre_feet,university,historian,write,1953,need,official,call,costly,expert,form,three,key,put,recreation,spur,utility,use,billion,resident,2011,development,severe,develop,plan,source,groundwater,1951,late,price,change,worker,data,show,fall,1960,today,future,increase,lot,money,full,inflow,level,"600,000",january,june,average,period,way,go,third,minimum,river,though,inch,la,niña,pattern,downpours,similar
,35,14,10,10,9,9,8,7,6,5,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"August 24, 2011 Wednesday",96 of 119 DOCUMENTS,Austin American-Statesman (Texas),LETTERS,AUSTIN AMERICAN-STATESMAN,EDITORIAL; Pg. A08,,636 words,,,"August 28, 2011",ENGLISH,,,,,,Newspaper,Copyright 2011 The Austin American-Statesman                               All Rights Reserved
,need,resign,education,think,doctor,standard,problem,live,economy,new,job,Texas,dr.,sonnenberg,course,major,college,take,art,school,learn,book,friend,family,patient,ever,product,campaigning,gov,president,sen,campaign,conservative,seem,equivalent,today,together,have,many,generate,investment,create,can,aqueduct,foot,drought,Obama,U.S.,stephen,aug.,insight,article,short,longer,physician,experience,philosophy,issue,argument,extensive,liberal,medical,order,good,compassionate,glad,opportunity,study,history,compassion,understanding,life,lesson,colleague,well,tragedy,childhood,illness,parent,divorce,death,child,blessing,unconditional,love,teach,human,condition,open,heart,mind,train,several,combine,med,fine,smart,curious,caring
,5,5,4,4,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"September 7, 2011 Wednesday",98 of 119 DOCUMENTS,Austin American-Statesman (Texas),FUNERALS AND MEMORIALS,,METRO & STATE; Pg. B04,,3467 words,,,"September 8, 2011",ENGLISH,,,,,,Newspaper,Copyright 2011 The Austin American-Statesman                               All Rights Reserved
,Austin,family,september,2011,wife,husband,friend,service,survive,tx,Texas,funeral,home,member,bear,p.m.,many,child,grandchild,memorial,brother,death,make,Bill,pass,son,precede,may,wednesday,away,serve,love,sister,thursday,lieu,flower,follow,Hereford,life,hold,world,a.m.,die,take,parent,sunday,age,granddaughter,great,miss,seminary,marry,Cook_Walden,St._Mary,Houston,austin,school,time,enjoy,6100,call,loving,numerous,visitation,11:00,father,donation,sept,three,friday,arrangement,gift,gutierrez,daughter,niece,august,memory,care,know,TX,Robert,Georgetown,United_Methodist_Church,Ann,Pflugerville,Bobbie,Salado,graduate,high,attend,police,department,car,along,six,evening,condolence,war,ii
,34,29,28,26,17,17,16,15,14,14,14,13,12,11,11,11,10,10,10,10,10,9,9,9,8,8,8,8,8,7,7,7,7,7,7,7,7,7,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3
"September 12, 2011 Monday",100 of 119 DOCUMENTS,Austin American-Statesman (Texas),"Social Security in spotlight as Perry, rivals meet in Florida",Kate Alexander AMERICAN-STATESMAN STAFF,MAIN; Pg. A01,,1399 words,,,"September 16, 2011",ENGLISH,,,,,,Newspaper,Copyright 2011 The Austin American-Statesman                               All Rights Reserved
,Florida,Perry,state,debate,Social_Security,political,party,Romney,week,security,make,might,voter,percent,Republican,issue,tonight,primary,early,people,poll,last,live,tea,next,win,Social,retirement,presidential,hit,president,leader,think,politics,go,tend,rate,nationally,race,gather,lot,attention,candidate,face,straw,time,2012,spot,MacManus,Tampa,Redlich,seem,position,failure,former,nomination,televise,election,nation,key,victory,decisive,language,science,professor,retiree,younger,elsewhere,unemployment,foreclosure,line,among,country,benefit,change,americans,retire,kid,able,ponzi,scheme,tell,program,grow,reform,federal,difference,however,use,leave,talk,big,campaign,coast,include,money,express,event,100
,29,19,11,7,7,6,6,6,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"September 15, 2011 Thursday",101 of 119 DOCUMENTS,Austin American-Statesman (Texas),LETTERS,AUSTIN AMERICAN-STATESMAN,EDITORIAL; Pg. A08,,895 words,,,"September 18, 2011",ENGLISH,,,,,,Newspaper,Copyright 2011 The Austin American-Statesman                               All Rights Reserved
,president,cost,rule,editorial,coal,need,firefighter,make,sept,act,without,party,regulation,electricity,thanks,volunteer,deal,use,minimal,tax,board,work,economy,nothing,representative,people,accomplish,conservative,billionaire,instead,energy,community,well,glitch,excuse,back,fire,help,heat,almost,read,hike,job,another,reinvestment,show,stimulus,government,spend,question,congress,every,regardless,enforce,power,emission,kid,dodge,dioxide,Steiner_Ranch,H_E_B,Stubb,Barack_Obama,Carbon,special,host,wonderful,event,saturday,opportunity,gather,share,story,rally,greatly,heart,chance,thank,police,officer,emergency,worker,serve,we,difference,praisehiminaustin,att.,net,article,arrive,assist,turn,appreciate,might,inadequate,training,equipment,magnitude,result
,6,6,6,5,5,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"October 2, 2011 Sunday",102 of 119 DOCUMENTS,Austin American-Statesman (Texas),AMERICAN DIGEST,AUSTIN AMERICAN-STATESMAN,INSIGHT; Pg. D02,,322 words,,,"October 2, 2011",ENGLISH,,,,,,Newspaper,Copyright 2011 The Austin American-Statesman                               All Rights Reserved
,president,system,American,understand,kill,think,include,time,political,state,school,U.S.,Texas,hhe,society,well,idiom,pop,culture,appeal,americans,hard,replicate,miniter,author,lose,bin,quote,foxnews.com,importance,anwar,inspire,attack,2009,slay,people,we,rapidly,approach,argue,set,tactic,versus,another,may,useful,rearrange,deck,chair,world,famous,passenger,liner,rove,republican,strategist,write,obama',job,creation,proposal,prospect,you,have,governor,whose,fire,deny,climate,change,obama,critique,contender,the,sit,fairness,adequacy,face,court,order,district,100,prepare,sue,contend,unfair,unconstitutional,finance,yet,case,every,voter,obese,make,remarkable,progress,front,discuss,heftiness
,3,3,3,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"November 20, 2011 Sunday",107 of 119 DOCUMENTS,Austin American-Statesman (Texas),"11,000 square feet, and all of it happily used",Nicole Villalpando AMERICAN-STATESMAN STAFF,STATESMANHOMES; Pg. G01,,909 words,,,"November 20, 2011",ENGLISH,,,,,,Newspaper,Copyright 2011 The Austin American-Statesman                               All Rights Reserved
,room,large,home,house,bedroom,master,offer,feature,separate,bathroom,pool,love,open,sit,family,side,suite,lead,window,full,closet,built_in,space,provide,pyler,cover,live,bar,area,second,patio,tub,game,shower,look,middle,neighborhood,take,front,balcony,porch,dining,behind,kitchen,bath,garage,across,apartment,two_story,walk_in,heritage,backyard,move,ranch,child,set,lot,yet,view,property,drive,plan,parent,many,limestone,foyer,floor,bookshelves,aquarium,equipment,double,island,dishwasher,sink,make,wall,entrance,serve,rest,storage,powder,porte,cochère,study,end,upstairs,share,guest,use,Texas,413,loop,playscape,fall,six,ago,major,lifestyle,change
,23,13,10,8,7,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1
"November 27, 2011 Sunday",108 of 119 DOCUMENTS,Austin American-Statesman (Texas),Stopping pipeline won't put stop to Canadian oil,JODY SEABORN AUSTIN AMERICAN-STATESMAN,EDITORIAL; Pg. D06,,763 words,,,"November 27, 2011",ENGLISH,,,,,,Newspaper,Copyright 2011 The Austin American-Statesman                               All Rights Reserved
,pipeline,oil,Keystone_XL,Nebraska,job,create,energy,around,new,give,route,state,environmental,need,sand,million,barrel,"20,000",construction,TransCanada,Canada,though,possibly,propose,couple,move,put,administration,decision,make,decide,2013,study,source,water,official,review,least,behind,project,refinery,port,temporary,number,probably,bitumen,think,stuff,interest,permit,department,build,buy,exploit,balance,learn,Obama,Ogallala_Aquifer,Keystone,Saudi_Arabia,Cardno_Entrix,reroute,environmentally,sensitive,region,discover,week,ago,yes,actually,accommodate,objection,pressure,expedite,earlier,next,presidential,election,announce,nov,whether,approve,early,enough,time,avoid,drink,irrigation,farmer,rancher,government,include,join,group,oppose,billion,heineman,legislative,leader
,22,13,7,7,6,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"November 30, 2011 Wednesday",109 of 119 DOCUMENTS,Austin American-Statesman (Texas),"Margins tax isn't best option, but it's here",AUSTIN AMERICAN-STATESMAN,EDITORIAL; Pg. A12,,506 words,,,"December 4, 2011",ENGLISH,,,,,,Newspaper,Copyright 2011 The Austin American-Statesman                               All Rights Reserved
,tax,session,2006,income,state,cut,work,margin,special,delivery,time,promise,deliver,child,something,court,rule,unconstitutional,vote,school,finance,system,take,deduction,major,revenue,legislator,2011,long,able,political,raising,last,include,raise,pass,candidate,show,Texas,Legislature,bear,fairly,easy,painful,hope,high,live,property,relief,provide,money,need,educate,young,grow,population,know,continue,disappoint,fail,stuck,support,public,official,express,resemble,positive,comment,seven,member,monday,constitutional,good,fair,efficient,majority,batt,back,accusation,franchise,wear,flimsy,disguise,gov,sign,existence,birth,evolve,modify,gross,receipt,filer,quite,broad,federal,net,source,fund,function
,21,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"December 18, 2011 Sunday",112 of 119 DOCUMENTS,Austin American-Statesman (Texas),Evangelical Iowans split on religious candidates,R.G. Ratcliffe AMERICAN-STATESMAN STAFF,MAIN; Pg. A01,,1500 words,,,"December 18, 2011",ENGLISH,,,,,,Newspaper,Copyright 2011 The Austin American-Statesman                               All Rights Reserved
,Perry,Gingrich,conservative,support,evangelicals,social,voter,poll,iowa,Iowa,state,campaign,percent,former,candidate,go,pastor,Bachmann,leader,race,perry,gay,supporter,evangelical,lose,caucuse,best,issue,rights,marriage,week,really,chance,abortion,strong,question,wife,ad,U.S.,gather,look,debate,early,turn,well,2008,make,record,take,president,second,back,past,good,endorse,around,give,folk,time,video,Rick_Perry,Christian,Republican,Texas,Santorum,Vander_Plaats,national,prayer,presidential,series,seek,primary,hope,political,may,several,hurdle,win,television,rep.,bachmann,sen,speaker,mandate,girl,sexually,transmit,tuition,child,illegal,immigrant,recent,willing,infidelity,long,little,begin,policy,upset
,18,12,11,10,9,8,8,7,7,7,6,6,6,6,6,6,6,6,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"December 25, 2011 Sunday",113 of 119 DOCUMENTS,Austin American-Statesman (Texas),Take in arid landscape at nature center,Pam LeBlanc AMERICAN-STATESMAN STAFF,TRAVEL; Pg. F10,,634 words,,,"December 25, 2011",ENGLISH,,,,,,Newspaper,Copyright 2011 The Austin American-Statesman                               All Rights Reserved
,burn,center,desert,fire,look,study,Hoyt,plant,visitor,spring,area,home,grassland,occasional,cactus,take,world,pack,formation,good,canyon,wet,dring,hike,trail,property,exhibit,mountain,part,mile,north,four,species,nature,people,vegetation,whose,plenty,life,back,quickly,go,Chihuahuan_Desert_Nature_Center,Fort_Davis,car,barren,break,monotony,though,find,unexpected,always,prickly,critter,unusual,geological,place,outside,tromp,box,toe,flow,despite,amble,foot,greenhouse,bristling,200,type,cacti,stop,recently,spend,couple,hour,crisscross,watch,ridge,herd,deer,charge,far,excellent,hilltop,explain,volcanic,surround,encompass,"220,000",square,stretch,n.m.,largest,"3,000",biologically,diverse,arid,region,alone
,8,6,5,5,4,4,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
