PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
"October 24, 2017 Tuesday",2 of 95 DOCUMENTS,Austin American-Statesman (Texas),Gore lauds Georgetown's use of renewables,Bob Sechler American-Statesman Staff,BUSINESS; Pg. B5,,584 words,,,"October 24, 2017",ENGLISH,,,,,,Newspaper,Copyright 2017 The Austin American-Statesman                               All Rights Reserved
,Gore,climate,change,energy,renewable,city,Georgetown,Ross,president,monday,water,documentary,something,republican,go,fact,gore,threat,global,conference,example,recently,use,fuel,storm,atmosphere,hurricane,gulf,many,opt,follow,â,business,decision,win,argument,issue,Texas,U.S.,Hurricane_Harvey,al,deliver,warning,hold,progress,make,alleviate,crisis,operate,solely,biggest,power,entirely,source,wind,solar,displace,speak,litany,data,point,paint,picture,induce,burn,fossil,human,activity,catastrophe,drought,fire,famine,earth,really,thin,shell,around,planet,kind,open,sewer,seven,half,billion,people,link,destruction,wring,along,coast,ocean,boost,well,irma,harvey,cross,degree,warmer,normal
,12,9,9,6,5,5,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"August 24, 2017 Thursday",77 of 95 DOCUMENTS,Austin American-Statesman (Texas),THE PLANNER,American-Statesman Staff,LIFE; Pg. D2,,471 words,,,"August 24, 2017",ENGLISH,,,,,,Newspaper,Copyright 2017 The Austin American-Statesman                               All Rights Reserved
,p.m.,aug.,fair,game,free,we,dog,butterfly,Esther,three,location,open,food,beer,local,e.,sixth,st,event,august,take,political,special,thursday,art,little,moth,far,center,a.m.,Cuvee,Texas,beverage,¦cuvee,anniversary,flagship,ago,mean,time,celebrate,dunk,tank,baristas,truck,live,music,tasty,tap,brewery,2000,facebook,com,483105232033470,comedy,¦esther,folly,dead,heat,ind,grow,summer,showdown,best,new,sketch,rip,national,headline,include,session,bly,current,climate,politics,subject,mind,winter,thanks,popular,throne,show,525,esthersfollies.com,¦,shea,exploration,hypothetical,effect,culture,world,believe,understanding,past,civilization,expand,redefine,examine,excavate,artifact
,7,4,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"September 10, 2017 Sunday",80 of 95 DOCUMENTS,Austin American-Statesman (Texas),Even Texas depends on big government,American-Statesman Staff,INST; Pg. E2,,893 words,,,"September 11, 2017",ENGLISH,,,,,,Newspaper,Copyright 2017 The Austin American-Statesman                               All Rights Reserved
,government,federal,state,Abbott,big,disaster,include,Harvey,Texas,attorney,general,area,aid,billion,lawsuit,home,thing,look,natural,hit,people,business,agency,point,site,wake,sue,go,authority,republican,nation,cleanup,rebuild,many,certainly,lesson,role,estimate,ten,thousand,another,relief,management,water,still,rely,governor,repair,road,city,texan,president,help,use,cover,expense,cost,though,irony,monitor,report,social,analysis,show,cruz,measure,bill,local,Houston,EPA,GOP,gov,brag,typical,morning,next,line,garner,laugh,applause,circle,share,cynicism,scorn,regulatory,aftermath,repeatedly,berated,steer,worst,pay,hard,humble,experience,bring,best,family,member,neighbor
,17,15,10,10,8,7,7,7,5,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"September 13, 2017 Wednesday",81 of 95 DOCUMENTS,Austin American-Statesman (Texas),Why chef Santibañez envies his former boss at Fonda San Miguel,Addie Broyles American-Statesman Staff,LIFE; Pg. D1,,671 words,,,"September 19, 2017",ENGLISH,,,,,,Newspaper,Copyright 2017 The Austin American-Statesman                               All Rights Reserved
,Santibañez,restaurant,different,chef,grow,Fonda_San_Miguel,work,1997,state,mole,ingredient,use,still,seem,bit,people,lose,Zacatecas,Mexican,Fonda,return,several,write,number,town,know,dish,de,kind,chily,take,make,way,house,back,soul,customer,thing,always,food,move,contact,put,try,right,flavor,Authentic_Mexico,Mexico_City,Mexico,last,weekend,note,kitchen,city,help,shape,helm,gala,native,head,2001,open,cookbook,feature,sunday,annual,fundraiser,community,project,showcase,event,tie,sei,though,away,popular,asado,bodas,wedding,stew,braise,meat,serve,sweet,simple,particular,availability,southern,central,mexicans,dry,spice,have,long,americans,austinite,understand,cuisine,train
,7,6,6,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"October 26, 2017 Thursday",85 of 95 DOCUMENTS,Austin American-Statesman (Texas),"Straus in right place, right time for unexpected rise to speaker",Chuck Lindell American-Statesman Staff,MAIN; Pg. A10,,630 words,,,"October 26, 2017",ENGLISH,,,,,,Newspaper,Copyright 2017 The Austin American-Statesman                               All Rights Reserved
,Straus,session,republican,2009,Craddick,House,conservative,candidate,serve,rep,defeat,campaign,speaker,vote,ABCs,know,moderate,dozen,group,emerge,committee,chairman,without,rep.,every,time,unanimously,force,voter,id,social,lt,gov,succession,fail,Democratic,seem,destine,become,powerful,member,opportunity,knock,polish,affable,solid,pedigree,legislator,modest,record,accomplishment,political,climate,favor,strong,water,end,2007,autocratic,style,prompt,unsuccessful,coup,attempt,fate,seal,next,election,leave,majority,head,anybody,meet,privately,early,january,anoint,single,back,nine,vied,consensus,longer,participant,later,strongest,cancel,allow,surprise,victor,third,ballot,byron,cook,tarrytown,home,reporter,wait,front
,16,6,5,4,4,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"October 31, 2017 Tuesday",86 of 95 DOCUMENTS,Austin American-Statesman (Texas),Westwood High class rank policy angers some parents,Ariana Garcia American-Statesman Staff,METR; Pg. B2,,528 words,,,"October 31, 2017",ENGLISH,,,,,,Newspaper,Copyright 2017 The Austin American-Statesman                               All Rights Reserved
,student,board,rank,parent,class,school,pilot,program,percent,college,Westwood,ranking,high,meeting,district,take,stress,concern,recent,decision,request,approve,top,attend,present,academic,survey,may,support,exclude,favor,include,implement,community,issue,make,level,use,bully,current,end,determine,look,acceptance,place,Westwood_High_School,Parents,Zhou,group,angry,westwood,voice,remove,transcript,several,consider,revise,recently,report,jun,xiao,whose,child,petition,400,signature,response,hurt,chance,choice,highly,competitive,environment,affect,experience,conduct,entire,undecided,result,show,much,toward,hastily,uninformed,unprepare,change,staff,sept,effect,oct,study,final,recommendation,necessary,admission,automatically,admit,scholarship,away
,13,11,11,9,9,6,6,6,5,5,5,4,4,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"March 10, 2017 Friday",89 of 95 DOCUMENTS,Austin American-Statesman (Texas),Where to eat during South by Southwest,Matthew Odam American-Statesman Staff,AUSTIN360; Pg. T4,,4273 words,,,"March 10, 2017",ENGLISH,,,,,,Newspaper,Copyright 2017 The Austin American-Statesman                               All Rights Reserved
,*,st,restaurant,serve,e.,s.,the,dish,sandwich,ave,best,taco,congress,make,st.,food,breakfast,menu,pizza,burger,blvd,town,egg,classic,Austin,chicken,spot,pie,cafe,great,sixth,dining,lamar,pork,barbecue,trailer,downtown,east,roast,brisket,chavez,beef,w.,second,bacon,small,salad,Mexican,Italian,favorite,river,smoke,11th,red,sausage,cesar,austin,good,open,go,bar,little,expect,try,cheese,onion,cocktail,mole,feel,seventh,ofthe,take,time,find,include,chef,line,owner,hot,grill,toast,seating,kitchen,street,option,mushroom,avocado,flavor,star,run,green,duck,dozen,new,steak,fry,modern,pasta,add
,67,36,35,26,24,21,21,19,19,18,16,15,15,15,12,11,11,11,11,10,10,10,10,10,10,9,9,9,9,9,9,8,8,8,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"August 29, 2017 Tuesday",91 of 95 DOCUMENTS,Austin American-Statesman (Texas),Why such a disaster and no evacuation?,Eric Dexheimer American-Statesman Staff,MAIN; Pg. A1,,1516 words,,,"August 29, 2017",ENGLISH,,,,,,Newspaper,Copyright 2017 The Austin American-Statesman                               All Rights Reserved
,storm,people,order,evacuation,Harvey,weather,event,hurricane,official,area,city,state,Houston,point,wind,population,decision,law,leave,Harris_County,much,accord,quickly,tropical,consider,category,emergency,think,county,local,make,judge,Texas,still,recent,many,need,basic,turn,government,interview,grow,start,dangerous,hour,note,amount,water,land,dozen,part,new,problem,hit,evacuate,governor,mayor,call,go,put,road,Masters,linger,southeastern,several,create,rescue,catastrophic,blame,answer,question,past,week,depression,define,least,friday,patch,gulf,management,monday,along,system,keep,place,dump,rain,another,ocean,flood,increase,country,report,resident,last,growth,building,decade,add
,17,10,10,10,10,9,8,7,7,6,6,6,6,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"August 31, 2017 Thursday",92 of 95 DOCUMENTS,Austin American-Statesman (Texas),Storm's punch sends economic pain statewide,Dan Zehr and Bob Sechler American-Statesman Staff,MAIN; Pg. A1,,1571 words,,,"August 31, 2017",ENGLISH,,,,,,Newspaper,Copyright 2017 The Austin American-Statesman                               All Rights Reserved
,Houston,state,Texas,economy,economic,area,»,damage,metro,Harvey,percent,port,industry,back,business,remain,billion,product,many,city,tourism,U.S.,energy,part,oil,local,value,much,effect,resident,might,hurricane,sector,Hurricane_Harvey,largest,rebuild,virtually,economist,flood,export,crop,firm,price,impact,large,accord,rebound,displace,time,expect,region,infrastructure,big,early,crude,total,rely,summer,season,storm,winter,Perryman,heart,shut,temporary,influx,flow,every,pain,refinery,sit,idle,key,reopen,harvest,fund,budget,roughly,affect,directly,cut,everything,happen,worth,country,engine,major,surround,estimate,hit,run,property,drop,path,become,event,gross,domestic,water
,15,14,13,12,12,12,8,7,7,7,6,6,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"September 24, 2017 Sunday",93 of 95 DOCUMENTS,Austin American-Statesman (Texas),SURF AUSTIN,Pam LeBlanc American-Statesman Staff,LIFE; Pg. D1,,897 words,,,"September 25, 2017",ENGLISH,,,,,,Newspaper,Copyright 2017 The Austin American-Statesman                               All Rights Reserved
,surf,surfer,sur,park,Austin,wave,oard,build,wake,culture,water,city,landlocked,scene,ago,roll,coastal,start,ing,sport,traditional,world,industry,money,people,open,place,California,NLand_Surf_Park,NLand,Central_Texas,drive,ocean,country,best,across,lagoon,band,play,call,outside,local,already,lake,jet,show,club,member,beach,combine,population,board,think,truly,make,spend,study,fit,surfrider,foundation,employ,type,agree,kind,work,plan,summer,always,haney,lot,head,coast,grow,Austin_Surf_Club,United_States,nearest,arrive,week,slice,face,manufacture,east,event,design,showcase,company,spectator,sip,pineapple,mango,smoothy,nibble,raw,fish,salad,poke,somewhere,fence,bunch
,24,10,9,8,8,7,6,5,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"November 19, 2017 Sunday",94 of 95 DOCUMENTS,Austin American-Statesman (Texas),"SEVEN DAYS, SEVEN THINGS TO DO",American-Statesman Staff,LIFE; Pg. D2,,749 words,,,"November 19, 2017",ENGLISH,,,,,,Newspaper,Copyright 2017 The Austin American-Statesman                               All Rights Reserved
,nov.,p.m.,Austin,a.m.,run,participate,city,mac,favorite,best,include,free,Long_Center,701,w.,riverside,drive,either,walk,morning,kid,everyone,work,festival,art,dish,cheese,well,musical,show,speechless,view,holiday,stout,christmas,make,Bourbon_County_Brand,Santa,Bastrop,Wassail_Fest,thundercloud,sub,trot,9:30,thanksgiving,tradition,good,cause,eat,whole,lot,turkey,feature,time,untimed,depend,mood,family,largest,"20,000",participant,benefit,caritas,nonprofit,support,poor,homeless,people,proceed,go,2nd,100,auguste,escoffier,school,culinary,6020,eventbrite.com/e/2,unapologetically,cheesiest,cuisine,return,star,mother,food,produce,extravaganza,celebrate,side,chef,eatery,bbq,battle,truly,vendor,need,comfy,pants,theatre
,7,6,6,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
