PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
"November 2, 2005 Wednesday",1 of 83 DOCUMENTS,Austin American-Statesman (Texas),Just how warm does our planet have to get?,"Kate Galbraith, LOCAL CONTRIBUTOR",EDITORIAL; Pg. A13,,723 words,,,"November 2, 2005",ENGLISH,,,,,,Newspaper,Copyright 2005 The Austin American Statesman
,emission,warming,record,take,global,greenhouse,gas,need,climate,change,due,hurricane,start,something,power,scientist,recent,Austin,talk,weather,run,name,last,storm,hottest,2003,many,president,promise,work,carbon,plant,seriously,happen,save,whether,much,report,2001,rise,temperature,write,require,company,polluter,trading,world,reduce,americans,state,vehicle,time,right,without,Atlantic,Europe,anyone,notice,fall,place,fleeting,glory,season,busiest,meteorological,guy,assign,letter,properly,strongest,ever,2005,course,measurement,begin,round,top,five,1998,2002,2004,sweat,september,superlative,politician,office,curb,dioxide,major,nothing,introduction,laughable,voluntary,program,justified,inaction,learn,really,cause
,city,Pflugerville,business,tax,resident,plan,land,texas,development,company,130,Wal_Mart,Murphy,store,leader,attract,town,pflugerville,shop,location,major,economic,Austin,package,bring,kind,official,need,feel,ago,population,small,meeting,seek,miss,service,show,retailer,create,situation,among,track,near,Merit_Electric,step,second,chance,reach,approve,expand,area,job,right,away,industry,community,economy,subdivision,home,boom,residential,growth,make,property,encourage,public,along,happen,help,road,change,other,far,opportunity,base,office,four,generate,less,sale,per,prime,actually,extend,tell,1980,add,form,north,expect,construction,highway,play,role,turn,horse,another,referendum,several
,24,17,15,7,7,7,7,7,7,6,6,6,6,5,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"February 27, 2005 Sunday",60 of 83 DOCUMENTS,Austin American-Statesman (Texas),"BLACK CINEMA verite; Before Oprah and Halle, there was Lena and Hattie. But was there really such a thing as Black Hollywood?","Craig Watkins, SPECIAL TO THE AMERICAN-STATESMAN",LIFESTYLE; Pg. K5,,1134 words,,,"February 27, 2005",ENGLISH,,,Donald Bogle Dorothy Dandridge Stepin Fetchit,,,Newspaper,Copyright 2005 The Austin American Statesman
,black,Bogle,Black_Hollywood,Hollywood,book,industry,social,film,bogle,character,story,America,ask,celebrity,culture,though,point,century,life,sexual,racial,struggle,change,Bright_Boulevards,rise,blaxploitation,director,exist,give,right,experience,actor,power,much,movie,presence,person,latest,tom,history,form,long,star,jr.,reader,elite,hotel,somerville,stay,endure,celebrate,focal,early,20th,larger,greatest,account,anecdote,tell,go,many,detail,across,make,half,politics,fail,analysis,Fred_Williamson,Harlem,Williamson,Coons,Mulattoes,Mammies,Sammy_Davis,Central_Avenue,Fetchit,American,near,end,baadasssss,cinema,2002,documentary,fall,starr,classic,caesar,hell,1970,pause,seconds,julien,look,yeah,diffident,response,speak,volume
,24,11,10,10,7,6,6,5,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"March 31, 2005 Thursday",61 of 83 DOCUMENTS,Austin American-Statesman (Texas),Pay your taxes already? IRS study should have you seeing red,AMERICAN-STATESMAN STAFF,EDITORIAL; Pg. A12,,466 words,,,"April 12, 2005",ENGLISH,,,,,,Newspaper,Copyright 2005 The Austin American Statesman
,tax,IRS,owed,americans,estimate,file,pay,include,code,shelter,problem,political,make,revenue,service,study,national,report,uncollected,percent,underreport,income,return,collect,many,investor,solution,use,law,attention,audit,april,Washington,Congress,recent,internal,accurate,scandal,much,353,billion,rest,attribute,gap,difference,time,go,long,way,toward,end,annual,budget,deficit,deposit,federal,treasury,reason,stun,worker,owner,deal,cash,flourishing,underground,economy,source,complicated,confusing,allow,class,hide,although,point,administrative,sizeable,proportion,aspect,inevitably,involve,close,loophole,crack,wealthy,campaign,contributor,player,obvious,simplify,run,opposition,industry,exist,onerous,money,massive,fullest,advantage,obligation
,16,8,4,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"April 23, 2005 Saturday",63 of 83 DOCUMENTS,Austin American-Statesman (Texas),Bigger Jetta delivers highbrow feel at Everyman price,"Pete Szilagyi, SPECIAL TO THE AMERICAN-STATESMAN",LIFESTYLE; Pg. E5,,912 words,,,"April 23, 2005",ENGLISH,,,Jetta offers more room for the family without sacrificing zest.,,,Newspaper,Copyright 2005 The Austin American Statesman
,new,Jetta,sedan,price,car,model,jetta,seat,2005,base,drive,airbags,last,fall,high,enough,vw,generation,way,add,test,less,include,control,side,front,VW,Audi,volkswagen,go,luxury,seem,sale,three,later,engineer,large,instead,amenity,650,freight,option,distinctive,size,style,look,consumer,engine,mileage,highway,city,automatic,always,body,bmw,door,quality,hydraulic,driver,feel,still,equipment,brake,make,cabin,rear,line,comfort,turbo,information,percent,payment,Phaeton,Volkswagen,Jettas,German,anti_lock,dull,thud,hear,around,horse,least,graceless,dismount,considerable,capital,time,decade,develop,brainchild,starstruck,executive,decide,compete,directly,market,turn,engineering
,9,9,5,5,5,5,5,5,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"April 24, 2005 Sunday",64 of 83 DOCUMENTS,Austin American-Statesman (Texas),THEATER REVIEW; Star-spangled 'Tuna' ignites new laughs,"Michael Barnes, AMERICAN-STATESMAN STAFF",LIFESTYLE; Pg. K3,,477 words,,,"May 13, 2005",ENGLISH,,,"When Arles (Jaston Williams) and Bertha (Joe Sears) have a romp, they toss in a subtle and subversive reminder to the audience members that they're watching two men.",,,Newspaper,Copyright 2005 The Austin American Statesman
,tuna,p.m.,Williams,red,character,sear,trilogy,wednesday,grow,imaginary,motel,much,introduce,reference,scene,man,think,7:30,White,pass,thought,revival,theatre,star,seem,age,seat,appear,spry,sly,ago,texas,pair,improvisation,attract,little,press,gift,mime,brush,away,crumb,snap,shut,invisible,joint,case,delicately,conjure,complete,world,everyday,object,without,use,actual,prop,speak,simplicity,stage,actor,turn,table,four,chair,radio,station,sound,booth,country,kitchen,front,porch,several,car,bedroom,afraid,new,joke,hear,time,song,can,hide,lie,eye,former,paramount,director,crowd,attend,kind,theater,however,culturally,alert,roar,jab,guffawe
,6,4,4,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"July 10, 2005 Sunday",66 of 83 DOCUMENTS,Austin American-Statesman (Texas),"Attacks might boost Blair's support; After criticism over Iraq, premier's star might be on rise again","Shelley Emling, INTERNATIONAL STAFF",NEWS; Pg. A6,,642 words,,,"July 10, 2005",ENGLISH,,,,,,Newspaper,Copyright 2005 The Austin American Statesman
,Blair,attack,know,political,war,public,Giuliani,Britain,London,leadership,whether,support,British,Iraq,world,praise,terrorist,many,word,well,strike,right,thursday,resolve,likely,general,rally,around,demand,turn,boost,may,grow,fortune,newspaper,America,trade,center,mayor,rudolph,giuliani,grumpster,whose,career,run,empty,rudy,bask,global,courageous,people,wonder,turnaround,store,prime,minister,master,human,touch,criticize,president,lapdog,aftermath,show,balancing,summit,trip,illustrate,concern,victim,reassure,tone,forceful,comfort,unnerved,far,do,sociologist,note,comment,act,dignify,determine,assure,bombing,weaken,fight,terrorism,analyst,soon,tell,light,give,mannerism,embodiment,weak,executive,comparison,bit
,14,10,5,4,4,4,4,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"October 29, 2005 Saturday",67 of 83 DOCUMENTS,Austin American-Statesman (Texas),NEWSMAKERS,"Nyerges, AMERICAN-STATESMAN STAFF",NEWS; Pg. A2,,558 words,,,"October 29, 2005",ENGLISH,,,"Kenny Chesney: Country star's marriage to actress ended after a few months. Don King: Boxing promoter gracefully took ribbing from all sides at roast. George Takei: Actor says role, societal changes prompted his coming out.",,,Newspaper,Copyright 2005 The Austin American Statesman
,gay,issue,magazine,Takei,leave,open,friday,help,new,star,tell,singer,need,olympic,skater,kurt,browning,good,morning,host,rink,photo,role,current,sexuality,political,young,feeling,ashamed,marriage,racial,roast,today,call,joke,music,actress,Katerina_Witt,Diane_Sawyer,Bryant_Park,America,Los_Angeles,caption,remind,contract,right,rescue,america,york,in,provide,center,skate,oct,2005,abc,best,know,trek,homosexual,cover,lesbian,community,thursday,stage,psychologist,equus,inspire,publicly,discuss,describe,character,contain,turbulently,frustrated,man,play,wednesday,feature,story,social,climate,motivate,disclosure,world,change,teen,unthinkable,actor,partner,together,takei,live,internment,camp,age,grow,ethnicity,prejudice
,4,4,4,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"October 29, 2005 Saturday",68 of 83 DOCUMENTS,Austin American-Statesman (Texas),Sex criminal crackdown suggested; Panel members want tougher sentences; critics question effect on already full prisons,"Mike Ward, AMERICAN-STATESMAN STAFF",METRO/STATE; Pg. B1,,857 words,,,"October 29, 2005",ENGLISH,,,,,,Newspaper,Copyright 2005 The Austin American Statesman
,prison,offender,council,Texas,sex,member,committee,sentence,law,life,bracelet,state,system,Perry,justice,proposal,study,supervision,risk,way,although,criminal,convict,leave,issue,require,wear,without,recommend,public,crime,high_risk,victim,child,much,tougher,past,legislative,leader,become,already,spur,advisory,complete,final,report,draft,recommendation,submit,mandatory,sexual,full,release,might,aide,little,legal,january,violent,predator,current,high,new,make,retroactive,court,monitor,cost,go,take,Houston,whose,gubernatorial,commission,view,still,skeptical,discussion,debate,within,circle,governor,soon,call,aggravate,offense,second,time,fail,register,police,regard,cut,tamper,third,assault,conviction,perhaps,parole
,14,13,8,8,7,6,6,5,5,5,5,5,5,5,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"November 9, 2005 Wednesday",70 of 83 DOCUMENTS,Austin American-Statesman (Texas),"As mega-cities swell, Asia paves way for major urban troubles","Craig Simons, INTERNATIONAL STAFF",NEWS; Pg. A17,,1109 words,,,"November 9, 2005",ENGLISH,,,,,,Newspaper,Copyright 2005 The Austin American Statesman
,million,city,China,world,people,urban,growth,Asian,area,population,car,decade,land,accord,resident,double,india,around,oil,American,United_States,expert,century,move,development,bank,live,office,percent,billion,project,grow,official,building,mayor,consumer,largest,Asia,Chinese,Beijing,Calcutta,Hudnut,today,downtown,model,country,region,boom,many,20th,supply,natural,resource,drive,migration,job,force,new,rural,2020,add,happen,number,next,transportation,nearly,work,chinese,able,find,zone,statistic,figure,past,government,steel,spend,last,half,already,energy,source,strategy,make,become,highway,regulation,Yangtze_River,Shanghai,car_dependent,Indonesia,ago,center,dirty,port,suffer,neglect,visitor,awed
,23,20,12,11,10,10,7,6,5,5,5,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1
"November 20, 2005 Sunday",72 of 83 DOCUMENTS,Austin American-Statesman (Texas),A history of snags; Stylist knows firsthandof East 11th renaissance,"Renuka Rayasam, AMERICAN-STATESMAN STAFF",NEWS; Pg. A11,,607 words,,,"November 20, 2005",ENGLISH,,,,,,Newspaper,Copyright 2005 The Austin American Statesman
,street,11th,east,Williams,salon,business,new,customer,beauty,drive,time,open,authority,owner,look,restaurant,dinner,East_Austin,small_business,McGowan,hair,serve,area,go,state,husband,stay,pretty,people,move,many,take,effort,tenant,neighborhood,afford,old,building,finish,office,house,number,still,brand,location,ms,African_Americans,Style_Rite,Door,Creole,Northwest_Hills,weather,vane,gaug,climate,decade,1959,school,monday,morning,a.m.,200,mile,child,live,back,home,friday,afternoon,dress,clothes,walk,later,family,close,1972,work,reopen,1986,920,e.,st.,radically,transform,ugly,believe,prostitute,period,stagnation,much,renaissance,transformation,almost,nine,revive,thrive,district,along,12th
,12,10,8,6,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"December 2, 2005 Friday",74 of 83 DOCUMENTS,Austin American-Statesman (Texas),CENTRAL TEXAS DIGEST,Compiled from staff and wire reports,METRO/STATE; Pg. B3,,1265 words,,,"December 2, 2005",ENGLISH,,,,,,Newspaper,Copyright 2005 The Austin American Statesman
,charge,early,thursday,voting,seat,emergency,judge,member,wednesday,election,place,run,serve,man,Austin,Carrillo,winter,water,normal,time,area,runoff,visit,medical,three,county,compression,higginbotham,boat,dog,convict,volunteer,Misiaszek,Texas,Perkins,Shoal_Creek,fiancee,phone,division,deployment,last,rainfall,make,dry,accord,prediction,center,near,begin,fall,november,driest,airport,inch,way,determine,poll,end,dec.,guideline,save,leader,medicine,rescuer,immediate,issue,recommend,chest,every,breath,rather,shock,criminal,previously,teen,strike,kill,p.m.,attempt,drive,sailing,wife,knock,body,fece,university,throw,horse,band,annual,game,council,president,firefighter,plan,lead,contract,live,state
,7,6,5,5,5,5,5,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"January 28, 2005 Friday",76 of 83 DOCUMENTS,Austin American-Statesman (Texas),"Ready, set, pop!; Come on, we know you want to. And what better reason than Bubble Wrap Appreciation Day?","Patrick Beach, AMERICAN-STATESMAN STAFF",LIFESTYLE; Pg. E1,,1108 words,,,"February 13, 2005",ENGLISH,,,"BUBBLE YOUR BOTTOM: Give yourself the gift of comfort during a Longhorn game with a Bubble Wrap seat cushion. OH, MY ARM: Think you've broken something? Let the injured appendage float on air with a custom-made sling. KEYED IN TO COMFORT: Your wrists will thank you when you soften their load with a Bubble Wrap keyboard cushion. THIS ONE'S A SHOE IN: On rainy days, bubble your boots to keep Mother Nature away. BEER'S BUBBLE BUDDY: Give your cold can a comfortable koozie. A TEXTBOOK EXAMPLE: Protect books with fun and function. Class too boring? Start popping.",,,Newspaper,Copyright 2005 The Austin American Statesman
,Bubble_Wrap,use,bubble,wrap,make,package,cushion,tape,material,brand,air,pop,duct,Sealed_Air,barrier,cellular,stuff,corporate,inventor,keep,go,co_extruded,DUCK,think,trademark,thing,propaganda,polyethylene,good,time,much,satisfy,work,back,paper,around,protect,company,remember,box,annual,monday,great,single,register,lead,accord,layer,fill,line,write,public,texture,field,move,range,feature,design,world,nothing,book,product,really,might,game,turn,computer,present,add,little,wrist,kite,cold,wrapping,bag,sheet,shower,curtain,car,Bubble,Marc_Chavannes,Nyberg,fifth,national,appreciation,loom,fractious,populace,divide,nation,consume,many,gold,standard,puffy,answer,soaking,mean,duh
,18,10,9,9,9,8,7,7,6,6,6,6,6,5,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"February 3, 2005 Thursday",77 of 83 DOCUMENTS,Austin American-Statesman (Texas),FUNERALS AND MEMORIALS,,METRO/STATE; Pg. B4,,4017 words,,,"February 6, 2005",ENGLISH,,,,,,Newspaper,Copyright 2005 The Austin American Statesman
,Texas,Austin,2005,family,february,wife,mary,p.m.,son,memorial,survive,love,Houston,life,death,husband,friend,friday,precede,daughter,bear,funeral,service,live,home,hold,january,include,make,jr.,pass,brother,niece,nephew,graduate,sister,ruth,child,grandchild,state,retire,work,member,age,away,serve,leave,many,follow,grover,Bob,several,miss,loving,flower,thursday,a.m.,lieu,guestbook,online,wcfish.com,later,staff,attend,Rick,University,Midland,may,beloved,young,four,find,donation,parent,good,church,e.k,law,memory,peace,well,share,receive,10:00,tex,man,world,war,ii,always,enjoy,move,care,please,tuesday,time,jackson,great_grandchildren,Michael
,38,35,31,30,28,20,17,17,16,14,13,13,13,12,12,12,12,12,11,11,11,11,11,10,10,10,8,8,8,8,8,8,8,8,8,8,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"September 29, 2005 Thursday",82 of 83 DOCUMENTS,Austin American-Statesman (Texas),Letters,,EDITORIAL; Pg. A10,,1181 words,,,"September 29, 2005",ENGLISH,,,Thousands gathered in the heat and dust to watch Widespread Panic on Saturday at the Austin City Limits Music Festival at Zilker Park.,,,Newspaper,Copyright 2005 The Austin American Statesman
,tax,festival,Austin,fruit,cut,continue,evacuee,home,child,know,revenue,create,end,much,make,need,expect,austin,letter,anything,cancel,let,everyone,really,surplus,Austin_City_Limits_Music_Festival,hot,weather,buy,state,plan,weekend,better,we,can,lot,spend,extremely,likely,organizer,change,improve,comfort,event,prevail,october,corporate,coffee,read,sept,ticket,arrive,welcome,open,many,hurricane,history,evacuation,country,president,social,wait,responsibility,harvest,taxpayer,appreciate,hospitality,husband,people,friendly,stranger,stay,misguid,column,mom,claim,rather,right,describe,afford,depend,mean,income,bubble,wave,double,Houston,stay_at_home,city,limit,music,enjoy,second,row,disappointed,realize,control,pass,ever
,12,6,6,5,5,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1
"December 9, 2005 Friday",83 of 83 DOCUMENTS,Austin American-Statesman (Texas),CENTRAL TEXAS DIGEST,Compiled from staff and wire reports,METRO/STATE; Pg. B2,,1444 words,,,"December 11, 2005",ENGLISH,"December 10, 2005",* Republican Lisa David's name was reported incorrectly in a Central Texas Digest item on Page B2 Friday. She is running for Williamson County district clerk.,,,,Newspaper,Copyright 2005 The Austin American Statesman
,file,dog,run,thursday,candidate,district,election,county,judge,state,house,police,home,Brown,hydrilla,go,Court_at_Law,Austin,Friedman,time,office,official,precinct,carp,find,acre,remain,school,primary,independent,move,affidavit,robber,attack,mark,help,never,special,serious,Texas,early,voting,tuesday,runoff,place,visit,seat,democrat,drawdown,grass,september,november,cover,believe,control,amount,private,hold,open,gift,student,blvd,call,painting,rob,bank,former,federal,last,nov,wear,walk,gun,leave,photo,hurricane,4000,block,bit,friend,right,neighbor,sister,sale,repair,wind,damage,may,pier,foundation,40th,joke,friedman,governor,candidacy,other,promise,lobbyist,application
,12,9,8,7,6,6,5,5,5,5,5,5,5,5,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
