PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
"September 5, 2008 Friday",1 of 126 DOCUMENTS,Austin American-Statesman (Texas),Is global climate change linked to shift in illnesses?,Asher Price American-Statesman Staff,MAIN; Pg. A01,,883 words,,,"September 9, 2008",ENGLISH,"September 9, 2008",* A Page One article Friday about possible connections between global warming and increased incidence of illnesses misstated the period during which scientists say the Earth has warmed at least 1.1 degrees Fahrenheit. That occurred over the past century.,,,,Newspaper,Copyright 2008 The Austin American-Statesman                               All Rights Reserved
,disease,change,climate,outbreak,mosquitoe,warming,accord,West_Nile,typhus,virus,pattern,fever,carry,summer,state,much,control,scientist,may,increase,dengue,infection,flea,many,area,travis,county,resident,illness,suspect,bear,epidemiologist,sanitation,far,incidence,animal,report,federal,potentially,fatal,early,people,number,breeding,ut,medical,make,official,weather,ago,think,tick,spread,Texas,United_States,Travis_County,State_Health_Services,disease_bearing,Tesh,leave,other,recent,whooping,cough,plague,event,explanation,hot,signal,broader,drive,differ,blame,laid,overarch,phenomenon,global,expert,point,improvement,technological,advance,go,epidemics,least,decade,steering,clear,lay,specifics,predict,ultimately,shift,alter,distribution,intensity,plant,pest,june
,8,8,8,7,6,6,5,5,5,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"July 18, 2008 Friday",99 of 126 DOCUMENTS,Austin American-Statesman (Texas),"Do us a favor, Favre, and keep your dignity",CEDRIC GOLDEN AMERICAN-STATESMAN STAFF,SPORTS; Pg. C01,,630 words,,,"August 14, 2008",ENGLISH,,,,,,Newspaper,Copyright 2008 The Austin American-Statesman                               All Rights Reserved
,Favre,start,fan,go,time,turn,tell,favre,play,apply,reinstatement,season,make,way,back,news,less,cheer,conflict,former,yet,arm,sign,team,figure,offensive,quarterback,report,well,packer,defensive,end,retirement,last,easy,Packers,right,hear,guy,resemble,favorite,whose,every,deed,adoring,public,heel,quandary,still,blindly,plummet,recognizable,cavern,always,hate,other,page,age,hero,thrust,full,support,behind,arrogant,approachable,strong,unproven,green,bay,management,let,do,brass,must,something,preferably,trade,avoid,disaster,amid,announcement,interview,lose,dignity,somewhat,sympathetic,change,heart,break,earlier,take,quick,recap,case,country,evident,move,minicamp,role
,13,4,4,4,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"July 30, 2008 Wednesday",101 of 126 DOCUMENTS,Austin American-Statesman (Texas),CENTRAL TEXAS DIGEST,FROM STAFF REPORTS,METRO; Pg. B02,,1415 words,,,"July 30, 2008",ENGLISH,,,,,,Newspaper,Copyright 2008 The Austin American-Statesman                               All Rights Reserved
,county,charge,study,tuesday,driver,child,official,sick,walk,time,assault,texas,insurance,water,restaurant,Texas,take,painting,police,sentence,accord,meeting,pool,proposal,employee,stop,Purcell,DaSilva,work,week,june,july,woman,call,three,van,judge,girl,felony,hour,leave,expect,uninsured,number,auto,crash,drive,concern,plan,participant,resident,system,plant,home,Austin,Smithville,Fink,Moncebiaz,sunday,bag,p.m.,put,occasion,hit,identify,die,scene,man,prison,marijuana,jail,accuse,arrest,find,monday,sexual,possession,open,house,able,status,project,tabl,policy,allow,donate,use,commissioner,issue,care,organization,program,coverage,focus,online,think,lack,pastor,bastrop
,10,8,8,7,7,7,7,7,6,6,6,6,6,6,5,5,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"August 16, 2008 Saturday",104 of 126 DOCUMENTS,Austin American-Statesman (Texas),CENTRAL TEXAS DIGEST,Compiled from staff reports,BUSINESS; Pg. B08,,389 words,,,"August 17, 2008",ENGLISH,,,,,,Newspaper,Copyright 2008 The Austin American-Statesman                               All Rights Reserved
,cut,job,position,employee,remain,Austin,eliminate,company,include,sept,Emmis,salary,percent,current,spokeswoman,end,august,austin,office,headquarters,regional,store,gov,serve,term,begin,adviser,advertising,buy,bar,Texas_Monthly,Dallas,Perry,Barfly_Interactive_Networks,Barfly,owner,magazine,companywide,cutback,addition,staff,4.5,throughout,institute,reduction,generally,equal,emmis,mix,notify,tuesday,open,unfilled,announce,earlier,step,publisher,among,levy,plan,104,week,another,southwest,libba,cite,economic,climate,fact,slow,growth,new,opening,reduce,corporate,expense,operation,government,join,appoint,attorney,appointment,secretary,similar,former,run,2011,special,assistant,energy,telecommunication,cable,budget,policy,issue,previously,legal,chairman,monday
,4,4,4,4,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"September 13, 2008 Saturday",109 of 126 DOCUMENTS,Austin American-Statesman (Texas),"Jewish lobbyist will be on hand for dialogue on politics, religion",Eileen E. Flynn AMERICAN-STATESMAN STAFF,METRO; Pg. B05,,499 words,,,"September 13, 2008",ENGLISH,,,,,,Newspaper,Copyright 2008 The Austin American-Statesman                               All Rights Reserved
,Saperstein,jewish,political,Religious_Action_Center,judaism,important,center,jew,Freedman,religious,speak,tonight,national,take,issue,environment,congregation,well,concern,economy,health,care,discuss,people,faith,talk,help,separation,church,state,social,prophetic,clearly,politics,religion,position,point,world,Rabbi_David_Saperstein,Israel,Dell_Jewish_Community_Center,United_States,veteran,lobbyist,value,inform,voter,upcoming,presidential,election,director,lobby,behalf,largest,denomination,range,lead,campus,hope,draw,interfaith,audience,noting,advanced,believer,addition,security,member,seem,passionate,create,universal,access,friday,interact,federal,government,history,establish,1961,draft,voting,rights,act,1960,fight,preserve,recently,stand,global,warming,remind,active,involvement,shape,change,disproportionately,involved,almost
,6,4,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"November 11, 2008 Tuesday",114 of 126 DOCUMENTS,Austin American-Statesman (Texas),Watson proposes panel for increasing flagships,Ralph K.M. Haurwitz AMERICAN-STATESMAN staff,METRO; Pg. B01,,498 words,,,"November 11, 2008",ENGLISH,,,,,,Newspaper,Copyright 2008 The Austin American-Statesman                               All Rights Reserved
,Texas,university,school,higher,education,proposal,Watson,panel,state,leader,federal,top_tier,institution,private,contrast,emphasize,research,economic,business,legislative,measure,power,money,past,million,need,flagship,member,commission,college,establish,help,navigate,politically,dicey,question,elevate,status,legislation,introduce,monday,sen,kirk,watson,three,public,rice,nine,big,league,seven,four,well,teach,powerful,engines,intellectual,advancement,priority,list,start,speech,real,estate,environmental,group,session,beginning,january,senator,push,intend,boost,development,make,texas,renewable,energy,source,wind,solar,reduce,emission,greenhouse,gas,link,global,warming,call,fellow,lawmaker,open,might,increase,spend,short,term,noting,sometimes
,6,5,5,4,4,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"December 1, 2008 Monday",116 of 126 DOCUMENTS,Austin American-Statesman (Texas),Obamas can personalize parts of the White House,PETER MONGILLO AMERICAN-STATESMAN STAFF,LIFESTYLE; Pg. D01,,498 words,,,"December 1, 2008",ENGLISH,,,,,,Newspaper,Copyright 2008 The Austin American-Statesman                               All Rights Reserved
,White_House,lane,private,residence,decorate,box,pass,drive,driver,law,much,lady,preserve,storage,paper,area,run,highway,time,always,leave,speed,traffic,cell,phone,sign,question,pmongillo,Ransom_Center,Texas,hearing,obama,ready,move,wonder,customize,stay,change,decoration,etc.,new,family,however,accord,spokeswoman,paint,room,parent,permission,course,curator,available,help,include,use,piece,collection,fine,art,addition,traditionally,honorary,chairwoman,preservation,oversee,museum,work,social,secretary,newspaper,wednesday,nov,announce,election,associate,director,recommend,good,best,way,keepsake,newsprint,mean,last,long,light,heat,humidity,lead,deterioration,store,pick,tissue,9629,research,blvd,check,lightimpressionsdirect.com,archival
,6,4,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"January 1, 2008 Tuesday",117 of 126 DOCUMENTS,Austin American-Statesman (Texas),"Clever cocktails, well-chosen guests add sparkle to holiday fests",AMERICAN-STATESMAN STAFF,LIFESTYLE; Pg. D01,,1189 words,,,"January 2, 2008",ENGLISH,,,,,,Newspaper,Copyright 2008 The Austin American-Statesman                               All Rights Reserved
,Powell,party,wife,evening,dinner,start,night,cocktail,serve,holiday,guest,rise,food,movie,well,Austin,put,monday,plan,early,yet,back,smart,drink,art,prickly,pear,host,set,table,house,make,real,estate,man,playwright,go,enough,conversation,home,encourage,relation,last,week,take,tradition,pipkin,next,include,several,best,austin,role,film,win,act,debate,coach,play,succeed,describe,loft,hint,Zach_Scott,Texas,new,eve,amateur,still,revel,probably,peak,social,connector,rock,suite,dozen,stuck,schedule,special,crawl\,2122,fashion,writer,print,column,bump,deadline,report,catch,midnight,perambulation,online,austin360.com,outandabout,jacket,dress,dense,intense
,7,5,5,5,4,4,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"January 19, 2008 Saturday",118 of 126 DOCUMENTS,Austin American-Statesman (Texas),LETTERS,,EDITORIAL; Pg. A16,,910 words,,,"January 19, 2008",ENGLISH,,,,,,Newspaper,Copyright 2008 The Austin American-Statesman                               All Rights Reserved
,highway,people,jan,job,state,tax,capitalism,expand,provide,article,degree,science,institute,retire,increase,boomer,leadership,system,dollar,work,road,emission,Social_Security,service,lower,school,plan,education,within,outside,enough,austin,form,know,president,development,experience,leave,university,baby,less,top,recognize,future,leader,faculty,ut,focus,good,management,critical,man,fortunate,earn,everything,earning,kinder,unfettered,hurt,nation,economic,soul,government,seem,take,toll,greenhouse,gas,concrete,carbon,dioxide,Austin_Energy,Texas,Austin,Doggett,pec,board,show,major,flaw,governance,despite,great,cost,maybe,time,look,business,pattern,creationist,wait,word,commissioner,reject,accreditation,master,web,site,goal
,8,5,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"February 29, 2008 Friday",121 of 126 DOCUMENTS,Austin American-Statesman (Texas),FUNERALS AND MEMORIALS,,METRO & STATE; Pg. B04,,5695 words,,,"February 29, 2008",ENGLISH,,,,,,Newspaper,Copyright 2008 The Austin American-Statesman                               All Rights Reserved
,Austin,2008,family,husband,many,wife,service,friend,love,child,february,life,hold,march,member,p.m.,Texas,saturday,pass,son,bear,grandchild,death,niece,a.m.,home,Dallas,precede,memorial,survive,sister,Lowell,brother,loving,away,nephew,funeral,flower,make,jr.,mary,church,daughter,well,special,work,rise,University,TX,include,follow,lieu,tx,enjoy,mother,always,parent,Butch,visitation,may,miss,time,become,community,give,Andy,Leo,age,several,2:00,11:00,people,go,graduate,receive,degree,help,know,friday,move,great_grandchildren,beloved,sr.,leave,bridge,live,thank,dr.,serve,online,greatly,butch,sunday,heart,area,honor,celebration,attend,9:00
,39,29,28,26,24,23,22,21,20,18,18,18,17,17,16,16,16,15,14,14,14,13,13,13,13,13,13,12,12,12,12,12,11,11,10,10,10,10,10,10,10,9,9,9,9,9,9,9,9,8,8,8,8,8,8,8,8,8,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"July 27, 2008 Sunday",124 of 126 DOCUMENTS,Austin American-Statesman (Texas),Two DFW airport hotels worth missing a flight,Helen Anders AMERICAN-STATESMAN STAFF,TRAVEL; Pg. K01,,877 words,,,"July 27, 2008",ENGLISH,,,,,,Newspaper,Copyright 2008 The Austin American-Statesman                               All Rights Reserved
,hotel,airport,inside,room,Grand_Hyatt,good,expensive,restaurant,Grand,Terminal,international,traveler,bar,exit,go,flight,pool,fitness,little,next,overlook,stay,contemporary,plane,stuck,overnight,worth,nice,lot,dfw,recently,renovate,center,though,take,main,runways,home,check,regency,guest,fill,wound,heat,outdoor,gold,accent,tv,free,coffee,steak,house,toll,d.,right,leave,business,spa,pass,let,972,rate,start,Dallas_Fort,Hyatt_Regency,Wi_Fi,Regency,flat_screen,Grapevine,atrocious,weather,overbooked,cancel,chance,eventually,pray,really,spend,night,assume,stake,everybody,else,excruciatingly,ordinary,upscale,amenity,grander,point,book,need,halfway,drive,property,terminal,proper,stand,manage,separate
,15,12,6,6,6,5,5,5,5,5,4,4,4,4,4,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"September 2, 2008 Tuesday",125 of 126 DOCUMENTS,Austin American-Statesman (Texas),Imam sees ways for devout Muslims to embrace life in U.S.,Eileen E. Flynn American-Statesman staff,MAIN; Pg. A01,,1304 words,,,"October 8, 2008",ENGLISH,,,,,,Newspaper,Copyright 2008 The Austin American-Statesman                               All Rights Reserved
,Mossaad,mosque,child,muslim,prayer,family,friend,lead,community,parent,imam,often,Muslim,Islam,work,connect,school,teach,youth,country,degree,time,know,Muslims,friday,engineering,feel,leader,faith,world,congregation,guy,much,graduate,mother,love,live,kid,local,event,go,Austin,Islamic,Ramadan,man,three,move,hope,career,many,longhorn,learn,begin,observance,holy,act,help,new,cage,tell,cool,believe,boy,try,think,student,give,though,importance,education,earn,hold,pursue,marry,scholar,use,together,talk,return,accept,follow,worried,find,become,make,people,overseas,ability,ut,young,challenge,strange,job,take,ask,card,ramadan,every,moon
,16,9,6,6,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
