PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
"February 13, 2010 Saturday",1 of 65 DOCUMENTS,The Tampa Tribune (Florida),Rubio questions climate change,"WILLIAM MARCH, wmarch@tampatrib.com",LOCAL NEWS; Pg. 7,,562 words,,,"March 2, 2010",ENGLISH,,,,,,Newspaper,Copyright 2010 Times Publishing Company
,Rubio,plan,change,issue,climate,evidence,global,Crist,cap_and_trade,scientific,warming,state,legislation,House,campaign,crist,position,justify,whether,always,scientist,criticize,gov,stance,march,tampatrib.com,friday,accept,deny,emission,interview,static,make,back,2008,attempt,energy,rubio,man_made,reject,finding,wmarch,candidate,hint,charlie,switch,general,specifically,limit,carbon,nomination,tribune,subject,call,believer,think,ask,undergo,respond,never,question,cause,activity,economically,destructive,government,regulation,previously,outright,publish,statement,december,tell,qualified,decision,significant,dispute,use,paraphrase,direct,quote,prepare,challenge,camp,accuse,lead,pass,mandate,manager,flavor,appeal,right,wing,2007,speech,opportunity,pursue,bold,policy
,winter,october,time,know,hot,summer,screen,new,end,love,bug,resident,much,gather,wonder,cooler,weather,think,live,last,well,window,go,need,ragwee,pollen,never,tradition,heat,drag,predict,lose,finger,pop,magical,area,whos,porch,patio,sundeck,balcony,boat,dock,verandas,lanais,lift,collective,voice,heaven,ritual,aloud,anyone,within,earshot,name,holy,arrive,better,particularly,variable,climate,odd,yet,hope,spring,eternal,sweater,unpacked,cider,butternut,squash,craving,peak,catch,stare,switch,luckily,remember,actual,effort,exert,harm,do,underscore,fact,longtime,antsy,change,september,arrival,region,actually,season,worse,usually,difficult,period,adjustment,characterize
,4,4,4,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"November 3, 2010 Wednesday",54 of 65 DOCUMENTS,The Tampa Tribune (Florida),Rubio wins Senate race,"WILLIAM MARCH, wmarch@tampatrib.com",METRO; Pg. 1,,1184 words,,,"December 1, 2010",ENGLISH,,,,,,Newspaper,Copyright 2010 Times Publishing Company
,party,Crist,Rubio,political,crist,photo,candidate,race,Florida,republican,meek,consider,conservative,Senate,lose,night,state,charlie,go,nation,direction,former,put,may,time,governor,national,tampatrib.com,senate,tuesday,history,know,wrong,stand,speak,lead,future,include,democrat,run,campaign,politics,move,percent,2009,Marco_Rubio,wmarch,seat,strong,win,popular,politician,gov,call,election,long,ago,place,without,tell,crowd,supporter,stump,speech,give,right,look,take,gather,speculation,presidential,several,career,four,office,kendrick,drop,scientist,appoint,job,statewide,precisely,opposite,follow,step,endorsement,anger,back,hug,primary,poll,legislative,turn,note,enough,credit,the,associate,press
,11,10,10,9,8,7,6,6,6,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"December 3, 2010 Friday",55 of 65 DOCUMENTS,The Tampa Tribune (Florida),Pasco in Brief,,PASCO; Pg. 3,,854 words,,,"December 22, 2010",ENGLISH,,,,,,Newspaper,Copyright 2010 Times Publishing Company
,p.m.,saturday,call,a.m.,library,tree,information,club,road,ornament,noon,hold,meet,727,ticket,location,available,dec.,skate,include,craft,today,34043,state,813,business,christmas,holiday,party,New_Port_Richey,Wiregrass,New_River_Branch_Library,open,annual,eight,donation,order,choice,visit,ave.,center,st,must,receive,ice,shop,monday,fresh,market,sell,pin,social,area,senior,attend,book,teen,present,reservation,spectacular,tuesday,fair,east,send,news,ol,em,tampatrib.com,Life,Clinton,Dade_City,Tampa_Tribune,celebrating,16th,community,event,remember,pay,tribute,love,ready,support,agency,patient,family,care,program,people,place,go,online,different,base,contribution,amount,life,6801,12139,majestic
,12,12,8,8,7,6,6,5,5,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"January 3, 2010 Sunday",57 of 65 DOCUMENTS,The Tampa Tribune (Florida),Professor seeks polar cures,"LINDSAY PETERSON, lpeterson@tampatrib.com",LOCAL NEWS; Pg. 14,,449 words,,,"January 28, 2010",ENGLISH,,,,,,Newspaper,Copyright 2010 Times Publishing Company
,Antarctic,potential,water,find,compound,Baker,fight,several,study,cure,produce,organisms,USF,organism,malaria,tampatrib.com,university,disease,creature,professor,gather,baker,sponge,discovery,fill,work,search,degree,Bill_Baker,lpeterson,melting,glacier,researcher,plague,people,tropic,minute,freezing,bring,discover,department,finding,recently,publish,journal,great,commercial,application,bright,red,improve,exist,tropical,drug,strengthen,belief,variety,ailment,really,cool,alga,potent,antiviral,agent,protein,other,try,unlock,secret,spend,ocean,might,new,medication,ago,antarctic,chemical,skin,cancer,link,overexposure,sunlight,untapped,source,medical,treatment,scientist,natural,prefer,warm,weather,region,easy,dive,centigrade,fahrenheit,help,foundation,live
,6,5,5,4,4,4,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"May 23, 2010 Sunday",58 of 65 DOCUMENTS,The Tampa Tribune (Florida),The sun will never set on American idealism,"STEVE OTTO, sotto@tampatrib.com",LOCAL NEWS; Pg. 7,,583 words,,,"June 14, 2010",ENGLISH,,,,,,Newspaper,Copyright 2010 Times Publishing Company
,war,funeral,royal,century,keep,world,take,procession,sun,country,place,100,history,read,book,three,different,tampatrib.com,good,life,nation,big,week,top,write,set,king,date,nine,lead,blaze,splendor,represent,clock,sunset,without,look,ago,later,power,might,experiment,still,Tuchman,European,American,America,sotto,we,lifetime,pretty,empire,deal,gun,august,earlier,mostly,stack,use,door,den,close,cat,sit,laptop,warm,keyboard,slow,happy,pulitzer,prelude,worth,chapter,alone,writer,drag,next,bring,instance,reader,street,pageantry,riding,scarlet,bly,green,purple,helmet,gold,braid,crimson,sash,jewel,order,flash,five,heir,apparent,forty
,5,5,5,4,4,4,4,4,4,4,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"July 23, 2010 Friday",60 of 65 DOCUMENTS,The Tampa Tribune (Florida),OBITUARIES,,LOCAL NEWS; Pg. 22,,3106 words,,,"August 6, 2010",ENGLISH,,,,,,Newspaper,Copyright 2010 Times Publishing Company
,july,2010,funeral,Tampa,friend,service,p.m.,family,daughter,survive,pass,wife,away,home,take,place,die,fla,loving,son,include,brother,survivor,saturday,may,make,friday,member,husband,life,receive,ol,follow,williams,grand_children,Plant_City,memorial,precede,death,grandchild,sister,813,love,a.m.,mother,flower,interment,ray,352,graveside,lieu,jr.,seven,bear,four,donation,visitation,relative,Millie,Tony,sunday,peacefully,miss,remember,care,dr.,niece,nephew,cousin,parent,w.,n.,blvd,devote,everyone,many,fla.,enjoy,go,great_grandchildren,e.,visit,guestbook,well,several,ave.,beginning,ii,online,graduate,ave,resident,child,fh,six,three,retire,much,celebration
,58,45,28,27,25,22,21,19,19,19,18,18,17,17,16,16,14,13,12,12,11,11,10,10,10,10,9,9,8,8,8,8,8,8,8,8,7,7,7,7,7,7,7,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"July 30, 2010 Friday",61 of 65 DOCUMENTS,The Tampa Tribune (Florida),'Rubicon' is a slow-burning spy thriller,"WALT BELCHER, wbelcher@tampatrib.com",LOCAL NEWS; Pg. 2,,585 words,,,"September 1, 2010",ENGLISH,,,,,,Newspaper,Copyright 2010 Times Publishing Company
,episode,p.m.,rubicon,new,spy,sunday,puzzle,train,former,tampatrib.com,thriller,look,may,drama,conspiracy,begin,night,man,air,agency,national,game,wife,world,wreck,suspect,play,film,second,season,state,football,glade,murder,debate,candidate,rep.,Travers,Pahokee,belcher,wbelcher,rely,suspense,paranoia,symbolism,dark,forebod,tone,tell,story,forget,flashy,gunplay,explosion,simple,action,easily,warm,smart,complex,possible,global,run,home,mad,break,bad,show,several,sneak,preview,follow,star,intelligence,analyst,work,sift,information,gather,other,potential,threat,security,unglamorous,side,suit,traver,never,emotionally,recover,loss,daughter,sept,2001,terrorist,attack,trade,center,title
,6,6,5,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"August 27, 2010 Friday",63 of 65 DOCUMENTS,The Tampa Tribune (Florida),OBITUARIES,,LOCAL NEWS; Pg. 22,,3151 words,,,"September 17, 2010",ENGLISH,,,,,,Newspaper,Copyright 2010 Times Publishing Company
,august,2010,Tampa,service,family,survive,fla,take,place,wife,pass,memorial,away,p.m.,friend,loving,813,funeral,die,saturday,son,may,husband,grandchild,ol,daughter,child,brother,sister,life,love,donation,make,go,bear,receive,j.c.,a.m.,lieu,flower,mother,home,fla.,word,comfort,express,jr.,seven,nephew,many,ave.,moore,follow,CURRY,Dolores,survivor,ray,williams,sr.,know,precede,death,parent,well,graduate,miss,four,wednesday,niece,friday,church,serve,e.,ROEL,grand_children,Brandon,McCulloch,fh,grandson,live,memory,paternal,grandmother,devote,a.,hour,prior,time,wonderful,aunt,monday,please,information,celebration,sunday,other,guestbook,predeceased,enjoy
,50,44,28,26,26,24,20,18,18,18,17,17,16,16,15,13,12,12,11,11,10,10,10,10,10,10,9,9,8,8,7,7,7,7,7,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"December 13, 2010 Monday",64 of 65 DOCUMENTS,The Tampa Tribune (Florida),"Hometown heroes? Yeah, right","Steve Otto, sotto@tampatrib.com",METRO; Pg. 3,,479 words,,,"December 30, 2010",ENGLISH,,,,,,Newspaper,Copyright 2010 Times Publishing Company
,go,town,county,tampatrib.com,make,around,team,know,give,job,sotto,build,money,enough,good,buy,right,something,master,community,international,monsignor,event,NFL,Merrill,yeah,real,watch,fire,sale,across,bay,ray,ship,fat,wallet,baseball,feel,warm,fuzzy,inside,read,star,cost,half,dozen,school,least,toss,lord,game,leave,captain,sign,another,million,enable,add,turret,moat,manse,sure,hope,taxpayer,figure,way,retractable,roof,dome,somewhere,suitably,house,hometown,heroes,seem,recall,hearing,complaint,visit,fan,outnumber,local,embarrass,lack,support,apparently,better,offer,knock,almost,look,remember,consider,lockout,next,season,league,can,afford
,4,4,4,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"December 28, 2010 Tuesday",65 of 65 DOCUMENTS,The Tampa Tribune (Florida),Toxic homes get little help,,METRO; Pg. 8,,630 words,,,"February 4, 2011",ENGLISH,,,,,,Newspaper,Copyright 2010 Times Publishing Company
,home,U.S.,drywall,product,foreign,homeowner,cause,bad,manufacturer,affect,importer,sell,air,government,health,problem,consumer,Chinese,family,reasonable,law,offer,might,accountability,bill,defective,material,fume,wall,state,make,report,standard,new,leave,many,wallboard,install,official,require,cost,business,"100,000",property,toxic,capable,Florida,Herald_Tribune,disrupt,life,hundred,question,protection,force,nowhere,infuriate,learn,company,dangerously,faulty,beyond,reach,court,meanwhile,judge,rule,insurance,policy,cover,damage,building,insurer,liable,need,inspect,carefully,insure,stuff,waft,primarily,house,warm,humid,people,sick,ruin,conditioner,corrod,electrical,wiring,comprehensive,clear,testing,remediation,give,power,protect,better,send
,9,8,7,5,4,4,4,4,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
