PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
"March 30, 2008 Sunday",2 of 140 DOCUMENTS,The Tampa Tribune (Florida),Lawmakers Can't Hide From Climate Change,PAM MCVETY And ELLIE WHITNEY,COMMENTARY; Pg. 3,,720 words,,,"April 9, 2008",ENGLISH,,,,,,Newspaper,Copyright 2008 Times Publishing Company
,climate,change,reduction,emission,science,mandate,greenhouse_gas,legislator,governor,scientist,last,real,issue,let,mcvety,many,lead,threaten,stake,threat,serious,scientific,report,ice,sea,may,quickly,respond,billion,site,facility,goal,percent,2050,face,reason,understand,hope,know,really,think,world,help,write,Arctic,whitney,refuse,follow,curb,keep,voluntary,huge,gamble,family,community,enormous,matter,politics,group,"2,000",meteorologist,oceanographer,physicist,highly,qualified,review,literature,decade,november,plain,declare,largely,major,organization,whose,member,expertise,bear,directly,statement,effect,recent,papers,sheet,melting,faster,predict,summer,go,within,mit,state,grow,next,policy,technological,advance,combat,cost
,housing,city,affordable,council,incentive,create,advisory,state,bonus,allow,developer,home,appoint,member,board,way,encourage,law,pass,last,require,county,initiative,partnership,fund,job,recommend,include,waiv,impact,fee,expediting,permit,award,density,among,measure,build,unit,normally,consider,councilman,tom,scott,strong,advocate,look,forward,group,work,recommendation,caution,however,offer,many,might,tough,give,economic,climate,tight,budget,bigger,problem,keep,people,foreclosure,sweeping,area,mayor,six,five,meet,monthly,interested,applicant,call,department,813,©,2008,may,republish,without,permission,library,tampatrib.com,TAMPA,low_cost,Tampa,Density,Scott,Ellen_Gedalius_Copyright,Tampa_Tribune,E_mail
,7,5,5,4,3,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"June 1, 2008 Sunday",110 of 140 DOCUMENTS,The Tampa Tribune (Florida),COMPASS,Carol Parker and Karen Haymon Long,GETAWAY; Pg. 2,,394 words,,,"June 14, 2008",ENGLISH,,,,,,Newspaper,Copyright 2008 Times Publishing Company
,turtle,july,*,start,go,include,sizzling,transatlantic,dance,destination,trip,best,aug,look,sea,family,water,food,avoid,affect,traveler,solo,exotic,cruise,mary,offer,plethora,die,chance,meet,buddy,worth,exploring,san,diego,fourth,weekend,759,private,instructor,"1,769",beginner,"1,879","2,219",glacier,national,park,"2,240",detail,book,www.singlestravelintl.com,lightweight,shawl,easy,pack,perfect,stay,warm,airplane,chilly,restaurant,hotel,lobby,make,soft,acrylic,size,dress,elegant,jeans,stylishly,hip,washable,easily,fit,sell,available,online,www.theshoul.com,plan,summer,tip,keep,animal,safe,provide,educational,experience,lifetime,clear,beach,litter,confuse,trash,give,nest,peace,quiet,little
,7,5,5,5,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"July 1, 2008 Tuesday",118 of 140 DOCUMENTS,The Tampa Tribune (Florida),Riders Race To Escape Sitting In Safety Class,"KEITH MORELLI, The Tampa Tribune",METRO; Pg. 1,,788 words,,,"July 10, 2008",ENGLISH,,,,,,Newspaper,Copyright 2008 Times Publishing Company
,test,class,photo,state,law,take,motorcycle,license,new,rider,office,monday,pass,people,endorsement,course,week,today,motorcyclist,mean,number,riding,find,offer,teach,credit,tribune,Florida,Tampa,Tribune,JAY,CONNER_Photo,learn,morelli,start,motor,vehicle,friday,ana,nieve,call,dump,skill,behind,wait,gsx,600,watch,200,allow,retake,go,avoid,may,hop,accident,2006,driver,add,list,school,six,recent,statistic,area,demand,save,life,tampatrib.com,quile,Tampa_Tribune,Highway_Safety,Motor_Vehicles,Suzuki,Nieves,kick,require,need,past,pour,hope,beat,pretty,dr.,martin,luther,king,jr.,boulevard,road,usually,risen,recently,manage,saturday,a.m.,p.m.,expect,candidate
,10,9,9,7,7,7,7,6,6,6,5,5,5,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"August 1, 2008 Friday",122 of 140 DOCUMENTS,The Tampa Tribune (Florida),Carrying A Torch For Environment,"GEOFF FOX, The Tampa Tribune",PASCO; Pg. 1,,757 words,,,"August 21, 2008",ENGLISH,,,,,,Newspaper,Copyright 2008 Times Publishing Company
,work,photo,sculpture,studio,environment,people,Bradley_Arthur,Arthur,find,hour,lake,make,piece,have,Land,New_York,beauty,object,fox,enter,spend,sun,forge,metal,power,tool,sculptor,rust,streak,environmental,always,concerned,significant,material,reuse,transform,form,waste,art,office,star,may,relationship,interview,across,library,artist,front,tampa,master,human,world,tampatrib.com,credit,tribune,arthur,Tampa_Tribune,Family_Ladder,France,Italy,FRED,BELLET_Photo,coaxe,express,concern,endangered,nature,sweaty,enough,wet,contest,happen,know,might,junk,remove,large,abstract,outside,wield,angle,grinder,eliminate,otherwise,polish,portion,tower,gleam,heat,represent,tear,shed,issue,climate,change,evidence,talk,use,satisfy
,8,6,5,4,4,4,4,4,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"August 20, 2008 Wednesday",124 of 140 DOCUMENTS,The Tampa Tribune (Florida),Preparedness A Dish Best Served Always,"TOM JACKSON, The Tampa Tribune",PASCO; Pg. 1,,578 words,,,"August 23, 2008",ENGLISH,,,,,,Newspaper,Copyright 2008 Times Publishing Company
,storm,ever,go,tuesday,school,back,Pasco,Fay,jackson,project,put,course,mean,another,idea,include,knuckleball,never,science,track,we,model,meteorologist,within,tree,have,heartbreak,may,sure,whole,lot,nothing,loom,emergency,worry,primary,election,weather,event,official,private,preparedness,test,wound,stray,batten,shor,energy,whose,preparation,amount,toast,bottle,belay,public,service,obligation,require,disclaimer,tedious,haul,lawn,ornament,secure,window,stockpiling,family,larder,wisdom,remain,side,choose,safety,expertise,scientific,instrument,software,modern,tracker,general,head,tropical,hurricane,meteorological,version,pitcher,mound,catcher,wear,oversize,mitt,similarly,big,radar,proper,equipment,bad,still,imprecise
,7,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"September 14, 2008 Sunday",127 of 140 DOCUMENTS,The Tampa Tribune (Florida),Hoping For A Revival,"BAIRD HELGESON and MICHELLE BEARDEN, The Tampa Tribune",NATION/WORLD; Pg. 1,,2983 words,,,"February 12, 2009",ENGLISH,,,,,,Newspaper,Copyright 2008 Times Publishing Company
,Paula,church,Randy,life,ministry,story,Tampa,Whites,people,know,move,tell,congregation,couple,time,white,grow,friend,preach,leave,paula,help,letter,give,marriage,husband,take,tribune,school,member,preacher,photo,past,start,may,television,book,decline,question,drop,attend,magazine,Paula_White,Without_Walls,without,build,national,divorce,ago,show,back,rebuild,whether,think,turn,number,second,staff,comment,woman,write,marry,another,always,child,become,sign,make,never,Knight,Walls,Seghers,wall,return,community,2007,foundation,spiritual,focus,join,big,remain,right,need,reach,leader,however,announce,inquiry,finances,other,senator,pastor,area,three,web,high,october,july
,36,29,28,15,14,12,12,12,9,9,8,8,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"September 16, 2008 Tuesday",128 of 140 DOCUMENTS,The Tampa Tribune (Florida),State Investigates Rise In Gas Prices,"MICHAEL SASSO, The Tampa Tribune",NATION/WORLD; Pg. 1,,832 words,,,"September 17, 2008",ENGLISH,,,,,,Newspaper,Copyright 2008 Times Publishing Company
,price,gas,Florida,oil,company,complaint,station,gouging,gallon,monday,state,retailer,average,attorney,general,office,photo,Hurricane_Ike,gasoline,recent,question,rise,million,terminal,across,increase,area,driver,sell,hit,infrastructure,already,Smith,shortage,turn,whether,charge,owner,big,much,wake,accord,storage,thousand,subpoena,record,agriculture,commissioner,receive,cent,sunday,find,regular,unleaded,hurricane,new,excuse,raising,truck,badly,gulf,damage,president,cause,last,week,spot,market,tampatrib.com,credit,Tampa_Tribune,AAA,Greg_Evans,sasso,regulator,investigate,attention,wonder,inflate,mind,real,177,figure,fairly,spokeswoman,commission,additional,160,expect,within,nine,issue,financial,major,primarily,operate,opinion,occur,retail
,22,18,11,10,8,7,7,5,5,5,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"September 22, 2008 Monday",129 of 140 DOCUMENTS,The Tampa Tribune (Florida),"Fall Has Arrived, Have A Hot Day","NEIL JOHNSON, The Tampa Tribune",METRO; Pg. 1,,588 words,,,"September 24, 2008",ENGLISH,,,,,,Newspaper,Copyright 2008 Times Publishing Company
,season,Florida,lightning,fall,photo,may,fire,wildfire,september,degree,peak,week,summer,weather,fact,sun,daylight,miss,afternoon,start,acre,temperature,average,drag,johnson,today,less,cycle,half,october,april,change,spring,hour,certainly,way,crisp,time,cool,last,2007,1998,square,mile,state,strike,high,equator,darkness,tampatrib.com,credit,file,Tampa_Tribune,heat,near,arrive,calendar,mean,something,rest,country,sultry,hurricane,pass,ago,meaningful,benchmark,oct,call,bring,seven,drier,plume,smoke,horizon,meteorologist,essentially,four,revolve,around,winter,solstices,tilt,axis,either,farthest,closest,equinox,night,long,celestial,movement,apply,signal,shift,shame,people,cherish,gridiron
,12,10,8,6,6,5,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"October 19, 2008 Sunday",132 of 140 DOCUMENTS,The Tampa Tribune (Florida),Credit Crunch Threatens Projects,"CHRISTIAN M. WADE, cwade@tampatrib.com",LOCAL NEWS; Pg. 12,,677 words,,,"October 22, 2008",ENGLISH,,,,,,Newspaper,Copyright 2008 Times Publishing Company
,city,project,bond,money,borrow,official,market,million,credit,work,redevelopment,crunch,several,Tampa,finance,need,sewer,tax,area,put,municipal,lend,make,pay,rate,water,improvement,county,Central_Park,Wise,expensive,tampatrib.com,road,stormwater,housing,can,issue,interest,local,infrastructure,difficult,delay,have,never,bad,director,debt,investor,funding,approve,know,commercial,paper,use,financial,last,rule,already,time,Bonnie_Wise,cwade,turn,partnership,plan,pledge,future,dollar,designation,community,global,brake,still,hold,vice,president,authority,number,current,climate,way,volatile,access,easy,historically,low,fear,engross,government,crucial,mean,face,decision,higher,cost,ultimately,fall,back,taxpayer,crash
,10,10,8,7,5,5,5,5,5,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"November 2, 2008 Sunday",135 of 140 DOCUMENTS,The Tampa Tribune (Florida),Step Up To Plates,"JEFF HOUCK, jhouck@tampatrib.com",BAYLIFE MAGAZINE; Pg. 14,,851 words,,,"November 5, 2008",ENGLISH,,,,,,Newspaper,Copyright 2008 Times Publishing Company
,food,*,eat,candidate,photo,issue,safety,last,stump,debate,people,go,restaurant,price,obama,how,what,do,support,ban,sen,tampatrib.com,vote,political,presidential,campaign,local,talk,way,arugula,store,beyond,leave,next,topic,time,answer,the,million,federal,product,supplies,company,department,government,2008,mccain,credit,Iowa,Education,Energy,Health_Care,Homeland_Security,Immigration,Iraq,Technology,Veterans,houck,jhouck,mouth,tuesday,already,amid,wonder,speech,television,ad,almost,idea,stand,related,sure,hobnobb,angling,gnaw,fare,stop,counter,diner,network,newspaper,every,four,replace,corner,barbershop,visual,cue,elite,hear,regular,folk,venture,terrain,tricky,report,remark,observation,try
,17,15,6,5,5,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
