PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
"October 21, 2013 Monday",1 of 141 DOCUMENTS,The Tampa Tribune (Florida),Cold spell near? Geologist digs deeper on climate change,FRANK WILSON; The Philadelphia Inquirer,NATION & WORLD; Views; Pg. 15,,769 words,,,"October 21, 2013",ENGLISH,,,,,,Newspaper,Copyright 2013 Times Publishing Company                               All Rights Reserved
,period,cold,change,climate,report,global,temperature,well,last,long,Peters,increase,confidence,model,half,thing,trend,data,point,ice,make,much,place,book,call,peter,geologist,note,warm,end,Europe,panel,mean,warming,low,regard,dring,summary,accord,lack,knowledge,really,computer,evidence,planet,little,couple,million,bitter,brief,warmth,interval,begin,yard,quite,Climate,smercornish,column,front,forecast,seem,cloudiness,least,impression,rational,observer,latest,intergovernmental,true,declare,high,reproduce,general,feature,annual,surface,historical,include,second,20th,century,appear,remain,confident,chapter,express,sign,magnitude,and,or,frequency,flood,scale,observe,severe,weather,phenomena,hail,thunderstorm
"July 31, 2013 Wednesday",116 of 141 DOCUMENTS,The Tampa Tribune (Florida),Pinellas social services win reprieve; Commission rejects plan to cut $550K in grants,KATE BRADSHAW; Tribune staff,METRO; News; Pg. 0,,612 words,CLEARWATER,,"September 24, 2013",ENGLISH,,,,,,Newspaper,Copyright 2013 Times Publishing Company                               All Rights Reserved
,funding,agency,grant,money,budget,cut,dollar,county,program,commissioner,service,Health,Human_Services,department,help,homelessness,nonprofit,fund,though,food,raise,commission,restoring,poverty,back,plan,local,ongoing,spend,eliminate,organization,provide,meal,go,government,source,pay,shelter,instead,cost,relatively,small,amount,less,percent,clinic,"55,000",director,door,open,case,make,finalize,propose,millage,rate,without,fight,tuesday,away,social,cite,struggle,after,ask,prepare,upcoming,fiscal,offer,"550,000",nearly,3.4,million,reduction,include,senior,general,might,still,piecemeal,manner,risk,possible,impact,critical,you,find,really,people,vulnerable,seem,bear,brunt,sit,sure,change,scenario,poor,compete
,10,8,8,6,6,5,5,5,5,4,4,4,4,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"August 6, 2013 Tuesday",119 of 141 DOCUMENTS,The Tampa Tribune (Florida),Lab-grown burger falls short on flavor; Volunteers get first taste of meat grown from cattle stem cells,The Associated Press,NATION & WORLD; NationWorld; Pg. 4,,360 words,LONDON,,"September 25, 2013",ENGLISH,,,,,,Newspaper,Copyright 2013 Times Publishing Company                               All Rights Reserved
,meat,cell,make,grow,burger,without,team,patty,help,cheese,take,agree,miss,salt,flavor,scientist,develop,probably,animal,add,muscle,cow,strand,co_founder,Post,PETA,food,future,pinch,seasoning,maybe,volunteer,public,bite,hamburger,laboratory,give,good,mark,texture,something,pepper,nutritionist,journalist,confess,difficulty,judge,ketchup,onion,jalapelos,bacon,taster,shun,offer,bun,lettuce,slice,tomatoe,concentrate,lead,cattle,stem,regret,serve,favorite,top,aged,post,whose,five,hope,lab,feed,world,fight,climate,change,although,goal,decade,away,best,announce,fund,"330,000",project,motivate,concern,welfare,improve,hard,fat,shoulder,organically,raise,put,nutrient,solution,tissue
,6,5,5,4,4,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"August 25, 2013 Sunday",122 of 141 DOCUMENTS,The Tampa Tribune (Florida),"Ready or not, here they come; For the first time since the winter fish kill of 2010, snook season will open on west coast of Florida",FRANK SARGEANT; Tribune correspondent,SPORTS; Pg. 2,,655 words,,,"September 25, 2013",ENGLISH,,,,,,Newspaper,Copyright 2013 Times Publishing Company                               All Rights Reserved
,snook,fish,number,angler,go,spawn,good,coast,season,kill,harvest,take,four,five,slot,manage,catch,Florida,west,three,winter,spot,location,inch,without,return,lot,point,freeze,size,reach,tight,legal,close,make,protect,average,species,occasional,severe,front,water,thousand,give,thing,find,way,many,fishery,great,question,waste,side,lure,guide,today,outdoors,stuff,08/25,love,hate,open,sept,closure,result,2010,report,load,everglade,city,other,note,significantly,long,tend,annual,gathering,place,around,larger,pass,full,moon,may,september,opportunity,seasoned,eye,estimate,feel,recover,area,smallest,suffer,new,class,event,chance,grow
,17,9,8,7,5,4,4,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"August 26, 2013 Monday",123 of 141 DOCUMENTS,The Tampa Tribune (Florida),"Obama lacks broad vision on foreign policy, critics say; President says U.S. global influence is 'overstated'",The Associated Press,NATION & WORLD; NationWorld; Pg. 7,,436 words,WASHINGTON,,"September 25, 2013",ENGLISH,,,,,,Newspaper,Copyright 2013 Times Publishing Company                               All Rights Reserved
,Obama,president,U.S.,Arab,world,take,leave,White_House,office,violence,current,foreign,policy,analyst,include,administration,uprising,crisis,although,leverage,sometimes,we,anything,ability,situation,region,democracy,protest,next,Middle_East,Russia,Egypt,nearly,five,presidency,confront,far,different,envision,influence,decline,instability,rock,country,ambitious,attempt,reset,relation,falter,fail,europe,deep,skepticism,government,surveillance,program,case,climate,drive,factor,outside,control,misstep,blame,work,among,miscalculate,fallout,spring,publicly,set,unrealistic,expectation,improve,tie,reactive,process,appear,veer,without,broader,strategy,former,official,2011,shrink,overseas,predate,equate,there,point,really,obama,face,urgently,escalate,crise,defend,measure
,5,4,4,4,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"October 18, 2013 Friday",130 of 141 DOCUMENTS,The Tampa Tribune (Florida),A blow to defense planning certainty,WALTER PINCUS; The Washington Post,NATION & WORLD; Views; Pg. 37,,857 words,WASHINGTON,,"October 18, 2013",ENGLISH,,,,,,Newspaper,Copyright 2013 Times Publishing Company                               All Rights Reserved
,defense,budget,program,plan,spend,work,2014,cost,special,Pentagon,go,current,military,fiscal,operation,make,people,Congress,government,absolutely,start,last,week,provide,future,deadline,pentagon,assistant,secretary,key,department,envy,world,really,process,add,think,instability,set,institution,amount,combat,capability,taxpayer,untold,sequester,cut,personnel,intelligence,equipment,time,real,force,whether,financial,uncertainty,certainty,decade,cause,regard,service,FYDP,Navy,McCain,oope,avoid,default,reopen,prolong,bring,sanity,expert,idea,end,shutdown,execute,testify,nominee,director,unit,independent,analytic,assessment,along,development,problem,away,unless,miracle,new,jan,promise,stability,morin,tell,senator,reason,establishment,robust
,9,6,6,5,5,4,4,4,4,4,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"November 2, 2013 Saturday",131 of 141 DOCUMENTS,The Tampa Tribune (Florida),SECTION: NATION & WORLD; NationWorld; Pg. 11,,,,487 words,"PROVIDENCE, R.I.  WASHINGTON  CAIRO  BEIJING  TORONTO",,"November 2, 2013",ENGLISH,,,,,,Newspaper,Copyright 2013 Times Publishing Company                               All Rights Reserved
,friday,chief,task,force,mayor,government,state,local,air,program,country,police,sentence,judge,employee,severe,weather,president,executive,order,respond,official,include,governor,tv,station,satirist,popular,mock,show,week,blame,militant,suicide,car,attack,top,group,terrorist,attorney,Egyptian,China,Toronto,mastermind,kickback,scheme,cost,navy,million,prison,federal,mean,punish,well,send,message,pleaded,guilty,may,conspiracy,theft,property,tax,evasion,civilian,risen,engineer,create,superstorm,devastate,sign,make,easier,disaster,establish,advise,administration,storm,wildfire,drought,potential,impact,climate,change,seven,democrat,territory,fourteen,leader,serve,pull,plug,private,stop,latest,episode,widely,political,satire
,4,4,4,4,4,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"November 9, 2013 Saturday",132 of 141 DOCUMENTS,The Tampa Tribune (Florida),Fools rush in,MARY SHEDDEN; Tribune Staff,4YOU; 4U; Pg. 12,,605 words,,,"November 9, 2013",ENGLISH,,,,,,Newspaper,Copyright 2013 Times Publishing Company                               All Rights Reserved
,run,race,great,training,time,walk,runner,road,people,make,train,Klater,Voiles,value,speed,weather,really,injure,much,check,minimize,outside,popular,week,help,body,three,summer,Upper_Tampa_Bay_Trail,4u,tis,season,back,tempt,expert,best,live,climate,leave,change,depend,clue,autumn,arrive,example,sound,air,conditioner,shut,window,crack,open,better,yet,sudden,surge,hit,love,rush,new,along,nature,path,preparation,annual,wave,weekend,club,founder,coach,area,resident,greater,variety,choose,include,social,theme,fun,may,county,point,opportunity,invitation,nearly,irresistible,newby,ever,mud,color,introduce,racing,cocky,end,owner,client,know,temptation,cooler
,14,9,5,5,4,4,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"November 16, 2013 Saturday",136 of 141 DOCUMENTS,The Tampa Tribune (Florida),SECTION: NATION & WORLD; NationWorld; Pg. 8,,,,472 words,"LOS ANGELES  SAN BERNARDINO, Calif. WARSAW, Poland VATICAN CITY TOKYO LONDON",,"November 16, 2013",ENGLISH,,,,,,Newspaper,Copyright 2013 Times Publishing Company                               All Rights Reserved
,friday,family,target,Japan,find,desert,new,emission,take,president,talk,post,use,son,gas,reduce,percent,level,illness,pope,cancel,morning,due,urgent,issue,cyberscam,warning,user,computer,MSNBC,Baldwin,Vatican,Britain,sheriff,body,believe,miss,suspend,weekly,show,episode,cable,channel,specify,website,deeply,sorry,language,offer,detail,action,follow,encounter,photographer,thursday,actor,hear,videotape,insult,remain,id,four,skeleton,shallow,grave,think,vanish,three,ago,police,resolve,mystery,raising,host,question,happen,seemingly,happy,couple,young,wife,apparent,homicide,victim,cut,decision,drastically,scale,back,greenhouse,hurt,effort,craft,global,deal,fight,climate,change,delegate
,5,4,4,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"December 1, 2013 Sunday",138 of 141 DOCUMENTS,The Tampa Tribune (Florida),Managers should discourage cursing,Marie G. McIntyre; McClatchy-Tribune News Service,BUSINESS; Pg. 2,,523 words,,,"December 1, 2013",ENGLISH,,,,,,Newspaper,Copyright 2013 Times Publishing Company                               All Rights Reserved
,use,conversation,business,company,manager,supervisor,workplace,language,profanity,problem,may,job,mcintyre,discussion,hear,seem,people,noticeably,disturb,personally,sure,answer,executive,management,either,issue,need,group,recruit,ask,simply,wish,example,though,find,secret,last,week,overhear,another,position,eliminate,question,coach,Marie,F_word,column,increasingly,bother,other,understand,become,acceptable,woman,sense,man,sometimes,mean,intimidating,female,colleague,limiting,participation,meeting,however,respond,someone,throw,suggestion,address,casual,definitely,prevalent,degree,expletive,tolerate,depend,largely,climate,establish,apparently,spineless,tackle,standpoint,offended,recognize,many,include,important,customer,key,staff,member,highly,applicant,regardless,feeling,matter,wise
,4,4,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"December 4, 2013 Wednesday",139 of 141 DOCUMENTS,The Tampa Tribune (Florida),Airspace spat complicates Biden's Asia trip; Meeting today with China's leader may be tense,The Associated Press,NATION & WORLD; NationWorld; Pg. 24,,355 words,TOKYO,,"December 4, 2013",ENGLISH,,,,,,Newspaper,Copyright 2013 Times Publishing Company                               All Rights Reserved
,China,Biden,U.S.,zone,dispute,action,Beijing,Asia,jinp,rebuke,airspace,spat,president,tension,put,publicly,risk,accident,although,hope,seek,territorial,concern,assert,raise,enough,Japan,United_States,East_China_Sea,bide,vp,reunite,suppose,warm,reunion,vice,meet,instead,today,climate,fraught,edge,stand,try,force,neighbor,escalate,potentially,dangerous,focus,area,cooperation,expand,footprint,declaration,new,air,defense,island,pitted,create,wide,gulf,bridge,trip,despite,preference,involved,portend,broader,effort,dominance,region,draw,middle,jet,weeklong,tour,deeply,concerned,attempt,unilaterally,change,status,quo,meeting,tuesday,prime,minister,regional,increase,miscalculation,end,leader,great,specificity,beijing,visit,repeatedly
,12,7,5,4,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"December 9, 2013 Monday",140 of 141 DOCUMENTS,The Tampa Tribune (Florida),USF's bullish research efforts,,NATION & WORLD; Views; Pg. 16,,482 words,,,"December 9, 2013",ENGLISH,,,,,,Newspaper,Copyright 2013 Times Publishing Company                               All Rights Reserved
,research,USF,university,million,funding,private,federal,cut,percent,fund,increase,economic,report,public,receive,source,decline,Washington,usf,lawmaker,local,among,impressive,dollar,government,help,state,respond,change,expense,develop,continue,Moody,stature,institution,merit,attention,gov,business,leader,underscore,importance,engine,nearly,billion,annual,impact,illustrate,innovative,approach,education,mission,accord,latest,spend,394.9,2011,443.2,last,improve,national,rank,move,improvement,though,support,reason,president,judy,genshaft,team,wisely,focus,generating,buffer,gyration,consider,2010,203,123,2012,166,direct,184,aggressively,pursue,partner,effort,languish,instead,quickly,climate,unlikely,anytime,soon,recent,investor,service,2013
,17,11,9,8,6,5,4,4,4,4,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
