PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
"November 14, 2005 Monday",1 of 81 DOCUMENTS,The Tampa Tribune (Florida),Breaking The Ice,"KURT LOFT, kloft@tampatrib.com",NATION/WORLD; Pg. 10,,679 words,,,"November 30, 2005",ENGLISH,,,"PHOTO 5 U.S. Coast Guard photos Researchers spent six weeks collecting data on the Arctic ecosystem, and observed a polar bear feasting on a seal. The crew of the Healy takes a break on the ice, basking in the relative warmth of 10 degrees Fahrenheit. Arctic summers are much warmer than winters, but temperatures can still freeze deck ropes solid. (2) The U.S. Coast Guard icebreaker Healy and the Swedish vessel Oden make the arduous trip through the ice of the Arctic Ocean's Canadian Basin, where they encountered pancake ice, below. The journey was to study how receding ice could affect global climate patterns.",,,Newspaper,Copyright 2005 Times Publishing Company                               All Rights Reserved
,ice,summer,region,ship,sea,climate,floe,degree,wind,Arctic,Swift,factor,global,heavy,often,temperature,long,break,Arctic_Ocean,scientist,receding,become,pattern,loft,tampatrib.com,change,healy,better,understand,ocean,make,slowly,chill,cover,retreat,trip,thick,early,crew,dip,fahrenheit,big,slow,might,affect,solar,energy,absorb,may,large,greenhouse,gas,side,compression,icebreaker,Oden,Earth,exploring,remote,kloft,pair,recently,voyage,top,world,study,traverse,coast,guard,vessel,plow,dense,sheet,effort,role,system,much,research,take,compile,publish,thing,immediately,clear,lose,indication,retreate,rate,percent,per,decade,team,member,researcher,near,still,continue,trend,remarkable
"July 7, 2005 Thursday",56 of 81 DOCUMENTS,The Tampa Tribune (Florida),"Love It Or Hate It Hey, Joe: You Do Know It Gets Hot Outside, Right?","JOEY JOHNSTON, jjohnston@tamaptrib.com",SPORTS; Pg. 1,,759 words,ST. PETERSBURG,,"July 9, 2005",ENGLISH,,,,,,Newspaper,Copyright 2005 Times Publishing Company                               All Rights Reserved
,stadium,place,game,Trop,trop,team,baseball,have,job,best,night,fan,blame,build,play,ballpark,prefer,well,punch,line,really,season,provide,lot,section,use,seem,look,actually,ever,might,course,give,know,facility,library,bad,find,Red_Sox,jjohnston,tamaptrib.com,st,petersburg,friend,learn,theme,little,missive,sigh,shook,head,definitely,hard,indeed,defend,case,work,summarily,reject,arrive,willingly,enthusiastically,catch,perform,world,easiest,bashing,task,execute,train,monkey,exercise,besides,completely,miss,point,inexcusable,eight,existence,rarely,joint,open,"3,000th",hit,maybe,initial,beat,walkoff,homer,cricket,energy,often,oppose,usually,recently,franchise,positive,late,1980
,6,6,5,5,4,4,4,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"July 23, 2005 Saturday",58 of 81 DOCUMENTS,The Tampa Tribune (Florida),Principal Ready To Help Usher In A New Day,"COURTNEY CAIRNS PASTOR, cpastor@tampatrib.com",NORTHWEST; Pg. 3,,679 words,,,"July 28, 2005",ENGLISH,,,PHOTO,,,Newspaper,Copyright 2005 Times Publishing Company                               All Rights Reserved
,school,student,new,high,move,church,building,program,work,curriculum,Stoup,open,room,stoup,take,private,elementary,middle,younger,grade,help,promote,may,character,make,pastor,tampatrib.com,door,leave,classroom,performance,fall,acre,property,early,grow,teach,go,head,lead,need,faculty,theme,subject,ethic,leader,teacher,try,without,fear,cpastor,pause,walk,soon,house,part,phenomenal,entrance,hallway,vault,ceiling,draw,eye,toward,window,sunlight,spill,tree,dozen,kitchen,fellowship,hall,become,dining,eat,outside,right,sanctuary,life,auditorium,behind,office,storage,music,carrollwood,sprawling,home,1515,w.,bearss,ave,facility,represent,biggest,change,bring,principal,lease,buy
,19,11,6,6,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"August 1, 2005 Monday",59 of 81 DOCUMENTS,The Tampa Tribune (Florida),Gay Influx Into Neighborhood Tends To Raise Property Values,"ALLYSON BIRD, abird@tampatrib.com",NATION/WORLD; Pg. 1,,1440 words,TAMPA,,"August 6, 2005",ENGLISH,"August 4, 2005","Richard Florida wrote ""The Rise of the Creative Class."" A story in Monday's Nation/World section had an incorrect first name.","PHOTO 2 Tribune photo by JAY NOLAN Jeff Norman, left, and Aaron Chu have a home in southeast Seminole Heights, an area well known for crime. Tribune photo by FRED FOX David Purnell, right, carries a plate of food during a dinner party for friends at the home he shares with his partner, Steve Johns.",,,Newspaper,Copyright 2005 Times Publishing Company                               All Rights Reserved
,neighbor,real,estate,gays,neighborhood,gay,people,kid,agent,live,house,work,place,together,think,sit,move,buy,sign,use,lot,child,park,home,family,Seminole_Heights,Norman,Johns,another,watch,old,turn,remember,property,trend,happen,book,drive,group,pride,talk,project,moore,corner,take,community,seem,St._Petersburg,Tampa,Tampa_Heights,Hyde_Park,Purnell,man,red,find,prostitute,night,southeast,bungalow,ago,name,know,area,creativity,city,creative,nonprofit,foster,young,household,symbol,reason,look,interest,downtown,restaurant,straight,national,developer,land,speak,urban,pioneer,historic,building,apartment,diversity,today,new,homeless,avenue,grow,hyde,partner,piece,catch,part,dangerous,couple
,10,9,9,9,9,8,7,6,6,6,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"August 8, 2005 Monday",61 of 81 DOCUMENTS,The Tampa Tribune (Florida),Chemistry Experiment,"BART O'CONNELL, Tribune correspondent",PASCO; Pg. 8,,572 words,NEW PORT RICHEY,,"August 13, 2005",ENGLISH,,,"PHOTO Tribune photo by ANDY JONES Chris Taylor, head football coach at Ridgewood High, hopes to make his team tougher by focusing on working hard and getting the most out of each practice.",,,Newspaper,Copyright 2005 Times Publishing Company                               All Rights Reserved
,practice,work,coach,player,Ridgewood,Taylor,game,harder,ever,need,minichino,every,seem,last,team,go,Walsh,varsity,have,build,toughness,camaraderie,sophomore,end,series,ram,field,assistant,make,sure,bad,chemistry,past,season,change,play,call,plan,already,state,title,another,building,expect,may,throw,much,lot,still,Chris_Taylor,Minichino,football,o'connell,tribune,correspondent,richey,breath,little,time,usual,decide,quarterback,charley,complain,confident,noon,friday,afternoon,weeklong,session,entire,finish,sprint,across,along,new,run,full,speed,eager,comply,senior,accord,many,include,outbreak,nice,way,describe,fight,previous,regime,argument,rarely,resolve,frustrated,quarrel,lead,record
,8,6,5,5,5,5,4,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"August 21, 2005 Sunday",62 of 81 DOCUMENTS,The Tampa Tribune (Florida),Sharing Suite Digs,"JO-ANN JOHNSTON, jfjohnston@tampatrib.com",PASCO; Pg. 1,,959 words,ST. LEO,,"August 25, 2005",ENGLISH,,,"PHOTO 3 CHART 3 Tribune photos by CHRIS URSO Buildings 3 and 4 are ready for the 323 students they will house. Many students are moving in this weekend. Regina Forbes, a resident assistant, moved into her furnished room last week. Tribune photo by CHRIS URSO Each floor has social and study lounges, but the suites also have a living area and kitchen where roommates can hang out.",,,Newspaper,Copyright 2005 Times Publishing Company                               All Rights Reserved
,student,hall,Saint_Leo,suite,new,college,live,room,university,senior,campus,building,semester,leo,furnish,dormitory,bedroom,bathroom,meal,plan,saint,move,major,resident,occupant,residence,dorm,newest,take,four,phone,area,double,chart,tampatrib.com,junior,weekend,anything,beautiful,make,start,tuesday,use,look,follow,courtyard,view,lake,give,back,offer,individual,common,kitchen,elementary,education,big,another,require,provide,week,go,doorbell,door,someone,share,private,bear,single,name,class,program,degree,housing,cost,source,Forbes,apartment_style,Mezzanini,Saint_Leo_University,jfjohnston,st,might,desirable,apartment,dig,draw,envy,young,renter,anywhere,stand,much,early,role,assistant,beat,rush,last
,13,10,7,6,6,6,6,6,5,5,5,5,5,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"October 19, 2005 Wednesday",66 of 81 DOCUMENTS,The Tampa Tribune (Florida),Bolts' St. Louis Goes From MVP To No. 3,"ERIK ERLENDSSON, eerlendsson@tampatrib.com",SPORTS; Pg. 1,,625 words,,,"October 26, 2005",ENGLISH,,,"PHOTO The Associated Press Lightning forward Martin St. Louis, who has missed both of his shootout attempts this season, will play with the checking line. Lightning coach John Tortorella is trying to prove that anyone, even Marty St. Louis, needs to earn his minutes.",,,Newspaper,Copyright 2005 Times Publishing Company                               All Rights Reserved
,line,play,go,louis,season,right,st,player,work,put,scoring,need,game,goal,thing,have,contract,St._Louis,third,tampatrib.com,tuesday,write,wall,combination,lightning,practice,black,check,hope,offensive,open,time,minute,point,new,find,chance,do,make,finger,st.,try,hard,think,success,deal,million,mind,much,know,Tampa_Bay,Tortorella,MVP,eerlendsson,atlantic,city,n.j.,post,next,locker,room,door,inside,facility,message,tape,onto,yellow,piece,notebook,paper,fasten,backdrop,dingy,white,marker,forward,dress,jersey,normally,reserve,coach,unlock,early,woe,key,struggle,start,marty,best,better,defensive,amount,ice,complete,keep,type,seven,suppose
,10,6,6,5,5,4,4,4,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"November 21, 2005 Monday",69 of 81 DOCUMENTS,The Tampa Tribune (Florida),Muslims Look To Islamic Traditions,"JULIE PACE, jpace@tampatrib.com",METRO; Pg. 1,,538 words,TAMPA,,"December 9, 2005",ENGLISH,,,"PHOTO 2 Tribune photo by MARK GUSS Muslims take a break from the program to pray on Sunday. The weekend workshop focused on giving attendees a better understanding of their faith. Tribune photo by MARK GUSS Ahmed Howeedy takes some notes on his laptop computer during a workshop presentation Sunday on attaining God consciousness, or taqwa, which involves service and community involvement.",,,Newspaper,Copyright 2005 Times Publishing Company                               All Rights Reserved
,muslim,trial,religion,workshop,service,Muslims,faith,school,many,take,holiday,thing,Islam,Ahmed,Al_Arian,meeting,pace,tampatrib.com,board,present,emphasize,traditional,taqwa,involvement,reach,let,community,increase,life,calendar,local,add,issue,peace,important,fear,speak,word,TAMPA,Shakir,Christian,Jewish,Muslim,renew,jpace,analyze,discuss,courtroom,try,touch,tradition,nearly,400,include,travel,far,gather,weekend,call,agenda,change,condition,program,convert,educational,center,calif,teaching,focus,attain,god,consciousness,presenter,imam,zaid,civic,integral,part,encourage,teach,seriously,we,know,share,give,preference,other,organizer,gain,better,understanding,priority,compete,daily,secular,secularism,clash,fall,member
,6,6,4,4,4,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"November 25, 2005 Friday",70 of 81 DOCUMENTS,The Tampa Tribune (Florida),Bulls Get Out Their Woolies For Road Trip,"BRETT McMURPHY, bmcmurphy@tampatrib.com",SPORTS; Pg. 1,,548 words,,,"December 13, 2005",ENGLISH,,,"PHOTO Tribune photo by KELVIN MA Andre Hall and his teammates are used to warm weather, but the running back says the Bulls must get into a mind-set for playing in cold climates.",,,Newspaper,Copyright 2005 Times Publishing Company                               All Rights Reserved
,cold,game,snow,usf,play,go,senior,wear,have,degree,glove,USF,temperature,big,football,coldest,history,tampatrib.com,week,defensive,end,royal,ready,prepare,east,school,saturday,high,help,never,2003,pregame,know,quarterback,hand,skunk,Tampa,Bulls,Connecticut,Julmiste,Smith,might,mcmurphy,bmcmurphy,past,nothing,blizzards,hit,freak,storm,blanketing,campus,drift,freezing,least,terrence,envision,head,field,every,practice,mind,appear,unlikely,forecast,low,dip,stand,around,strong,safety,start,everybody,thing,jacket,heat,pack,historically,team,fare,well,lose,consecutive,win,2002,super,bowl,season,although,memphis,2000,upper,40s,bigger,shoe,need,pair,sock,run
,10,8,7,6,6,6,5,5,4,4,4,4,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"December 4, 2005 Sunday",71 of 81 DOCUMENTS,The Tampa Tribune (Florida),Passion Drives Downs Owner,"STEVEN ISBITTS, sisbitts@tampatrib.com",SPORTS; Pg. 1,,1119 words,OLDSMAR,,"May 27, 2006",ENGLISH,,,PHOTO 2 CHART .,,,Newspaper,Copyright 2005 Times Publishing Company                               All Rights Reserved
,track,horse,racing,race,stake,Tampa_Bay_Downs,fan,photo,Thayer,love,run,add,bay,lot,course,tampa,watch,season,million,grow,facility,competitive,turf,purse,many,record,new,state,excitement,have,exciting,go,program,money,challenge,change,game,slot,machine,time,something,tampatrib.com,downs,owner,thoroughbred,parking,racetrack,sport,live,open,meet,2.3,past,national,acclaim,bettor,1998,crowd,"10,246",attend,feature,"250,000",derby,environment,really,people,much,able,experience,country,important,put,compete,upgrade,big,back,we,perspective,term,give,offer,different,part,circuit,sell,competitor,know,younger,credit,Stella_Thayer,Tampa,small_time,March,Festival,New_York,foster,thayer,sisbitt,remember
,15,14,14,9,9,8,6,6,6,5,5,5,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1
"October 20, 2005 Thursday",74 of 81 DOCUMENTS,The Tampa Tribune (Florida),Obituaries,,PASCO; Pg. 9,,1203 words,,,"October 27, 2005",ENGLISH,,,,,,Newspaper,Copyright 2005 Times Publishing Company                               All Rights Reserved
,New_Port_Richey,2005,october,home,n.y.,member,funeral,bear,son,va.,Hudson,daughter,grandchild,service,Ohio,richey,survive,fla,sister,retire,Port_Richey,pass,away,ago,new,port,die,move,brother,n.j.,wife,three,chapel,hudson,Thomas,Alavista,n.y,survivor,include,morgan,6025,trouble,creek,road,727,tuesday,veteran,friday,b.,doby,highway,past,may,jr.,David,Cremation_Services,Watertown,Lacoochee,florida,secretary,husband,rev,time,writer,niece,nephew,world,war,ii,navy,ed,p.m.,thursday,burial,follow,fla.,pa.,church,post,avid,mary,avenue,keegan,mitchell,hospice,l.,tenn,hold,301,school,district,Massapequa,St._Vincent,Marliere_Hospice_Care_Center,Orlando,Joseph,U.S._Army,American_Legion,Chaumont
,14,13,12,10,9,8,8,7,7,7,7,6,6,6,6,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"February 6, 2005 Sunday",75 of 81 DOCUMENTS,The Tampa Tribune (Florida),DUTY CALLS,,COMMENTARY; Pg. 1,,1461 words,,,"February 9, 2005",ENGLISH,,,"PHOTO 4 Photos from MacDill Air Force Base (Brig. Gen. David ""Tanker"" Snyder) Outstanding community support for MacDill earned Tampa the Abilene Trophy, presented last July. Brig. Gen. ""Tanker"" Snyder boasts that Tampa, a 2001 winner, is the only community recognized twice by the Air Mobility Command and the Military Affairs Committee of Abilene, Texas. Tribune photo by FRED FOX A ceremony Thursday marks Brig. Gen. ""Tanker"" Snyder's transfer of command to Col. Margaret Woodward. Tribune file photo by CLIFF MCBRIDE (2002) The 6th Air Mobility Wing's C-37A airplanes transport commanders and high-ranking visitors, sharing MacDill's runways with aging KC-135 air-refueling tankers.",,,Newspaper,Copyright 2005 Times Publishing Company                               All Rights Reserved
,MacDill,people,base,military,air,mission,tanker,support,provide,place,command,new,community,wing,thing,world,go,communication,Tampa,home,commander,deploy,coalition,basis,call,move,a.,operation,aircraft,force,know,give,man,woman,feel,important,partner,lot,live,million,put,center,combat,time,secure,share,facility,build,joint,squadron,work,make,power,close,infrastructure,change,name,never,fly,father,retire,drive,flight,else,have,throughout,we,twice,genuine,help,family,wave,leave,pride,6th,mobility,part,team,temporary,duty,billion,plane,equipment,money,project,complete,"1,000",conference,premier,number,house,way,combatant,headquarters,refuel,airlift,overseas,percent,personnel
,14,11,11,9,9,9,8,8,7,6,6,6,6,6,6,5,5,5,5,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"April 13, 2005 Wednesday",76 of 81 DOCUMENTS,The Tampa Tribune (Florida),100 Hunt For Girl Missing In Ruskin,"JILL KING GREENWOOD and ANTHONY McCARTNEY, The Tampa Tribune",NATION/WORLD; Pg. 1,,1104 words,RUSKIN,,"April 16, 2005",ENGLISH,,,"PHOTO 5 Sarah Lunde She is described as warm and fun-loving. Tribune photo by JIM REED From left, Melissa Carter, Aaron Wilson, Mike Pippy and Bill Wilson gather outside the command post at a Ruskin church. News Channel 8 photo by WALLY PATANOW Deputies and volunteers mount up Tuesday to search in Ruskin and surrounding communities for Sarah Michelle Lunde. News Channel 8 photo by WALLY PATANOW Sheriff's deputies scour a fish farm in Ruskin for the missing girl. The search was scheduled to resume at 7 this morning. News Channel 8 photo by WALLY PATANOW Helicopters and tracking dogs joined the hunt for the 13-year-old. Volunteers and officials focused on ponds, wooded areas and homes within several miles of the girl's home.",,,Newspaper,Copyright 2005 Times Publishing Company                               All Rights Reserved
,home,offender,Sarah,sex,friend,girl,child,may,Gee,tuesday,search,deputy,disappearance,predator,sexual,live,mother,family,street,church,know,three,help,time,Dodgen,last,early,sunday,morning,across,detective,register,outside,command,post,attend,return,brother,leave,something,find,go,call,locate,daughter,official,use,sarah,spend,walk,people,Citrus_County,greenwood,mccartney,february,officer,southeast,hillsborough,miss,sheriff,gee,play,nearby,teen,frequently,evening,30th,night,tell,monday,begin,neighbor,pond,wood,area,dog,focus,look,please,involved,life,disappear,hour,state,long,let,slay,legislation,introduce,track,report,prison,convict,reporter,reach,813,Tampa_Tribune,Ruskin,Jessie_Lunsford
,16,15,15,8,8,7,7,7,7,6,6,6,5,5,5,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"April 15, 2005 Friday",77 of 81 DOCUMENTS,The Tampa Tribune (Florida),Elegant Chamber Music Draws Crowds To Festival,"KURT LOFT, kloft@tampatrib.com",BAYLIFE; Pg. 2,,385 words,,,"April 22, 2005",ENGLISH,,,PHOTO La Musica Violinist Jennifer Frautschi performed in Schubert's Trio in E Flat Major.,,,Newspaper,Copyright 2005 Times Publishing Company                               All Rights Reserved
,chamber,music,la,musica,musician,support,play,loft,tampatrib.com,concert,festival,continue,performance,wednesday,night,program,although,theme,musical,create,work,Schubert,Mendelssohn,kloft,impossible,international,pack,stream,elegant,exception,listener,rub,elbow,global,cast,reveal,hidden,beauty,prokofiev,hard,sell,especially,less,intimate,hall,19th,season,generate,enough,magnetism,three,week,worth,relish,interaction,much,weather,conservative,midpoint,need,tension,bite,flow,offstage,fluid,professionalism,notably,precocious,octet,eight,display,impeccable,texture,rather,shroud,individual,voice,full,grace,unfettered,lyricism,note,coddled,cup,warm,tea,evening,open,rare,overture,jewish,clarinet,composer,resist,write,borrowing,idea,anathema,gem
,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"June 13, 2005 Monday",78 of 81 DOCUMENTS,The Tampa Tribune (Florida),FAST FORWARD,Kurt Loft,NATION/WORLD; Pg. 8,,461 words,,,"June 20, 2005",ENGLISH,,,(Star),,,Newspaper,Copyright 2005 Times Publishing Company                               All Rights Reserved
,lake,child,researcher,increase,may,physical,activity,work,take,answer,supernova,star,accord,human,gene,continue,watch,disappearing,climate,study,science,stumper,offer,question,travel,tampatrib.com,1987,astronomer,leave,neutron,United_States,University,norm,2044,biomedical,team,cite,statistic,demonstrate,fourfold,percentage,overweight,um,obesity,due,incompatibility,societal,pressure,evolve,support,great,deal,yet,past,decrease,dramatically,promote,fitness,problem,worse,booth,sedentary,4.5,time,1950,adolescent,spend,hour,week,television,computer,play,video,game,movie,shrink,steady,rate,warm,permafrost,thaw,report,none,refil,use,satellite,photo,siberia,1972,1998,number,large,region,decline,"1,170",percent,larger,100,acre
,4,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"October 12, 2005 Wednesday",81 of 81 DOCUMENTS,The Tampa Tribune (Florida),New Refueling Tanker? Rumsfeld Can't Say When,"RICHARD LARDNER, rlardner@tampatrib.com",NATION/WORLD; Pg. 5,,634 words,,,"October 20, 2005",ENGLISH,,,,,,Newspaper,Copyright 2005 Times Publishing Company                               All Rights Reserved
,military,U.S.,Rumsfeld,question,answer,wrong,world,can,know,people,go,intelligence,think,medical,Iraq,Iran,tampatrib.com,nearly,find,meeting,age,moment,secretary,field,personnel,time,ask,follow,terrorist,true,weaponry,recent,complicity,good,have,make,without,job,force,element,special,capability,improve,America,Defense,MacDill,Marines,lardner,rlardner,ago,man,charge,defensive,soldier,style,complain,equipment,tuesday,awkward,spend,hour,auditorium,pack,station,topic,range,esoteric,geopolitical,describe,genetically,impatient,spot,loss,word,however,crowd,finish,ready,another,prompt,jokingly,call,audience,docile,warm,introduction,col,maggie,woodward,base,commander,list,sign,progress,global,war,terrorism,critic,involvement
,5,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
