PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
"January 22, 2016 Friday",1 of 94 DOCUMENTS,The Tampa Tribune (Florida),"A look at our frightened, fragmented world in one map",Mark Gilbert; Bloomberg View,NATION & WORLD; Views; Pg. 13,,540 words,,,"January 22, 2016",ENGLISH,,,,,,Newspaper,Copyright 2016 Times Publishing Company                               All Rights Reserved
,world,risk,threat,worry,survey,global,top,failure,climate,change,WEF,terrorism,though,regional,accord,economic,way,environmental,likely,crisis,involuntary,migration,dominate,weather,refuge,threaten,result,mitigation,give,good,temperature,large_scale,state,plenty,anxious,moment,pandemic,disturbing,splinter,basis,11th,edition,annual,report,produce,forum,deem,troubling,hope,leader,eliminate,almost,750,expert,draw,business,academia,civil,society,public,sector,rank,respondent,ask,view,likelihood,impact,divide,five,category,societal,technological,geopolitical,seem,geographically,disperse,arguably,reflect,truism,politics,local,americans,hack,recent,company,include,extramarital,affair,website,put,cyber,attack,anxiety,menu,peril,endure,kleptocracy,corruption,make
,9,5,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"February 20, 2016 Saturday",67 of 94 DOCUMENTS,The Tampa Tribune (Florida),Titans of pro wrestling plant roots in Bay area; Deck Deck,PAUL GUZZO Tribune staff,NATION & WORLD; Metro; Pg. 19,,1476 words,,,"February 20, 2016",ENGLISH,,,,,,Newspaper,Copyright 2016 Times Publishing Company                               All Rights Reserved
,wrestler,WrestleMania,area,real,live,Tampa,wrestling,name,world,heavyweight,match,title,championship,compete,WWE,local,x2756,Florida,tampa,seem,Arcuri,Hogan,event,city,agent,star,sell,home,2013,time,remain,center,estate,number,best,professional,take,move,champion,make,competitor,big,jr.,2000,2010,edge,1989,popular,promotion,brother,work,great,Reigns,Undertaker,Calaway,Cena,tradition,resident,biggest,card,entertainment,country,music,place,toward,part,face,least,involved,defend,total,whose,migrate,customer,show,2009,2012,2011,2005,2007,1990,late,1988,continue,man,vs.,feature,walk,contest,1985,high,prowrestl,2028,lot,guy,point,among,industry,state
,19,18,15,14,14,13,12,12,11,10,10,9,8,8,8,7,7,7,6,5,5,5,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"March 6, 2016 Sunday",68 of 94 DOCUMENTS,The Tampa Tribune (Florida),Ohio's capital offers big city bonuses without the squeeze on your wallet and personal space,ROBIN SOSLOW Tribune correspondent,BAYLIFE AND TRAVEL; Baylife; Pg. 1,,993 words,,,"March 6, 2016",ENGLISH,,,,,,Newspaper,Copyright 2016 Times Publishing Company                               All Rights Reserved
,new,art,Columbus,downtown,open,include,food,hotel,spring,city,culture,bike,free,space,guest,work,enjoy,without,price,easy,away,hot,colorful,explore,powerhouse,cultural,fresh,sight,attraction,restore,add,night,recently,artwork,glass,visionary,talent,historic,atrium,coffee,make,reclaim,offer,artisan,treat,regional,room,turn,green,designer,move,craft,industrial,walk,river,newcomer,north,last,original,2028,museum,display,appear,light,center,wall,street,top,Ohio,York_style,Hilton_Columbus_Downtown,award_winner,Pizzuti_Collection,art_filled,columbus,greenery,energy,forth,northern,wish,crowd,traffic,attitude,nonstop,flight,capital,lure,urbane,traveler,hotshot,spot,sensational,drink,stun,riverfront,rejuvenation,neighborhood,foot,bus
,9,7,6,5,5,5,4,4,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"January 1, 2016 Friday",69 of 94 DOCUMENTS,The Tampa Tribune (Florida),Just how warm was it? December a record-setter; Weather in Boston averaged nearly 11° above normal,MARK PRATT The Associated Press,NATION & WORLD; NationWorld; Pg. 17,,494 words,,,"January 1, 2016",ENGLISH,,,,,,Newspaper,Copyright 2016 Times Publishing Company                               All Rights Reserved
,degree,record,december,temperature,average,normal,warmth,weather,include,area,crop,National_Weather_Service,Massachusetts,far,accord,number,wednesday,previous,run,old,unusual,meteorologist,other,make,farmer,season,go,snow,warm,hurt,winter,continue,ice,skate,tobogganing,northeast,outdoor,grilling,golf,child,frolick,short,skip,rope,play,soccer,common,activity,shattered,across,region,release,preliminary,45.4,nearly,warmest,2006,13.3,higher,concord,best,35.4,stand,1891,beat,34.8,2001,city,ahead,draw,close,providence,reach,shatter,prolong,pattern,warmer,people,love,rely,cold,live,loath,mix,bless,take,advantage,outside,enjoy,shovel,parking,spot,snowstorm,finally,return,near,range,wish,last
,8,7,6,6,4,4,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"January 17, 2016 Sunday",70 of 94 DOCUMENTS,The Tampa Tribune (Florida),"Raise a stein, catch a concert, visit a park and walk on water (sort of) this year",BETH J. HARPAZ The Associated Press,BAYLIFE AND TRAVEL; Baylife; Pg. 1,,900 words,,,"January 17, 2016",ENGLISH,,,,,,Newspaper,Copyright 2016 Times Publishing Company                               All Rights Reserved
,diam,open,travel,new,500,place,2016,july,100,may,april,water,indy,centennial,beer,event,fan,visit,million,include,park,world,experience,tourist,freeze,Disney,rio,walk,400,die,drive,host,aug,choose,candidate,tourism,northern,float,project,offer,turn,design,mark,national,monument,part,many,around,plan,tour,performance,celebrate,concert,light,glacier,record,visitor,wildlife,industry,list,top,show,expect,Mercy,Christo,Cleveland,U.S.,California,America,National_Park_Service,Shakespeare,San_Francisco,Norway,Florida,look,ahead,artist,philadelphia,next,president,pure,among,olympic,de,bowl,important,football,game,take,feb,k9er,stadium,free,public,village,pregame,beginning,jan,cleveland
,14,7,6,6,5,5,5,5,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"January 26, 2016 Tuesday",73 of 94 DOCUMENTS,The Tampa Tribune (Florida),Democrats participate in Iowa town hall; Sanders defends tax hike designed to eliminate health care premiums,JULIE PACE and CATHERINE LUCEY; The Associated Press,NATION & WORLD; NationWorld; Pg. 3,,503 words,"DES MOINES, Iowa",,"January 26, 2016",ENGLISH,,,,,,Newspaper,Copyright 2016 Times Publishing Company                               All Rights Reserved
,Sanders,Clinton,monday,Iowa,tax,voter,democratic,former,state,percent,president,call,care,candidate,presidential,caucuse,raise,eliminate,health,insurance,sander,exist,government,policy,three,event,vote,politics,poll,o'malley,secretary,young,people,Vermont,defend,raising,americans,exchange,lower,heath,cost,open,forum,platform,hopeful,make,close,argument,week,yes,admission,rarely,hear,campaign,may,go,private,premium,individual,business,replace,nation,system,become,single,payer,provide,coverage,deductible,argue,bring,spend,control,socialist,cast,govern,philosophy,reflect,right,economic,security,sidestepp,question,whether,mean,era,big,address,town,hall,hillary,struggle,gain,traction,race,appear,later,recent,try
,9,5,4,4,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"January 31, 2016 Sunday",75 of 94 DOCUMENTS,The Tampa Tribune (Florida),Cheney to run for Wyoming's U.S. House seat; Campaign may center around 'war on coal',MEAD GRUVER; The Associated Press,NATION & WORLD; NationWorld; Pg. 18,,261 words,"CHEYENNE, Wyo.",,"January 31, 2016",ENGLISH,,,,,,Newspaper,Copyright 2016 Times Publishing Company                               All Rights Reserved
,campaign,wyoming,run,state,coal,U.S.,Cheney,former,fail,senate,federal,plan,announce,town,recently,republican,move,Wyoming,elder,daughter,vice,president,follow,ago,another,attempt,woo,voter,resident,past,liz,cheney,file,election,document,friday,show,lone,seat,representative,official,formally,monday,northeastern,hit,hard,downturn,industry,suggest,base,fear,administration,wage,war,regulation,moratorium,leasing,immediately,reach,comment,brief,2013,try,unseat,senior,sen,mike,enzi,fellow,gain,traction,among,political,establishment,commentator,draw,considerable,nationwide,attention,virtually,mainstream,endorse,despite,fact,dominate,politics,every,level,many,express,skepticism,somebody,know,serve,well,quit,seven,2014,primary
,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"February 19, 2016 Friday",79 of 94 DOCUMENTS,The Tampa Tribune (Florida),"Pope: Wall shows Trump 'not Christian'; Presidential candidate fires back, calling statement 'disgraceful'",NICOLE WINFIELD and JULIE PACE The Associated Press,NATION & WORLD; NationWorld; Pg. 1,,884 words,,,"February 19, 2016",ENGLISH,,,,,,Newspaper,Copyright 2016 Times Publishing Company                               All Rights Reserved
,Trump,wall,border,pope,U.S.,presidential,Francis,immigration,people,illegally,percent,Mexico,campaign,thursday,building,religious,leader,candidate,election,already,visit,pray,president,republican,call,among,political,American,Christian,Vatican_City,christian,address,along,disgraceful,question,faith,rhetoric,policy,issue,comment,conclude,reporter,plane,think,million,person,hear,plan,add,nomination,respond,primary,attack,group,happen,take,last,position,enforcement,path,increasingly,voting,propose,catholic,identify,figure,Donald_Trump,United_States,South_Carolina,GOP,aboard,thrust,heat,declare,illegal,fire,back,ferociously,per,son,rare,pontiff,latest,development,roil,controversial,proposal,particularly,underscored,popular,willingness,needle,politician,hour,die,try,reach,speak,papal
,12,8,8,8,6,5,5,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"March 2, 2016 Wednesday",81 of 94 DOCUMENTS,The Tampa Tribune (Florida),Rays to play Cuban team in Havana [JUMP]Owner says several teams wanted to be picked for historic trip; Owner says several teams wanted to be picked for historic trip,ROGER MOONEY Tribune staff,NATION & WORLD; Sports; Pg. 1,,675 words,,,"March 2, 2016",ENGLISH,,,,,,Newspaper,Copyright 2016 Times Publishing Company                               All Rights Reserved
,baseball,game,Cuba,ray,president,travel,team,Rays,play,visit,major,trip,go,become,march,historic,look,league,party,player,passion,love,U.S.,exhibition,history,expect,tuesday,we,extremely,excited,part,union,something,experience,able,role,time,head,quite,well,attend,tremendous,focal,point,lottery,give,share,fan,Cuban,Sternberg,Tampa,Archer,no_brainer,make,sit,almost,right,middle,action,announce,island,nation,mile,south,finally,approve,the,national,final,latinoamericano,group,process,pitcher,representative,sense,country,mingle,culture,place,freely,principal,owner,video,post,raysbaseball.com,organization,relationship,improve,feel,really,start,back,certainly,decade,kind,normalize,relation,know,beginning
,12,11,10,6,6,6,5,5,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"March 4, 2016 Friday",83 of 94 DOCUMENTS,The Tampa Tribune (Florida),SECTION: NATION & WORLD; NationWorld; Pg. 7,,,,534 words,,,"March 4, 2016",ENGLISH,,,,,,Newspaper,Copyright 2016 Times Publishing Company                               All Rights Reserved
,president,go,former,call,ago,United_States,popular,civil,live,coolidge,issue,black,man,crime,die,city,Jesus,march,1966,quote,know,rock,roll,christianity,comment,cause,angry,backlash,seek,clarify,remark,tell,reporter,television,might,away,1789,constitution,effect,federal,congress,meet,lawmaker,adjourn,lack,quorum,1791,become,14th,state,1865,inaugurate,second,term,office,end,war,sight,declare,malice,toward,none,charity,1913,nickel,officially,circulation,1925,inauguration,broadcast,radio,station,dam,dedicated,namesake,1952,marry,california,1960,freighter,explode,harbor,kill,least,people,1974,magazine,publish,inc.,cover,actress,mia,farrow,1981,jury,convict,avow,racist,serial
,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"April 3, 2016 Sunday",88 of 94 DOCUMENTS,The Tampa Tribune (Florida),The four foreign policies,,VIEWS; Pg. 30,,789 words,WASHINGTON,,"April 3, 2016",ENGLISH,,,,,,Newspaper,Copyright 2016 Times Publishing Company                               All Rights Reserved
,foreign,policy,four,president,analog,Clinton,Trump,Closest,sander,world,mercantilist,give,historical,ally,we,money,Sanders,America,Islamic_State,school,pacifist,internationalist,unilateralist,part,debate,focus,question,war,must,mean,although,aggressive,keep,troops,attempt,power,contender,thus,take,carpet,bomb,promise,make,form,Cruz,Paris,U.S.,Iran,charle,krauthammer,dozen,contest,feature,cliffhanger,ton,flagrant,foul,final,pull,miracle,column,know,herewith,candidate,pacifism,utopianism,isolationism,nov,democratic,suppose,economy,occur,massacre,object,start,prevail,however,answer,pablum,immediately,way,impassion,attack,usual,handful,billionaire,boast,voting,vote,1991,gulf,reaction,dilemma,reflex,stay,away,involved,let,other
,9,8,5,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"April 5, 2016 Tuesday",91 of 94 DOCUMENTS,The Tampa Tribune (Florida),"Forget the April showers; Northeast is getting snow; Winds knocked out power to thousands in Pennsylvania, New Jersey",The Associated Press,NATION & WORLD; NationWorld; Pg. 20,,350 words,BOSTON,,"April 5, 2016",ENGLISH,,,,,,Newspaper,Copyright 2016 Times Publishing Company                               All Rights Reserved
,snow,inch,storm,area,wind,monday,much,expect,high,winter,state,northern,dozen,school,mph,police,fall,tree,sunday,although,knock,power,ten,thousand,resort,Boston,Connecticut,Maine,calendar,may,spring,strike,hard,deliver,end,drop,place,weather,advisory,issue,forecaster,call,higher,elevation,hit,forecast,include,well,less,coastal,district,mostly,western,massachusett,cancel,class,maximum,speed,along,entire,length,reduce,local,respond,fender,bender,in,woman,cite,accident,bus,send,driver,hospital,student,suffer,minor,injury,hospitalize,the,band,last,evening,temperature,plummete,street,freezing,record,stand,century,spot,accord,several,topple,hundred,across,bring,rot,mile
,9,5,4,4,4,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
