PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
"December 15, 2004 Wednesday",3 of 89 DOCUMENTS,The Tampa Tribune (Florida),Colder Weather Brings Fish Seeking Warmth,"FRANK SARGEANT, fsargean@tampabay.rr.com",SPORTS; Pg. 2,,732 words,,,"December 17, 2004",ENGLISH,,,,,,Newspaper,Copyright 2004 Times Publishing Company All Rights Reserved
,water,fish,winter,temperature,warmer,bay,snook,area,north,degree,stay,shore,river,wind,flat,fact,low,around,black,inside,spring,outflow,red,catch,plant,warm,captain,grouper,seminar,many,gauge,cold,december,monday,record,outside,bar,school,lot,deep,heat,sink,gather,mangrove,snapper,largemouth,bass,find,affect,along,bottom,common,big,stack,protect,near,power,world,thursday,813,sargeant,fsargean,tampabay.rr.com,angler,depend,amazing,array,electronics,range,position,radar,underwater,television,camera,sonar,yard,either,side,tool,make,enough,use,however,simple,thermometer,show,wide,spread,time,species,sensitive,include,follow,tourist,head,interstate,south,night,strong
,open,shop,business,saturday,store,a.m.,p.m.,813,Bowles,Geren,Xavier,tampatrib.com,back,build,ave,work,information,call,computer,ihathaway,yard,find,hobby,make,family,week,s.,inventory,lounge,customer,go,tuesday,software,flower,last,relocate,new,owner,designer,design,remain,everything,New_Jersey,hathaway,hear,marketing,fun,stop,company,warehouse,help,stage,prop,lawn,furniture,friend,decide,turn,3517,manhattan,bowle,bay,former,chair,table,arbor,gazebos,nearly,clean,collection,little,behind,right,course,bad,problem,complain,sell,step,stone,pot,plant,fence,decor,anything,piece,wooden,kid,never,able,use,short,another,example,professional,root,programmer,neck,enter
,9,6,5,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"July 1, 2004 Thursday",58 of 89 DOCUMENTS,The Tampa Tribune (Florida),Climber's Life Full Of Ups,"GEORGE WILKENS, gwilkens@tampatrib.com",NORTHEAST; Pg. 1,,701 words,,,"July 3, 2004",ENGLISH,,,"PHOTO 5 CHART Photo from Bob Kozyra Bob Kozyra, a Tampa Palms resident, likes to travel to such exotic locales as Argentina and the Moreno Glacier. Tribune photo by CANDACE C. MUNDY Mountain climbing can be ""quite miserable at times,"" says Bob Kozyra, who has photographs of his climbs all over the world. Associated Press file photo Mount Kilimanjaro Knight Ridder/Tribune file photo Mount Hood Associated Press file photo Mount Blanc",,,Newspaper,Copyright 2004 Times Publishing Company All Rights Reserved
,climb,Kozyra,mountain,foot,world,climber,summit,peak,reach,time,challenge,scale,condition,highest,include,location,fascinating,fact,Alaska,Africa,Mount_Hood,tampatrib.com,fighter,interested,rather,ascend,height,failure,test,"17,300",other,fall,weather,force,ascent,period,least,little,party,back,short,go,spend,altitude,along,kilimanjaro,glacier,may,mount,sea_level,Mount_McKinley,McKinley,Mount_Blanc,France,Oregon,gwilken,vacation,former,pilot,lounge,chair,much,new,testing,mettle,famous,longtime,resident,cambridge,connecticut,native,vice,president,office,become,ago,attend,seminar,start,small,chuckle,endurance,take,fellow,subfreeze,top,addition,physical,summer,carry,backpack,cram,pound,food,fuel,necessity,pull,sled,additional
,8,8,7,6,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"July 5, 2004 Monday",59 of 89 DOCUMENTS,The Tampa Tribune (Florida),"""Relic' Rodent Intrigues Scientists","JIM TUNSTALL, jtunstall@tampatrib.com",METRO; Pg. 1,,392 words,,,"July 7, 2004",ENGLISH,,,"PHOTO Photo by MIKE MITCHELL The salt marsh vole was federally listed as an endangered species in 1991, nine years after the discovery of the first colony near Cedar Key.",,,Newspaper,Copyright 2004 Times Publishing Company All Rights Reserved
,vole,Florida,find,second,ago,Barlow,tunstall,tampatrib.com,salt,marsh,slowly,know,1982,refuge,trap,three,species,think,small,today,end,sea,level,meadow,cousin,survive,grass,Levy_County,Cedar_Key,help,odd,jtunstall,household,name,face,prehistoric,throwback,ever,make,presence,researcher,rodent,near,spring,biologist,assistant,manager,habitat,area,mile,north,key,federally,list,endangered,1991,expert,number,major,storm,wipe,colony,important,april,spend,four,conduct,real,search,examine,photograph,release,female,male,member,date,period,thousand,toward,arid,lower,fossilize,show,long,begin,change,humid,climate,higher,disappear,live,south,carolinas,kind,extinct,clan,evolve,subspecy,slightly
,9,5,4,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"July 14, 2004 Wednesday",60 of 89 DOCUMENTS,The Tampa Tribune (Florida),BUSINESS BRIEFS,A staff and wire report,MONEYSENSE; Pg. 1,,470 words,,,"July 15, 2004",ENGLISH,,,,,,Newspaper,Copyright 2004 Times Publishing Company All Rights Reserved
,percent,billion,pay,raise,tuesday,employer,worker,increase,company,budget,3.5,survey,last,settlement,million,without,keep,improve,plan,larger,next,much,gain,take,release,2004,balance,period,spend,trillion,duke,energy,make,disclose,financial,report,a.m.,weekdays,despite,economy,granting,limited,slightly,2005,3.3,modest,faster,rate,inflation,higher,contribution,health,care,eat,analyst,business,condition,however,wary,largely,permanent,cost,big,today,dynamic,unlikely,change,conclude,another,deepen,government,deficit,balloon,326.6,nine,accord,snapshot,sheet,269.7,shortfall,corresponding,begin,oct,total,1.73,6.4,ago,1.40,previous,far,biggest,category,program,include,407.1,397,military,322.3,interest
,6,6,5,4,4,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"July 17, 2004 Saturday",61 of 89 DOCUMENTS,The Tampa Tribune (Florida),"Growth, Environment Can Co-Exist","PENNY FLETCHER, pfletcher@mediageneral.com",BRANDON; Pg. 11,,557 words,,,"July 19, 2004",ENGLISH,,,,,,Newspaper,Copyright 2004 Times Publishing Company All Rights Reserved
,South_Shore,people,area,use,water,environment,lawn,seawall,less,way,call,home,replace,natural,shoreline,community,resident,many,wetland,find,new,green,along,without,estuary,grass,hold,native,plant,take,association,code,concrete,mile,build,mangrove,fish,grow,fill,part,damage,1990,fewer,"80,000",2002,"137,500",current,estimate,show,2025,"250,000",flock,beauty,climate,lifestyle,perfect,spouse,immediately,try,remake,everything,possible,change,attract,place,civic,group,concentrate,taming,impact,development,provide,public,transportation,road,expert,detriment,individual,control,force,sandy,building,waterway,drive,cut,height,thousand,dollar,spend,annually,keep,free,pest,fertilize,trim,program,various,class,educate
,7,6,6,6,5,4,4,4,4,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"July 23, 2004 Friday",64 of 89 DOCUMENTS,The Tampa Tribune (Florida),Consultant's Study Of Impact Fees Raises Concerns,"JOE HUMPHREY, jhumphrey@tampatrib.com",METRO; Pg. 4,,632 words,TAMPA,,"July 24, 2004",ENGLISH,,,,,,Newspaper,Copyright 2004 Times Publishing Company All Rights Reserved
,fee,impact,county,consultant,commissioner,study,document,increase,pay,home,million,administration,thursday,number,school,typical,recommendation,plan,growth,builder,tax,McClendon,humphrey,tampatrib.com,call,local,suggest,ordinance,go,insert,quadruple,transportation,mean,platt,hearing,support,higher,stand,generate,"2,074",last,revenue,full,new,public,workshop,single_family,contain,suggestion,jhumphrey,little,something,extra,appear,dramatic,yet,much,oz,warning,attention,man,behind,curtain,observer,ignore,part,"94,000",contract,district,provide,rewrite,rather,skip,schedule,nearly,assessment,suppose,help,park,fire,rescue,manager,boss,figure,official,fact,management,director,ask,information,work,question,might,send,back,replace,hidden,agenda,conspiracy
,17,9,8,6,6,5,5,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"August 25, 2004 Wednesday",67 of 89 DOCUMENTS,The Tampa Tribune (Florida),Vegetarian Paradise,"PEGGY LIM, plim@tampatrib.com",PASCO; Pg. 1,,979 words,,,"August 27, 2004",ENGLISH,,,"PHOTO 4 CHART Tribune photos by CANDACE C. MUNDY Stalks of lemongrass are among the crops Trang Viet, owner of Trang Viet Cuisine, grows at his 5-acre garden in Lutz. Viet checks out a loofah squash in the garden where he also grows variations of mint and basil. Tribune photos by CANDACE C. MUNDY Trang Viet uses some of his garden's produce to feed his large family. Most of it goes to his restaurant at 1524 E. Fowler Ave. Many menu items come from his garden or bear the flavors of his homegrown herbs, such as this type of chili.",,,Newspaper,Copyright 2004 Times Publishing Company All Rights Reserved
,Viet,food,restaurant,vegetarian,herb,dish,Tampa,family,vegan,eat,people,owner,fruit,customer,flavor,vietnamese,plant,farm,work,fresh,popular,U.S.,MOST,spice,many,lim,tampatrib.com,love,grow,acre,go,1524,e.,fowler,draw,base,include,ingredient,menu,garden,subtle,without,basil,every,cinnamon,hold,soup,pomelo,tree,numerous,often,use,find,seven,study,computer,area,fish,percent,accord,fill,place,have,dessert,salad,healthy,always,easy,group,americans,813,a.m.,p.m.,Columbia_Restaurant,United_States,Buddhist,Florida_Voices,Vietnamese,eatery,meatless,plim,cook,other,vast,array,vegetable,part,feed,large,extend,bulk,despite,low,profile,ave,praise,broad,fan,mayor
,17,11,8,8,7,7,6,5,5,5,4,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"August 29, 2004 Sunday",68 of 89 DOCUMENTS,The Tampa Tribune (Florida),Mayor Holds The Line On Taxes While Moving City Forward,,COMMENTARY; Pg. 2,,588 words,,,"September 2, 2004",ENGLISH,,,CHART,,,Newspaper,Copyright 2004 Times Publishing Company All Rights Reserved
,city,budget,department,Iorio,mayor,percent,increase,neighborhood,million,2005,hold,investment,efficiency,recreation,cost,2004,Tampa,iorio,674,4.3,focus,public,continue,property,may,major,justified,still,job,streamline,performance,purchase,practice,training,operation,study,stormwater,next,government,cut,sidewalk,east,tampa,fund,submit,pam,propose,represent,rightly,safety,basic,service,line,tax,millage,rate,stay,6.539,mill,however,revenue,grow,value,fee,economic,growth,council,tinker,hearing,doubt,find,change,concerted,effort,ensure,operate,efficiently,economically,possible,inherite,affordable,housing,scandal,questionable,past,perception,hall,become,lifetime,appointment,climate,evidence,tough,choice,credit,make,priority,consolidate,park
,12,11,5,5,4,4,4,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"October 4, 2004 Monday",70 of 89 DOCUMENTS,The Tampa Tribune (Florida),Pacific El Niño Is Too Late To Curtail Hurricane Season,"NEIL JOHNSON, njohnson@tampatrib.com",METRO; Pg. 1,,464 words,TAMPA,,"October 7, 2004",ENGLISH,,,,,,Newspaper,Copyright 2004 Times Publishing Company All Rights Reserved
,el,niño,winter,hurricane,storm,rainfall,water,season,normal,cause,wind,go,may,march,rain,Pacific,tampatrib.com,warm,last,form,three,shift,atmosphere,1997,niao,past,average,probably,weak,compare,effect,river,chance,inch,look,depend,dry,recover,Pacific_Ocean,Alsheimer,njohnson,little,late,pretty,much,assessment,hope,new,round,brutal,scientist,prediction,center,temperature,part,near,equator,consecutive,threshold,present,high,move,west,make,difficult,shear,essentially,lop,top,strongest,century,camp,four,tropical,far,six,lucky,magic,button,end,assistant,state,climatologist,thing,especially,take,time,change,pattern,need,reduce,number,likely,wet,something,resident,watch,flow,doorstep
,11,9,7,5,4,4,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"November 21, 2004 Sunday",76 of 89 DOCUMENTS,The Tampa Tribune (Florida),NEEM PLAYERS,"BAIRD HELGESON, bhelgeson@tampatrib.com",MONEYSENSE; Pg. 1,,1293 words,BRANDON,,"November 24, 2004",ENGLISH,,,"PHOTO 5 Tribune photos by KATHY MOORE-LENGELL (2) Jerry Britner, who operates Neem Tree Farms with Vicki Parsons, splits his time between their facilities in Brandon and a 300-acre farm in Mexico's Yucatan Peninsula. They have about 20 full-time Mayan workers in Mexico. (2) Vicki Parsons runs the business out of her home in Brandon, next to two greenhouses that hold neem saplings, above. Parsons is such a believer in neem that she supplements her dogs' diet with it, right. Tribune photo by KATHY MOORE-LENGELL Vicki Parsons' Neem Tree Farms has quietly become a leading player in U.S. neem production. Neem Tree Farms has a 300-acre facility in Mexico in addition to two greenhouses in Brandon.",,,Newspaper,Copyright 2004 Times Publishing Company All Rights Reserved
,neem,product,grow,Britner,tree,Parsons,parson,business,people,industry,sale,become,million,United_States,pesticide,use,farm,India,benefit,every,world,oil,aloe,vera,plant,among,natural,company,sell,Brandon,know,interest,medicinal,herb,include,medicine,soap,greenhouse,profitable,ailment,lotion,take,organic,popular,market,annual,local,crop,garden,Yucatan_Peninsula,tampatrib.com,nation,organically,problem,relatively,foot,leave,mostly,sapling,production,largest,1992,revenue,herbal,tropical,shelf,store,promote,right,less,percent,national,customer,producer,lead,accord,increase,shampoo,ago,ounce,retail,profit,new,report,cure,make,many,around,without,acre,citrus,look,official,Mexico,Africa,U.S.,neem_based,Indian,root
,39,15,11,11,9,8,7,6,6,6,6,6,6,6,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
"December 4, 2004 Saturday",77 of 89 DOCUMENTS,The Tampa Tribune (Florida),Forecaster Says Next Season Will Produce 6 Hurricanes,"NEIL JOHNSON, njohnson@tampatrib.com",METRO; Pg. 1,,256 words,TAMPA,,"December 6, 2004",ENGLISH,,,,,,Newspaper,Copyright 2004 Times Publishing Company All Rights Reserved
,hurricane,season,storm,forecast,active,Gray,tampatrib.com,four,2004,state,hit,2005,average,tropical,six,major,el,Florida,florida,necessarily,doom,njohnson,note,forecaster,predict,next,busy,resident,expect,repeat,horrific,flog,mean,professor,issue,outlook,friday,begin,june,end,nov,call,slightly,form,develop,three,become,wind,111,mph,compare,niño,dampen,development,play,role,continue,normal,pattern,start,1995,every,except,1997,century,powerful,niao,dominate,globe,weather,despite,devastation,relatively,1970,reporter,neil,johnson,reach,352,copyright,©,may,republish,without,permission,library,PROFESSOR,NEIL,JOHNSON,TAMPA,William_Gray,Colorado_State_University,Hurricane,long_term,Pacific_Ocean,Tampa_Tribune,E_mail
,10,9,4,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"December 7, 2004 Tuesday",78 of 89 DOCUMENTS,The Tampa Tribune (Florida),El Niño Not Expected To Greatly Affect Area,"NEIL JOHNSON, njohnson@tampatrib.com",METRO; Pg. 2,,429 words,TAMPA,,"December 9, 2004",ENGLISH,,,PHOTO Tribune file photo (1998) A strong El Niño dumped nearly 24 inches of rain on the Bay area in the winter of 1997-98. One result was flooding on Manhattan Avenue in Tampa.,,,Newspaper,Copyright 2004 Times Publishing Company All Rights Reserved
,winter,el,niño,temperature,water,average,weather,normal,bring,inch,rain,mean,degree,january,cold,freezing,week,Zierden,Tampa,major,rainfall,tampatrib.com,warmer,might,rainy,high,turn,area,typical,strong,enough,warm,reach,coast,move,march,afternoon,start,december,way,air,dec.,record,Tampa_Bay,weak,muster,njohnson,puny,florida,collect,shift,occur,wind,atmosphere,normally,dry,last,powerful,dump,nearly,almost,half,amount,fall,entire,7.6,expect,heavy,assistant,state,climatologist,trigger,change,upside,cover,central,pacific,need,pump,heat,moisture,storm,scientist,prediction,agree,pretty,meteorologist,mild,end,shot,front,work,toward,far,south,funnel,pure,near,go
,11,6,6,6,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"December 8, 2004 Wednesday",79 of 89 DOCUMENTS,The Tampa Tribune (Florida),RECRUITING NOTEBOOK,"IZZY GOULD, igould@tampatrib.com",PASCO; Pg. 7,,745 words,,,"January 29, 2005",ENGLISH,,,"PHOTO 2 Khalil Madani Tribune file photo by FRED BELLET (2003) Wesley Chapel's Danny Tolley was supposed to be visited by Florida coaches last week, but they didn't make it. Tolley isn't sure how UF's coaching change will affect the school recruiting him.",,,Newspaper,Copyright 2004 Times Publishing Company All Rights Reserved
,Madani,coach,Florida,look,go,school,decision,military,consider,offer,visit,last,weekend,academy,make,medical,head,department,take,Wesley_Chapel,Air_Force,four_year,Tolley,Dave_Tolley,gould,tampatrib.com,temperature,snow,top,wish,list,soon,forget,weird,morning,wake,nothing,lineman,entrance,program,recruit,eat,lunch,schooling,follow,still,might,time,football,chapel,trip,probably,saturday,new,highlight,tape,defensive,finish,season,South_Carolina,USF,Wesley,Mustangs,Schmitz,igould,sure,commitment,deal,many,difference,drastic,dip,sight,breath,mountain,stark,december,contrast,subtropical,climate,bother,collegiate,fill,nonstop,courtesy,feel,embraced,beauty,colo,experience,sunday,hotel,room,window,cover,outside,learn,drop,degree
,10,6,5,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"January 15, 2004, Thursday",82 of 89 DOCUMENTS,The Tampa Tribune (Florida),NEIGHBORS,"LENORA LAKE, Tribune correspondent; Send news of social activities, landmark anniversaries, birthdays and other items of community interest to Lenora Lake at (813) 977-2854, Ext. 24; write her at 15310 Amberly Drive, Suite 102, Tampa FL 33647; fax to (813) 975-9488.","SOUTH TAMPA, Pg. 6",,805 words,,,"January 17, 2004",ENGLISH,,,,,,,Copyright 2004 Times Publishing Company                               All Rights Reserved
,TAMPA,a.m.,813,SOUTH,organization,luncheon,president,information,call,friday,meeting,class,fashion,show,feature,member,child,chairwoman,event,speak,student,morning,program,spring,column,Tampa,committee,meet,home,past,s.,ave,founder,parent,wellman,safe,social,w.,st,friendship,page,live,attend,school,musicale,celebrate,membership,begin,10:30,noon,theater,new,teens,saturday,support,daytime,auxiliary,neighbor,CASS_Program,Tampa_Prep,lamplighter,sake,help,crisis,busy,prepare,annual,set,feb.,6200,courtney,campbell,causeway,ticket,person,patron,9:45,today,815,newport,prep,popularity,found,create,climate,727,cass,use,teach,identify,healthy,unhealthy,nurture,true,8:45,part,education,arm,junior
,7,6,6,6,5,5,5,5,5,5,5,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"January 19, 2004, Monday",83 of 89 DOCUMENTS,The Tampa Tribune (Florida),Across the Region,SEAN LENGELL; ELLEN GEDALIUS; DAVE NICHOLSON; TOM BRENNAN; DAVE NICHOLSON; RONNIE BLAIR; STEVEN ISBITTS; DAVID SOMMER,"METRO, Pg. 2",,1164 words,,,"January 21, 2004",ENGLISH,,,,,,,Copyright 2004 Times Publishing Company                               All Rights Reserved
,city,school,meeting,county,rate,community,retention,plan,property,commission,raise,court,district,commissioner,elementary,percent,area,p.m.,tax,road,information,parent,plant,back,show,hold,approve,law,student,state,crossing,bus,annexation,annex,preserve,Pinellas_County,Starkey_Road,redevelopment,series,begin,6:30,tuesday,st.,project,e.,jan.,n.,end,research,director,money,cover,provide,"50,000",child,sport,foot,use,wedding,go,thomas,high,move,senior,audition,talent,st,park,live,regulate,parking,recreational,vehicle,camper,permit,number,grade,2003,drive,compare,rebuild,railroad,traffic,official,TAMPA,Hillsborough_County,Florida,CITY,RVs,Seminole_Boulevard,Belcher_Road,Feather_Sound,regard,propose,east,tampa,3724,54th,cra
,12,11,6,6,6,5,5,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1
"February 14, 2004, Saturday",87 of 89 DOCUMENTS,The Tampa Tribune (Florida),Gay Floridians Join Marriage Debate,"BRAD SMITH, bsmith@tampatrib.com; (CEP)","METRO, Pg. 1",,781 words,,,"February 17, 2004",ENGLISH,,,"PHOTO (C) Tribune photo by JASON BEHNKEN
(C) Tony Zannino, right, wants to marry Bill Kanouff, his boyfriend of five years.",,,,Copyright 2004 Times Publishing Company                               All Rights Reserved
,marriage,gay,rights,couple,Florida,legal,state,marry,same_sex,Mavro,issue,people,Feist,together,think,debate,become,civil,announcement,newspaper,group,relationship,homosexual,social,expect,divide,president,opponent,recently,legalize,rule,rally,stage,ban,1997,area,step,try,name,union,publish,wedding,consider,perform,many,equality,void,Tampa,U.S.,Massachusetts,Schuler,Winfield,five,ready,hitch,antiquate,typical,domestic,standoff,maybe,different,view,define,play,amid,national,concept,need,term,medieval,archaic,institution,bookstore,owner,remain,spotlight,friday,explosive,election,may,particularly,true,democrat,sen,whose,home,nationwide,include,today,schedule,p.m.,7525,n.,boulevard,city,coalition,advocate,www.dontamend.com,oppose
,17,10,9,8,6,5,5,5,5,5,4,4,4,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"February 15, 2004, Sunday",88 of 89 DOCUMENTS,The Tampa Tribune (Florida),2 Florida Preserves Are Spared From Cuts,"MIKE SALINERO, msalinero@tampatrib.com; Reporter Mike Salinero can be reached at (850) 222-8382.","METRO, Pg. 1",,1162 words,,,"February 18, 2004",ENGLISH,,,"MAP (C) CHART Tribune map
(MAP) (C) Big Cypress National Preserve",,,,Copyright 2004 Times Publishing Company                               All Rights Reserved
,million,oil,preserve,budget,president,environmental,mineral,cypress,deal,buy,rights,funding,money,spend,everglade,exploration,drilling,big,family,Florida,question,propose,cut,project,billion,120,environmentalist,worth,think,price,collier,acre,Bush,Big_Cypress,conservation,restoration,last,proposal,potential,reserve,land,protect,spokesman,include,inquiry,make,site,research,Southwest_Florida,Collier,Washington,slated,slash,1.9,group,congressional,source,lean,find,increase,prevent,purchase,welcome,lobbyist,vote,development,among,governor,plan,good,tell,department,well,support,mad,place,develop,need,inspector,general,donation,graham,sure,federal,government,rigs,much,mean,clear,eliminate,Audubon,U.S.,raise,many,deep,fiscal,2005,program,5.9
,16,14,10,9,8,8,7,7,6,6,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1
