PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
"February 1, 2007 Thursday",2 of 182 DOCUMENTS,The Tampa Tribune (Florida),IS THE SKY FALLING?,"KEVIN BEGOS, The Tampa Tribune",NATION/WORLD; Pg. 1,,1205 words,,,"February 6, 2007",ENGLISH,,,CHART PHOTO,,,Newspaper,Copyright 2007 Times Publishing Company All Rights Reserved
,global,warming,report,insurance,change,hurricane,company,insurer,much,uncertainty,may,make,storm,need,climate,last,temperature,Valverde,coastal,policy,friday,model,industry,higher,Scott,raising,rate,spokesman,part,have,issue,due,release,reinsurance,cost,though,draft,stronger,suggest,take,Florida,new,convinced,bego,major,expect,warmer,human,likely,percent,scientific,debate,already,pay,fact,ocean,private,answer,process,state,risk,play,far,yet,huge,average,loss,billion,increase,business,catastrophe,price,weather,help,although,situation,example,accord,link,enough,powerful,data,cooler,1930,spike,decade,contribute,component,many,public,modeling,project,greenhouse,gas,ground,happen,solution,require,mean
,13,9,6,6,6,5,5,5,5,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"June 30, 2007 Saturday",140 of 182 DOCUMENTS,The Tampa Tribune (Florida),NEIGHBORS,LENORA LAKE,NORTHEAST; Pg. 14,,1025 words,,,"July 5, 2007",ENGLISH,,,PHOTO,,,Newspaper,Copyright 2007 Times Publishing Company All Rights Reserved
,club,member,rotary,bear,check,guest,include,assist,organization,meeting,call,813,teddy,New_Tampa,project,internationally,"1,000",receive,grant,accept,a.m.,friday,july,p.m.,usf,scientist,docent,University,College,USF,charity,money,community,president,june,go,good,area,international,woman,name,student,various,speak,drive,detail,computer,physical,2007,department,recognize,specialize,journal,engineering,research,bring,million,choose,board,chair,doll,antique,home,hour,saturday,training,program,class,volunteer,tampatrib.com,photo,TAMPA,Tampa_Palms_Golf,Country_Club,Mort_Manatee_Market,New_Tampa_Players,e_mail,Business,CAMPUS,South_Florida,Norris,Lani,Collectibles,donate,recently,present,total,"70,000",locally,raise,event,pig,roast,end,sunday,fun,presidency,extend,help
,10,8,7,5,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"July 7, 2007 Saturday",141 of 182 DOCUMENTS,The Tampa Tribune (Florida),(NEIGHBORS),LENORA LAKE,SOUTH TAMPA; Pg. 5,,780 words,,,"July 11, 2007",ENGLISH,,,PHOTO 3,,,Newspaper,Copyright 2007 Times Publishing Company All Rights Reserved
,event,research,USF,"60,000",krewe,member,photo,dance,2007,p.m.,813,june,chairwoman,cancer,president,TAMPA,benefit,facility,sponsor,door,open,music,available,feature,stone,student,performance,call,300,guest,annual,uncork,wine,auction,raise,lab,director,work,ray,gurka,provide,entertainment,committee,contribute,division,cabana,computer,department,specialize,journal,bring,million,grant,board,meeting,serve,alumnus,chapter,chairman,benfield,tampatrib.com,Cure,Zingaro,Children,Randi_Rom,Lennar,Weisberg,Norris,Tampa,e_mail,sizzle,july,2225,n.,lois,ave,ballroom,latin,dancing,refreshment,show,well,champion,dancer,romantic,theatrical,ticket,advance,zingaro,tasting,don,sundress,tropical,shirt,third,food,silent,live,patricia
,7,5,5,4,4,4,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"August 6, 2007 Monday",145 of 182 DOCUMENTS,The Tampa Tribune (Florida),Landfill No Threat To Pasco Resources,DOMINIC IAFRATE,NATION/WORLD; Pg. 13,,534 words,,,"August 13, 2007",ENGLISH,,,,,,Newspaper,Copyright 2007 Times Publishing Company All Rights Reserved
,recycl,propose,facility,material,exist,county,Angelo,editorial,dump,compost,use,garbage,without,environmental,water,layer,include,incinerator,class,organic,advanced,site,dispose,exceed,state,standard,rush,judgment,surface,discharge,keep,another,liner,system,groundwater,natural,clay,soil,sinkhole,environment,alternative,trash,million,permit,local,FDEP,Green_Swamp,iafrate,july,build,opinion,regard,landfill,leave,significant,detail,uniformed,many,account,building,technology,provide,capacity,100,store,household,define,solid,waste,controls,describe,support,fact,express,concern,perceive,negative,impact,drink,design,runoff,withlacoochee,river,criterion,establish,management,district,review,application,assault,level,capability,flat,wrong,experience,project,team,install,ensure
,6,5,5,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"August 14, 2007 Tuesday",147 of 182 DOCUMENTS,The Tampa Tribune (Florida),Green Energy in Florida: It Can Be Done,BARRY MOLINE,NATION/WORLD; Pg. 7,,617 words,,,"August 20, 2007",ENGLISH,,,PHOTO 2,,,Newspaper,Copyright 2007 Times Publishing Company All Rights Reserved
,energy,utility,renewable,cost,electric,green,efficiency,goal,percent,power,resource,solar,municipal,photo,Florida,electricity,do,include,conservation,time,free,conventional,control,consumer,state,call,today,believe,focus,we,many,problem,rooftop,significantly,hardware,make,expensive,achieve,accomplish,million,commit,think,part,climate,action,plan,charlie,crist,upon,produce,emphasis,wind,fraction,raising,question,help,reach,protect,pocketbook,resident,people,ask,generate,juice,exciting,electrically,speak,flick,switch,know,sun,fuel,nuclear,coal,natural,gas,yes,sunlight,total,close,biomass,general,deeply,concerned,customer,whenever,seek,build,supply,show,plant,propose,serious,set,change,law,require,try,hardest
,15,11,10,9,7,6,5,5,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"October 13, 2007 Saturday",156 of 182 DOCUMENTS,The Tampa Tribune (Florida),BUSINESS BRIEFS,A staff and wire report,BUSINESS; Pg. 1,,460 words,,,"October 20, 2007",ENGLISH,,,,,,Newspaper,Copyright 2007 Times Publishing Company All Rights Reserved
,bank,progress,energy,company,area,chief,million,expect,percent,report,officer,friday,last,operating,orange,box,grapefruit,Johnson,deposit,five,second,name,executive,board,serve,olive,reach,season,production,pound,a.m.,America,bay,rank,among,june,10.2,billion,20.75,market,share,accord,week,federal,insurance,corp,wachovia,round,top,metropolitan,statistical,107,office,116,pick,ceo,d.,chairman,director,replace,b.,mcgehee,die,tuesday,suffer,stroke,weekend,parent,st.,florida,largest,electric,utility,state,1.7,customer,join,1992,president,time,death,current,position,fill,tribute,leadership,talented,management,team,place,effective,succession,plan,capable,leader,member,importer,a.,camacho
,5,5,5,5,4,4,4,4,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"November 18, 2007 Sunday",162 of 182 DOCUMENTS,The Tampa Tribune (Florida),Vinny Lecavalier: WORLD TRAVELER,"ERIK ERLENDSSON, The Tampa Tribune",SPORTS; Pg. 3,,1134 words,,,"November 30, 2007",ENGLISH,,,,,,Newspaper,Copyright 2007 Times Publishing Company All Rights Reserved
,Lecavalier,trip,time,world,vacation,Morocco,destination,summer,shark,surf,lecavalier,cage,photo,might,take,visit,little,include,land,water,small,lightning,think,family,itinerary,couple,right,look,bit,different,activity,thing,swim,coast,plan,encounter,great,desert,safari,diving,venture,go,2004,adventure,2007,center,spend,offseason,erlendsson,maybe,perhaps,matter,hang,along,reach,tourist,put,without,find,experience,something,white,riding,bush,eat,breakfast,elephant,foreground,monkey,location,escape,hockey,season,kind,though,good,stop,travel,town,thrilling,make,corner,air,house,inside,hunt,hand,cliff,sweat,area,although,2006,tampatrib.com,Tampa_Tribune,Vinny_Lecavalier,three_day,South_Africa,Maui,top
,11,9,7,6,6,6,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
"December 14, 2007 Friday",164 of 182 DOCUMENTS,The Tampa Tribune (Florida),Celebrate The Season With Sister Hazel,"CURTIS ROSS, The Tampa Tribune",FRIDAY EXTRA; Pg. 13,,589 words,,,"December 27, 2007",ENGLISH,,,,,,Newspaper,Copyright 2007 Times Publishing Company All Rights Reserved
,album,Newell,band,tour,release,Santa,holiday,sister,hazel,part,fight,set,song,christmas,show,rap,make,record,without,label,go,813,guitarist,really,bandmate,perform,support,new,playlist,include,tonight,concertgoer,encourage,bring,actually,put,together,material,independent,hit,around,brother,tampatrib.com,photo,Sister_Hazel,Tampa,Toys,Tots,Christmas,Universal,ross,resident,find,colder,climate,always,equal,spirit,telephone,recently,freezing,cold,snow,ground,turn,slush,gray,kind,depress,laugh,mood,doubtless,lighten,considerably,later,evening,tune,intersperse,twelve,benefit,toy,money,donate,stage,deck,tree,feature,appearance,um,parody,studio,joke,wound,insist,decide,suit,time,little,easier
,8,8,5,5,5,5,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"December 19, 2007 Wednesday",165 of 182 DOCUMENTS,The Tampa Tribune (Florida),"Citrus Grower Blends Tradition, Technology","STEPHEN HAMMILL, The Tampa Tribune",NORTHWEST; Pg. 12,,1100 words,,,"January 1, 2008",ENGLISH,,,,,,Newspaper,Copyright 2007 Times Publishing Company All Rights Reserved
,fruit,grove,Dennison,orange,business,citrus,pick,photo,Citrus,Cee_Bee,way,grapefruit,tangerine,old,people,everything,work,Burchenal,rare,client,time,thing,new,cae,bee,fresh,tree,sell,product,state,four,week,stay,lot,area,know,assembly,line,alongside,canker,STEPHEN,hammill,handful,grower,find,without,collection,specialize,variety,seven,worker,customer,manager,explain,package,web,site,help,owner,land,afternoon,ship,grocery,store,put,sale,niche,add,pack,around,long,hour,storefront,open,a.m.,p.m.,season,burchenal,staff,recent,crew,delivery,county,packing,house,weather,five,allow,use,another,three,good,sort,look,every,gas,dye,go,call
,15,12,12,10,10,10,6,6,6,5,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"December 26, 2007 Wednesday",168 of 182 DOCUMENTS,The Tampa Tribune (Florida),CONSUMER ASK,"MARY A. KEITH, Tribune correspondent",BAYLIFE FLAVOR; Pg. 5,,603 words,,,"January 7, 2008",ENGLISH,,,,,,Newspaper,Copyright 2007 Times Publishing Company All Rights Reserved
,starch,use,resistant,pasta,recipe,salt,butter,make,flavor,time,a.,unsalted,buy,dry,q.,rum,extract,fruit,marmalade,lot,slice,pudding,freeze,cookie,need,work,brighter,content,add,teaspoon,call,enough,water,liquid,orange,food,processor,air,faster,boil,jell,have,quite,bacteria,type,sell,green,preservative,homemade,egg,sure,break,calamondin,instant,cinnamon,spice,bitter,correspondent,really,go,accord,sodium,versus,ingredient,difference,ball,alcohol,much,ounce,tablespoon,extra,juice,equal,total,amount,grind,must,rind,think,result,take,hand,quickly,beat,darken,destroy,note,taste,cook,dull,peel,let,sit,overnight,finish,next,divide,shorter,period
,8,7,6,6,5,5,5,5,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"August 30, 2007 Thursday",171 of 182 DOCUMENTS,The Tampa Tribune (Florida),Just Add Fall,CLOE CABRERA,BAYLIFE,,1017 words,,,"September 5, 2007",ENGLISH,,,PHOTO 7,,,Newspaper,Copyright 2007 Times Publishing Company All Rights Reserved
,look,jacket,short,fall,dress,pair,tights,jeans,belt,photo,summer,shirt,wear,top,wrap,red,black,style,favorite,lightweight,skinny,Polo,season,piece,make,texture,extra,sweater,add,vest,layer,patent,leather,clothes,flirty,turtleneck,trench,coat,blouse,crop,go,tee,line,turn,tie,shape,leg,ed,hardy,tiger,tunic,T_shirt,BCBGirls,live,cabrera,sheer,replace,pack,longer,change,great,cinch,white,cardigan,continue,still,tuck,beneath,denim,cool,factor,hottest,corduroy,man,waist,wide,140,jumper,pleated,cargo,track,swing,gray,lace,trim,tampatrib.com,warm_weather,Dillard,International_Plaza,Gladden,short_sleeve,Corduroy,Michael_Kors,creative,brighten,another,story,notice,sundress
,14,12,12,10,9,9,9,9,9,9,8,8,7,6,6,6,6,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1
