PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
"September 27, 1999, Monday",1 of 88 DOCUMENTS,The Tampa Tribune (Florida),Study links warming to bigger hurricanes;,"JAN HOLLINGSWORTH, of The Tampa Tribune;","NATION/WORLD, Pg. 1",,579 words,,,"September 28, 1999",ENGLISH,,,,,,,Copyright 1999 Times Publishing Company                               All Rights Reserved
,storm,hurricane,report,global,warming,temperature,climate,nin,system,Atlantic,warm,world,number,surface,weather,grow,future,cycle,accord,air,may,increase,wildlife,fund,establish,link,rise,dramatic,late,1990,activity,record,1998,heat,phenomenon,severe,water,formation,critter,recent,past,state,el,of,la,regular,mean,frequent,intense,atlantic,new,uncheck,pollution,planet,spark,destructive,warn,publish,set,threaten,coast,period,unprecedented,form,1995,time,century,four,churn,sept,think,cause,gas,power,plant,car,industry,trap,close,spawn,controversy,degree,affect,life,earth,whether,researcher,predict,lead,flood,drought,blizzards,general,climatic,instability,other,challenge,evidence,call
,14,8,7,6,6,6,6,6,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1
"September 20, 1999, Monday",68 of 88 DOCUMENTS,The Tampa Tribune (Florida),In Business;,Compiled by Sarah A. Knupke;,"BUSINESS & FINANCE, Pg. 11",,435 words,,,"October 21, 1999",ENGLISH,,,,,,,Copyright 1999 Times Publishing Company                               All Rights Reserved
,new,business,open,award,product,service,system,inc.,furniture,store,home,late,financial,acquisition,boyi,honor,1999,division,management,thomasville,license,contract,web,site,bloomingdale,control,accent,progressive,integrity,Tampa,Brandon,Lakeland,cx,buy,share,expand,include,accessory,fine,art,greeting,card,renovation,harbour,island,athletic,club,spend,"70,000",renovate,facility,add,foot,spa,september,executive,change,travel,ifly,p.,sendrow,resign,chief,officer,vice,president,controller,serve,interim,cfo,replacement,name,boyle,international,acquire,public,relation,firm,extend,suntrust,bank,sti,announce,expansion,internet,banking,consumer,small,office,diversistar,society,engineering,alliance,establish,call,provide,investment,tenant,furnishings
,6,5,4,4,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"November 25, 1999, Thursday",73 of 88 DOCUMENTS,The Tampa Tribune (Florida),Volunteers find true satisfaction in homes;,"DONNA KOEHN, of The Tampa Tribune;","BRANDON, Pg. 1",,781 words,,,"November 26, 1999",ENGLISH,,,"PHOTO (5C),  (3C) (South Tampa) At top, Drew Davis, top of Bayfair Properties and volunteer Hassan Wajd help build a home on Carolton Circle in Clair-Mel City. Other volunteers, top, and Ryan Derriman, at left, also helped build the house.  KATHY MOORE-LENGELL, Tribune photos",,,,Copyright 1999 Times Publishing Company                               All Rights Reserved
,home,street,family,builder,volunteer,work,Dreams,move,time,child,build,help,excited,Habitat,dream,house,future,tour,stillwater,community,really,fraternity,people,813,Clair_Mel,Humanity,local,room,city,might,neighborhood,worker,group,side,put,project,saturday,serve,nice,opportunity,lot,together,great,ready,front,dog,information,call,Carolton_Circle,Britt,Fechtel_Company,Young_Life,Sigma_Lambda_Beta,Ashford,thanks,accustom,fashioning,six,bathroom,set,garage,walnut,floor,wine,modest,scale,homeowner,well,mansion,happy,beam,can,wait,upscale,display,tony,northwest,tampa,three,pound,nail,latest,recipient,nonprofit,coordinate,affordable,otherwise,stuck,pay,rent,substandard,crowded,live,quarter,sweat,equity,500,become,involved
,11,6,5,5,5,5,5,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"December 6, 1999, Monday",74 of 88 DOCUMENTS,The Tampa Tribune (Florida),Fixing Hubble's troubles;,"KURT LOFT, of The Tampa Tribune;","NATION/WORLD, Pg. 6",,790 words,,,"December 7, 1999",ENGLISH,,,"PHOTO (4C),  (4C) Astronauts trained underwater, above, in preparing for two previous Hubble repair missions, left and center. A third visit to the telescope begins this week.  Photos from NASA
NOTES: SCI TECH",,,,Copyright 1999 Times Publishing Company                               All Rights Reserved
,telescope,mission,Hubble,astronaut,observatory,service,part,new,NASA,space,conduct,work,complete,launch,galaxy,astronomy,universe,Duncan,set,orbit,replace,health,burn,planet,take,really,thing,matter,go,every,three,provide,hold,repair,equipment,hubble,bill,next,shuttle,way,name,speed,evolution,study,concept,scientist,atmosphere,radiation,boost,web,ride,high,fix,ail,canaveral,seven,cosmic,surgery,week,world,sophisticated,eyeball,crew,liftoff,12:13,a.m.,saturday,old,break,billion,help,restore,another,decade,hobble,joint,brain,fatigue,rigor,protective,skin,wonder,circle,350,mile,toll,astrophysicist,research,use,tough,environment,wear,telephone,less,plaster,micrometeorite,transition,direct,sunlight
,12,7,6,5,5,5,4,4,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"December 17, 1999, Friday",78 of 88 DOCUMENTS,The Tampa Tribune (Florida),Florida enters digital competition;,,"NATION/WORLD, Pg. 22",,580 words,,,"December 18, 1999",ENGLISH,,,,,,,Copyright 1999 Times Publishing Company                               All Rights Reserved
,state,Florida,high_tech,tree,palm,business,bush,need,cable,map,promote,communication,company,technology,make,public,place,last,right,national,nothing,term,economy,start,image,head,much,equipment,manufacturing,service,worker,gov,information,task,force,issue,include,attract,discussion,digital,question,keep,use,Johnson,ever,exasperating,leader,indicate,hottest,region,uncertain,serious,contender,new,research,triangle,blank,except,bucolic,tag,florida,good,visit,nowhere,surprising,former,spend,million,sun,fun,great,climate,rank,third,nationally,electromedical,fourth,manufacture,defense,electronics,fifth,eighth,number,count,"1,650",jeb,name,development,call,short,look,range,recruit,retain,change,education,provide,infrastructure,industry
,13,6,6,5,4,4,4,4,4,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"December 22, 1999, Wednesday",79 of 88 DOCUMENTS,The Tampa Tribune (Florida),"County ready for rollover, firm says;","WILL RODGERS, of The Tampa Tribune;","PASCO, Pg. 1",,445 words,,,"December 23, 1999",ENGLISH,,,"PHOTO (C),  (C) Michele Baker, Pasco's emergency management director, believes the county is ready for the year 2000 rollover.",,,,Copyright 1999 Times Publishing Company                               All Rights Reserved
,county,system,computer,report,new,employee,still,emergency,KPMG,official,expect,major,disruption,approve,precautionary,do,good,job,critical,bug,firm,tuesday,commissioner,assess,problem,test,evaluate,essential,department,state,include,equipment,law,enforcement,release,ready,rollover,Y2K,measure,anyway,protect,potential,bite,independent,consultant,actually,quite,positive,audit,appearance,administrator,hire,november,exposure,hit,worldwide,arrive,next,week,know,inability,understand,last,digit,2000,rather,1900,readiness,interview,look,method,use,analyze,determine,far,along,process,repair,testing,minor,change,must,make,program,operation,jan,review,prepare,contingency,plan,appear,achieve,adequate,level,consistency,due,diligence,within,upgrade
,15,8,5,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"December 26, 1999, Sunday",80 of 88 DOCUMENTS,The Tampa Tribune (Florida),Favorites of 1999;,,"COMMENTARY, Pg. 3",,2755 words,,,"December 28, 1999",ENGLISH,,,"PHOTO 5,  Steve and Marlene Aisenberg
NOTES: LETTERS",,,,Copyright 1999 Times Publishing Company                               All Rights Reserved
,publish,read,article,Tampa,know,feb,people,water,originally,state,make,family,write,thing,editorial,really,use,home,inmate,area,tampa,many,time,march,work,need,july,may,actually,great,program,resident,move,city,point,hope,think,believe,do,good,we,fair,ever,three,rather,take,thank,school,gallon,flush,live,bear,give,column,mind,drive,Jackson,Florida,editor,past,letter,border,country,still,other,history,enjoy,look,child,anything,sept,tell,title,care,someone,life,attend,proud,new,love,wonderful,speak,call,happen,tv,sprinkler,system,rain,mulch,try,cypress,regard,keep,1.6,name,find,leader,staff,north
,20,10,10,10,9,9,9,9,8,7,7,7,7,7,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"June 11, 1999, Friday",82 of 88 DOCUMENTS,The Tampa Tribune (Florida),Juneau ready for free agency dollars;,A Tribune wire report;,"SPORTS, Pg. 7",,603 words,,,"June 12, 1999",ENGLISH,,,,,,,Copyright 1999 Times Publishing Company                               All Rights Reserved
,game,season,team,Juneau,Buffalo,free,go,cup,Washington,juneau,agent,career,chance,player,stanley,final,last,temperature,Dallas,plan,unrestrict,time,new,stay,long,end,trade,goal,regular,somewhere,open,line,high,league,thursday,start,world,ticket,Buffalo_Sabres,NHL,Sabres,forward,agency,proposition,take,full,advantage,become,auction,highest,bidder,situation,obviously,probably,life,earn,2.2,million,great,finally,make,right,decision,person,older,sign,without,original,owed,compensation,remain,approach,agreement,have,love,good,though,never,second,consecutive,trip,spring,sweep,defend,champion,march,deadline,draft,pick,defenseman,dump,along,veterans,potential,decide,assist,suffer,concussion,miss
,8,6,5,5,5,4,4,4,4,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"August 28, 1999, Saturday",83 of 88 DOCUMENTS,The Tampa Tribune (Florida),Small-town lessons helped woman on global adventure;,"ELAINE MORGAN, of The Tampa Tribune;","POLK, Pg. 12",,1307 words,,,"August 29, 1999",ENGLISH,,,"PHOTO 3(1C),  Hazel Bowman stands outside her Mulberry home. A native of Brewster, she served with the Red Cross in India during World War GREG FIGHT, Tribune photo",,,,Copyright 1999 Times Publishing Company                               All Rights Reserved
,Bowman,work,ship,woman,take,India,remember,never,club,leave,recall,cross,worker,Japanese,make,supplies,serve,world,know,phosphate,tell,group,week,time,red,bag,return,Florida,American,Dibrugarh,1944,war,ii,front,really,need,learn,top,volunteer,several,location,troops,military,duty,almost,signal,corps,keep,book,lot,much,break,carry,luxury,sign,go,job,assistant,director,serviceman,live,anything,without,lister,explain,insect,fight,coffee,run,another,vehicle,roof,school,marry,little_known,Polk_County,Red_Cross,Calcutta,Air_Force,China,close,enemy,mine,southwest,polk,county,favorite,l.,bowman,sound,set,foot,outside,territory,grow,historical,research,effort,select
,23,7,7,6,6,6,5,5,5,5,5,5,5,5,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"October 20, 1999, Wednesday",85 of 88 DOCUMENTS,The Tampa Tribune (Florida),How much is that in dog years?;,Compiled by Carole Tarrant;,"BAYLIFE, Pg. 2",,539 words,,,"October 21, 1999",ENGLISH,,,"PHOTO 2,  Dillard's is adding Big & Tall shops to three Tampa stores.
NOTES: PERSONAL SHOPPER",,,,Copyright 1999 Times Publishing Company                               All Rights Reserved
,suit,include,orange,product,cool,fake,new,design,man,color,hello,kitty,belt,little,friend,sell,jewelry,call,fashion,fabulous,report,long,big,shop,merchandise,size,old,business,woman,bring,813,Japanese,Hello_Kitty,Sanrio,Lane,endure,fad,go,global,tyke,teens,twentysomething,hipster,love,feline,manufacturer,sanrio,celebrate,cat,25th,birthday,offer,commemorative,accessory,bead,cell,phone,case,clip,found,1960,start,produce,trinket,stationery,purse,inexpensive,small,gift,traditionally,exchange,line,launch,1974,similar,cartoon,character,soon,follow,online,www.sanriostore.com,review,real,king,costume,fixture,high,society,circle,subject,retrospective,museum,dazzling,show,500,beguile,arrange,thematically,chinoiserie
,6,4,4,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"October 21, 1999, Thursday",86 of 88 DOCUMENTS,The Tampa Tribune (Florida),"Grab a byte; The Internet offers an endless assortment of recipes, restaurant information and sources for; hard-to-find ingredients.;","MARY D. SCOURTES, of The Tampa Tribune;","BAYLIFE FLAVOR, Pg. 1",,1762 words,,,"October 22, 1999",ENGLISH,,,"PHOTO (C),  (C) (Computer showing food web site)",,,,Copyright 1999 Times Publishing Company                               All Rights Reserved
,recipe,site,pepper,minute,restaurant,include,cook,offer,squash,teaspoon,cup,food,link,make,pasta,cheese,chicken,salt,ingredient,source,tablespoon,online,web,world,idea,butternut,cracker,sausage,stir,water,cooking,chef,click,juice,cut,medium,pound,black,basil,garnish,skillet,shrimp,garlic,toast,serve,Swiss,discover,find,clear,category,search,let,place,time,percent,list,feature,degree,fresh,taste,skewer,serving,remove,ground,additional,add,strip,almond,bread,Food_Network,yes,may,emeril,live,cyberspace,culinary,information,wide,share,executive,internet,exotic,turn,enjoy,www.foodtv.com,allow,com,many,condiment,computer,look,throughout,guide,critic,order,have,interactive,last,week
,30,17,15,12,11,9,8,8,8,8,8,7,7,7,7,7,7,7,6,6,6,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"November 8, 1999, Monday",87 of 88 DOCUMENTS,The Tampa Tribune (Florida),"Winter likely to be dry, warm;","NEIL JOHNSON, of The Tampa Tribune;","FLORIDA/METRO, Pg. 1",,795 words,,,"November 9, 1999",ENGLISH,,,,,,,Copyright 1999 Times Publishing Company                               All Rights Reserved
,nin,hurricane,last,la,wildfire,water,season,spring,rain,expect,summer,mean,winter,air,normal,create,around,produce,dry,warmer,drier,normally,meteorologist,fire,start,condition,tropical,storm,Devanas,Kousky,keep,weather,increase,well,shortage,blast,frigid,prediction,center,least,threat,next,inch,fall,state,worse,although,west,1998,acre,rainfall,become,suggest,foot,debris,roof,essential,far,five,place,lower,time,may,tend,cold,front,temperature,help,number,reach,Florida,Climate,Florida_Division,South_Florida,La_Nin,Atlantic,chance,warming,slightly,vast,segment,cool,usual,repeat,except,brief,scientist,national,linger,little,raising,similar,effect,december,february,typical,head,period,part
,10,9,8,8,7,6,6,5,5,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"December 15, 1999, Wednesday",88 of 88 DOCUMENTS,The Tampa Tribune (Florida),If the shirt doesn't fit;,(Carol Tarrant);,"BAYLIFE, Pg. 2",,620 words,,,"December 16, 1999",ENGLISH,,,"PHOTO 2,  (fashion)
NOTES: PERSONAL SHOPPER",,,,Copyright 1999 Times Publishing Company                               All Rights Reserved
,watch,future,turtleneck,end,report,ask,woman,magazine,look,new,editor,pashmina,cashmere,l.l,recently,clothing,rank,cost,important,people,plastic,wristwatch,other,thing,piece,time,century,debute,automatic,oyster,wear,author,designer,shawl,clothes,many,wrap,goat,Land,Bean,American,Rolex_Oyster,difference,consumer,question,compare,variety,commonly,order,mail,eight,assess,november,issue,version,highest,overall,j.c.,penney,close,second,comparison,construction,shrinkage,sleeve,shrink,much,inch,wash,last,tester,severe,skew,side,seam,cheap,suffice,practical,timepiece,battery,stop,toss,laundry,throw,buy,however,wonder,jewelry,example,precise,craftsmanship,doubt,agree,proclaim,perpetual,1933,world,waterproof,remain
,9,5,4,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
