PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
"February 11, 2010 Thursday",2 of 169 DOCUMENTS,USA TODAY,Could chicken manure help curb climate change?; 'Biochar' is seen as cheap solution,Brian Winter,NEWS; Pg. 1A,,1498 words,,,"February 11, 2010",ENGLISH,,,"GRAPHIC, B/W, Julie Snider, USA TODAY, Source: Frye Poultry Cornell University USA TODAY research (Diagram) PHOTO, Color, Jack Gruber, USA TODAY PHOTO, B/W, Jack Gruber, USA TODAY",,COVER STORY,NEWSPAPER,"Copyright 2010 Gannett Company, Inc.                               All Rights Reserved"
,biochar,Frye,carbon,farm,chicken,scientist,produce,make,soil,much,emission,use,machine,atmosphere,greenhouse,gas,environmental,still,sell,technology,dioxide,help,example,may,environment,recent,include,need,organic,frye,LaSalle,global,manure,keep,advocate,call,change,long,think,best,good,green,turn,warm,take,initiative,impact,recently,company,people,excited,little,heat,result,way,process,low_cost,Lehmann,poultry,waste,large,substance,know,fertilizer,president,new,strategy,climate,worth,admit,"1,000",farmer,away,plan,venture,whether,represent,relatively,put,proposal,give,lead,cause,planet,positive,cap,trade,cut,pollution,have,promise,reduce,fall,widespread,research,source,plant,right,dollar
,price,quarter,rate,buyer,credit,sale,area,report,fourth,housing,interest,home,tax,thursday,median,rise,compare,earlier,evidence,low,2008,annual,national,increase,market,stabilize,couple,economist,april,climb,expect,week,ago,foreclosure,first_time,post,strong,gain,nearly,metropolitan,improve,climate,bolster,rocket,27.2,seasonally,adjust,6.03,million,exist,"172,900",4.1,smallest,decline,151,metro,third,sixteen,last,lead,mich,53.5,"67,400",grow,body,question,quickly,recover,bump,along,bottom,chief,global,2010,healthy,turnaround,combination,qualify,lure,boost,falter,expire,begin,later,many,worth,"8,000","6,500",repeat,must,purchase,contract,sign,close,june,average,mortgage,loan,fall
,8,5,5,5,5,4,4,4,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"March 10, 2010 Wednesday",132 of 169 DOCUMENTS,USA TODAY,Allegations againstMassa accumulate; Democrat acknowledges 'misbehavior',Kathy Kiely,NEWS; Pg. 5A,,577 words,,,"March 10, 2010",ENGLISH,,,"PHOTO, B/W, Chip Somodevilla, Getty Images",,,NEWSPAPER,"Copyright 2010 Gannett Company, Inc.                               All Rights Reserved"
,Massa,tell,allegation,staffer,tuesday,Beck,sexual,leader,hour,member,report,male,staff,House,Democratic,resign,amid,former,go,television,acknowledge,congressional,aide,harassment,ethic,charge,time,health,care,resignation,party,behavior,2008,district,last,vote,describe,GOP,sexually,harass,national,deny,impropriety,overly,familiar,misbehavior,commentator,fault,publication,involved,physical,contact,contradict,initial,claim,verbal,panel,look,grope,improper,conduct,intern,today,independently,verify,nothing,portray,victim,resent,opposition,president,initiative,climate,change,legislation,everybody,love,independent,politically,cut,way,hand,show,act,decisively,investigate,republican,congressman,accuse,inappropriate,page,september,2006,scandal,warn,earlier,create,headach,already
,20,7,6,5,5,5,4,4,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"April 15, 2010 Thursday",137 of 169 DOCUMENTS,USA TODAY,Clinton takes the Initiative,,LIFE; Pg. 4D,,478 words,,,"April 15, 2010",ENGLISH,,,"PHOTO, B/W, Timothy A. Clary, AFP/Getty Images",,,NEWSPAPER,"Copyright 2010 Gannett Company, Inc.                               All Rights Reserved"
,student,commitment,college,service,Miami,weekend,community,new,make,expect,work,human,invite,president,world,think,important,give,people,chance,idea,improve,school,happen,partner,many,generate,education,part,University,Haiti,"1,300",country,converge,toward,solution,global,challenge,climate,change,poverty,rights,former,five,ago,found,aim,engage,leader,public,2008,add,speak,today,mary,beth,marklein,activity,involve,young,participate,habit,kind,secondly,incredibly,good,sophisticated,understand,technology,use,harness,potential,solve,problem,much,lower,cost,stronger,ethic,ever,number,quite,limited,involved,initiative,develop,"2,000",action,plan,start,program,campuse,establish,garden,library,worldwide,already,have,950
,10,7,4,4,4,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"April 22, 2010 Thursday",138 of 169 DOCUMENTS,USA TODAY,Murtha's open Pa. seat gives GOP hope; Spending for tight congressional race may top $3 million,Kathy Kiely,NEWS; Pg. 7A,,940 words,,,"April 22, 2010",ENGLISH,,,"PHOTO, B/W, Jason A. Cohn for USA TODAY PHOTO, B/W, John H. Beale for USA TODAY",,,NEWSPAPER,"Copyright 2010 Gannett Company, Inc.                               All Rights Reserved"
,Murtha,district,Burns,party,race,critz,special,democrat,election,poll,voter,vote,make,coal,mine,contest,veteran,health,care,candidate,go,campaign,work,speaker,sen,win,seat,job,burn,Washington,Republican,congressman,million,steel,money,still,time,death,feb,hope,law,pass,week,hold,fundraiser,chairman,give,former,lot,lose,better,edge,reason,2008,nominee,line,national,oppose,agenda,issue,tell,really,accord,state,primary,Democratic,Pennsylvania,House,Pelosi,Obama,pa.,mission,funnel,dollar,shutter,mill,struggle,burial,flow,country,pick,successor,complication,gallbladder,surgery,set,stage,next,harbinger,fall,congressional,competitive,show,dead,heat,duel,may,rob,gleason
,9,8,7,6,6,6,5,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"May 4, 2010 Tuesday",140 of 169 DOCUMENTS,USA TODAY,"Let's keep oil spill in the proper perspective; As with Katrina, this is a serious disaster. But media hype and an aversion to offshore drilling shouldn't skew reality.",Jonah Goldberg,NEWS; Pg. 11A,,839 words,,,"May 4, 2010",ENGLISH,,,"PHOTO, B/W, Ryan Moore, Hattiesburg (Miss.) American, via AP",,,NEWSPAPER,"Copyright 2010 Gannett Company, Inc.                               All Rights Reserved"
,spill,oil,drilling,deepwater,gulf,effort,disaster,time,policy,Katrina,president,federal,government,three,report,people,true,certainly,estimate,fear,stop,last,horizon,raise,explosion,debate,mock,other,black,meanwhile,comparison,politician,already,work,regardless,offshore,safety,though,rigs,environmental,hardly,news,media,many,outlet,number,several,fact,turn,hype,much,give,release,million,set,produce,let,likely,Mexico,Obama,New_Orleans,Coast_Guard,America,end,week,pundit,find,angle,shadow,balance,perhaps,sarcastically,specter,foul,play,ecoterrorism,might,behind,eerily,coincide,earth,legislation,blogger,mercilessly,suggest,deliberately,flood,neighborhood,blowing,levee,spared,try,cap,gusher,cabinet,secretary,dispatch,help,direct
,12,6,6,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"June 21, 2010 Monday",142 of 169 DOCUMENTS,USA TODAY,"Legislators trek on private dime; Sponsor-paid trips up in early '10, called beneficial",John Fritze,NEWS; Pg. 1A,,458 words,,,"July 16, 2010",ENGLISH,"June 25, 2010","A story Monday about privately sponsored travel for members of Congress was not clear about how the Aspen Institute uses funding from the Rockefeller Foundation. It is used for staff and operational costs, not for lawmaker travel.",,,,NEWSPAPER,"Copyright 2010 Gannett Company, Inc.                               All Rights Reserved"
,trip,group,travel,lawmaker,take,member,spend,2009,private,Congress,House,three,domestic,go,"251,000",good,ethic,sponsor,expert,company,rep.,2007,pay,rule,discuss,energy,policy,fund,pass,million,Spain,Aspen,special,interest,jet,foreign,today,review,record,compile,moneyline,show,twelve,accompany,spouse,nine,funding,"435,000",quarter,period,last,director,watchdog,citizen,problem,arise,fla,february,beneficial,face,seminar,meeting,rep,january,include,many,invite,speak,civil,rights,mindful,finance,renew,scrutiny,charle,rangel,admonish,feb,panel,2008,corporation,violation,think,tank,among,largest,organizer,send,conference,relation,total,cost,former,senator,run,program,independent,foundation,let
,16,7,7,5,5,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"July 1, 2010 Thursday",144 of 169 DOCUMENTS,USA TODAY,Can we win in Afghanistan?; Only if the military and civilian leadership start acting like they're fighting under the same flag. It's unconscionable that soldiers are being sent to war by such a fragmented leadership. Did we learn nothing from Vietnam?,,NEWS; Pg. 9A,,1357 words,,,"July 1, 2010",ENGLISH,,,"PHOTO, B/W, Mandel Ngan, AFP/Getty Images",,,NEWSPAPER,"Copyright 2010 Gannett Company, Inc.                               All Rights Reserved"
,cal,bob,war,president,Afghanistan,military,Biden,strategy,Iraq,agree,counterinsurgency,policy,surge,U.S.,Afghan,think,lose,fight,let,time,make,enemy,deadline,mean,work,right,McChrystal,Obama,Vietnam,al_Qaeda,country,point,people,hope,yes,relationship,matter,general,may,remember,learn,wrong,perhaps,behind,announce,effort,political,need,attack,Taliban,often,view,today,politics,can,afford,among,success,commander,chief,wish,strong,ultimately,vietnam,long,civilian,secretary,write,fact,last,home,unity,well,allow,public,decision,either,change,seem,use,withdrawal,way,press,still,unclear,next,give,go,along,quickly,force,three,foreign,back,cancer,republican,democrat,administration,invasion
,15,15,13,11,10,7,7,6,6,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"July 13, 2010 Tuesday",146 of 169 DOCUMENTS,USA TODAY,Empire State's eyes on world given green gaze; NYC skyscraper's windows revamped to save energy,Rick Hampson,NEWS; Pg. 3A,,879 words,,,"July 13, 2010",ENGLISH,,,"PHOTO, B/W, Robert Deutsch, USA TODAY PHOTO, B/W, Robert Deutsch, USA TODAY PHOTO, B/W, Daniel Acker, Bloomberg",,,NEWSPAPER,"Copyright 2010 Gannett Company, Inc.                               All Rights Reserved"
,building,window,office,retrofit,pane,energy,Malkin,green,tower,replace,glass,president,tenant,project,floor,rent,Empire_State,work,part,remove,crew,go,world,million,insulation,never,old,time,back,new,worker,frame,sash,Empire_State_Building,Serious,lot,material,four,tallest,cut,use,save,program,former,foundation,anything,score,owner,gas,announce,put,workroom,film,place,hour,next,space,big,change,morning,relatively,small,higher,Anthony_Concepcion,Chicago,ask,many,break,effort,become,certifiably,"6,514","26,056",concepcion,supervisor,contractor,calif,decade,spend,upgrade,4.4,structure,tall,recognizable,director,conservation,earn,100,mean,construct,size,102,story,1930,pace,know,efficiency,rank,top
,19,16,8,6,5,5,5,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"August 16, 2010 Monday",148 of 169 DOCUMENTS,USA TODAY,"At USC, the aim is straight and narrow; New leadership expects Kiffin to win within rules",David Leon Moore,SPORTS; Pg. 1C,,1570 words,,,"August 16, 2010",ENGLISH,,,"PHOTO, Color, Robert Hanashiro, USA TODAY PHOTO, Color PHOTO, B/W, Robert Hanashiro, USA TODAY PHOTO, B/W, Kirby Lee, US Presswire",,COVER STORY,NEWSPAPER,"Copyright 2010 Gannett Company, Inc.                               All Rights Reserved"
,coach,USC,Kiffin,go,Tennessee,head,have,new,rule,win,hire,football,kiffin,think,make,Haden,back,former,trojan,violation,program,lane,season,question,need,lot,last,people,Lane,Bush,big,office,school,controversial,know,without,six,deal,practice,talk,run,Carroll,take,much,probation,major,assistant,seven,never,leave,whether,star,quarterback,hear,time,can,player,thing,championship,sanction,best,around,maybe,news,media,many,class,finish,poll,NCAA,president,show,action,2010,lose,severe,still,right,way,kind,usc,college,hade,continue,incredible,pass,great,really,national,ethically,whose,face,improve,issue,job,include,bowl,loss,true
,19,14,14,9,9,8,8,7,7,7,7,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"August 27, 2010 Friday",151 of 169 DOCUMENTS,USA TODAY,Was it worth it?; Seven years of war provides many answers,Jim Michaels and Mimi Hall,NEWS; Pg. 1A,,1836 words,,,"August 27, 2010",ENGLISH,,,"GRAPHIC, Color, Julie Snider, USA TODAY, Source: Gallup Poll (Line graph, bar graph) PHOTO, Color, AP file photo by Jerome Delay",,COVER STORY,NEWSPAPER,"Copyright 2010 Gannett Company, Inc.                               All Rights Reserved"
,war,Iraq,worth,make,Iraqis,government,many,democracy,life,Saddam,U.S.,threat,americans,go,cost,world,much,people,United_States,al_Qaeda,police,yet,still,regime,think,whether,better,force,military,thing,effort,Anbar,today,terrorist,violence,hope,abu,ask,political,result,president,remain,take,nation,security,seven,tell,scholar,know,council,2003,succeed,sit,dictator,problem,price,try,Middle_East,U.N.,al_Emari,way,show,attack,gather,food,shout,chaos,chief,other,may,ministry,electricity,election,thousand,defeat,2007,risha,tribal,leader,agree,poll,situation,feel,safer,prepare,end,tuesday,focus,soldier,fight,expert,later,early,former,fully,opponent,independent,victory,mistake
,24,22,9,9,9,8,7,6,6,6,6,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"October 14, 2010 Thursday",157 of 169 DOCUMENTS,USA TODAY,"In this volatile election, money isn't everything; Size of war chests not as crucial as it once was",Fredreka Schouten,MONEY; Pg. 1B,,2064 words,,,"October 14, 2010",ENGLISH,,,"GRAPHIC, B/W, Julie Snider, USA TODAY, Source: Center for Responsive Politics (Bar graph) PHOTO, Color, Nina N. Greipel for USA TODAY PHOTO, B/W, Nina N. Greipel for USA TODAY PHOTOS, B/W, AP (4)",,COVER STORY,NEWSPAPER,"Copyright 2010 Gannett Company, Inc.                               All Rights Reserved"
,Hill,million,spend,democrat,campaign,political,voter,candidate,money,lose,state,race,group,GOP,conservative,party,republican,seat,vote,health,Young,Obama,Wilson,country,incumbent,cost,district,lawyer,care,Republican,Indiana,young,bank,end,election,primary,help,ad,aid,call,outside,go,former,invest,advantage,office,voting,Congress,U.S.,opponent,cash,nearly,time,southern,power,television,president,tie,center,tv,run,average,advertising,several,necessary,*,in,despite,governor,record,law,insurance,job,Washington,well_funded,non_partisan,Democratic,Tea_Party,Baron_Hill,less,competitive,congressional,wave,rep.,june,corner,midterm,popular,politics,provide,challenger,across,economy,upstart,budget,problem,take,financial,head
,16,15,15,13,10,8,8,8,8,8,8,7,7,7,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"October 27, 2010 Wednesday",160 of 169 DOCUMENTS,USA TODAY,"Economic reports see little change; Consumers feel a bit better, but home prices slip",Paul Davidson,MONEY; Pg. 3B,,494 words,,,"October 27, 2010",ENGLISH,,,,,,NEWSPAPER,"Copyright 2010 Gannett Company, Inc.                               All Rights Reserved"
,price,consumer,home,index,confidence,rise,fall,market,sale,stock,gain,september,next,housing,Capital_Economics,economy,continue,october,research,note,closely,previous,likely,recent,rally,survey,expect,condition,job,2009,normal,accord,large,city,value,last,tax,credit,help,foreclosure,economist,delay,longer,report,tuesday,spotlight,move,sideways,slightly,specter,dampen,mood,shopper,rebound,start,boost,limited,renew,slide,house,watch,50.2,48.6,due,increase,expectation,67.8,65.5,push,sixteen,percent,business,improve,six,meanwhile,14.1,worse,16.6,appraisal,present,situation,tie,beleaguer,tick,marginally,23.9,23.3,3.5,plentiful,3.8,overall,record,low,february,substantially,level,recovery,mostly,flat
,11,6,5,5,4,4,4,4,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"November 9, 2010 Tuesday",164 of 169 DOCUMENTS,USA TODAY,'William and Harry' and Kate; New book reveals juicy tidbits ahead of a royal wedding,Craig Wilson,LIFE; Pg. 3D,,480 words,,,"November 9, 2010",ENGLISH,,,"PHOTO, B/W, Chris Ison, AP PHOTO, B/W",,,NEWSPAPER,"Copyright 2010 Gannett Company, Inc.                               All Rights Reserved"
,*,royal,press,William,Nicholl,world,make,wedding,take,call,2012,life,Harry,Charles,son,young,longtime,accord,write,queen,book,harry,quickly,marriage,relationship,change,william,father,prince,London,Prince_Charles,might,famous,brother,easily,recognize,name,grandson,catnip,watcher,columnist,sunday,uncover,windsor,tick,behind,24.95,rumor,swirl,around,imminent,give,romance,sometimes,girlfriend,waity,katie,pact,2007,promise,commitment,let,turn,agree,wait,quote,member,inner,circle,possible,date,next,summer,may,seem,fairy,tale,public,fact,timing,coordinate,schedule,upcoming,celebration,instance,olympic,game,need,account,tidbit,infamous,prankster,ask,grandmother,activate,new,cellphone,greeting,message
,5,4,4,4,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
