PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
"January 31, 2002, Thursday",5 of 141 DOCUMENTS,USA TODAY,Oscillating rhythm's got weather on the go,Jack Williams,LIFE; Pg. 9D,,469 words,,,"January 31, 2002",ENGLISH,,,,,,,"Copyright 2002 Gannett Company, Inc."
,air,pattern,change,stream,week,east,affect,phase,weather,winter,wave,thunderstorm,high,path,jet,pressure,Higgins,forecaster,next,warming,cold,forecast,much,season,particular,call,oscillation,early,huge,stretch,around,slowly,shower,rain,january,low,Weather_Service,Pacific,USA,look,far,time,western,usa,shove,aside,record,warmth,base,grow,ability,predict,understand,faraway,principal,climate,scientist,prediction,center,md,flip,back,december,bring,real,taste,among,thing,make,clearer,warmer,soon,olympic,start,feb,higgin,confident,shift,computer,model,really,situation,do,well,include,transition,sudden,slow,cool,global,closely,watch,detect,1970,atmospheric,least,halfway,globe,side
,dinosaurs,asteroid,impact,million,ago,report,200,team,theory,find,Earth,scientist,space,rock,age,dominate,place,lead,large,new,iridium,similar,food,chain,small,prove,plant,increase,Olsen,live,die,today,collision,end,open,door,creature,journal,science,researcher,observatory,n.y.,point,trigger,believe,wipe,reptile,kind,familiar,appear,period,decimation,olsen,basis,fossil,suspicious,spike,element,normally,crust,sign,deliver,theorize,gulf,mexico,result,climate,change,kill,scenario,take,suggest,massive,predator,occupy,top,rung,within,"30,000",evolve,giant,fill,niche,examine,deposit,northeastern,form,dinosaur,footprint,afterward,grow,increasingly,heavy,growth,fern,often,natural,calamity,blast
,7,6,5,4,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"July 16, 2002, Tuesday",105 of 141 DOCUMENTS,USA TODAY,TRUST -- Scandals shake public,Bruce Horovitz,NEWS; Pg. 1A,,2363 words,,,"July 16, 2002",ENGLISH,,,"GRAPHIC, Color, hand illustraiton by Web Bryant, USA TODAY (ILLUSTRATION); PHOTO, Color, photo by St. Patrick's Cathedral by Robert Deutsch, USA TODAY; GRAPHIC, Color, Angie Wyatt, USA TODAY, Source: USA TODAY/CNN/Gallup Poll, July 5-8 of 1, 013 adults: margin of error: +/- 3 percentage points (BAR GRAPH); GRAPHIC, B/W, Karl Gelles, USA TODAY, Source: USA TODAY/CNN/Gallup Poll, July 5-8; margin of error: +/- 5 percentage points. (BAR GRAPH)",COVER STORY,,,"Copyright 2002 Gannett Company, Inc."
,trust,people,business,government,americans,labor,sept,time,seem,Denny,corporate,less,poll,find,take,big,distrust,many,sense,point,thing,priest,today,cnn,gallup,large,believe,percentage,nation,matter,week,go,survey,manager,good,society,much,job,know,CEOs,WorldCom,Giuliani,Adamson,Cronkite,stockbroker,ago,national,nearly,advice,especially,money,stock,fund,expert,market,july,can,news,professor,along,let,yet,president,question,scandal,back,begin,whose,1999,ask,group,officer,play,HMOs,USA,Corporate_America,America,Catholic,Wall_Street,Harvard,Enron,federal,other,accord,"1,013",corporation,executive,company,action,help,past,threat,future,double,appear,rely,friend,employer,institution
,77,16,15,11,9,9,8,8,7,7,6,6,6,6,6,6,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"August 5, 2002, Monday",107 of 141 DOCUMENTS,USA TODAY,Post-9/11 security hinders access at capitols,Kathy Kiely,NEWS; Pg. 1A,,2408 words,WASHINGTON,,"August 05, 2002",ENGLISH,,,"PHOTO, Color, Tim Dillon, USA TODAY; Necessary precautions? A sign on the Senate side of the Capitol restricts access after terror attacks.",COVER STORY,,,"Copyright 2002 Gannett Company, Inc."
,capitol,security,building,state,visitor,lawmaker,sept,xx,government,police,Capitol,official,around,barrier,metal,open,million,nation,tour,place,White_House,democracy,people,center,measure,group,federal,new,Washington,door,symbol,chief,go,checkpoint,fence,barricade,close,detector,access,begin,office,install,public,look,president,decide,ney,line,U.S._Capitol,U.S.,represent,citizen,protect,grounds,enough,damage,carefully,increase,restrict,make,run,last,put,add,chairman,street,bombing,behind,tourist,bollard,member,tree,space,enter,provide,Oklahoma_City,Congress,historic,build,time,find,terrorist,away,free,need,concrete,architect,leafy,construction,underground,screen,check,explosive,representative,campus,force,city,across,country
,30,24,17,15,15,9,9,9,8,8,8,7,7,7,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"October 2, 2002, Wednesday",117 of 141 DOCUMENTS,USA TODAY,U.S. versus Saddam,"Susan Page; John Diamond, Judy Keen, Dave Moniz and Barbara Slavin",NEWS; Pg. 4A - 5A,,4694 words,,,"October 03, 2002",ENGLISH,,,"PHOTO, B/W, Awad Awad, Agence France-Presse; GRAPHIC, B/W, Robert W. Ahrens, USA TODAY, Source: USA TODAY research (BAR GRAPH); GRAPHIC, B/W, Frank Pompa and Dave Merrill, USA TODAY, Sources: International Institute for Stratetic Studies' Iraq's Weapons of Mass Destruction: A Net Assessment"": www.fas.org; research by William Risser and Anne R. Carey, USA TODAY (MAP, BAR GRAPH, PIE CHART); GRAPHIC, B/W, Marcy E. Mullins, USA TODAY, Source: USA TODAY/CNN/Gallup Poll of 1, 010 adults Sept. 20-22. Margin of error: +/- 3 percentage points. (BAR GRAPH); PHOTO, B/W, Amr Nabil, AP; GRAPHIC, B/W, Sam Ward, USA TODAY (MAP); GRAPHIC, B/W, Robert W. Ahrens, USA TODAY, Source: Jonathan Cogan of the Energy Information Administration, reported by Lori Joseph, USA TODAY (LINE GRAPH); Life as usual, for now: Iraqis shop at a market in Baghdad last month. As the United States prepares for war, it is trying to gauge how the Iraqi people would react.",,,,"Copyright 2002 Gannett Company, Inc."
,war,Iraq,U.S.,Saddam,weapon,United_States,Iraqi,billion,official,attack,Bush,begin,might,troops,gulf,country,region,fight,biological,oil,make,chemical,terrorist,administration,1991,force,world,cost,invade,government,Arab,leader,use,Israel,president,opposition,become,last,campaign,aircraft,action,americans,back,new,ally,end,within,likely,group,military,support,United_Nations,today,many,nuclear,long,oust,exile,million,Pentagon,Saudi_Arabia,Congress,whether,try,mass,destruction,go,believe,casualty,people,target,missile,include,invasion,bombing,role,take,time,worry,population,U.N.,Persian_Gulf,Baghdad,Israeli,Iran,Iraq_Yes,resolution,risk,foreign,question,conflict,clear,suspect,bush,dispute,analyst,april,power,army
,64,52,49,35,22,22,21,19,18,16,15,14,13,12,12,12,11,11,11,11,10,10,10,10,10,10,10,10,10,10,10,9,9,9,8,8,8,8,8,8,8,8,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4
"October 15, 2002, Tuesday",120 of 141 DOCUMENTS,USA TODAY,"A decade later, another 'illusion' crafted",Dennis Moore,LIFE; Pg. 8D,,1522 words,FORT LAUDERDALE,,"October 15, 2002",ENGLISH,,,"PHOTO, B/W, Peter Freed, USA TODAY; PHOTO, B/W; Keeps fans guessing: Donna Tartt's The Little Friend, out Oct. 22, comes 10 years after her wildly successful The Secret History.",BOOKS,,,"Copyright 2002 Gannett Company, Inc."
,Tartt,book,write,novel,Little_Friend,read,much,next,fan,go,tartt,story,writer,give,make,time,Southern,part,death,Secret_History,spend,bookstore,banquet,talk,student,talent,set,author,look,take,world,people,life,work,alone,thing,however,publisher,representative,wait,illusion,begin,voice,tale,turn,copy,publicity,rise,state,past,group,black,oz,child,sense,live,closer,reader,find,propel,sister,decade,later,social,love,childhood,town,know,feel,right,lead,place,mississippi,true,hand,name,think,enrol,recognize,pongo,house,aunt,law,long,country,every,someone,die,duty,week,offer,librarian,Knopf,New_York,Grenada,Alexandria,Atlanta,lauderdale,deny
,14,13,9,8,8,7,5,5,5,5,5,5,5,5,5,5,5,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1
"October 21, 2002, Monday",121 of 141 DOCUMENTS,USA TODAY,New York's bar patrons may lose the right to smoke,Rick Hampson,NEWS; Pg. 1A,,2527 words,,,"October 21, 2002",ENGLISH,,,"PHOTO, Color, Jay L. Clendenin for USA TODAY; PHOTO, B/W, Jay L. Clendinin for USA TODAY; Aaahhh: Dana Segal, 21, of Brooklyn, N.Y., enjoys a smoke with her friend Lee Ringelheim, the club's co-owner, at Circa Tabac in New York City. A smoking ban may close the cigarette lounge.<>Part of bar culture"": Rachel Chavkin, 22, left, and Orion Stagg, 22, both of Brooklyn, N.Y., relax with a Camel and an ale at McSorley's Old Ale House in lower Manhattan earlier this month.",COVER STORY,,,"Copyright 2002 Gannett Company, Inc."
,bar,smoking,smoker,smoke,ban,tax,go,people,restaurant,increase,pack,mayor,state,patron,cigarette,city,bartender,business,Bloomberg,cigarett,new,owner,estimate,New_York,place,famous,claim,fame,comment,propose,may,expect,worker,sale,many,Wonder_Bar,air,spend,around,last,old,affect,stop,tobacco,begin,less,other,secondhand,much,allow,away,law,try,smoky,agree,night,hour,country,room,help,club,pass,ago,indicate,yorker,approve,next,dramatic,adult,outside,show,call,must,hurt,issue,time,know,take,1.50,drop,think,drink,tend,life,something,brand,probably,lot,chimney,breathe,turn,sell,accord,agent,saloon,worse,great,romance,still
,45,32,27,27,26,17,13,12,11,11,11,10,10,9,9,8,8,8,8,7,7,7,7,7,6,6,6,6,6,6,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2
"November 14, 2002, Thursday",122 of 141 DOCUMENTS,USA TODAY,More workers say no to 401(k) plans,Christine Dugas,MONEY; Pg. 1B,,476 words,,,"November 14, 2002",ENGLISH,,,,,,,"Copyright 2002 Gannett Company, Inc."
,plan,worker,401,money,time,many,market,participation,fall,accord,among,make,nearly,stock,loss,rate,point,survey,plansponsor.com,savings,drop,retirement,employer,may,company,go,employee,participate,large,reason,lose,contribute,care,cost,health,scandal,pay,bill,abandon,recoil,economic,uncertainty,past,average,2.5,percentage,new,"2,800",peak,8.6,1999,recent,consulting,firm,trend,worrisome,expert,traditional,pension,disappearing,decline,mean,adequate,retire,absolutely,concern,sponsor,president,profit,share,council,lot,effort,resource,work,dramatic,2001,2002,73.7,change,bear,reluctant,risk,already,routinely,refer,jokingly,201,layoff,rocky,economy,financial,bind,climate,younger,urgency,save,often,how
,15,9,8,5,4,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"January 2, 2002, Wednesday",125 of 141 DOCUMENTS,USA TODAY,"Strategists differ on speed, rate of recovery",Adam Shell,MONEY; Pg. 3B,,3507 words,NEW YORK,,"January 07, 2002",ENGLISH,,,"GRAPHICS, B/W (PIE CHART) (8); PHOTO, B/W; PHOTO, B/W, UBS Warburg; Douglas Cliggot<>Edward Kerschner",,,,"Copyright 2002 Gannett Company, Inc."
,stock,market,investor,earning,2002,strategist,target,expect,recovery,recession,bull,top,bear,still,economic,start,pick,outlook,price,last,500,gain,buy,go,growth,forecast,predict,2001,average,lower,service,believe,Year_end,Cliggott,profit,half,end,higher,rise,economy,time,return,corporate,Kerschner,McManus,Wall_Street,investment,biggest,past,high,low,good,interest,rate,benefit,company,financial,world,make,three,Skrainka,Manley,fall,might,likely,happen,rally,well,oil,consumer,war,lot,far,today,finish,reason,cheap,j.p.,morgan,chase,third,consecutive,opportunity,already,chief,point,tech,drug,begin,new,occur,retailer,create,right,quarter,software,turn,ii,applegate
,61,30,20,20,18,14,14,14,13,12,12,12,12,11,11,10,10,10,9,9,9,9,9,9,9,8,8,8,8,8,8,8,8,8,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"February 11, 2002, Monday",126 of 141 DOCUMENTS,USA TODAY,Rivals feed on dot-com ruins,Jon Swartz,MONEY; Pg. 1B,,1585 words,SAN FRANCISCO,,"February 11, 2002",ENGLISH,,,"GRAPHIC, Color, Keith Simmons, USA TODAY (ILLUSTRATION); PHOTO, B/W, Ernie Leyba for USA TODAY; Smart buy: Mike Wagner of KBtoys.com says buying eToys helped KB Toys slash costs.",COVER STORY,,,"Copyright 2002 Gannett Company, Inc."
,million,company,internet,asset,online,bankruptcy,customer,market,court,last,site,buy,software,wine.com,web,rival,deal,revenue,2001,spend,billion,go,warehouse,firm,dot_coms,VeriSign,merger,wait,bigger,dollar,cost,improve,acquisition,share,eToys,Kaiser,Amazon,CyberCash,2000,biggest,buyer,pay,new,help,develop,expert,operation,move,part,struggle,acquire,quarter,double,build,retailer,early,excite.com,portal,sport,goods,weaken,big,eVineyard,leader,evineyard,seller,wine,away,better,chief,officer,key,list,estimate,profitable,telecom,survivor,snap,technology,lead,profit,many,late,gary,financial,ago,establish,make,mistake,kb,toy,etoy,analyst,division,consumer,still,kbtoys.com,automated,delivery
,24,19,13,13,11,10,10,9,9,8,8,8,7,6,6,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"January 8, 2002, Tuesday",129 of 141 DOCUMENTS,USA TODAY,Family-focused ABC hopes for improvement,Gary Levin,LIFE; Pg. 1D,,445 words,,,"January 08, 2002",ENGLISH,,,"PHOTO, Color, Touchstone Television; Blueprint for improvement: Home Improvement is a model for ABC's new programming direction.",,,,"Copyright 2002 Gannett Company, Inc."
,network,ABC,show,programming,last,comedy,top,new,season,audience,among,tv,Bloomberg,movie,watch,strength,move,kid,fall,viewer,much,post,Roseanne,Lyne,Braun,expect,speedy,return,warm,latest,round,executive,turmoil,slump,monday,dump,programmer,stu,bloomberg,name,minisery,chief,entertainment,president,improvement,obviously,hugely,successful,kind,program,several,generation,side,historic,great,parent,company,embrace,1980,develop,recently,away,family,fare,drop,tgif,block,attempt,mimic,urbane,friend,strategy,often,flat,reverse,course,spurn,edgier,beloved,critic,reject,think,mix,favor,modest,success,wife,accord,performance,plummete,weaken,millionaire,hit,sharp,ratings,downturn,formerly,reliable,average
,8,6,5,4,4,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"February 5, 2002, Tuesday",131 of 141 DOCUMENTS,USA TODAY,Fear of scandals punishes stocks,Matt Krantz,NEWS; Pg. 1A,,442 words,,,"February 05, 2002",ENGLISH,,,"GRAPHIC, Color, Quin Tian, USA TODAY, Source: USA TODAY research (BAR GRAPH)",,,,"Copyright 2002 Gannett Company, Inc."
,accounting,investor,plunge,telecom,stock,make,system,sell,debt,raise,company,Enron,monday,scandal,market,last,week,question,diversify,security,firm,ability,Williams_Communications,grow,lack,faith,accuracy,worry,health,hammer,nervous,debacle,may,budd,optimism,help,revive,late,nowhere,industrial,average,220,point,2.2,9687,3.3,composite,index,drop,2.9,lowest,nov,barrage,hearing,open,lawmaker,scathing,comment,nation,antsy,anything,trader,to,rowe,price,ask,later,emotional,set,spree,long,suspect,tomfoolery,share,manufacturer,everything,home,crutch,cut,rating,cost,borrowing,hurt,profit,6.96,29.90,tyco,heavily,trade,large,bad,news,suffer,leery,complex,business,manufacturing,biggest,drag
,7,5,4,4,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"February 14, 2002, Thursday",132 of 141 DOCUMENTS,USA TODAY,Bush lauds new partnership with Pakistan,Judy Keen,NEWS; Pg. 10A,,514 words,WASHINGTON,,"February 14, 2002",ENGLISH,,,,,,,"Copyright 2002 Gannett Company, Inc."
,Bush,Musharraf,Pakistan,president,Pakistani,country,later,help,debt,United_States,U.S.,relationship,wednesday,go,hold,election,bush,terrorist,facilitate,million,military,jet,discussion,kidnap,militant,possible,keep,serious,government,White_House,Washington,Pearl,extol,newly,warm,nudge,restore,democracy,meeting,hour,committed,work,partnership,counterpart,create,progressive,modern,democratic,society,particularly,pleased,note,fall,seize,power,coup,1999,promise,parliamentary,october,lunch,official,visit,meet,secretary,attack,sept,risk,stability,regime,provide,intelligence,network,allow,force,operate,nation,key,partner,global,coalition,terror,friendly,multifacete,endure,tell,compensation,forgiveness,part,billion,reply,concern,burden,spokesman,pledge,200,top,600,aid
,9,9,8,5,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"May 30, 2002, Thursday",135 of 141 DOCUMENTS,USA TODAY,"'When they eat your dog, they're not so cute'",Deborah Sharp,NEWS; Pg. 4A,,1217 words,MIAMI,,"May 30, 2002",ENGLISH,,,"GRAPHIC, B/W, Sam Ward, USA TODAY, Source: Florida Fish and Wildlife Conservation Commission (BAR GRAPH); PHOTO, B/W, Steve Wolt for USA TODAY; PHOTO, B/W, Bill Wippert, The Buffalo News, via AP; Part of the family: Bill Moss of Minnesota has had his alligator, Smiley, for 10 years. But he doesn't recommend that others follow his example. Reptile encounter: A 4-foot-long alligator escapes from the net of Dave Petruzzi, an animal control officer in Buffalo, last June.",,,,"Copyright 2002 Gannett Company, Inc."
,alligator,Florida,pet,animal,gator,reptile,keep,creature,state,last,sighting,trade,law,population,million,attack,Louisiana,swim,officer,wild,small,dealer,people,thing,city,live,fair,U.S.,golf,game,call,make,n.h.,expert,escape,castoff,owner,bathtub,endangered,local,still,ban,close,nation,boom,own,accord,estimate,raise,authority,wildlife,record,three,official,do,moss,illegal,urban,manager,top,ask,put,territory,time,someone,capture,go,customer,foot,feed,Buffalo,Leon,Nashua,Smiley,Moss,mate,season,look,love,wrong,place,pool,course,highway,none,surprising,log,hundred,weekly,cameo,appearance,location,name,rogue,either,purchase,store,online,trader
,26,13,11,10,8,7,6,5,5,5,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"October 21, 2002, Monday",138 of 141 DOCUMENTS,USA TODAY,Change means stability for China,David J. Lynch,NEWS; Pg. 7A,,1207 words,BEIJING,,"October 21, 2002",ENGLISH,,,"PHOTO, B/W, Sean Gallup, Getty Images; U.S. visit will be last as leader: Jiang Zemin meets with President Bush in Texas on Friday.",,,,"Copyright 2002 Gannett Company, Inc."
,China,party,Jiang,president,leader,power,Chinese,relation,general,secretary,Communist_Party,U.S.,may,next,analyst,leadership,world,vice,hu,government,policy,foreign,minister,United_States,Shanghai,begin,likely,past,plan,retirement,mean,expect,purge,rule,hold,top,position,head,country,economy,city,factory,work,appear,new,time,man,transition,history,communist,develop,regime,official,designate,successor,assume,post,commission,age,leave,institute,generation,join,promote,politburo,people,professor,degree,1989,mayor,member,trade,organization,central,open,million,keep,economic,electrical,become,electronics,industry,elect,chairman,Mao,Deng_Xiaoping,Deng,Central_Military_Commission,visit,tuesday,showcase,increasingly,warm,last,bid,supporter,prolong,tenure,fail
,16,9,9,7,6,6,6,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1
