PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
"April 14, 1998, Tuesday",1 of 109 DOCUMENTS,USA TODAY,'A window on the future' of weather,Jack Williams,LIFE; Pg. 7D,,474 words,,,"April 14, 1998",ENGLISH,,,"GRAPHIC, B/W, Dave Merrill, USA TODAY, Source: USA TODAY research by Jack Williams (Diagram)",SCIENCE,,,"Copyright 1998 Gannett Company, Inc."
,el,nino,weather,warming,climate,world,extreme,global,warmer,hurricane,future,model,may,bring,change,cause,computer,we,baker,can,forecast,NOAA,fall,give,pattern,scientist,strength,modeling,head,show,effect,center,stronger,big,predict,whether,forecaster,able,ahead,research,Karl,disrupt,offer,glimpse,seem,heavy,rain,many,area,name,central,eastern,pacific,occur,every,seven,measure,much,normal,water,become,tell,manifest,d.,jame,word,winter,taste,might,expect,warm,window,stress,strong,always,attribute,increase,indication,amplify,national,climatic,data,latest,similar,past,however,generally,detail,unanswer,question,affect,reduce,number,threaten,researcher,yet,fewer,either,globally
,18,7,6,5,5,4,4,4,4,4,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"February 2, 1998, Monday",81 of 109 DOCUMENTS,USA TODAY,Tax credits target energy efficiency Global warming concerns are priority in budget proposal,Traci Watson,NEWS; Pg. 5A,,828 words,WASHINGTON,,"February 02, 1998",ENGLISH,,,,,,,"Copyright 1998 Gannett Company, Inc."
,tax,credit,Clinton,billion,proposal,administration,budget,average,gas,five,buy,warming,greenhouse,emission,class,increase,propose,americans,car,home,global,include,program,research,energy,vehicle,go,2010,cost,ask,school,federal,care,call,energy_saving,energy_efficient,device,public,expect,president,1999,technology,scientist,heat,however,carbon,dioxide,offer,"2,000",mileage,other,rebate,effect,phase,solar,power,heating,1990,must,cut,use,major,next,help,grade,pay,health,open,initiative,lose,tobacco,child,apply,employee,equipment,U.S.,Congress,hefty,superefficient,part,effort,enlist,battle,message,today,outline,saturday,radio,address,seek,fund,encourage,sale,temperature,risen,roughly,degree,last,century
,12,12,12,8,6,5,5,5,5,5,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"February 6, 1998, Friday",82 of 109 DOCUMENTS,USA TODAY,Japan hopes Games will lift spirits,Bill Meyers,NEWS; Pg. 1A,,1641 words,,,"February 06, 1998",ENGLISH,,,"PHOTOS, Color (4)",COVER STORY,,,"Copyright 1998 Gannett Company, Inc."
,olympic,game,Japan,Nagano,Sapporo,winter,medal,Japanese,gold,country,economic,1972,official,competition,woman,hen,way,people,bank,financial,ice,feel,last,athletic,speedskating,skate,never,Cochran,Harada,athlete,1998,time,fail,world,economy,today,force,organizer,change,nation,approximately,million,race,back,commercial,team,ski,history,jumper,reason,host,hurt,late,real,estate,japanese,citizen,struggle,bad,loan,sweep,offer,pay,olympian,participate,provide,"1,000",small,hockey,know,big,spectator,venue,gloomy,try,problem,serve,plan,win,hold,follow,environment,press,well,week,event,hour,tv,soar,wait,take,second,teacher,nagano,recognize,watch,expect,skis,amateur
,18,15,15,13,13,10,9,9,8,7,6,6,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"February 13, 1998, Friday",83 of 109 DOCUMENTS,USA TODAY,'Romantic' paints a portrait of Teddy Roosevelt's ideals,Susan Kelly,LIFE; Pg. 15D,,625 words,,,"February 13, 1998",ENGLISH,,,"PHOTO, B/W, Library of Congress",BOOK REVIEW,,,"Copyright 1998 Gannett Company, Inc."
,Roosevelt,war,president,heroes,giant,book,man,theodore,roosevelt,many,fight,call,last,romantic,vision,life,seem,brand,boy,family,keep,friend,father,death,people,devote,live,belief,heart,world,love,nation,americans,hate,better,Brands,26th,embody,consider,best,spirit,boldness,justice,regardless,cost,h.w,t.r,make,case,base,idealization,believe,measure,history,literature,800,page,may,daunting,fascinating,basis,work,writings,put,vivid,context,extraordinary,childhood,sickly,wealthy,apart,asthma,tale,valor,adventure,youth,beset,manner,vice,shelter,travel,exotic,locale,search,hospitable,climate,urging,begin,literally,illness,rigorous,exercise,practice,continue,manhood,endless,stream,endurance,test
,7,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"February 13, 1998, Friday",84 of 109 DOCUMENTS,USA TODAY,Supercomputer to dethrone Deep Blue,Paul Hoversten,NEWS; Pg. 3A,,481 words,WASHINGTON,,"February 13, 1998",ENGLISH,,,,,,,"Copyright 1998 Gannett Company, Inc."
,supercomputer,nuclear,second,Energy_Department,Pena,world,nation,weapon,build,trillion,calculation,computer,option,take,stockpile,already,call,use,IBM,Los_Alamos,Lawrence_Livermore,blue,million,make,per,2000,supercomputing,need,underground,1996,lab,research,Sandia,deep,move,beat,chess,champion,last,may,soon,eclip,"1,000",time,faster,part,program,safeguard,supply,secretary,federico,pena,thursday,agency,award,contract,capable,white,able,calculate,single,calculator,another,major,leap,forward,leader,else,close,brute,compute,strength,necessary,ensure,reliability,safety,replicate,analyze,laboratory,intricate,chain,reaction,occur,moment,bomb,explode,kind,indoor,testing,eliminate,set,device,still,work,president,urging,ratify,sign,prohibit
,11,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"May 7, 1998, Thursday",90 of 109 DOCUMENTS,USA TODAY,Economy stays firm amid Asia's troubles,Beth Belton; Stephanie Armour,MONEY; Pg. 4B,,677 words,,,"May 07, 1998",ENGLISH,,,,,,,"Copyright 1998 Gannett Company, Inc."
,district,economy,continue,price,southern,remain,northern,market,sale,activity,wage,growth,manufacturing,despite,steady,report,strong,eastern,western,construction,expand,grow,pressure,hold,goods,business,retailer,real,estate,labor,robust,moderately,look,pick,raise,good,pennsylvania,gain,retail,healthy,tight,change,little,tennessee,mississippi,economic,home,illinois,wisconsin,spend,weakness,demand,missouri,pace,March,Asian,New_Jersey,Kentucky,West_Virginia,Louisiana,Indiana,Michigan,New_Mexico,Asia,California,federal,reserve,wednesday,april,tightlabor,rise,competitive,financial,crisis,adversely,affect,industry,exporter,chemical,electronic,finding,latest,beige,book,name,color,cover,today,1st,maine,except,ago,stable,2nd,maintain,sturdy,run,forecast,inventory
,12,10,9,9,9,8,8,7,7,7,5,5,5,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"May 15, 1998, Friday",91 of 109 DOCUMENTS,USA TODAY,ON THE shelf,Deirdre Donahue; William F. Nicholson; Kevin Johnson; Kurt Jensen,LIFE; Pg. 14E,,639 words,,,"May 18, 1998",ENGLISH,,,"PHOTO, Color",BOOKS,,,"Copyright 1998 Gannett Company, Inc."
,make,book,civil,examination,Lerner,McVeigh,write,hour,audiotape,family,respect,clear,give,offer,many,novel,life,soldier,end,love,character,track,real,search,war,last,author,behind,confederate,find,Indian,Serrano,Prager,bet,modesty,parent,ability,might,expect,writer,psychologist,yet,precisely,deliver,read,mix,experience,observation,draw,client,therapy,emphasize,importance,among,member,open,emotional,climate,control,something,pregnancy,never,regain,easy,answer,tape,rare,authenticity,word,diary,e.,turner,sarah,prine,endure,hardship,grow,maturity,debut,frontier,territory,include,bandit,fire,flood,raid,attempt,rape,fighter,confound,jack,delicious,couple,long,affair,definitely,damn,cas,godshalk
,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"May 22, 1998, Friday",92 of 109 DOCUMENTS,USA TODAY,ON THE shelf,Don Waller; Deirdre Donahue; Bob Minzesheimer,LIFE; Pg. 8E,,499 words,,,"May 22, 1998",ENGLISH,,,"PHOTO, Color",BOOKS,,,"Copyright 1998 Gannett Company, Inc."
,novel,boy,give,family,novelist,Lerner,story,writer,life,modern,hot,read,parent,world,write,tape,mix,among,open,make,widow,grief,Richard_Price,Freedomland,John_Irving,bet,funny,22.95,finely,tune,acclaim,1995,mean,pop,music,fan,continue,focus,unexplored,londoner,already,option,screen,heir,royalty,novelty,song,spend,entire,adult,pursuit,hipness,much,else,resolute,bachelor,find,pretend,single,order,meet,divorcee,obvious,pain,shock,young,white,woman,stagger,ghetto,emergency,room,black,carjacker,remember,son,asleep,back,seat,plot,provide,dramatic,engine,drive,straight,hellish,good,intention,author,screenwriter,thematic,concern,greater,racial,divide,although,price,rippling,muscular
,6,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"September 4, 1998, Friday",98 of 109 DOCUMENTS,USA TODAY,OTHER ISSUES,,NEWS; Pg. 13A,,586 words,,,"September 04, 1998",ENGLISH,,,,,,,"Copyright 1998 Gannett Company, Inc."
,republican,issue,Clinton,democrat,president,bill,crime,minimum,wage,majority,rights,give,trade,gays,effort,Senate,Congress,1996,late,bring,change,increase,seem,condition,leader,party,farm,state,agriculture,amendment,emergency,cause,without,voter,make,raise,agenda,juvenile,House,Asia,rapprochement,congressional,compromise,welfare,immigration,reform,health,insurance,transferability,worker,job,cast,aura,success,contentious,congress,help,scenario,likely,fall,wounded,defensive,feel,embolden,insist,priority,mean,showdown,occur,broad,range,include,figure,prominently,campaign,date,gun,law,wait,period,handgun,purchase,achievement,term,expire,november,propose,extension,restriction,unpopular,gunowner,advocate,influential,chance,charge,hardcore,supporter,member,take
,6,6,6,5,4,4,4,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"September 11, 1998, Friday",99 of 109 DOCUMENTS,USA TODAY,Why is the market so crazy? Just about anything can set off global financial system's hair-trigger,David Rynecki,MONEY; Pg. 1B,,1252 words,NEW YORK,,"September 11, 1998",ENGLISH,,,"GRAPHIC, Color, Julie Stacey, USA TODAY, Source: Bloomberg Business News",COVER STORY,,,"Copyright 1998 Gannett Company, Inc."
,market,stock,investor,trading,average,point,daily,future,million,volume,money,financial,move,manager,volatility,never,many,Dow,thursday,rise,past,week,shift,business,experience,investment,1997,program,time,least,political,global,have,strategist,price,way,allow,hedge,fund,bet,trade,open,Wall_Street,New_York,bull,july,fall,drop,portfolio,pace,decade,500,1990,1996,electronic,trigger,174,curb,know,sidecar,aug,answer,economic,sophisticated,largely,question,wednesday,example,big,president,company,foreign,trader,force,purchase,quickly,lose,increase,previous,individual,new,jump,essentially,buy,sell,indexe,call,debt,emerge,cost,share,last,bear,professor,actually,volatile,NYSE,SPDRs,Diamonds
,22,10,9,8,7,6,5,5,5,5,5,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"October 7, 1998, Wednesday",104 of 109 DOCUMENTS,USA TODAY,Moscow's new spirit still thrives,Barbara Slavin,NEWS; Pg. 16A,,826 words,,,"October 07, 1998",ENGLISH,,,"PHOTO, B/W, Mikhail Metzel, AP; PHOTO, B/W, AP; PHOTO, B/W, Sergey Chirikov, AFP",,,,"Copyright 1998 Gannett Company, Inc."
,Moscow,Russia,economic,government,time,many,new,russian,still,plan,return,million,people,last,despite,Soviet_Union,Russian,longer,instead,recently,different,crisis,ten,member,communist,part,change,better,news,security,live,country,child,foreigner,know,every,floor,man,city,money,former,among,include,name,chance,park,mayor,political,reformer,generation,Communist_Party,American,free_market,banner,stretch,across,broad,boulevard,socialist,urge,worker,overfulfill,hail,hang,near,embrace,future,mary,kay,cosmetics,throe,reawaken,national,tendency,toward,gloom,introspection,thousand,trade,unionists,expect,stage,protest,today,unclear,demonstration,mean,achieve,use,neither,much,else,era,stagnation,feel,lot,capital,drab,confine
,5,5,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"November 3, 1998, Tuesday",106 of 109 DOCUMENTS,USA TODAY,Right's big tent is looking smaller,DeWayne Wickham,NEWS; Pg. 15A,,718 words,,,"November 03, 1998",ENGLISH,,,"PHOTO, b/w, John Duricka, AP; Alfonse D'Amato: Moving away from religious right.",,,,"Copyright 1998 Gannett Company, Inc."
,republican,conservative,religious,political,right,democrat,fundamentalist,voter,GOP,opposition,abortion,news,end,christians,party,lose,hold,nearly,belief,office,social,give,ground,change,staunchly,governor,poll,chance,support,homosexual,nation,lesbian,move,away,good,extremism,socially,understand,close,push,family,Republican,New_York,American,beginning,hijack,control,presidency,decade,mulla,dictate,think,lawmaker,use,pulpit,stump,evangelical,litmus,test,seeker,effectively,alter,landscape,reign,dogma,replace,economic,policy,drive,concern,politician,find,easier,waffle,tax,hike,stance,election,sign,everywhere,cozy,organized,labor,soften,draw,within,reach,state,race,incumbent,dramatically,boost,stand,shed,shell,revealing,rights,school,voucher
,10,9,7,7,5,5,4,4,4,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"November 12, 1998, Thursday",107 of 109 DOCUMENTS,USA TODAY,"Argentina, Kazakhstan bolster global warming pact",Traci Watson,NEWS; Pg. 10A,,332 words,,,"November 13, 1998",ENGLISH,,,"PHOTO, B/W, AFP",,,,"Copyright 1998 Gannett Company, Inc."
,limit,develop,country,Argentina,treaty,U.S.,emission,nation,move,global,warming,pressure,gas,Buenos_Aires,agree,resist,meeting,require,greenhouse,Kazakhstan,Kyoto,victory,pollutant,cause,adopt,major,agreement,wednesday,delegate,160,work,detail,write,1997,richer,produce,use,fossil,fuel,scientist,blame,angering,company,lawmaker,approve,take,effect,talk,hamper,disagreement,negotiate,bloc,diplomat,push,strongly,loyal,ally,host,conference,especially,intense,heavy,formerly,part,may,face,consequence,later,action,relation,oppose,might,chill,news,brave,farsight,forward,lead,negotiator,applaud,decision,other,go,far,enough,voluntary,commitment,know,sen,chuck,hagel,outspoken,opponent,White_House,Japan,Senate,USA,United_States,greenhouse_gas
,7,6,6,6,5,5,4,4,4,3,3,3,3,3,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
