PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
"September 29, 2005, Thursday",1 of 147 DOCUMENTS,USA TODAY,Debate churns over global warming,,NEWS; Pg. 12A,,696 words,,,"September 29, 2005",ENGLISH,,,"PHOTO, B/W, NASA",Debate,,,"Copyright 2005 Gannett Company, Inc."
,hurricane,global,warming,climate,change,Katrina,storm,water,nature,today,may,gulf,USA,Rita,activist,make,link,increase,frustration,world,lack,administration,due,compare,blame,natural,deserve,generate,gain,activity,shift,warm,strong,use,fossil,fuel,temperature,policy,fast,force,atmosphere,need,keep,take,sea,taxpayer,new,U.S.,European,United_States,Mexico,THC,New_Orleans,attitude,frustrate,editorial,turn,spin,accuse,official,among,other,exploit,tragedy,score,political,point,advance,agenda,view,cause,debate,monday,premature,individual,event,attribute,true,however,fair,action,attempt,stop,rest,move,ahead,slow,multilateral,agreement,mostly,choice,current,underlying,widespread,awareness,severity,problem,press,unsatisfactory
,artist,Gordy,successful,jr.,know,record,use,music,way,create,young,develop,well,Motown,bring,civil,rights,hit,racial,equality,lead,stage,success,label,good,image,show,people,Berry_Gordy,African_Americans,assembly_line,mind,name,yet,founder,businessman,recognize,major,player,struggle,produce,many,other,part,fight,time,king,icon,charge,nationally,able,reach,home,americans,subtly,social,change,put,positive,light,nation,bear,1929,grow,family,man,work,business,philosophy,learn,method,later,make,motown,1957,along,sister,gwen,another,friend,write,song,initial,greater,found,company,order,need,musician,present,gentleman,lady,dress,groom,mannered,accomplish,approach,development,detroit
,5,5,4,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"June 15, 2005, Wednesday",110 of 147 DOCUMENTS,USA TODAY,Aruba's postcard image comes under siege,Laura Bly,LIFE; Pg. 8D,,708 words,,,"June 15, 2005",ENGLISH,,,,,,,"Copyright 2005 Gannett Company, Inc."
,crime,Aruba,rate,tourist,travel,island,disappearance,americans,beach,include,low,people,department,theft,occur,car,cruise,U.S.,Holloway,last,trip,cancellation,spot,region,mile,know,hitchhike,aruba,may,find,status,young,leave,night,statistic,state,incident,hotel,robbery,note,violent,case,drug,ship,number,affair,Dutch,Oranjestad,strategic,location,south,hurricane,belt,grappling,storm,unwanted,publicity,school,graduation,major,tour,operator,log,popular,vacation,draw,"530,000",longtime,reputation,safest,place,scrutiny,north,small,protectorate,dry,sunny,climate,expansive,lively,nightlife,casinos,guidebook,envy,nearly,every,else,woman,without,qualm,boom,past,couple,decade,rapid,change,influx,new,disturb
,7,5,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"June 29, 2005, Wednesday",112 of 147 DOCUMENTS,USA TODAY,Consumer confidence hit a 3-year high in June,Sue Kirchhoff,MONEY; Pg. 3B,,462 words,WASHINGTON,,"June 29, 2005",ENGLISH,,,,,,,"Copyright 2005 Gannett Company, Inc."
,price,consumer,confidence,oil,june,may,higher,call,energy,recent,high,economist,condition,expect,rate,time,three,research,fall,survey,rise,number,barrel,gain,current,income,growth,good,economy,interest,increase,meeting,percentage,22.6,job,hard,plentiful,Conference_Board,short_term,jump,strongest,independent,group,tuesday,conference,index,base,"5,000",household,105.8,103.1,highest,2002,warn,however,ease,ahead,unless,recede,sharply,hit,record,monday,crude,drop,2.34,58.20,trader,seek,cash,still,ago,despite,cost,assessment,120.7,117.8,outlook,improve,instance,19.4,next,six,17.8,best,read,far,help,push,industrial,average,114.85,close,"10,405.63",director,center,miss,peak,add
,9,8,5,5,4,4,4,4,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"July 1, 2005, Friday",114 of 147 DOCUMENTS,USA TODAY,"Bush plan targets malaria, education",Judy Keen and Steve Sternberg,NEWS; Pg. 4A,,335 words,WASHINGTON,,"July 01, 2005",ENGLISH,,,,,,,"Copyright 2005 Gannett Company, Inc."
,Africa,billion,spend,malaria,Bush,increase,aid,group,need,*,million,economic,summit,girl,legal,woman,national,something,country,help,step,U.S.,British,president,press,next,week,direct,thursday,fight,educate,ensure,protection,humanitarian,enough,hope,beginning,much,bigger,commitment,relief,agency,climate,change,focus,major,industrial,nation,start,wednesday,prime,minister,participant,0.7,gross,product,contribution,smaller,security,advisor,2010,yearly,include,new,program,8.6,4.3,2004,cash,alone,solve,woe,development,achieve,we,congressional,approval,plan,1.2,five,reduce,death,half,target,kill,people,child,case,occur,world,health,organization,tuberculosis,advocacy,least,3.5,worldwide,control,three
,6,5,4,4,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"August 29, 2005, Monday",122 of 147 DOCUMENTS,USA TODAY,'End of the Line' unravels history of single sourcing,Russ Juskalian,MONEY; Pg. 4B,,923 words,,,"August 29, 2005",ENGLISH,,,"GRAPHIC, B/W (CHART); PHOTO, B/W",MONEY BOOKSHELF,,,"Copyright 2005 Gannett Company, Inc."
,global,company,business,Lynn,American,threat,corporation,book,risk,single,line,fall,butterfly,theory,chip,make,history,interdependence,current,economic,system,lynn,give,sourcing,shareholder,corporate,U.S.,Taiwan,Japan,effect,title,example,event,cause,end,immediate,go,computer,memory,plastic,epoxy,turn,disruption,much,catastrophe,supplier,inventory,lean,deal,reader,model,result,world,cost,efficiency,take,supplies,compete,outsource,manufacturing,shift,frame,around,already,argument,face,Rise,Rockefeller_Center,doubleday,312,page,people,either,movie,state,flapping,wing,series,tornado,author,represent,stability,version,something,order,local,use,casings,unforeseen,circumstance,explosion,shutter,factory,mean,stop,assembly,leave,wait,little
,9,7,7,7,6,5,5,5,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"October 10, 2005, Monday",129 of 147 DOCUMENTS,USA TODAY,Victoria's Secret tones down suggestive displays,Olivia Barker,LIFE; Pg. 1D,,465 words,,,"October 10, 2005",ENGLISH,,,"PHOTO, Color, Katye Martens, USA TODAY",,,,"Copyright 2005 Gannett Company, Inc."
,Victoria,secret,woman,company,mannequin,good,McLean,Wauwatosa,shopper,marketing,enough,lingerie,store,controversy,other,still,thing,whip,protest,largely,plan,friday,season,ad,many,sell,panty,twist,racy,time,appropriately,outrage,va.,target,latest,clothing,local,resident,rail,scantily,clad,provocatively,pose,four,intertwined,bed,garter,what,miss,lead,charge,familiar,cycle,retailer,ratchet,raunch,edgy,concerned,react,neighborhood,meeting,tone,remember,abercrombie,catalog,show,topless,model,concession,mean,among,change,straightening,flipping,around,whose,bare,derriere,greet,passersby,opponent,satisfied,second,today,gather,draw,people,recline,turn,bottom,longer,mooning,window,put,absolutely,we,make,episode,interesting
,5,4,4,4,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"December 8, 2005, Thursday",135 of 147 DOCUMENTS,USA TODAY,Oval ready for first test,Tom Weir,SPORTS; Pg. 8C,,614 words,TORINO,,"December 08, 2005",ENGLISH,,,"PHOTO, B/W, USA TODAY; PHOTO, B/W, Michael Kooren, Reuters",,,,"Copyright 2005 Gannett Company, Inc."
,oval,ice,olympic,Salt_Lake_City,still,last,construction,world,Torino,create,winter,building,time,may,team,advantage,long_track,Messer,Crowe,game,indoor,speedskating,medal,cup,event,hand,host,behind,schedule,2002,record,keep,need,race,go,crash,install,better,Oval_Lingotto,U.S.,USA,home_ice,although,din,nail,gun,drill,saw,tend,interrupt,conversation,major,project,appear,ready,february,friday,sport,award,test,begin,international,committee,president,evaluation,overdue,suppose,meet,move,site,previously,house,factory,asbestos,contamination,discover,cleanup,put,italian,task,maker,calgary,1988,rank,second,produce,recent,ask,wednesday,whether,respond,let,know,monday,challenge,climate,constant,battle,temperature
,9,8,6,5,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"December 8, 2005, Thursday",136 of 147 DOCUMENTS,USA TODAY,Where conservation and development coexist,Nick Jans,NEWS; Pg. 15A,,1207 words,,,"December 08, 2005",ENGLISH,,,"GRAPHIC, B/W, Alejandro Gonzalez, USA TODAY (Illustration)",,,,"Copyright 2005 Gannett Company, Inc."
,boreal,Canada,oil,development,world,Mackenzie,basin,gas,*,far,billion,huge,conservation,across,CBI,sand,environmental,might,bird,forest,horizon,area,scale,wild,largest,natural,energy,fact,provide,tribe,work,massive,framework,air,third,seem,among,land,percentage,Mackenzie_River,Alberta,U.S.,Canadian,window,endless,river,foot,landscape,use,large,vastness,though,vast,tar,delta,new,make,pipeline,wilderness,plan,know,big,company,progress,unlikely,focus,future,acre,northern,forestland,interest,public,sound,sustainable,developer,government,vision,raw,material,carbon,species,equally,issue,economic,stake,despite,product,already,small,project,remain,giant,claim,model,maybe,no,rank,nation,prove
,13,10,9,8,7,7,6,6,6,5,5,5,5,5,5,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"December 9, 2005, Friday",137 of 147 DOCUMENTS,USA TODAY,New Lexus does sporty right,James R. Healey,LIFE; Pg. 13D,,1429 words,,,"December 09, 2005",ENGLISH,,,"PHOTOS, B/W, Toyota (3)",,,,"Copyright 2005 Gannett Company, Inc."
,350,250,*,drive,seat,sedan,car,rear,AWD,automatic,front,Lexus,lexus,standard,make,back,transmission,much,how,power,go,buy,available,model,new,inside,version,awd,test,paddle,system,what,rpm,control,mistake,top,cushion,good,series,quite,small,well,use,engine,shift,help,need,begin,bump,steering,wheel,expect,depend,include,rate,bag,inch,mpg,all_wheel,six_speed,must,charge,2006,slip,vehicle,quality,widely,whoopee,06,expensive,bmw,direct,competitor,likely,think,room,often,enough,still,whiz,mph,speed,accelerate,hard,find,almost,driver,display,manually,gear,smooth,quick,manual,behind,especially,kind,corner,might,luxury
,19,18,11,9,8,7,7,7,7,6,6,6,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"April 4, 2005, Monday",141 of 147 DOCUMENTS,USA TODAY,United Tech outperforms peers year after year,Ron Insana,MONEY; Pg. 3B,,1424 words,,,"April 04, 2005",ENGLISH,,,"PHOTO, B/W, Eileen Blass, USA TODAY; Growth potential: United Technologies' elevator unit has seen tremendous growth. CEO George David says its Russian business is up 30%-plus a year.  Housing conditions there are absolutely appalling, he says. Ron Insana is an anchor on CNBC's Street Signs.",,,,"Copyright 2005 Gannett Company, Inc."
,business,market,elevator,growth,insana,david,people,have,stock,go,China,ceo,company,Russia,billion,big,population,way,leader,time,long,American,U.S.,Europe,peer,look,margin,know,last,economy,think,rate,thing,higher,per,housing,always,happen,price,multiple,revenue,operating,air,well,number,sell,take,new,unit,feel,thousand,today,house,true,kind,make,productivity,move,around,Carrier,name,conglomerate,grow,keep,talk,2005,analyst,ago,bump,acquisition,add,physical,order,typically,mature,2003,entire,corporation,shipment,sale,part,bubble,sustainable,measure,country,install,world,six,urbanize,urban,leave,different,drive,rebuild,help,early,condition,huge,powerful
,14,12,11,10,10,10,9,8,7,7,7,6,6,6,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"September 6, 2005, Tuesday",145 of 147 DOCUMENTS,USA TODAY,"City's magic fades, world seems darker",,NEWS; Pg. 20A,,1121 words,,,"September 06, 2005",ENGLISH,,,"PHOTO, B/W, Matt Rourke, The Austin American-Statesman, via AP; PHOTO, B/W, Mike Silva, The (Shreveport, La.) Times, via AP; PHOTO, B/W, Scott Morgan, Getty Images",Letters,,,"Copyright 2005 Gannett Company, Inc."
,people,*,think,take,disaster,help,New_Orleans,United_States,world,time,we,country,important,wonderful,city,another,the,americans,much,send,place,make,cafe,watch,never,many,oil,natural,hit,give,question,right,donation,Hurricane_Katrina,Bush,Paul,mysterious,sit,pass,may,believe,anywhere,else,wonder,go,back,exist,longer,thing,probably,little,light,let,big,citizen,advantage,price,put,relief,prepare,soil,administration,plan,national,serve,blame,news,media,deal,looting,horrible,law,consider,police,area,point,aid,individual,America,Homeland_Security,list,visit,die,well,march,2003,decide,dream,reality,sister,head,magical,image,usually,surface,amazing,du,monde,dark
,12,8,7,7,7,7,7,6,5,5,5,5,5,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
