PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
"August 31, 2017 Thursday",2 of 252 DOCUMENTS,USA TODAY,Did climate change intensify Harvey?,,NEWS; Pg. 7A,,426 words,,,"August 31, 2017",ENGLISH,,,,,,NEWSPAPER,"Copyright 2017 Gannett Company, Inc.                               All Rights Reserved"
,climate,change,rainfall,storm,Harvey,week,extreme,event,increase,flooding,tropical,greenhouse,gas,question,effort,make,produce,history,warmer,water,nation,serious,cost,afford,Texas,Northeast,floodwater,rage,debate,possible,link,activist,point,historic,epic,exactly,type,forecast,occur,globe,warm,skeptic,cite,long,list,slam,buildup,atmosphere,right,way,premature,unseemly,search,rescue,continue,definitive,answer,scientist,conduct,attribution,study,likelihood,though,conclusion,cause,almost,surely,worse,total,leave,part,look,rival,snowfall,accumulation,blizzards,fact,continental,record,consistent,basic,science,normal,temperature,place,gulf,provide,heat,energy,fuel,formation,rapid,strengthen,air,hold,vapor,turn,rise,sea
,8,8,7,4,4,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"June 9, 2017 Friday",216 of 252 DOCUMENTS,USA TODAY,U.K. vote puts May's majority in jeopardy; Coalition may be necessary once the final results are in,"Kim Hjelmgaard, and Jane Onyanga-Omara, USA TODAY",NEWS; Pg. 3A,,604 words,,,"June 9, 2017",ENGLISH,,,"photo ADRIAN DENNIS, AFP/Getty Images",,,NEWSPAPER,"Copyright 2017 Gannett Company, Inc.                               All Rights Reserved"
,may,win,seat,conservative,party,election,Corbyn,poll,government,EU,thursday,majority,exit,form,victory,leave,campaign,Britain,Labour,London,minister,parliamentary,fall,forecast,political,smaller,national,suggest,need,expect,resign,give,last,referendum,june,april,leader,vow,make,believe,vote,care,British,Labour_Party,Liberal_Democrats,Trump,prime,theresa,project,country,short,accord,projection,hold,lose,gamble,strengthen,head,difficult,talk,nation,impend,withdrawal,bloc,predict,322,261,take,remainder,split,314,650,lead,266,326,final,result,early,friday,correct,team,rule,coalition,extraordinary,humiliation,face,pressure,possible,secure,enough,although,opportunity,2015,331,membership,2016,narrowly,approve,public
,11,9,8,7,6,5,5,4,4,4,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"June 14, 2017 Wednesday",218 of 252 DOCUMENTS,USA TODAY,"Networks, stop breaking 'CHiPs' off the old TV block; But if you must, here are some to consider",,LIFE; Pg. 6D,,551 words,,,"June 14, 2017",ENGLISH,,,photo GPN,,,NEWSPAPER,"Copyright 2017 Gannett Company, Inc.                               All Rights Reserved"
,tv,original,show,remake,many,new,work,series,go,chachi,glug,Baywatch,studio,least,love,recycle,screen,have,copy,cheesy,other,big,million,try,plot,dig,return,spinoff,vault,buddy,CHiPs,live,liberal,stereotype,respect,heel,criminally,else,explain,revisit,flotsam,however,pretty,wash,widely,pan,efron,ab,scam,sound,dumber,odd,way,must,kind,achievement,plastic,water,bottle,financial,benefit,understandable,familiarity,fondness,draw,attention,viewer,bombard,entertainment,choice,level,jam,lame,own,rights,stifle,idea,reboot,honor,tell,story,star,trek,gain,life,theater,tom,cruise,mission,impossible,improve,film,embraced,team,model,operative,interlock,puzzle,piece
,4,4,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"July 6, 2017 Thursday",221 of 252 DOCUMENTS,USA TODAY,"Despite bumps in road, hybrid cars are still powering on; Their future is bright amid shaky market","Nathan Bomey, @NathanBomey, USA TODAY",NEWS; Pg. 1A,,308 words,,,"July 6, 2017",ENGLISH,,,photo volvo,,,NEWSPAPER,"Copyright 2017 Gannett Company, Inc.                               All Rights Reserved"
,vehicle,hybrid,car,fuel_efficient,Volvo,gasoline,model,electric,market,standard,automaker,may,low,price,world,fuel,economy,global,cost,make,emission,volvo,U.S.,driver,lose,interest,kick,curb,yet,fact,future,look,certain,ever,automotive,brand,announce,wednesday,stop,launch,conventional,2019,new,mild,partially,power,motor,despite,plummete,sale,popular,shaky,move,ahead,example,foreign,regulation,exert,influence,industry,still,hope,president,weaken,amid,undermined,appeal,turn,drive,demand,crossover,pickup,operate,scale,develop,sell,internationally,spread,maximize,revenue,regulator,press,combat,air,pollution,climate,change,choice,embrace,lower,battery,pure,affordable,anticipation,stricter,reason,announcement,news,conference
,7,5,4,4,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"July 27, 2017 Thursday",226 of 252 DOCUMENTS,USA TODAY,Turn away from a new Cold War,Norman Solomon,NEWS; Pg. 7A,,347 words,,,"July 27, 2017",ENGLISH,,,,,,NEWSPAPER,"Copyright 2017 Gannett Company, Inc.                               All Rights Reserved"
,war,Russia,sanction,nuclear,new,cold,time,reduce,country,denial,kind,leave,danger,former,Bulletin,drive,put,might,feel,good,fuel,propel,wrong,direction,turn,away,collision,course,step,gas,whatever,think,matter,president,world,superpower,piling,mean,escalate,tension,extremely,dangerous,begin,move,doomsday,clock,closer,apocalyptic,midnight,1953,probability,global,catastrophe,high,action,need,risk,disaster,must,take,soon,expert,panel,warn,target,predictable,result,include,angry,response,polarize,attitude,damaging,prospect,détente,boost,spiral,mutual,hostility,democratic,lawmaker,rightly,deride,republican,climate,change,party,lock,relation,latest,bill,part,obsession,denouncing,scant,room,consider,horrific,fight
,7,6,5,5,4,3,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"July 31, 2017 Monday",228 of 252 DOCUMENTS,USA TODAY,'Dunkirk' conquers box office for a second weekend; 'Emoji Movie' overcame severely negative reviews,"Lindsey Bahr, The Associated Press",LIFE; Pg. 4D,,441 words,,,"July 31, 2017",ENGLISH,,,,,,NEWSPAPER,"Copyright 2017 Gannett Company, Inc.                               All Rights Reserved"
,film,million,review,weekend,place,audience,box,office,second,take,well,Spider_Man,negative,war,earn,estimate,critic,still,domestic,expect,play,summer,media,strong,new,fourth,homecome,behind,launch,limited,Emoji_Movie,Dunkirk,Emoji,Girls_Trip,Detroit,survive,defeat,enough,fight,leave,conquer,row,director,christopher,nolan,world,ii,28.1,accord,studio,sunday,gross,102.8,domestically,date,finish,25.7,feature,voice,t.j.,miller,anthropomorphize,emojis,pummel,aggregate,site,turn,great,sync,end,reach,intend,president,distribution,result,clearly,sony,cost,make,rest,divide,success,continue,topic,capsize,poor,other,seem,immune,kid,care,severe,lack,family,marketplace,senior,analyst,fall,throughout
,11,8,6,5,4,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"August 11, 2017 Friday",230 of 252 DOCUMENTS,USA TODAY,GOP loosens government grip on land; 'Energy dominance' policy wants areas open to development,"Bartholomew D. Sullivan, USA TODAY",NEWS; Pg. 5A,,1309 words,,,"August 14, 2017",ENGLISH,,,,,,NEWSPAPER,"Copyright 2017 Gannett Company, Inc.                               All Rights Reserved"
,land,make,public,federal,Zinke,government,call,national,department,new,president,state,policy,committee,Bishop,office,environmental,act,resource,litigation,case,Trump,Interior,shift,republican,rule,transfer,revenue,secretary,lease,plan,monument,antiquity,energy,june,former,require,natural,industry,local,statement,senator,hearing,deputy,lawyer,include,seek,executive,write,authority,conven,early,january,chairman,declare,paradigm,country,manage,conveyance,cause,take,million,look,cost,size,review,dominance,extraction,methane,company,gas,rather,july,management,implement,permit,oppose,interest,goal,member,several,number,park,learn,oil,activist,staff,reassign,general,punish,witness,entire,rep.,zealot,court,order,judge,use,collude
,13,9,9,8,8,7,7,6,6,5,5,5,5,5,5,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"September 21, 2017 Thursday",239 of 252 DOCUMENTS,USA TODAY,"Jordan Klepper, provocateur, is 'The Opposition'; His character is a more 'paranoid' version of his persona","Gary Levin, @garymlevin, USA TODAY",LIFE; Pg. 3D,,615 words,,,"September 21, 2017",ENGLISH,,,photo Gavin Bond,,,NEWSPAPER,"Copyright 2017 Gannett Company, Inc.                               All Rights Reserved"
,Klepper,host,show,news,new,former,aim,interview,go,make,way,Daily_Show,angry,opposition,sept,correspondent,sight,media,place,guy,serve,stand,bit,president,people,really,story,segment,band,Comedy_Central,Trump,Daily,white,man,rather,play,monday,thursday,11:30,et,pt,companion,star,arrogant,blowhard,channel,o'reilly,generally,magnify,area,contrariness,reward,provocateur,spacious,office,overlook,hooter,shabby,midtown,hotel,ballroom,studio,something,figure,thing,yet,poke,hole,leave,sacrosanct,issue,well,feed,opportunistic,flip,idea,click,ideology,sound,current,purely,intentional,practice,tape,satirical,climate,change,soulless,progressive,deep,state,course,mainstream,agree,tell,guest,politico,editor,compromise
,7,4,4,4,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"October 16, 2017 Monday",241 of 252 DOCUMENTS,USA TODAY,Conservationist Jane Goodall: Earth in danger; She warns that governments are 'tamping down on Mother Nature',"Owen Ullmann, @oullmann, USATODAY",NEWS; Pg. 5A,,509 words,,,"October 16, 2017",ENGLISH,,,"photo Chris Pizzello, Invision, via AP",,,NEWSPAPER,"Copyright 2017 Gannett Company, Inc.                               All Rights Reserved"
,film,Goodall,world,people,make,planet,become,goodall,go,give,hope,may,anymore,study,1960,natural,resource,concern,seem,administration,around,environment,determine,absolutely,premiere,documentary,release,global,discover,direct,back,thing,time,Africa,Trump,National_Geographic,conservationist,chill,warning,we,earth,dweller,stop,pillage,extraordinary,problem,everywhere,international,celebrity,groundbreaking,chimpanze,interview,today,cite,climate,change,destruction,wildlife,habitat,depletion,among,force,tamp,refer,government,native,country,poor,guardian,either,realize,bother,fact,finite,treat,though,forever,clear,carry,business,usual,different,add,jane,friday,select,theater,follow,life,start,age,arrive,remote,area,chimp,headline,highly,intelligent,social
,6,5,4,4,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"November 10, 2017 Friday",245 of 252 DOCUMENTS,USA TODAY,"The dead can unlock iPhones; When seeking clues to a killer's plans, time is of the essence","Elizabeth Weise, USA TODAY",MONEY; Pg. 1B,,996 words,,,"November 10, 2017",ENGLISH,,,graphic Anil Jain,,,NEWSPAPER,"Copyright 2017 Gannett Company, Inc.                               All Rights Reserved"
,use,system,fingerprint,make,finger,phone,recognition,unlock,face,body,iris,user,spoof,Kelley,biometric,security,id,death,facial,mold,cast,conductive,head,around,FBI,Jain,new,eye,turn,open,include,live,many,hour,time,work,computer,measurement,require,decompose,part,optical,capacitive,image,build,digital,model,might,possible,simply,photo,iPhone,iPhone_X,Face_ID,smartphone,thumbprint,need,alive,individual,people,technology,unlocked,enable,do,within,hand,question,iphone,specific,way,confirm,sophisticated,case,long,apple,replace,try,decomposition,depend,rot,digit,find,four,multiple,report,attempt,scanner,property,skin,harder,accomplish,copy,researcher,galaxy,difficult,picture,take,soon,able
,14,10,10,10,9,8,8,7,7,7,7,7,6,6,5,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"November 15, 2017 Wednesday",246 of 252 DOCUMENTS,USA TODAY,Andy Weir shoots for the moon in page-turner 'Artemis'; Author of 'The Martian' offers a new techo-thriller,"David Holahan, Special to USA TODAY",LIFE; Pg. 4D,,522 words,,,"November 15, 2017",ENGLISH,,,photo,,,NEWSPAPER,"Copyright 2017 Gannett Company, Inc.                               All Rights Reserved"
,moon,reader,century,help,thing,change,Jazz,Artemis,lunar,city,make,life,little,jazz,go,novel,plot,book,fail,plan,world,earth,Weir,late,nickname,struggle,citizen,live,"2,000",diverse,earthling,poor,irreligious,sassy,blush,independent,delivery,person,petty,smuggler,work,cubicle,appoint,bed,shelf,mostly,eat,gunk,dry,alga,standard,fare,people,presumably,turn,green,hearty,main,squeeze,steal,away,another,man,less,long,free,hardscrabble,existence,many,apparently,half,income,inequality,describe,status,hood,scatological,term,residence,way,coffin,feature,anytime,soon,afford,back,second,305,pp,***,order,best,seller,launch,movie,starr,speed,high,school
,4,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"December 18, 2017 Monday",250 of 252 DOCUMENTS,USA TODAY,Decades of pent-up anger feed white nationalist crusade; Movement tailors tactics to a ripe political climate,"Trevor Hughes, USA TODAY",NEWS; Pg. 1A,,864 words,,,"December 18, 2017",ENGLISH,,,photo Andrew Nelles/The (Nashville) Tennessean,,,NEWSPAPER,"Copyright 2017 Gannett Company, Inc.                               All Rights Reserved"
,white,nationalist,people,movement,group,alt_right,attack,tactic,use,many,rally,new,include,feel,value,nationalism,freedom,White,right,decade,public,view,society,center,strategy,major,rallying,point,community,behind,controversial,fight,legal,dominate,borrow,media,nation,generation,lose,term,ideology,supremacist,race,protection,opponent,goal,follower,publicly,fear,allow,online,law,voice,connect,play,role,foundation,speech,equality,past,message,member,culture,self_described,Charlottesville,Southern_Poverty_Law_Center,high_profile,America,summer,seemingly,overnight,arrival,mark,prominently,deadly,car,unite,va.,august,draw,worldwide,headline,simmer,burst,underlying,shift,fringe,stage,tap,frustration,angry,marginalize,president,election,become,repeatedly,amplify,campaign,tweet
,22,14,9,8,7,5,4,4,4,4,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
