PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
"January 8, 2004, Thursday",2 of 132 DOCUMENTS,USA TODAY,Cost of global warming: 1 million species,Robert Davis,LIFE; Pg. 5D,,432 words,,,"January 08, 2004",ENGLISH,,,,,,,"Copyright 2004 Gannett Company, Inc."
,species,climate,change,study,plant,animal,extinction,million,must,move,Earth,region,world,2050,global,warming,international,report,analysis,predict,include,threat,conservation,life,future,degree,extinct,Hannah,University,several,risk,control,today,journal,nature,comprehensive,date,potential,loss,team,scientist,disappear,tree,lizard,know,forest,dragon,magpie,make,clear,significant,new,century,biologist,organization,have,start,think,editorial,agree,problem,part,air,pollution,cause,warm,mean,higher,cooler,ground,time,natural,migratory,path,often,block,development,trap,environment,longer,support,ask,place,researcher,examine,"1,103",six,use,widely,accept,model,temperature,increase,2.5,10.4,fahrenheit,2100,find,nearly
"February 23, 2004, Monday",93 of 132 DOCUMENTS,USA TODAY,Tide turns from risk to stalwarts,Adam Shell,MONEY; Pg. 1B,,463 words,NEW YORK,,"February 23, 2004",ENGLISH,,,"GRAPHIC, Color, Adrienne Lewis, USA TODAY, Source: PNC Advisors (LINE GRAPH)",,,,"Copyright 2004 Gannett Company, Inc."
,stock,last,investor,low,early,group,risk,risky,gain,past,sharply,2003,sector,staple,rotation,stage,leader,analyst,tech,week,money,chief,better,economic,recovery,2004,quality,name,best,higher,rate,way,factor,price,profit,make,trade,lower_quality,higher_quality,low_quality,post,biggest,view,plain,lightening,speculative,rebound,depressed,funnel,cash,defensive,drug,consumer,shift,mark,transition,new,market,hit,hardest,composite,fall,0.8,fare,worse,blue,chip,7.5,shrink,1.7,previously,hot,semiconductor,6.,among,worst,industry,technical,stockcharts.com,top,food,retail,household,personal,product,lag,position,well,move,forecast,expect,return,later,february,beat,maybe,sign,underway,strategist
,12,7,6,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"March 11, 2004, Thursday",95 of 132 DOCUMENTS,USA TODAY,One church topples a bishop,Cathy Lynn Grossman,LIFE; Pg. 1D,,1492 words,"EAST LONGMEADOW, Mass.",,"March 11, 2004",ENGLISH,,,"PHOTO, Color, Nancy Palmieri for USA TODAY; PHOTO, Color, Ben Garver, The Berkshire Eagle, via AP; PHOTO, B/W, Nancy Palmieri for USA TODAY; Moral action: The Rev. James Scahill, Sister Mary McGeer and parishioner Warren Mason of St. Michael's. <>Accused: Retired Bishop Thomas Dupre.",COVER STORY,,,"Copyright 2004 Gannett Company, Inc."
,Mason,Scahill,priest,parish,Dupre,abuse,church,call,victim,diocese,last,St._Michael,local,attorney,bishop,people,man,child,son,take,go,Mass,Springfield,speak,letter,action,collection,find,know,abusive,may,ask,sunday,give,money,nun,make,criminal,charge,talk,report,teens,2002,long,three,pastor,parent,use,support,back,mass,week,announce,faith,voice,jolt,power,McGeer,Lavigne,prosecutor,sexual,lead,angry,dad,spotlight,mother,dupre,face,sexually,basket,willing,protect,mile,catholics,feel,leader,justice,work,family,post,normally,fund,ever,age,cite,treat,quit,boy,grand,jury,record,hear,never,happen,home,heart,recall,hold,tell
,16,16,14,12,11,10,10,10,9,8,6,6,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"April 28, 2004, Wednesday",98 of 132 DOCUMENTS,USA TODAY,"Consumer confidence shoots up, home sales surge",Sue Kirchhoff,MONEY; Pg. 1B,,437 words,WASHINGTON,,"April 28, 2004",ENGLISH,,,"GRAPHIC, B/W, Robert W. Ahrens, USA TODAY, Source: The Conference Board (LINE GRAPH)",,,,"Copyright 2004 Gannett Company, Inc."
,consumer,job,jump,sale,market,March,confidence,april,home,level,tuesday,economy,business,rate,price,exist,hit,accord,report,offer,march,economic,condition,hard,government,employment,number,improve,rise,expect,annual,mortgage,recent,reserve,energy,Conference_Board,pair,fresh,evidence,perform,smartly,conference,index,92.9,88.5,best,read,three,respondent,give,brightest,assessment,current,nearly,major,impact,appear,gain,strength,director,research,center,percentage,claim,lowest,november,2002,earlier,create,unexpectedly,large,"308,000",sign,sluggish,might,turn,around,find,21.4,20.7,fall,27.6,29.9,available,next,six,survey,"5,000",household,5.7,6.48,million,pace,second,record,september,dip,5.5,early
,6,6,4,4,4,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"May 18, 2004, Tuesday",99 of 132 DOCUMENTS,USA TODAY,Reporters given tour of improved Abu Ghraib,David J. Lynch,NEWS; Pg. 8A,,929 words,BAGHDAD,,"May 18, 2004",ENGLISH,,,"PHOTO, B/W, Pool photo by Damir Sagolj; Outside Baghdad: Iraqi prisoners stand behind razor wire Monday at the Abu Ghraib prison.",,,,"Copyright 2004 Gannett Company, Inc."
,prisoner,prison,Abu_Ghraib,Miller,inmate,tent,abuse,take,guard,Army,official,attack,visit,coalition,provide,number,monday,accuse,mortar,may,trial,photograph,force,human,image,last,involvement,week,Iraqi,U.S.,Iraq,treatment,improvement,soldier,rights,better,protection,maj,gen.,head,system,relocate,include,air,conditioning,journalist,tour,site,800th,military,police,brigade,charge,international,special,set,center,colonel,leadership,reporter,small,summer,recommendation,draw,investigation,condition,report,serious,cellblock,many,hold,plan,floor,open,concrete,visitor,per,Baghdad,court_martial,amid,continue,controversy,unveiled,dramatic,routinely,captive,enjoy,expand,visitation,hospital,facility,geoffrey,miller,primitive,camp,eventually,bring,busload,sprawling
,15,11,8,7,6,6,5,5,5,5,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"May 27, 2004, Thursday",102 of 132 DOCUMENTS,USA TODAY,Colorado punts instead of changing football climate,Christine Brennan,SPORTS; Pg. 11C; Commentary,,797 words,,,"May 27, 2004",ENGLISH,,,,,,,"Copyright 2004 Gannett Company, Inc."
,can,football,Barnett,go,Tharp,report,Boulder,bring,time,Colorado,know,apparently,however,coach,problem,player,four,tell,different,Hoffman,allegation,job,grace,resign,party,president,athletics,end,accord,mom,liquor,store,recruit,visit,watch,recruiting,official,oversight,enough,make,confirm,back,might,surprised,take,blame,kind,university,program,change,thing,CU,sure,shame,three,treat,repulsive,misconduct,increasingly,repugnant,world,college,hear,lose,fire,look,possess,class,honor,true,trashy,fashion,news,buffalo,keep,gary,barnett,director,produce,mother,tight,press,impromptu,night,announce,reinstate,write,area,likely,everyone,ask,something,perhaps,cover,dish,booze,consider,largest,talk
,12,10,8,6,6,5,5,4,4,4,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"June 22, 2004, Tuesday",105 of 132 DOCUMENTS,USA TODAY,Olympic pressure doesn't weigh on shot putter,Ray Glier; Special for USA TODAY,SPORTS; Pg. 3C,,1124 words,,,"June 22, 2004",ENGLISH,,,"PHOTO, Color, Greg Wahl-Stephens, AP; PHOTO, B/W, Greg Wahl-Stephens, AP; PHOTO, B/W, Robert Hanashiro, USA TODAY; Dr. Seuss, Olympic-style: I can go out and throw in a forest, or I can go out and throw on a boat,"" says Christian Cantwell, who has won 14 consecutive shot put competitions. Improvement by a yard: Christian Cantwell's throws went up by 3 feet in a year after a hand injury healed.",,,,"Copyright 2004 Gannett Company, Inc."
,throw,Cantwell,shot,cantwell,olympic,go,put,track,foot,halter,putter,high,think,sport,pressure,win,trial,thrower,power,school,right,injury,july,Eldon,Missouri,make,promise,meet,field,young,back,world,competition,tape,past,take,coach,start,work,technique,size,lot,leg,hand,p.m,et,U.S.,Titan_Games,biggest,stage,oh,better,ball,ring,star,spot,team,event,international,saturday,longest,next,measure,hopeful,melt,else,pound,farm,mother,call,college,people,we,talk,later,head,quit,sit,advantage,whip,figure,pain,Christian_Cantwell,Athens,Sacramento,John_Godina,Adam_Nelson,Jackie,Godina,courage,indifference,another,shrug,treat,mo,hottest,trouble,something,mental
,14,13,10,9,7,7,7,6,6,6,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1
"September 1, 2004, Wednesday",110 of 132 DOCUMENTS,USA TODAY,"Retirement place rated best: Florence, Ore.",Bob Minzesheimer,LIFE; Pg. 1D,,444 words,,,"September 01, 2004",ENGLISH,,,,,,,"Copyright 2004 Gannett Company, Inc."
,retirement,1999,ore,study,live,crime,ambience,older,community,place,edition,continue,cost,economy,historic,perform,art,restaurant,florence,rise,rate,spot,top,bay,beach,slide,adult,attract,tucson,Retirement_Places_Rated,Florida,No,Melbourne_Palm,coastal,180,mile,southwest,best,retire,accord,sixth,23.99,publish,today,statistical,do,1983,reflect,shift,desert,203,use,data,six,category,climate,preservation,service,hospital,library,education,surround,pop,"338,000",last,conduct,thanks,better,local,drawback,retain,daytona,editor,slow,perceptible,appeal,population,growth,hurricane,politics,boomer,view,parent,among,surprise,find,back,destination,despite,earthquake,brushfire,mud,budget,crise,hold,onto,newcomer,especially,1990
,5,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"September 17, 2004, Friday",113 of 132 DOCUMENTS,USA TODAY,Sidewalk scooters make D.C. sightseeing a breeze,Kitty Bean Yancey; Jerry Shriver; Craig Wilson,LIFE; Pg. 1D,,492 words,,,"September 17, 2004",ENGLISH,,,"PHOTO, Color, City Segway Tours; PHOTO, Color, Leslie Smith Jr., USA TODAY; PHOTO, Color; No walking needed: For $65 an outing, tourists in the nation's capital can put some zip in their visit. <>Have a political ax to grind? Say it with coffee. <>Hot samples: Hues like Tutti Frutti, Blueberry Twist.",,,,"Copyright 2004 Gannett Company, Inc."
,color,bean,state,right,coffee,roast,love,French,scooter,tour,idea,new,political,grounds,style,label,pound,home,beige,another,travel,question,sight,wheel,without,move,leg,answer,take,segway,make,debut,thursday,visitor,stand,roll,sidewalk,past,guide,outings,latest,offer,available,nice,location,book,via,citysegwaytours.com,kitty,food,politics,amount,hill,whether,presidential,election,season,find,blue,red,denial,probably,use,good,clever,behind,line,upscale,call,bag,bear,producer,politically,incorrect,among,offering,medium,guatemalan,howdy,saudi,decaf,mama,sumatran,sell,internet,politicalgrounds.com,10.95,11.70,samples,give,delegate,convention,summer,ceo,emerge,popular,climate,americans,thing
,7,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"October 11, 2004, Monday",117 of 132 DOCUMENTS,USA TODAY,Wal-Mart doesn't plan to toy much with prices,Lorrie Grant,MONEY; Pg. 8B,,876 words,,,"October 11, 2004",ENGLISH,,,"GRAPHIC, B/W, Sam Ward, USA TODAY, Source: The NPD Group/NPD Funworld/Consumer Panel (BAR GRAPH); PHOTO, B/W, Leslie Smith Jr., USA TODAY; PHOTO, B/W, Richard Drew, AP; Bright spot: Cabbage Patch Kids, popular in the 1980s, are back and expected to be a plus in the plush category. <>Flashback: Renee Silver, 11, plays with a Cabbage Patch doll at the Toy Industry Association's Oct. 5 holiday preview in New York.",,,,"Copyright 2004 Gannett Company, Inc."
,toy,we,sale,store,Toys,last,billion,holiday,discount,video,game,industry,price,consumer,Wal_Mart,retail,pricing,traditional,product,need,kid,season,seller,expect,cut,analyst,may,chain,time,age,younger,bring,leader,popular,leave,less,item,giant,continue,value,take,place,flat,slightly,business,prospect,improve,already,gift,card,great,lot,must,retailer,firm,remain,category,discretionary,include,compare,ago,plush,release,sector,economy,spend,go,FAO_Schwarz,Gikas,likely,joy,child,shopping,competitor,slack,maintain,aggressive,loss,lure,million,recoupe,margin,massive,selection,stalwart,critically,wounded,believe,much,feel,money,table,deeper,order,lowest,priced,promotional,example,rather
,19,10,9,8,8,7,7,6,6,6,6,5,5,5,5,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"October 12, 2004, Tuesday",118 of 132 DOCUMENTS,USA TODAY,"What say Tritt, Mellencamp? Duet to it",Elysa Gardner,LIFE; Pg. 1D,,485 words,,,"October 12, 2004",ENGLISH,,,"PHOTO, Color, Tony Phipps; Turn right, go left: Country singer Travis Tritt, left, and rocker John Mellencamp film the video for new single What Say You.",,,,"Copyright 2004 Gannett Company, Inc."
,country,song,bush,single,Tritt,music,record,politically,president,tritt,duet,week,way,think,together,far,singer,believe,harder,find,mellencamp,point,political,though,intolerance,people,John,Mellencamp,star,keep,w.,charge,rock,icon,touring,swing,state,encourage,ouster,travis,whose,outspoken,critic,rise,chart,list,four,reason,big,fan,respect,integrity,thing,do,run,career,voice,work,well,add,bonus,leave,right,illustrate,exchange,line,basic,good,heart,every,man,black,white,somehow,along,lyric,speak,americans,become,tired,partisanship,bicker,go,common,ground,opinion,stubborn,dogmatic,can,sit,listen,shot,video,ago,agree,partner,least,much,differ
,5,5,4,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"October 28, 2004, Thursday",120 of 132 DOCUMENTS,USA TODAY,Calif. measures may sway nation,John Ritter,NEWS; Pg. 3A,,994 words,SAN FRANCISCO,,"October 30, 2004",ENGLISH,,,"PHOTO, B/W, Dino Vournas, AP; PHOTO, B/W, Chris Pizzello, AP; PHOTO, B/W, Diana Mulvihill, Inland Valley Daily Bulletin, via AP; Proposition 72: Frankie Roy, right, and other labor activists demonstrate Tuesday in front of a Wal-Mart in San Jose for employer-funded health insurance. <>Proposition 71: Researcher Carolyn Lutzko lines up embryonic stem cells under a microscope for actor Brad Pitt, who backs such research, to examine Tuesday at Childrens Hospital in Los Angeles. <>Proposition 66: Sherry Souza, whose son died in a drunken-driving crash and who spoke out against the measure, is comforted by Gov. Arnold Schwarzenegger Oct. 20 in Ontario, Calif.",,,,"Copyright 2004 Gannett Company, Inc."
,state,measure,California,proposition,research,law,voter,pass,governor,million,approve,among,billion,cell,require,health,way,third,schwarzenegger,poll,lead,put,opponent,bond,last,business,include,stem_cell,three_strikes,Schwarzenegger,rest,term,ban,many,whether,stem,insurance,worker,pay,premium,issue,advocate,national,group,2006,back,felony,car,life,strike,violent,three,political,early,top,industry,help,institute,critic,200,raise,release,week,show,people,accord,crime,attorney,inmate,Congress,non_profit,Alzheimer,Health_care,francisco,speak,usually,listen,poise,likely,reverberate,long,gorilla,direct,democracy,use,citizen,initiative,cap,increase,limit,legislator,legalize,medical,marijuana,smoking,bar,pioneer,vote,inspire
,14,12,11,8,6,5,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"October 28, 2004, Thursday",121 of 132 DOCUMENTS,USA TODAY,Cassini probe's first flyby of Titan reveals some surprises,Dan Vergano,LIFE; Pg. 4D,,458 words,,,"October 30, 2004",ENGLISH,,,"PHOTO, B/W, NASA/JPL/Space Science Institute via Getty Images; Light and dark: An image from the Cassini probe shows Titan's regions of light and dark material, which are thought to be a mix of ice and tar.",,,,"Copyright 2004 Gannett Company, Inc."
,image,Titan,scientist,moon,atmosphere,surface,look,landscape,spacecraft,flyby,dark,region,streak,billion,pass,mile,ice,mission,team,still,today,chemistry,suggest,altitude,NASA,able,peer,enough,checker,surprisingly,clear,sky,wednesday,briefing,calif,unveiled,show,bright,unknown,material,locale,lower,cloud,tuesday,3.27,international,space,probe,within,730,solar,system,biggest,sun,back,ideal,view,chief,colo,mystify,quite,sure,add,await,data,radar,larger,either,mercury,interested,planetary,decade,thick,swath,orange,methane,haze,upper,level,think,hide,freeze,world,atmospheric,similar,ago,early,regularly,resurface,tell,whether,icequake,weather,cause,seemingly,surprise,sensor,light,make
,9,9,7,7,6,6,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"October 29, 2004, Friday",123 of 132 DOCUMENTS,USA TODAY,Here's a revolutionary idea: A tour based on Che's forays,Laura Bly; Jayne Clark; Jerry Shriver; Craig Wilson,LIFE; Pg. 1D,,508 words,,,"October 30, 2004",ENGLISH,,,"PHOTO, Color, David Mercado, Reuters; PHOTO, Color, USA TODAY; PHOTO, Color, History Company; Political pilgrims: Che"" Guevara admirers honor him in La Higuera, Bolivia, where he met his fate. 100-proof: Temequila, made in the USA. Lincoln bed replica: A dream deal at $6,900.",,,,"Copyright 2004 Gannett Company, Inc."
,Orbitz,fare,make,plant,tequila,agave,bed,travel,che,find,cheaper,coupon,must,flight,blue,version,use,spirit,retail,nov,history,sleep,political,offer,reproduction,company,Temecula,Mexico,Wagoner,Lincoln,White_House,legendary,guerrilla,visage,grace,poster,college,campuse,worldwide,focus,new,movie,chronicle,travels,across,rough,terrain,radical,intrepid,tourist,retrace,ernesto,doom,effort,transplant,revolution,soldier,execute,october,1967,trail,trek,remote,stretch,poorest,country,include,stop,del,yuro,wounded,revolutionary,capture,la,higuera,die,information,careusa,org,laura,bly,promote,low,promise,guarantee,customer,buy,airline,ticket,web,site,online,elsewhere,caveat,least,exclude,service,fee,domestic
,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"December 10, 2004, Friday",128 of 132 DOCUMENTS,USA TODAY,"A sandy, spectacular surprise in the Rockies",Gene Sloan,LIFE; Pg. 11D,,958 words,"ALAMOSA, Colo.",,"December 10, 2004",ENGLISH,,,"GRAPHIC, B/W, USA TODAY (MAP); PHOTO, B/W, Ed Andrieski; PHOTO, B/W, Gene Sloan, USA TODAY; Dunescape: Visitors to Colorado's Great Sand Dunes National Park and Preserve are dwarfed by dunes as much as 750 feet tall, the biggest in North America. <>It's a sign: Additions to the sign at the Great Sand Dunes National Park denote the status change from national monument to national park.",,,,"Copyright 2004 Gannett Company, Inc."
,park,mountain,sand,dune,mile,sperling,Alamosa,national,blow,colo,last,foot,much,across,toward,de,cristo,visit,preserve,still,stay,visitor,little,find,away,wind,San_Luis_Valley,Sangre,every,step,slide,back,gain,line,lot,southern,become,ranch,field,west,new,tourism,region,people,tiny,night,open,always,tourist,go,forever,amazing,valley,place,interest,thousand,northeast,offer,dozen,include,Great_Sand_Dunes_National_Park,America,Cottonwood_Inn,Mexican,toughest,take,half,housewife,minn,laugh,scramble,tallest,determine,however,fall,onto,hand,knee,claw,way,almost,vertical,top,rise,750,floor,surround,work,panting,gaze,undulate,sea,stretch,six,view,worth,quirk,nature,colorado
,13,9,7,7,6,5,5,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"December 17, 2004, Friday",129 of 132 DOCUMENTS,USA TODAY,A cool Caddy with a great feel,James R. Healey,LIFE; Pg. 5D,,1403 words,,,"December 17, 2004",ENGLISH,,,"PHOTOS, B/W, General Motors (3); 2005 Cadillac STS: The sedan takes the place of the Seville in Cadillac's lineup. It features an impressive chassis, but the back seat feels cramped. The best part about STS is that none of the flaws is a deal breaker,",,,,"Copyright 2004 Gannett Company, Inc."
,car,model,AWD,test,system,wheel,control,sts,feel,power,start,price,sedan,best,drive,engine,less,rear,include,steering,inch,rpm,Cadillac,Caddy,RWD,keep,interstate,road,look,big,though,enough,transmission,pound,gear,time,turn,available,traction,cruise,set,simple,buy,deal,seat,seem,front,long,"1,000",show,mirror,European,rear_drive,STS,better,2005,rural,gravel,run,around,back,pretty,never,automatic,surprisingly,use,gas,performance,mileage,make,spin,depend,require,mean,awd,asphalt,cover,neither,send,handle,stability,controls,much,feature,key,push,handy,distance,complicate,right,gm,corner,plus,pay,charge,couple,05,vehicle,version
,15,11,8,6,6,6,6,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"December 28, 2004, Tuesday",131 of 132 DOCUMENTS,USA TODAY,The sky wasn't the limit,Dan Vergano,LIFE; Pg. 7D,,934 words,,,"December 28, 2004",ENGLISH,,,"PHOTO, B/W, J. Bell and M. Wolff, NASA, via Reuters; PHOTO, B/W, NASA/JPL, via AFP; PHOTO, B/W, Peter Schouten, National Geographic Society via Reuters; PHOTO, B/W, NASA; PHOTO, B/W, Reuters; PHOTO, B/W, AFP; PHOTO, B/W, USA TODAY; PHOTO, B/W, NASA TV via AFP; Seeing red: NASA's Hubble Space Telescope took this snapshot of Mars in August 2003. <>Hobbit-forming: Artist's drawing of Homo floresiensis, a race of humans that has scientists perplexed. <>Saturn's rings: The Cassini spacecraft took this shot in October. <>Stem cell: Politics under a microscope. <>Hubble hobbled: NASA has deemed it too dangerous to dispatch astronauts to keep the telescope operating.",,,,"Copyright 2004 Gannett Company, Inc."
,science,find,cell,mission,researcher,rover,human,stem,NASA,life,report,administration,repair,political,evidence,ago,discovery,scientist,become,research,decision,charge,o'keefe,world,2004,exist,billion,possible,offer,far,expect,foot,journal,site,goal,astronaut,week,future,still,land,moon,capture,little,race,unveiled,live,flore,call,embryonic,another,way,line,embryo,ailment,advance,dispute,controversial,issue,politically,chief,make,Spirit,Opportunity,Columbia,Saturn,Titan,Indonesian,thrilling,exploration,dispirite,trudge,trench,form,high,low,triumph,showcase,best,twin,soggy,past,plain,salty,sea,set,stage,emergence,right,lander,planetary,institute,2002,lead,author,finger,region,ancient,lake,bed
,9,7,7,6,6,5,5,5,5,4,4,4,4,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
