PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
"January 20, 2014 Monday",2 of 231 DOCUMENTS,USA TODAY,"Warming warning: El Nios could get kicked into high gear; More extreme weather possible, new study says","Doyle Rice, USA TODAY",NEWS; Pg. 3A,,537 words,,,"January 22, 2014",ENGLISH,,,"GRAPHIC, Color, USA TODAY (Diagram)",,,NEWSPAPER,"Copyright 2014 Gannett Company, Inc.                               All Rights Reserved"
,el,nio,study,extreme,climate,global,warming,change,event,weather,occur,frequency,new,research,model,find,pattern,double,water,temperature,eastern,equatorial,extend,period,warm,powerful,every,author,past,however,mean,result,increase,solid,scientist,issue,convincing,appear,remain,last,Nature_Climate_Change,Australia,Climate,worst,infamous,shake,around,world,upcoming,decade,due,sunday,journal,central,tend,warmer,average,time,typically,least,three,five,bring,significant,forecast,throughout,rest,century,accord,lead,national,science,agency,100,fuel,drought,wildfire,flood,rainstorm,along,often,recent,end,2010,aggregation,use,report,episode,cause,surface,cai,acknowledge,finding,stand,contrast,previous,consensus,question,challenge
,12,10,9,9,8,8,7,6,6,5,5,5,5,5,5,4,4,4,4,4,4,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"January 3, 2014 Friday",171 of 231 DOCUMENTS,USA TODAY,Passengers on icebound ship rescued inAntarctica; Russian crew of 22 will remain on board,"John Bacon, USA TODAY",NEWS; Pg. 5A,,363 words,,,"January 3, 2014",ENGLISH,,,"photo Zhang Jiansong, Xinhua News Agency, via AP",,,NEWSPAPER,"Copyright 2014 Gannett Company, Inc.                               All Rights Reserved"
,ship,passenger,icebreaker,Australian,Akademik_Shokalskiy,ice,helicopter,Chinese,Aurora,research,authority,effort,shuttle,group,tweet,trip,work,expedition,scientist,crew,continue,free,lot,AMSA,Aurora_Australis,Tasmania,Turney,strand,evacuate,thursday,maritime,safety,lead,rescue,floe,take,small,boat,advise,board,a.m,et,xue,long,along,try,without,success,reach,island,state,have,make,australis,safe,sound,huge,thanks,ausantarctic,hard,leader,tourist,explorer,australian,russian,leave,nov,voyage,honor,100th,anniversary,airlift,foot,thick,place,cruise,stuck,"1,700",mile,south,damage,ample,provision,professor,climate,change,university,write,blog,post,morale,remain,high,keep,busy,scientific,well,class,knot
,7,6,4,4,4,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"January 8, 2014 Wednesday",172 of 231 DOCUMENTS,USA TODAY,"Deep freeze just gets deeper in Midwest, East","John Bacon and Doyle Rice, USA TODAY",NEWS; Pg. 3A,,597 words,,,"January 8, 2014",ENGLISH,,,"photo Mark Black, (Arlington Heights, Ill.) Daily Herald, via AP",,,NEWSPAPER,"Copyright 2014 Gannett Company, Inc.                               All Rights Reserved"
,degree,tuesday,minus,chill,temperature,wind,record,travel,monday,across,cold,Midwest,state,air,bitter,three,train,fall,dozen,escape,dip,turn,deep,today,home,outside,reach,report,use,extreme,night,appliance,early,flight,cancel,delay,passenger,ill,East,Chicago,Quincy,power,grid,strain,remain,snarl,mess,many,brutal,mass,continue,crawl,large,swath,nation,death,link,snowstorm,roll,east,prison,inmate,freeze,sign,better,may,way,big,story,still,already,moderate,push,accuweather,senior,meteorologist,frigid,small,order,subzero,force,school,closing,keep,people,work,jam,make,step,risky,proposition,score,morning,among,new,yorker,deal,negative,number
,9,8,7,6,6,6,5,5,5,4,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"March 6, 2014 Thursday",184 of 231 DOCUMENTS,USA TODAY,'Cosmos' returns with a big bang; Scientists and entertainers team up to keep it universal,"Bill Keveney, @billkev, USA TODAY",LIFE; Pg. 3D,,898 words,,,"March 6, 2014",ENGLISH,,,"photo Daniel Smith, Fox",,,NEWSPAPER,"Copyright 2014 Gannett Company, Inc.                               All Rights Reserved"
,science,way,Tyson,tell,Cosmos,cosmos,series,original,universe,world,production,go,make,MacFarlane,Druyan,include,we,present,become,ship,material,scientific,burn,new,political,entertaining,voyage,put,theory,beyond,sunday,et,pt,network,society,part,life,much,farther,sea,take,somewhere,big,broadcast,fan,watch,something,time,animation,story,find,share,back,try,history,record,style,flashy,people,thing,premiere,coal,statement,fact,Family_Guy,Carl_Sagan,Fox,Sagan,thesis,heart,spacetime,odyssey,engage,eclectic,group,astrophysicist,neil,degrasse,creator,1980,personal,late,husband,test,journey,kick,p.m.,lead,goal,convey,matter,person,shepherd,planet,host,involve,connect,influence,intellectually
,12,7,7,6,6,5,5,5,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"March 31, 2014 Monday",190 of 231 DOCUMENTS,USA TODAY,Kerry: Russia bullying Ukraine; Meets with foreign minister in Paris,"William M. Welch, and John Bacon, USA TODAY",NEWS; Pg. 2A,,486 words,,,"March 31, 2014",ENGLISH,,,,,,NEWSPAPER,"Copyright 2014 Gannett Company, Inc.                               All Rights Reserved"
,Ukraine,Russian,Kerry,Lavrov,border,Russia,Ukrainian,troops,tell,saturday,way,state,fear,country,meeting,minister,must,forward,government,conversation,move,along,make,call,federation,region,interview,sign,official,however,head,president,good,Paris,United_States,U.S.,secretary,buildup,create,climate,intimidation,speak,sunday,night,foreign,allow,decide,future,consulting,every,step,process,accept,path,legitimate,table,describe,talk,counterpart,frank,large,gather,clear,still,consider,action,illegal,illegitimate,constructive,function,unified,loose,choose,economy,language,case,tv,guarantee,neutrality,can,ensure,stable,development,federal,agreement,reiterate,claim,deployment,ten,thousand,near,solely,conduct,military,exercise,absolutely,intention,interest,crossing
,11,7,6,6,5,4,4,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"June 5, 2014 Thursday",195 of 231 DOCUMENTS,USA TODAY,"Russia at fore of G-7 summit; Though out of sight, Putin on everyone's minds","David Jackson, USA TODAY",NEWS; Pg. 3A,,409 words,,,"June 6, 2014",ENGLISH,,,"photo SAUL LOEB, AFP/Getty Images",,,NEWSPAPER,"Copyright 2014 Gannett Company, Inc.                               All Rights Reserved"
,Russia,Ukraine,member,president,meet,Putin,Russian,today,schedule,Obama,meeting,leader,Poroshenko,D_Day,seven,deal,ally,least,talk,peace,putin,speak,wednesday,support,minister,friday,ceremony,work,foreign,international,design,go,plan,Sochi,France,Paris,Crimea,group,may,kick,still,three,private,next,generating,potential,weekend,goal,petro,poroshenko,possible,agreement,violence,week,need,effort,broker,process,whereby,longer,financing,arming,separatist,sovereign,territory,fran¸ois,hollande,nation,prime,sideline,70th,anniversary,landing,incursion,annexation,region,dominate,summit,begin,dinner,among,center,policy,economy,free,trade,climate,change,agenda,many,relation,analyst,important,item,symbolism,absence,show,dean,school
,7,6,5,5,5,5,5,4,4,4,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"June 11, 2014 Wednesday",197 of 231 DOCUMENTS,USA TODAY,"Latin America's la vida buena lures seniors; Pleasant climate, lower costs draw retirees south","Nanci Hellmich, @nancihellmich, USA TODAY",MONEY; Pg. 4B,,789 words,,,"June 11, 2014",ENGLISH,,,photo,,RETIREMENT,NEWSPAPER,"Copyright 2014 Gannett Company, Inc.                               All Rights Reserved"
,country,live,tour,move,people,Costa_Rica,retire,take,retirement,go,place,many,Nicaragua,husband,spend,offer,latin,include,six,try,Ecuador,Riden,American,U.S.,ago,trip,plan,decide,quality,life,design,begin,new,"25,000",write,"1,000",popular,retiree,attract,money,better,weather,prescher,owner,person,around,airfare,medical,care,much,city,another,check,rent,thing,half,Tarin,Seattle,Social_Security,Latin_America,Haskins,Central_Valley,Howard,Panama,ariz,seven,different,lifestyle,something,exciting,adventurous,local,grocery,store,last,2015,goal,2016,golden,paradise,good,income,end,clear,idea,choice,costa,rica,beautiful,earth,number,consider,grow,book,overseas,budget,senior,editor,internationalliving.com
,12,10,9,8,7,6,5,5,5,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"June 13, 2014 Friday",198 of 231 DOCUMENTS,USA TODAY,"Race for Tesla plant looks neck and neck; Texas, Nevada look like leading contenders","Jason Hidalgo, and Anjeanette Damon, Reno Gazette Journal",MONEY; Pg. 6B,,705 words,,,"June 13, 2014",ENGLISH,,,"photo H. Darr Beiser, USA TODAY",,,NEWSPAPER,"Copyright 2014 Gannett Company, Inc.                               All Rights Reserved"
,Boyd,development,Tesla,state,site,San_Antonio,Reno,gigafactory,make,Arizona,site_selection,Donovan,expert,tesla,company,go,battery,plant,however,likely,boil,corner,city,big,economic,resource,incentive,case,principal,firm,contender,end,decision,think,bad,infrastructure,car,add,area,similarity,selection,accord,labor,manufacturing,meanwhile,land,advantage,facility,well,strong,product,difference,billion,New_Mexico,right_to_work,Texas,battle,maker,suppose,race,believe,fight,heavyweight,plucky,upstart,locate,pocket,invest,less,fifth,population,fewer,give,credit,co,lead,announce,final,meantime,break,ground,three,move,describe,unusual,matter,save,time,process,pick,concurrent,actually,community,somewhere,else,valuable,boyd,hand,approach
,9,7,7,6,6,6,6,5,5,5,4,4,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"November 13, 2014 Thursday",223 of 231 DOCUMENTS,USA TODAY,To close diversity gap: Back minority-owned business,,NEWS; Pg. 7A,,461 words,,,"November 13, 2014",ENGLISH,,,,,OPINION,NEWSPAPER,"Copyright 2014 Gannett Company, Inc.                               All Rights Reserved"
,tech,minority,diversity,founder,capital,company,Google,firm,opportunity,article,education,business,feature,part,close,gap,money,investor,percentage,venture,report,technology,woman,make,public,responsibility,job,Facebook,Jesse_Jackson,entrepreneur,internet,recognize,invite,take,incubator,monday,despite,accolade,creative,raising,community,major,strongly,support,black,receive,small,angel,funding,2010,accord,cb,insight,manage,allocate,fund,specifically,invest,imagine,necessary,resource,grow,expand,inclined,hire,subsequently,exit,set,investment,group,help,underrepresented,approach,change,industry,read,surprised,pass,reference,disproportionately,high,worker,several,table,accompany,spirit,fair,balance,presentation,instructional,research,asians,ga,facebook,answer,usa,today,stanford,summit
,8,8,5,5,4,4,4,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"November 14, 2014 Friday",224 of 231 DOCUMENTS,USA TODAY,"Next for Obama, G-20 summit in Australia; Plan to boost global GDP by 2% in 5 years will be a main topic","Barry D. Wood, Special for USA TODAY",NEWS; Pg. 6A,,487 words,,,"November 14, 2014",ENGLISH,,,"photo Saeed Khan, AFP/Getty Images",,WORLD,NEWSPAPER,"Copyright 2014 Gannett Company, Inc.                               All Rights Reserved"
,world,Australia,economic,summit,include,growth,China,Abbott,leader,president,country,trade,Russia,Australian,group,meeting,economy,saturday,boost,talk,way,week,agreement,go,Obama,Europe,Asia,wrap,overseas,trip,weekend,gather,largest,collectively,account,global,output,population,main,topic,start,approve,call,aim,gdp,current,projection,next,five,equivalent,trillion,many,present,jinp,climate,change,deadly,ebola,outbreak,fight,militant,weigh,send,letter,prime,minister,ask,remember,plight,poor,example,generosity,planner,concentrate,fest,outline,measure,monitor,implement,organization,development,nation,domestic,strategy,publish,forge,matter,participant,challenge,recently,default,debt,trajectory,slow,teeter,near,recession,pick,sanction
,8,7,6,6,5,5,5,5,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"November 17, 2014 Monday",225 of 231 DOCUMENTS,USA TODAY,"GOP battles await Obama's return; Republicans ready to fight 'tooth and nail' on immigration, Iran","David Jackson, USA TODAY",NEWS; Pg. 6A,,463 words,,,"November 17, 2014",ENGLISH,,,"photo Pablo Martinez Monsivais, AP",,,NEWSPAPER,"Copyright 2014 Gannett Company, Inc.                               All Rights Reserved"
,republican,Obama,immigration,plan,president,election,face,Iran,make,obama,new,take,go,executive,week,return,sunday,announcement,contentious,call,congressional,fight,oil,pipeline,spend,current,expire,dec.,nov,action,people,economic,issue,order,nuclear,support,project,Keystone_XL,American,Australia,U.S.,aggressive,move,loss,battle,newly,empower,foreign,trip,wake,recent,climate,change,internet,policy,draw,criticism,design,effect,control,expand,majority,vow,avoid,claim,become,lame,duck,indicate,use,authority,vested,branch,benefit,spokesman,travel,past,conference,clear,leave,early,flight,meet,adviser,detail,grant,legal,status,million,undocument,immigrant,formal,anytime,next,several,amnesty,poison,relation,variety
,8,6,5,5,4,4,4,4,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"November 18, 2014 Tuesday",226 of 231 DOCUMENTS,USA TODAY,Poll: More say no to executive order; U.S. wants Obama to wait for new Congress,"Susan Page, @susanpage, USA TODAY",NEWS; Pg. 1A,,431 words,,,"November 18, 2014",ENGLISH,,,"graphic, color, JULIE SNIDER, USA TODAY",,,NEWSPAPER,"Copyright 2014 Gannett Company, Inc.                               All Rights Reserved"
,Obama,president,poll,immigration,today,survey,wait,new,either,republican,issue,pipeline,pass,executive,order,week,support,find,congress,act,americans,take,action,divide,democrat,consider,party,deal,identify,midterm,approve,agreement,usa,majority,authorization,use,work,predict,obama,Congress,Senate,plan,sign,early,meet,resistance,close,half,unconvinced,way,percent,finding,reflect,familiar,partisan,prevent,many,million,people,deport,consensus,electorate,firmly,tie,side,climate,approval,likely,independent,anything,else,align,sweeping,gain,construction,carry,oil,refinery,bill,friday,vote,schedule,indicate,veto,unveiled,last,visit,beijing,call,reduction,carbon,emission,include,2025,income,leader,mcconnell,blast,cost
,6,4,4,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
