PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
"February 22, 2014 Saturday",2 of 454 DOCUMENTS,Pittsburgh Post-Gazette,THE NOTION OF 'SETTLED SCIENCE' IS IN ITSELF ANTI-SCIENTIFIC,,EDITORIAL; Pg. A-12,,770 words,,,"February 24, 2014",ENGLISH,,,,,,Newspaper,Copyright 2014 P.G. Publishing Co.
,settle,science,climate,hurricane,global,change,mammogram,model,last,California,warming,fact,breast,cancer,offer,prediction,make,hit,god,denier,have,long,believe,atmosphere,scientist,pretend,cause,propagandist,debate,nothing,death,every,less,effect,indeed,think,today,computer,weather,call,point,suggest,extreme,fewest,previous,land,new,burn,whoring,climate_change,United_States,half_century,repeat,believer,good,humanity,spew,ton,carbon,dioxide,know,exactly,assert,chief,latest,state,address,really,idea,static,impervious,challenge,take,example,assume,help,reduce,require,insurance,plan,free,learn,massive,randomize,study,"90,000",woman,follow,may,five,diagnose,receive,unnecessary,radiation,chemo,surgery,much,settledness,well
"January 10, 2014 Friday",330 of 454 DOCUMENTS,Pittsburgh Post-Gazette,"AS TEMPS SWING, SO DOES OUR WELL-BEING.\ \ EXTREME SHIFTS IN WEATHER CAN BE HARMFUL TO OUR PHYSICAL, MENTAL HEALTH","David Templeton, Pittsburgh Post-Gazette","HEALTH, SCIENCE, MEDICINE & TECHNOLOGY; Pg. A-1",,980 words,,,"February 6, 2014",ENGLISH,"January 11, 2014","In a story Friday about the health effects of temperature shifts, the swing of 57 degrees occurred from 12 a.m. Monday until 11:59 p.m. Monday. An incorrect day was given in the story.","PHOTO: Harry Scull Jr./The Buffalo News: Lucas Hunter of Pittsburgh walks to his hotel along Camp Road in Hamburg, N.Y. after a stretch of the New York State thruway was closed Tuesday due to high winds. Data shows that extreme fluctuations in temperatures and barometric pressures can have adverse effects on health, especially among those with heart disease. \ INFORMATIONAL GRAPHIC: (Normal tempratures) (Barometic pressure)",,,Newspaper,Copyright 2014 P.G. Publishing Co.
,weather,temperature,winter,low,pressure,swing,high,people,barometric,spring,normal,blood,heart,we,include,better,cold,occur,attack,effect,rate,suicide,man,week,impact,health,experience,prepare,meteorologist,another,snap,degree,vessel,inch,inhg,drop,expect,extreme,woman,National_Weather_Service,make,use,different,dramatic,shift,physical,mental,vortex,physiologically,tuesday,minus,50s,thing,especially,know,usually,death,early,january,end,saturday,hold,monday,rise,30.3,higher,lower,risk,increase,flow,highest,a.m.,cause,seasonal,season,hear,late,summer,likely,infection,40s,rain,trend,wednesday,august,baby,percent,bear,take,sub_zero,help,realize,sicker,crazier,biometeorology,study,live,organisms,human
,15,9,8,8,7,6,6,6,6,5,5,5,5,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1
"January 15, 2014 Wednesday",333 of 454 DOCUMENTS,Pittsburgh Post-Gazette,HOW OBAMA LOST HIS IDEALISM ON FOREIGN POLICY,Fred Hiatt,EDITORIAL; Pg. A-8,,829 words,,,"February 4, 2014",ENGLISH,,,,,,Newspaper,Copyright 2014 P.G. Publishing Co.
,Mr._Obama,president,new,democracy,obama,world,may,mo,term,announce,mission,leader,candidate,must,help,promote,idea,force,Middle_East,Syria,defense,surge,troops,foreign,policy,shape,evolve,speak,presidential,2008,turn,declare,answer,call,support,march,we,history,later,home,war,continue,nuclear,second,hand,country,cut,disappointment,office,three,big,prove,scope,little,shift,less,find,Barack_Obama,Mr._Gates,Berlin,Asia,Iran,Afghan,United_States,al_Qaida,Iraq,foreign_policy,ambivalence,afghanistan,strategy,describe,memoir,former,secretary,surprise,go,2009,date,withdrawal,regardless,whether,accomplish,contradiction,fact,beginning,transformation,still,take,retire,2011,someone,perceive,maybe,expect,inspiring,least,idealistic,decade,vast
,6,5,5,5,5,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"January 30, 2014 Thursday",347 of 454 DOCUMENTS,Pittsburgh Post-Gazette,"SOME EMBRACE COLD WITH OPEN, BARE ARMS; PROPER WINTER ATTIRE A MATTER OF CHOICE","Mackenzie Carpenter, Pittsburgh Post-Gazette",LIFESTYLE; Pg. A-1,,979 words,,,"January 31, 2014",ENGLISH,,,,,,Newspaper,Copyright 2014 P.G. Publishing Co.
,weather,people,wear,cold,put,walk,coat,wednesday,short,car,much,love,perhaps,temperature,work,minus,give,go,find,whether,Pittsburgh,morning,jeans,hat,student,part,time,building,another,commuter,experience,state,degree,store,warm,winter,dress,really,wind,pants,something,hey,grow,correctly,hand,child,always,boot,think,although,take,differently,tell,question,survey,woman,salient,man,lot,seem,notice,prefer,shirt,restaurant,University,U.S._Steel,Georgia,Mr._Stewart,stand,front,campus,sight,behold,carhartt,jacket,blue,mess,hair,joke,pitt,graduate,snowmake,company,note,know,seriously,culture,relatively,easy,move,climate,environment,bus,fifth,row,country,deep,freeze,average
,13,8,7,7,6,5,5,4,4,4,4,4,4,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"March 7, 2014 Friday",360 of 454 DOCUMENTS,Pittsburgh Post-Gazette,"BILLION-DOLLAR BABIES; RUSSIA'S THE LAND OF OLIGARCHS, BUT WE'RE GETTING THERE",,OPINION; Pg. B-7,,842 words,,,"March 7, 2014",ENGLISH,,,,,,Newspaper,Copyright 2014 P.G. Publishing Co.
,oligarch,billionaire,political,campaign,call,fund,brother,money,give,million,make,save,country,vote,100,go,hedge,Simmons,list,fact,polluter,conservative,know,moment,koch,question,think,guy,new,government,sound,influence,action,good,have,promote,um,focus,start,refer,try,richer,real,definitely,environmental,mo,mayor,election,last,presidential,microgarch,support,invest,remember,casino,involve,Koch,Texas,Chris_Christie,Sheldon_Adelson,news,week,sibling,top,wealthiest,people,planet,lump,together,meanwhile,embark,rampage,speech,denouncing,pour,unlimited,attempt,subvert,democracy,interview,supreme,lowness,low,profile,electric,somebody,work,preserve,system,opportunity,mr.,explain,nation,premier,today,fair,lately,attention,fix
,11,8,6,5,5,5,4,4,4,4,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"March 22, 2014 Saturday",364 of 454 DOCUMENTS,Pittsburgh Post-Gazette,"METROPOLITAN PHILIP SALIBA; DIED MARCH 19, 2014; ANTIOCHIAN ORTHODOX LEADER SINCE 1966, HAILED AS VISIONARY","Peter Smith, Pittsburgh Post-Gazette",OBITUARY; Pg. A-9,,886 words,,,"March 24, 2014",ENGLISH,,,PHOTO: Metropolitan Philip Saliba,,,Newspaper,Copyright 2014 P.G. Publishing Co.
,Metropolitan_Saliba,church,archdiocese,camp,child,liturgy,branch,parish,spiritual,follow,include,use,create,make,sense,group,Lebanon,Orthodox,Antiochian,call,amid,always,desire,people,recall,age,receive,medical,bear,1931,insist,convert,root,bishop,word,rev,woman,ms,board,begin,next,better,know,cathedral,presence,protestants,choose,ordain,serve,march,North_America,Antiochian_Village,Syria,Orthodoxy,United_States,Pittsburgh,Brooklyn,four,ago,sang,hymn,faith,elderly,leader,ge,joy,precisely,ensure,learn,adopt,ancient,religious,heritage,act,1978,establish,pa.,site,ever,host,conference,adult,beyond,experience,chant,iconography,common,summer,fare,campfire,challenge,course,explain,young,ministry,fulfil,director,underscore,attachment
,10,7,5,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"March 29, 2014 Saturday",366 of 454 DOCUMENTS,Pittsburgh Post-Gazette,WAIT TO SEE IF BLUE ATLAS CEDAR COMES BACK,Sandy Feather,LIFESTYLE; Pg. B-2,,463 words,,,"April 5, 2014",ENGLISH,,,,,,Newspaper,Copyright 2014 P.G. Publishing Co.
,plant,blue,atlas,cedar,winter,zone,needle,spring,foliage,may,burn,hardy,temperature,live,survive,evergreen,moisture,ground,show,brown,rate,low,degree,depend,area,suburb,especially,long,better,chance,strong,wind,loss,many,damage,start,new,growth,cover,crapemyrtle,arrive,sign,life,atlantica,glauca,completely,dead,much,list,range,city,whether,part,urban,building,pavement,hold,heat,suburban,rural,northern,grow,establish,extreme,newly,likewise,go,well,hydrate,healthy,fare,stress,dring,insect,disease,problem,addition,brutally,cold,play,role,usually,waxy,coating,help,minimize,heavily,wax,spruce,pine,pull,stomata,pore,take,additional,freeze,make,result,browning
,7,5,5,5,5,5,5,5,4,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"April 23, 2014 Wednesday",371 of 454 DOCUMENTS,Pittsburgh Post-Gazette,DOWNTOWN LIBRARY EXPANDS SERVICES FOR CHILDREN,"Mackenzie Carpenter, Pittsburgh Post-Gazette",ARTS & ENTERTAINMENT; Pg. C-1,,436 words,,,"April 24, 2014",ENGLISH,,,,,,Newspaper,Copyright 2014 P.G. Publishing Co.
,child,library,new,Downtown,percent,saturday,increase,location,resident,younger,parent,ask,program,staffer,branch,librarian,change,well,budget,close,book,time,include,provide,represent,step,tax,Carnegie_Library,Pittsburgh,past,walk,public,door,612,smithfield,st,direct,elsewhere,kick,celebration,complete,expansion,service,reflect,demographic,favorable,climate,officially,separate,space,enough,manage,note,audiobook,story,craft,project,overall,material,"3,500",item,"4,400",format,entire,mp,player,video,content,small,portable,device,forward,way,back,2005,former,dedicated,section,move,current,keep,increasingly,attract,late,2013,"2,100",housing,unit,pipeline,alone,area,accord,data,2000,population,grow,people,2012,survey
,11,7,7,6,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"August 20, 2014 Wednesday",410 of 454 DOCUMENTS,Pittsburgh Post-Gazette,GRANTS AIMED AT REDUCING RUNOFF INTO LAKE ERIE,"Tom Troy, Block News Alliance",NATIONAL; Pg. A-2,,286 words,,,"August 20, 2014",ENGLISH,,,,,,Newspaper,Copyright 2014 P.G. Publishing Co.
,conservation,crop,million,farmer,county,fertilizer,alga,Lake_Erie,Miss_Kaptur,Mr._Brown,grant,pay,acre,plant,winter,brown,make,flow,manure,bloom,water,supply,spread,program,grow,ground,Ohio,Toledo,ohio,watersh,able,walk,federal,agency,office,today,apply,per,keep,wash,river,sen,sherrod,u.,rep.,marcy,kaptur,announce,emergency,fund,tuesday,news,conference,near,money,dent,feed,threaten,shut,aug,mr.,stress,portion,need,accomplish,end,dangerous,phosphorous,"30,000",try,pass,related,help,establish,2014,farm,bill,provide,1.2,billion,implement,measure,include,reduce,runoff,go,cover,clover,alfalfa,rye,wild,radish,wheat,oat,hold,back,nutrient,leach,conservationist
,4,4,4,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"September 25, 2014 Thursday",421 of 454 DOCUMENTS,Pittsburgh Post-Gazette,WOLF MAINTAINS FUNDRAISING LEAD OVER CORBETT; DEMOCRATIC NOMINEE SITTING ON BIGGER CASH BALANCE IN FINAL WEEKS,"James P. O'Toole, Pittsburgh Post-Gazette",STATE; CAMPAIGN 2014; Pg. A-1,,970 words,,,"September 26, 2014",ENGLISH,,,,,,Newspaper,Copyright 2014 P.G. Publishing Co.
,campaign,give,million,governor,democrat,poll,wolf,lead,show,latest,report,end,head,mo,contribution,donor,recent,public,labor,Mr._Corbett,money,former,raise,cash,time,big,people,write,percent,margin,point,political,union,"250,000","50,000",pac,Republican,Corbett,Democratic,Mr._Wolf,tom,june,period,sept,association,cycle,fundraising,challenger,nominee,incumbent,sit,balance,final,week,take,roughly,financial,advantage,face,ad,fewer,state,another,republican,perception,survey,firm,credible,check,consultant,far,much,"400,000",bring,total,ceo,energy,include,"100,000",york,county,Pennsylvania,re_election,RGA,appear,gov,corbett,predict,spend,plenty,finance,bear,pledge,fellow,prosecutor,represent,half,receipt,enough
,13,12,12,8,7,6,5,5,5,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"September 26, 2014 Friday",423 of 454 DOCUMENTS,Pittsburgh Post-Gazette,SCIENTISTS PROBE SECRETS OF DRY TORTUGAS,"Cammy Clark, The Miami Herald",HEALTH SCIENCE MEDICINE & TECHNOLOGY; Pg. A-8,,1504 words,,,"September 27, 2014",ENGLISH,,,PHOTO: Photo courtesy University of Miami Rosenstiel School of Marine and Atmospheric Science: Scientists are on a reseach mission in the Florida Keys to learn more about several species of r,,,Newspaper,Copyright 2014 P.G. Publishing Co.
,fish,area,sanctuary,reserve,part,marine,water,research,fishing,another,protect,world,habitat,snapper,reef,many,scientist,science,information,mr.,back,Dry_Tortugas,mile,species,time,map,large,help,report,battle,zone,spawn,give,go,ocean,Nancy_Foster,Morton,Tortugas,grouper,group,close,know,project,include,tag,floor,structure,hump,coral,provide,ecological,square,southern,review,key,critical,fishermen,prove,case,take,work,mutton,listen,diver,Riley,no_take,west,happen,specific,reason,federal,mission,fort,continue,great,anchor,2001,trip,sea,abundance,depth,"1,700",foot,population,151,prime,around,portion,try,make,advisory,sound,comprehensive,establish,allow,small,call,important,location
,14,12,12,11,8,7,7,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"October 16, 2014 Thursday",434 of 454 DOCUMENTS,Pittsburgh Post-Gazette,PITTSBURGH SYMPHONY CEO TO RETIRE NEXT YEAR; NATIONAL SEARCH UNDERWAY TO REPLACE JAMES WILKINSON,"Elizabeth Bloom, Pittsburgh Post-Gazette",ARTS & ENTERTAINMENT; Pg. B-5,,394 words,,,"October 17, 2014",ENGLISH,,,,,,Newspaper,Copyright 2014 P.G. Publishing Co.
,board,plan,senior,PSO,position,staff,strategic,replace,mr.,Wilkinson,retire,next,symphony,successor,help,mo,replacement,process,close,chairman,work,difficult,orchestra,deficit,organization,balance,budget,fiscal,executive,million,Mr._Wilkinson,Simmons,president,2011,announce,wednesday,remain,current,name,create,committee,hire,consulting,firm,national,search,almost,certainly,someone,within,anticipate,take,five,six,challenging,fill,hopefully,find,somebody,perfect,candidate,follow,retirement,stay,vice,transition,seem,good,time,full,present,member,later,vacancy,leave,musician,departure,must,fulfill,goal,financial,climate,string,operational,expect,end,quite,obviously,have,lay,we,ask,accomplishment,top,o'hara,mention,curb,expense,shrink
,5,5,4,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"November 6, 2014 Thursday",441 of 454 DOCUMENTS,Pittsburgh Post-Gazette,GUN LIMITS ARE A KEY WOMEN'S ISSUE,Rekha Basu,EDITORIAL; Pg. A-8,,710 words,,,"November 8, 2014",ENGLISH,,,,,,Newspaper,Copyright 2014 P.G. Publishing Co.
,gun,woman,domestic,talk,violence,organization,people,issue,federal,Giffords,hold,call,buy,kill,law,rights,state,convict,speak,fact,hand,head,write,walk,applaud,make,hard,understand,word,abuse,office,abuser,stalker,time,partner,election,fix,though,stalk,dating,check,another,reality,news,release,painful,Gabby_Giffords,U.S.,everything,des,moine,last,week,safety,open,sentence,former,congresswoman,louder,anything,anyone,need,keep,wrong,nearly,three,ago,gifford,shot,public,meeting,constituent,outside,supermarket,unclear,survive,six,scene,able,read,cane,something,slapping,knee,paralyze,still,trouble,thanks,condition,aphasia,sometimes,speech,right,associate,stroke,injury,happen,gabby,widely
,17,10,6,5,5,5,4,4,4,4,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"November 18, 2014 Tuesday",443 of 454 DOCUMENTS,Pittsburgh Post-Gazette,INVEST IN RENEWABLES; CONGRESS SHOULD REVIVE THE PRODUCTION TAX CREDIT,,EDITORIAL; Pg. B-6,,329 words,,,"November 18, 2014",ENGLISH,,,,,,Newspaper,Copyright 2014 P.G. Publishing Co.
,wind,industry,energy,PTC,tax,credit,producer,billion,program,renewable,1992,expire,last,renew,taxpayer,develop,federal,farm,might,investment,new,supply,Congress,prediction,effect,climate,change,grow,alarming,lawmaker,ought,expand,support,production,benefite,electricity,let,deserve,resurrect,every,major,receive,dollar,capacity,subsidy,write,code,other,must,periodically,reimburse,rate,2.3,cent,per,kilowatt,hour,operation,crucial,development,accord,head,trade,group,five,occasion,allow,construction,decline,significantly,skeptic,dismiss,business,incentive,market,distortion,create,inefficiency,expense,experience,suggest,good,policy,public,basic,infrastructure,alleviate,unemployment,national,economy,aid,newer,otherwise,ground,report,cost,government,1.3,2012
,6,5,5,5,4,4,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
