PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
"September 30, 2003 Tuesday",3 of 283 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),RUSSIA PLAYS COY ON BACKING KYOTO CLIMATE PACT;  PUTIN SOURING HOPES FOR RATIFICATION SOON,"SUSAN B. GLASSER, THE WASHINGTON POST","WORLD, Pg.A-5",,703 words,MOSCOW,,"September 30, 2003",ENGLISH,,,,,,,Copyright 2003 P.G. Publishing Co.
,Russia,emission,country,percent,ratification,gas,Putin,pact,agreement,ratify,give,benefit,conference,global,greenhouse,treaty,protocol,economic,deal,stand,level,billion,Kyoto,president,warming,hold,environmental,ago,final,world,believe,climate,change,approval,delay,guarantee,speech,term,express,pledge,might,sometimes,warm,1990,far,share,limit,quota,Japan,refuse,commit,brush,aside,entreaty,enactment,landmark,accord,administration,refusal,endorse,international,curb,essentially,veto,effect,enough,account,many,scientist,cause,harmful,little,hope,backer,long,anticipate,face,bureaucratic,report,demand,open,government,closely,study,warn,part,complex,difficult,unclear,problem,general,back,1997,actively,quickest,possible,indication,decide,spell
,utility,power,need,government,company,industry,grid,rate,area,electricity,make,help,blackout,higher,return,investment,upgrade,consumer,improvement,might,last,week,new,business,price,federal,system,act,energy,country,profit,repeal,California,deliver,capital,expert,charge,intervention,market,recent,way,deregulation,customer,electric,guarantee,order,transmission,cost,state,regulator,spend,add,win,investor,executive,line,away,ability,pass,outside,director,less,boost,capacity,across,path,expect,late,next,bill,solution,push,restriction,Canada,little,incentive,kind,contain,change,allow,mean,greater,move,opposite,widespread,freed,enter,exit,compete,clear,consistent,rule,vice,president,affair,superconductor,corp,westborough,maker
,15,11,8,6,5,5,5,5,5,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"December 28, 2003 Sunday",212 of 283 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),NORWAY'S PREMIER RUNS INTO EGALITARIAN ROAD RULES,"WALTER GIBBS, THE NEW YORK TIMES","WORLD, Pg.A-4",,732 words,"OSLO, Norway",,"December 30, 2003",ENGLISH,,,,,,,Copyright 2003 P.G. Publishing Co.
,car,minister,prime,Bondevik,new,Norway,country,bondevik,steel,armor,rule,vehicle,use,think,security,seat,back,know,take,everyone,business,luxurious,limousine,weigh,black,bmw,give,road,pound,approve,register,law,ago,standard,axle,national,code,political,debate,move,aide,week,plate,less,journalist,recline,allow,remove,thus,Norwegian,egalitarian,late,beloved,king,olav,streetcar,buys,bombproof,four,ton,exquisite,760,li,arrive,recently,threaten,inferno,begrudge,protection,thick,glass,window,small,transparent,social,democracy,apply,accord,chariot,heavy,fitted,much,total,weight,exceed,head,motor,inspection,station,staff,dispensation,order,almost,model,politician,executive,throughout,twice,reject
,12,7,6,6,4,4,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"January 17, 2003 Friday",222 of 283 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),PT CRUISER GETS SOME POP TO GO WITH RETRO,"DONALD I. HAMMONDS, POST-GAZETTE STAFF WRITER","BUSINESS, Pg.C-11",,485 words,,,"January 17, 2003",ENGLISH,,,PHOTO: 2002 Crystler PT Cruiser GT,,,,Copyright 2003 P.G. Publishing Co.
,pt,cruiser,turbo,engine,seat,door,model,still,exhaust,standard,performance,handle,button,extra,2003,need,car,head,old,seconds,put,gt,horsepower,regular,along,heat,chrome,wheel,power,back,"25,900",shift,system,control,silver,look,keep,mpg,please,oomph,popular,finally,bring,really,scoot,introduce,course,terrific,sell,hot,cake,several,introduction,turn,street,draw,comment,sign,design,classic,knock,always,though,find,adequate,drag,strip,new,certainly,represent,improvement,hit,8.6,publish,report,7.2,turbocharge,215,compare,150,produce,245,pound,foot,torque,obvious,rev,pop,leather,sunroof,window,automatic,air,set,manual,prefer,larger,diameter,tip
,7,5,5,5,5,4,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"February 21, 2003 Friday",230 of 283 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),PITT WON'T JOIN TEMPLE ON SAME-SEX BENEFITS,"BILL SCHACKNER, POST-GAZETTE STAFF WRITER","LOCAL, Pg.A-1",,839 words,,,"February 21, 2003",ENGLISH,,,,,,,Copyright 2003 P.G. Publishing Co.
,Temple,benefit,Pitt,Nordenberg,offer,university,pay,state,decision,employee,probably,school,legislator,couple,union,student,coverage,employer,work,way,board,president,think,premium,Pennsylvania,Adamany,domestic,partner,positive,thing,change,yet,discrimination,seven,response,public,chancellor,conservative,governor,support,suggest,might,punish,among,job,find,policy,remark,make,stand,lawsuit,already,help,funding,issue,clearly,take,step,position,panel,include,ought,represent,plan,gay,health,faculty,staff,graduate,percent,requirement,contract,heterosexual,meeting,marriage,cover,case,group,head,University,Harrisburg,same_sex,Snyder,grant,belief,prudent,whose,sue,seek,become,predict,fallout,oppose,new,record,interview,last,friday,colleague
,15,9,9,8,7,7,7,5,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"March 26, 2003 Wednesday",234 of 283 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),"MOM WHOSE SON ENLISTED FLIES FLAG, PROTESTS WAR",,"LIFESTYLE, Pg.E-2",,697 words,,,"April 8, 2004",ENGLISH,,,,,,,Copyright 2003 P.G. Publishing Co.
,flag,go,son,world,war,service,Jan,fly,night,have,jan,thing,brother,people,ask,really,support,Jack,Vietnam,stand,flagpole,house,serve,look,either,take,o'reilly,know,ii,nephew,enlist,family,harm,peace,change,lot,we,simple,picture,smile,lawyer,time,understand,troops,mom,whole,parent,life,make,different,degree,Griff,America,talk,morning,every,porch,entryway,wartime,fantasy,suggest,front,official,country,nuclear,submarine,griff,younger,senior,head,lamp,lawn,illuminate,light,right,rulebook,father,uncle,today,big,orwellian,9/11,else,ok,distinction,continue,elude,patriotic,proud,willing,sit,lie,place,way,whim,ego,man,qualified,work
,6,6,5,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"April 6, 2003 Sunday",239 of 283 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),CONSIDERING HOW PRODUCE IS GROWN MAY CHANGE THE WAY YOU GROW IT,,"METRO, Pg.W-2",,872 words,,,"April 6, 2003",ENGLISH,,,,,,,Copyright 2003 P.G. Publishing Co.
,grow,farm,farmer,potato,potatoe,field,soil,plant,use,crop,produce,gardener,know,organic,insect,read,we,make,sustainable,gardening,home,around,eat,variety,pesticide,create,synthetic,chemical,reach,local,store,better,tomatoe,figure,think,much,buy,might,backyard,work,good,season,number,may,acre,factory,water,spray,kind,single,herbicide,fertilizer,application,follow,keep,bug,bay,strong,instead,plan,manure,simple,certain,appear,learn,Russet_Burbanks,lately,fruit,vegetable,travel,800,mile,supermarket,consider,amount,distance,longer,accept,state,condition,stable,climate,happy,radish,strawberry,uniformly,mostly,broccoli,dinner,mileage,activist,encourage,closer,able,lettuce,january,part,definitely,corn
,19,8,8,8,8,7,7,6,5,5,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"May 6, 2003 Tuesday",249 of 283 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),SERVICE ECONOMY GAUGE JUMPS UNEXPECTEDLY,,"BUSINESS, Pg.D-4",,230 words,NEW YORK,,"May 7, 2003",ENGLISH,,,,,,,Copyright 2003 P.G. Publishing Co.
,april,index,price,service,read,March,february,activity,sector,end,war,report,release,purchase,47.9,reading,expansion,increase,new,order,fall,oil,pressure,ism,pace,Iraq,unexpectedly,expand,benefit,institute,manager,move,50.7,53.9,indicate,point,contraction,economist,expect,weakness,forecast,49.2,supply,executive,return,growth,business,press,group,record,note,lower,despite,overall,component,comprising,nonmanufacturing,generally,soft,employment,show,moderate,job,loss,48.2,stand,improve,50.6,47.7,level,continue,grow,albeit,slower,56.7,vs.,slow,rate,due,largely,Activity,Supply_Management,non_manufacturing,ISM
,6,6,6,4,4,4,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"May 11, 2003 Sunday",250 of 283 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),"BYLINE: JOE SMYDO, POST-GAZETTE STAFF WRITER",,"METRO, Pg.W-9",,361 words,,,"May 11, 2003",ENGLISH,,,,,,,Copyright 2003 P.G. Publishing Co.
,county,test,center,air,official,Minnis,record,find,storage,union,building,toxic,dirty,pass,make,follow,sick,assign,office,part,employee,reveal,health,dust,mold,courthouse,inadequate,space,quality,clean,representative,local,585/668,demand,develop,asthma,ailment,work,leave,temporary,position,election,resign,last,week,dissatisfied,handle,situation,change,career,better,life,human,resource,director,threat,safety,assistant,chief,steward,perfect,nothing,evaluation,address,downplay,lot,people,nonviolent,offender,community,service,program,general,cleanup,lease,"10,000",square,foot,basement,couple,block,besides,concern,complain,roach,security,danger,deteriorate,room,without,control,climate,though,purchase,agent,issue,may,force,convenience
,8,6,5,5,5,5,4,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"May 22, 2003 Thursday",253 of 283 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),WHITMAN LEAVES TOP POST AT EPA,"ANN MCFEATTERS, POST-GAZETTE NATIONAL BUREAU","NATIONAL, Pg.A-1",,977 words,WASHINGTON,,"May 22, 2003",ENGLISH,,,PHOTO: Christine Todd Whitman  INFORMATIONAL GRAPHIC: Associated Press: (Whitman resigns),,,,Copyright 2003 P.G. Publishing Co.
,Whitman,administration,Bush,environmental,White_House,EPA,leave,new,effort,regulation,protect,plan,bush,rule,power,issue,job,environment,environmentalist,New_Jersey,administrator,tenure,find,resignation,air,cleaner,office,week,ago,time,go,governor,2001,family,ride,run,begin,policy,soon,publicly,speech,top,intend,emission,plant,campaign,aide,implement,commitment,regulatory,strong,keep,million,acre,instead,allow,give,director,declare,law,consider,force,U.S.,Clinton,announce,resign,next,turbulent,frequently,odd,official,oppose,virtually,expansion,letter,proud,water,purer,land,better,take,step,june,alert,formally,advise,person,tuesday,it,know,tell,elect,female,1994,appoint,return,estate,horse,husband
,13,6,6,5,5,5,4,4,4,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"May 25, 2003 Sunday",255 of 283 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),MAGIC PORTIONS;  KEY TO LOSING WEIGHT: READJUSTING MIND AND BODY TO SMALLER AMOUNTS,,"FOOD, Pg.G-9 HOMECOOKING WITH",,1683 words,,,"February 25, 2004",ENGLISH,,,"Photo: Ross Whitaker: Peggy Katalinich, food director of Family Circle magazine, controlled her weight by adhering to the formula: Calories consumed + calories burned.",,,,Copyright 2003 P.G. Publishing Co.
,eat,recipe,Peggy,food,peggy,cookbook,make,gram,diet,pork,add,calory,book,use,cup,heat,lose,week,good,feel,have,take,portion,garlic,roll,sauce,kitchen,little,pound,husband,wonder,cook,lot,look,cream,tortilla,scallion,mg,minute,weight,thing,love,test,magazine,keep,son,meal,try,carbohydrate,protein,ingredient,dish,understand,mean,go,plate,find,fat,serve,oil,vegetable,bag,slice,ounce,tablespoon,shred,hoisin,skillet,work,regimen,daughter,variety,well,product,balance,moderation,much,native,milwaukee,million,though,time,write,fortunate,taste,true,develop,continue,control,cut,unless,many,enough,easy,every,often,require,may,never
,14,10,10,9,8,8,8,8,7,7,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"July 15, 2003 Tuesday",265 of 283 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),TUITION AT PITT TO GROW BY 9.5%,"BILL SCHACKNER, POST-GAZETTE STAFF WRITER","LOCAL, Pg.A-1",,1025 words,,,"July 15, 2003",ENGLISH,,,CHART: Steve Thomas/Post-Gazette; University of Pittsburgh: (Tuition hikes around the nation),,,,Copyright 2003 P.G. Publishing Co.
,tuition,percent,campus,Pitt,increase,student,rate,university,raise,state,school,last,continue,approve,trustee,budget,cut,University,fall,aid,way,million,Pennsylvania,Nordenberg,ask,news,base,official,decline,public,pay,campuse,point,rise,charge,cost,Pittsburgh,Penn_State,tell,college,senior,go,bad,financial,nearly,elsewhere,summer,compete,must,smaller,larger,7.5,high,conference,committee,value,funding,fiscal,class,start,price,lead,part,appropriation,decision,drop,make,include,cite,technology,cover,taxpayer,dollar,project,help,behind,benchmark,Joffred,out_of_state,bill,grow,9.5,stop,lunch,fry,exhibit,familiar,stun,look,season,eye,wide,mouth,remain,ajar,read,stand,friend,outside
,15,14,14,14,11,11,8,7,6,6,6,5,5,5,5,5,5,5,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"February 9, 2003 Sunday",269 of 283 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),KERRY FAULTS BUSH POLICIES AS HARMING ENVIRONMENT,"NICK ANDERSON, LOS ANGELES TIMES","NATIONAL, Pg.A-15",,524 words,WASHINGTON,,"February 11, 2003",ENGLISH,,,,,,,Copyright 2003 P.G. Publishing Co.
,Bush,Kerry,environmental,speech,air,president,administration,campaign,take,democrat,quality,f.,political,government,office,law,land,water,address,announce,spokesman,proposal,promote,initiative,cut,carbon,strengthen,John,White_House,sen,kerry,slam,record,seek,exploit,democratic,presidential,contender,believe,weak,spot,incumbent,armor,corporate,polluter,find,door,wide,open,charge,give,today,kennedy,library,release,advance,copy,remark,almost,soon,invite,chief,lobbyist,rewrite,intend,protect,surprisingly,result,biggest,retreat,protection,generation,although,attack,environment,many,time,aide,describe,senator,subject,december,formally,exploring,run,2004,raising,money,hope,win,party,nomination,oppose,bush,voice,similar,criticism,include,i.
,9,8,5,5,5,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"April 6, 2003 Sunday",275 of 283 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),INTERNATIONAL VISION DRIVES TONY BLAIR'S POLICIES,"GLENN FRANKEL, THE WASHINGTON POST","WORLD, Pg.A-16",,760 words,LONDON,,"April 11, 2003",ENGLISH,,,,,,,Copyright 2003 P.G. Publishing Co.
,Blair,international,Iraq,military,war,Bush,prime,minister,deal,president,community,strengthen,week,ally,institution,difference,public,run,side,Britain,call,many,justify,world,declare,people,country,repair,internationalist,whether,vision,administration,global,member,try,form,specific,seek,work,hold,view,issue,disagree,troops,cabinet,much,belief,secretary,hawkish,yet,soft,British,United_Nations,United_States,Washington,Kyoto,London,nation_building,four,ago,long,terror,attack,sept,2001,invasion,unveiled,speech,doctrine,theme,laid,evening,invoke,today,involvement,campaign,must,forcefully,tyrant,oppress,threaten,weapon,mass,destruction,couch,argument,term,central,pillar,head,third,remain,best,differ,significantly,happen,fight,inside,wider
,10,8,7,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"May 18, 2003 Sunday",279 of 283 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),THE ULTIMATE TEST;  SORENSTAM FACES GREATEST CHALLENGE WHEN SHE PLAYS IN THE COLONIAL,"DOUG FERGUSON, THE ASSOCIATED PRESS","SPORTS, Pg.D-1",,1314 words,"FORT WORTH, Texas",,"July 4, 2003",ENGLISH,,,"PHOTO: Shizuo Kambayashi/Associated Press: LPGA star Annika Sorenstam, who has 43 career victories, will play in the Colonial -- a PGA tour -- this week in Texas.  PHOTO: Lenny Ignelzi/Associated Press: Annika Sorenstam -- ""I'm not afraid of anything. I know I can play.""",,,,Copyright 2003 P.G. Publishing Co.
,play,Sorenstam,think,go,Colonial,player,man,golf,PGA_Tour,time,best,Woods,LPGA,tournament,woman,tee,test,good,hope,fairway,LPGA_Tour,game,last,talk,course,colonial,put,guy,far,challenge,anything,show,putt,well,high,finish,hit,bring,Annika,question,idea,along,world,success,shot,ago,soon,run,watch,have,club,pro,qualified,try,qualify,stroke,mount,compete,know,place,five,round,better,never,face,yard,rough,green,part,media,every,hole,great,event,feel,add,enough,cut,dominant,tour,already,sorenstam,still,everything,much,generate,poorly,embarrass,anyone,view,knock,final,Phoenix,PGA,Tiger,Isleworth,Duval,start,harmless
,19,15,9,9,8,7,6,6,6,5,5,5,5,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1
