PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
"January 17, 2004 Saturday",7 of 305 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),"SUN, WIND AND CORN CUT UTILITY BILLS",,"LIFESTYLE, Pg.X-2",,1034 words,,,"January 17, 2004",ENGLISH,,,,,,,Copyright 2004 P.G. Publishing Co.
,solar,power,electricity,Tidwell,system,panel,cost,use,stove,percent,buy,price,house,roof,light,water,live,room,install,energy,family,home,hot,back,utility,electric,outage,add,increase,lot,manager,md,help,make,wind,amount,need,turn,go,estimate,provide,point,burn,gas,natural,corn_burning,Lahn,Spiliadis,meter,backward,credit,contractor,business,really,drive,last,have,renewable,appliance,warm,certificate,grid,household,many,people,plan,january,source,become,much,refrigerator,bulb,fluorescent,alone,reduce,wife,"17,000",grant,well,corn,oil,fire,two_story,wind_generated,energy_efficient,homeowner,sell,surplus,generate,local,spin,accrue,august,huge,blackout,across,widespread,storm,impetus
,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"April 11, 2004 Sunday",228 of 305 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),NATIVE TREES;  A NATURAL FOR YOUR LANDSCAPE,SANDY FEATHER,"LIFESTYLE, Pg.N-7",,1248 words,,,"April 12, 2004",ENGLISH,,,"Steve Sanchez/Associated Press A robin feeds on a hawthorn berry. The dense, thorny character of hawthorn trees makes them an ideal nesting site for birds.",,,,Copyright 2004 P.G. Publishing Co.
,tree,soil,grow,red,bark,moist,foot,birch,tolerate,acidic,tall,spread,shade,green,fruit,native,site,small,best,fall,spring,full,sun,summer,sassafra,hawthorn,species,color,maple,flower,perform,black,often,bird,well,condition,winter,slightly,well_drained,landscape,range,although,scarlet,yellow,early,cherry,make,find,gum,good,foliage,produce,partial,dark,give,provide,plant,urban,outstanding,round,another,upland,bloom,late,showy,prefer,white,spp,seed,wild,attractive,many,leave,shape,orange,similar,Crataegus,insect,edge,nest,songbird,use,ornamental,yard,clay,wide,leaf,comparable,smaller,exfoliate,almost,however,young,grouse,feed,catkin,bud,enjoy,drier
,31,16,12,11,10,9,9,9,8,8,8,8,8,8,8,7,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"June 2, 2004 Wednesday",235 of 305 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),"ASK A WORKING WOMAN, GET AN EARFUL",,"LIFESTYLE, Pg.A-9",,674 words,,,"June 2, 2004",ENGLISH,,,,,,,Copyright 2004 P.G. Publishing Co.
,woman,work,job,percent,family,pay,care,cut,survey,anxiety,respondent,benefit,child,labor,tax,bad,cranky,way,look,ask,report,half,female,last,good,lack,leave,income,cost,health,move,assistance,favor,gap,economic,wide,vote,memo,slash,domestic,program,bush,force,security,end,rope,AFL_CIO,think,seem,another,justified,whole,lot,crankier,accord,2004,member,group,harder,less,reward,six,ago,issue,nearly,employ,either,someone,keenly,aware,basic,eroding,industry,shrink,growth,sick,pension,vacation,therefore,find,keep,lead,concern,across,subgroup,contribute,household,overwhelmingly,worried,rise,increase,number,white,collar,overseas,overtime,eliminate,lose,altogether
,9,8,8,8,4,4,4,4,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"June 18, 2004 Friday",242 of 305 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),"SECTION: ARTS & ENTERTAINMENT, Pg.WE-22",,,,1668 words,,,"June 18, 2004",ENGLISH,,,"U.S. Customs and Immigration Officer Thurman (Barry Shabaka Henley), left, looks on as airport official Frank Dixon (Stanley Tucci) explains to stranded traveler Viktor Navorski (Tom Hanks) that he won't allow Viktor to enter the United States in the Steven Spielberg comedy ""The Terminal."" Merrick Morton",,,,Copyright 2004 P.G. Publishing Co.
,min,*,language,Loews,rate,***,star,Showcase_E,Wynnsong,nv,with,sexual,Destinta_Bridgeville,South_Pike,Southland,violence,Cranberry,Washington_Mall,Northway_Mall,Star_City,starr,content,Dependable,Waterworks,pg,humor,**,clearview,Carmike,Cheswick,Squirrel_Hill,Penn_Hills,mild,direct,brief,drug,reference,thematic,go,Galleria,action,war,movie,become,strong,Norwin,Destinta_NV,crude,story,big,drama,sexuality,woman,life,play,return,man,girl,monster,Denis,Manor,around,world,tale,race,documentary,chronicle,footage,dodgeball,true,enter,save,rude,dare,make,feature,try,****,film,three,103,intense,sequence,fat,element,1/2,situation,cartoon,voice,frightening,creature,136,age,survival,material,parent,school,teenager,catch
,25,16,13,13,12,12,11,11,10,9,9,9,9,9,9,8,8,8,8,8,7,7,7,7,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"June 20, 2004 Sunday",243 of 305 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),UNASSUMING EXEC GIVES ALMA MATER $1.5 MILLION REASONSTO SMILE,"CORILYN SHROPSHIRE, PITTSBURGH POST-GAZETTE","BUSINESS, Pg.C-1",,1214 words,,,"June 22, 2004",ENGLISH,,,"PHOTO: Darrell Sapp/Post Gazette: Edward Fritzky, former CEO of Immunex, is endowing a chair in biotecnology at Duquesne University. Fritzky returned recently to Pittsburgh to endow an economic development.",,,,Copyright 2004 P.G. Publishing Co.
,Fritzky,fritzky,Immunex,time,work,Duquesne,executive,company,graduate,interview,people,president,mother,take,look,marketing,Williams,ed,pharmaceutical,many,think,guy,four,family,make,know,stock,learn,former,officer,lead,seattle,ego,thing,corporate,endow,chair,might,grow,1972,vice,recall,quiet,unassuming,sort,donation,research,develop,biotech,we,focus,life,child,much,childhood,around,friend,board,serve,future,back,hear,job,easy,college,experience,best,every,find,drug,sell,high,name,business,try,view,really,always,door,opportunity,remember,despite,turn,1998,later,better,world,home,Trump,Pittsburgh,Searle,trump,chief,biggest,merger,history,billion,buyout,behemoth
,17,10,7,6,6,6,5,5,5,5,5,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1
"August 21, 2004 Saturday",249 of 305 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),CALLING HARRIS DOCTOR IS BORDERLINE MALPRACTICE,,"SPORTS, Pg.B-1",,734 words,,,"August 24, 2004",ENGLISH,,,PHOTO: Lake Fong/Post-Gazette: Pitt coach Walt Harris criticized several of his players for spending too much time on the sideline with injuries.,,,,Copyright 2004 P.G. Publishing Co.
,coach,Harris,player,Lee,man,take,football,duty,practice,pain,injury,Pitt,harris,tell,field,think,thing,time,season,blame,make,conditioning,Morris,might,responsibility,head,offensive,coordinator,quarterback,team,additional,call,dr.,back,athlete,doctor,last,line,healthy,injure,definition,know,another,wrong,suppose,hamstring,nothing,many,need,new,defeat,better,strength,disrespectful,Panthers,Boston_College,college,week,high,school,level,three,fill,amazingly,though,walt,md,yep,today,medical,practitioner,else,badly,hurt,skilled,physician,thorough,examination,consider,much,thursday,sophomore,wide,receiver,upset,start,figure,best,deep,threat,spend,training,room,preseason,walk,fine,dangerous,concern,whatever
,14,12,7,7,5,5,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"October 3, 2004 Sunday",256 of 305 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),"PHILIP ROTH UNCOVERS WHAT LIES BENEATH IN A FICTIONAL AMERICA, CHARLES LINDBERGH IS ELECTED PRESIDENT AND A JEWISH FAMILY STRUGGLES WITH THE CONSEQUENCES","BOB HOOVER, PITTSBURGH POST-GAZETTE","ARTS & ENTERTAINMENT, Pg.B-4 BOOK REVIEW",,543 words,,,"October 6, 2004",ENGLISH,,,Drawing: Anita Dufalla/Post-Gazettephoto illustration: The chilling concept of Philip Roth's new novel is that Charles Lindbergh becomes president in 1940 and keeps America out of World War II.,,,,Copyright 2004 P.G. Publishing Co.
,jew,life,Lindbergh,novel,family,country,Roths,fear,president,Philip,Roth,`,america,character,boy,much,1940,childhood,begin,terror,keep,world,war,ii,back,homeland,school,program,around,way,roth,story,riot,compassion,force,take,time,American,Newark,America,despite,cast,historical,powerful,new,heroes,member,ordinary,son,n.j.,philip,book,open,author,live,fictional,barely,resemble,pleasant,comforting,land,nostalgic,preside,memory,perpetual,course,without,yet,wonder,less,frighten,offspring,defeat,hero,aviator,nation,neutral,befriend,set,motion,pogrom,proud,secure,friendly,neighborhood,pledge,allegiance,flag,every,morning,remember,sang,marvel,classmate,assembly,eagerly,observe,national,holiday
,6,6,5,4,4,4,4,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"October 6, 2004 Wednesday",260 of 305 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),THE CASE FOR A STRONG KREMLIN;  THE TRUTH IS THAT AMERICA IS BETTER OFF WITH PUTIN MORE FIRMLY IN CONTROL IN RUSSIA,,"EDITORIAL, Pg.A-19",,969 words,,,"October 7, 2004",ENGLISH,,,,,,,Copyright 2004 P.G. Publishing Co.
,Russia,United_States,point,control,government,Russian,attack,look,better,Moscow,Putin,country,question,view,problem,school,take,reason,population,easy,make,difficult,combination,resource,action,loose,answer,fewer,seem,Soviet_Union,last,president,another,people,serve,degree,whether,ruler,million,history,form,autonomy,old,military,thus,able,carry,terrorist,use,run,good,tighter,freedom,accompany,anywhere,though,russian,less,amount,nuclear,material,lose,face,whatever,American,Boris_Yeltsin,surprise,wake,v.,putin,pull,rein,tightly,put,way,assault,security,poignant,338,half,child,kill,step,curb,liberty,immediate,knowledge,2001,lead,similar,phenomenon,development,positive,negative,neutral,assume,anything,influence,case
,12,11,7,7,6,6,5,5,5,5,5,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"October 7, 2004 Thursday",261 of 305 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),DEBATE SHOWS THE ADMINISTRATION'S STORY ON IRAQ IS FALLING APART,,"EDITORIAL, Pg.A-23",,781 words,WASHINGTON,,"October 8, 2004",ENGLISH,,,,,,,Copyright 2004 P.G. Publishing Co.
,Cheney,Iraq,make,administration,word,nuclear,weapon,debate,president,war,declare,story,vice,connection,attack,9/11,defend,terrorist,irrefutable,possibility,bremer,keep,issue,september,true,suggest,cheney,we,nothing,lack,whatever,case,intelligence,good,report,statement,threat,tube,evidence,mass,destruction,likely,biological,agent,suppose,frighten,question,troops,take,single,important,Saddam_Hussein,Bush,spend,much,time,torture,truth,hard,straight,remember,remarkable,moment,tuesday,sen,blanket,denial,obvious,edwards,prove,value,loyalty,nominee,period,commission,next,literally,incredible,minute,flatly,establish,relationship,al,qaeda,hello,suggestion,well,sept,2003,call,geographic,base,assault,many,especially,else,clear,central,presidential
,11,9,7,7,7,6,6,5,5,5,4,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"December 1, 2004 Wednesday",276 of 305 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),U.S. WON'T CLEAR DAMS TO AID FISH,,"NATIONAL, Pg.A-5 NATIONAL BRIEFS",,604 words,,,"December 2, 2004",ENGLISH,,,,,,,Copyright 2004 P.G. Publishing Co.
,dam,protect,fish,operation,rule,2000,ad,claim,woman,office,school,cost,center,director,WASHINGTON,CIA,administration,federal,river,endangered,salmon,opinion,division,government,measure,carry,new,allow,legalize,marijuana,court,agency,violate,group,child,right,board,delay,execution,schedule,student,plan,college,visitor,open,appoint,deputy,official,Texas,possibility,remove,species,steelhead,last,resort,issue,fishery,declare,eight,large,lower,stretch,immutable,part,environment,variety,include,around,building,weir,technology,work,water,slide,ease,young,journey,swim,downstream,ocean,decision,departure,adopt,policy,removal,although,fail,appeal,rights,refuse,display,advertisement,reject,three,submit,change,encourage,smoke,pot
,5,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"August 15, 2004 Sunday",286 of 305 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),BUSH DROPS 5 SAFETY RULES FOR EACH ADOPTED,"AMY GOLDSTEIN AND SARAH COHEN, THE WASHINGTON POST","NATIONAL, Pg.A-13",,710 words,WASHINGTON,,"August 17, 2004",ENGLISH,,,,,,,Copyright 2004 P.G. Publishing Co.
,president,regulatory,rule,regulation,Bush,government,new,administration,federal,OSHA,Clinton,begin,write,people,complete,cancel,eliminate,bush,take,office,work,fewer,job,put,require,safety,time,tuberculosis,nearly,three,last,major,make,way,five,many,standard,start,previous,impose,unfinished,shift,2001,benefit,business,leave,item,White_House,George,sneak,reappearing,alarming,frequency,across,protect,million,whose,special,danger,hospital,homeless,shelter,prison,drug,treatment,center,test,employee,tb,hand,breathing,mask,quarantine,disease,step,occupational,predict,prevent,"25,000",infection,135,death,move,envision,1993,nothing,issue,next,2003,action,obscure,mention,newspaper,country,voluntary,measure,official,effective,enough
,8,8,7,7,7,6,6,5,5,4,4,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"October 24, 2004 Sunday",289 of 305 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),UNCERTAINTY OVER THE ELECTION ANOTHER OBSTACLE TO MARKET GAINS,"Meg Richards, The Associated Press","BUSINESS, Pg.F-4",,483 words,NEW YORK,,"November 25, 2004",ENGLISH,,,,,,,Copyright 2004 P.G. Publishing Co.
,market,go,think,2000,state,vote,know,take,election,week,poll,stock,may,recount,analyst,possibility,already,price,electoral,race,investor,outcome,president,likely,reason,three,chance,way,issue,november,percent,Standard,Poor,chaos,list,worry,plague,country,head,major,indexe,negative,range,pricey,oil,entirely,blame,repeat,almost,certainly,send,tumble,factor,share,terrorist,might,try,disrupt,process,cross,trader,mind,case,tight,professional,make,sector,bet,attempt,game,sen,manage,unseat,business,heavily,regulate,industry,face,tougher,climate,lawyer,party,descend,swing,anticipation,contest,result,nov,watcher,litigation,inevitable,difficult,pressured,decelerating,earning,rise,interest,rate,lofty
,7,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"October 3, 2004 Sunday",298 of 305 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),"PHILIP ROTH UNCOVERS WHAT LIES BENEATH; IN A FICTIONAL AMERICA, CHARLES LINDBERGH IS ELECTED PRESIDENT; AND A JEWISH FAMILY STRUGGLES WITH THE CONSEQUENCES","BOB HOOVER, PITTSBURGH POST-GAZETTE",ARTS & ENTERTAINMENT; BOOK REVIEW; Pg. B-4,,529 words,,,"October 2, 2007",ENGLISH,,,Drawing: Anita Dufalla/Post-Gazettephoto illustration: The chilling concept of Philip Roth's new novel is that Charles Lindbergh becomes president in 1940 and keeps America out of World War II.,,,Newspaper,Copyright 2004 P.G. Publishing Co.
,jew,life,Lindbergh,novel,family,country,Roths,fear,president,Philip,Roth,`,america,character,boy,much,1940,childhood,begin,terror,keep,world,war,ii,back,homeland,school,program,around,way,roth,story,riot,compassion,force,take,time,American,Newark,America,despite,cast,historical,powerful,new,heroes,member,ordinary,son,n.j.,philip,book,open,author,live,fictional,barely,resemble,pleasant,comforting,land,nostalgic,preside,memory,perpetual,course,without,yet,wonder,less,frighten,offspring,defeat,hero,aviator,nation,neutral,befriend,set,motion,pogrom,proud,secure,friendly,neighborhood,pledge,allegiance,flag,every,morning,remember,sang,marvel,classmate,assembly,eagerly,observe,national,holiday
,6,6,5,4,4,4,4,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"November 8, 2004 Monday",301 of 305 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),VENUS; EARTH'S 'SISTER' PLANET HAS FIERY REPUTATION,"Dan Malerbo, Henry Buhl Jr. Planetarium & Observatory",HEALTH SCIENCE MEDICINE AND TECHNOLOGY; LET'S TALK ABOUT:; Pg. B-6,,298 words,,,"February 21, 2008",ENGLISH,,,,,,Newspaper,Copyright 2004 P.G. Publishing Co.
,Venus,planet,sun,atmosphere,cloud,water,surface,scientist,radar,Earth,similarity,heavy,carbon,dioxide,pressure,time,spacecraft,temperature,thick,allow,heat,grow,hotter,venus,reveal,earth,image,second,often,refer,sister,size,mass,density,volume,end,closer,transform,extremely,hostile,world,far,different,goddess,beauty,love,name,toxic,make,mostly,corrosive,sulfuric,acid,atmospheric,greater,strong,metal,crush,hour,landing,hottest,solar,system,scorch,900,degree,fahrenheit,high,cause,call,greenhouse,effect,escape,trap,build,believe,past,ocean,hot,evaporate,blanket,keep,much,mystery,study,space,probe,explore,spin,backward,axis,cover,rise,west,set,east,discover,243,last
,7,5,4,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
