PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
"July 20, 2008 Sunday",1 of 396 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),BURY THE CARBON; IT WOULD COST EACH U.S. HOUSEHOLD ONLY A PENNY A DAY TO HELP SLOW THE PACE OF GLOBAL WARMING,EDWARD S. RUBIN,EDITORIAL; THE NEXT PAGE; Pg. G-6,,1531 words,,,"July 23, 2008",ENGLISH,,,INFORMATIONAL GRAPHIC: Stacy Innerst/Post-Gazette: STORING CARBON UNDERGROUND \ INFORMATIONAL GRAPHIC: James Hilston/Post-Gazette; U.S. Energy Information Administration: WHERE OUR ELECTRICITY COMES FROM,,,Newspaper,Copyright 2008 P.G. Publishing Co.
,CO2,capture,gas,plant,storage,climate,carbon,power,change,fuel,emission,greenhouse,fossil,use,electricity,technology,cost,percent,coal,bill,energy,formation,atmosphere,go,global,next,burn,run,way,three,project,need,add,measure,dioxide,make,less,include,important,thing,car,co2,mainly,keep,hour,shift,reduction,world,must,reduce,rock,large,however,industry,step,type,different,test,fund,radiation,approach,Climate,legislation,despite,support,major,link,warming,economy,many,policy,easy,meanwhile,atmospheric,level,continue,rise,future,much,bipartisan,billion,small,fee,require,really,generate,average,enjoy,another,nuclear,provide,source,account,renewable,electric,battery,scientist,serious,effect
"June 4, 2008 Wednesday",283 of 396 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),U.N. WARNS OF WORLD FACING FOOD SHORTAGES,"TRACY WILKINSON, LOS ANGELES TIMES",WORLD; Pg. A-3,,653 words,ROME,,"June 4, 2008",ENGLISH,,,,,,Newspaper,Copyright 2008 P.G. Publishing Co.
,food,people,biofuel,price,billion,production,U.N.,world,official,ban,hungry,fuel,crop,global,summit,nation,country,crisis,percent,oil,energy,quickly,hunger,social,research,tell,health,mo,starvation,good,feed,right,grow,exacerbate,cost,demand,string,poor,change,factor,emerge,cause,use,sugar,corn,ethanol,president,argue,finger,shift,power,must,act,boldly,control,soar,threaten,nearly,trigger,unrest,emergency,urge,eliminate,trade,barrier,expand,biotechnology,boost,annual,investment,nothing,degrade,especially,leader,gather,capital,warn,angry,breed,disintegration,ill,economic,decline,senior,paint,picture,potential,political,turmoil,shortage,rich,fail,keep,promise,confront,scold,wealthy,wasteful,consumption
,12,8,8,7,5,5,5,4,4,4,4,4,4,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"June 15, 2008 Sunday",285 of 396 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),"BIRD KILLERS THE VANISHING PHILIPPINE EAGLE CALLS ON US TO STOP DESTROYING THE EARTH, REPORTS THE NATIONAL AVIARY'S TODD KATZNER",,EDITORIAL; Pg. G-1,,1275 words,,,"June 15, 2008",ENGLISH,,,,,,Newspaper,Copyright 2008 P.G. Publishing Co.
,species,population,philippine,we,habitat,Philippines,go,world,future,human,cause,landscape,island,humanity,forest,biodiversity,many,help,bird,Earth,remarkable,largest,destruction,lowland,thousand,discover,provide,grow,among,environmental,country,people,density,global,yet,might,protect,destroy,place,loss,growth,Philippine,ago,biologist,wildlife,ability,field,hand,nearly,support,lose,scientist,air,return,time,larger,planet,complex,include,weakness,nation,million,remain,new,almost,individual,little,plant,origin,drug,odd,cancer,still,much,die,kill,sustain,rational,reason,damage,child,measure,scale,strip,mission,conservation,question,live,make,workshop,aim,call,need,consume,resource,level,decision,Luzon,American
,17,8,6,6,6,6,5,5,5,5,5,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"June 19, 2008 Thursday",288 of 396 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),SECTION: METRO; ROUTE 19 BRIEFS; Pg. S-6,,,,807 words,,,"July 16, 2008",ENGLISH,,,,,,Newspaper,Copyright 2008 P.G. Publishing Co.
,council,road,learn,development,property,bid,environmental,disability,p.m.,a.m.,approve,township,reduce,exposure,local,construction,private,ask,resident,owner,natural,gas,signal,America,event,chemical,take,schedule,6:30,story,time,focus,association,give,health,organic,state,new,ceremony,intersection,member,meeting,use,housing,drive,own,requirement,request,work,unit,number,accommodate,company,project,device,Fish,Boat_Commission,host,toxin,behavior,attention,disorder,provide,advice,child,toxic,place,noble,bookstore,tonight,thursday,8:15,toy,jewelry,item,test,lead,system,conjunction,assoction,june,11:30,1:30,help,pesticide,improve,environment,economy,presentation,economic,benefit,eat,food,tip,shopping,farmer,market,grow,produce
,8,6,5,5,5,5,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"June 27, 2008 Friday",291 of 396 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),"AT CMU, OBAMA TARGETS GAS, SCHOOLING; ROUND-TABLE ADDRESSES KEYS TO PROSPERITY","JAMES O'TOOLE, PITTSBURGH POST-GAZETTE",NATIONAL; THE ROAD TO THE WHITE HOUSE; Pg. A-1,,743 words,,,"June 27, 2008",ENGLISH,,,"PHOTO: VWH Campbell/Post-Gazette; Presumptive Democratic presidential nominee Sen. Barack Obama, left, hosted a round-table conversation yesterday on competitiveness and the world economy at Carnegie Mellon University. He made his point to a panel that included G. Richard Wagoner Jr., chairman of General Motors, center, and Vinod Khosla, a founding executive of Sun Microsystems.",,,Newspaper,Copyright 2008 P.G. Publishing Co.
,president,education,energy,need,obama,chairman,research,former,U.S.,CEO,panel,innovation,candidate,event,mr.,include,consensus,basic,mo,support,call,sen,join,improvement,pay,future,create,every,ability,move,21st,much,diversify,note,federal,trade,system,industry,level,increase,country,standard,nation,panelist,secretary,cancer,Marine,barack,business,labor,leader,conversation,role,infrastructure,foundation,prosperity,remain,dependent,oil,dictator,endanger,security,imperil,planet,pump,sit,sideline,job,abroad,presidential,open,invite,audience,gymnasium,can,give,child,america,chance,cripple,make,live,economy,watch,ahead,race,century,flank,stage,baker,dozen,luminary,g.,jr.,nobel,laureate,assemble,talent,prove
,7,6,6,5,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"July 23, 2008 Wednesday",302 of 396 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),OILMAN MAKES CASE FOR WIND POWER,"CHRISTOPHER STERN, BLOOMBERG NEWS",NATIONAL; Pg. A-6,,371 words,WASHINGTON,,"July 23, 2008",ENGLISH,,,PHOTO: T. Boone Pickens,,,Newspaper,Copyright 2008 P.G. Publishing Co.
,plan,wind,picken,power,oil,Mr._Pickens,farm,mo,foreign,largest,use,percent,nation,U.S.,tell,panel,dependence,import,threaten,national,security,support,build,spend,global,war,stop,plant,chairman,electricity,gas,may,concern,Congress,Texas,manager,oilman,to,boone,urge,pass,tax,break,million,television,radio,advertisement,public,bring,proposal,role,superpower,need,almost,700,billion,four,time,annual,cost,transfer,wealth,history,pay,way,somehow,mr.,appearance,reveal,building,world,produce,"4,000",megawatt,energy,equivalent,nuclear,connecticut,independent,praise,bold,higher,vision,short,specifically,endorse,heart,free,natural,car,replace,founder,bp,capital,llc,shareholder,supplier,bus,truck
,7,6,5,5,4,4,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"July 30, 2008 Wednesday",306 of 396 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),DON'T PASS ON STRESS TO EMPLOYEES,Joyce M. Rosenberg,BUSINESS; SMALL TALK; Pg. A-10,,772 words,,,"July 30, 2008",ENGLISH,,,,,,Newspaper,Copyright 2008 P.G. Publishing Co.
,stress,employee,business,many,everyone,go,good,work,know,problem,company,boss,staff,make,help,owner,give,take,sure,open,communication,thing,may,way,level,pass,anxiety,create,stressful,atmosphere,affect,small,probably,feeling,manager,leader,tension,run,kind,live,place,away,other,staffer,bad,might,feel,chance,note,part,something,believe,major,ms,every,deal,keep,well,sale,customer,pay,late,vendor,raising,price,combination,likely,raise,turn,economy,impossible,avoid,uneasy,step,else,along,personal,management,let,climate,life,harder,aware,negatively,perhaps,important,allow,constantly,transmit,counterproductive,unpleasant,president,video,production,base,n.y,recall,partner,swore
,15,6,6,5,5,5,5,5,5,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"July 31, 2008 Thursday",307 of 396 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),STUCK IN THE MUD; REPUBLICANS AND DEMOCRATSSHOULD RETHINK THEIR ROTE POSITIONS,Thomas L. Friedman,EDITORIAL; Pg. B-7,,819 words,,,"July 31, 2008",ENGLISH,,,,,,Newspaper,Copyright 2008 P.G. Publishing Co.
,Afghanistan,war,need,exploit,government,Afghan,think,take,democrat,energy,politics,change,really,republican,offshore,drilling,become,way,go,revolution,win,terrorism,Iraq,wedded,bumper,sticker,world,fuel,clean,next,great,industry,power,technology,new,focus,strategy,make,many,good,troops,elect,front,problem,failure,reform,produce,last,reason,area,afghans,fight,read,we,responsibility,America,Pakistan,Taliban,Karzai,U.S.,sometimes,particularly,campaign,party,slogan,stop,whether,reality,implication,guide,policy,office,today,example,obsessed,notion,drill,current,crisis,coastal,water,answer,every,question,anyone,look,growth,middle,class,around,rise,demand,natural,resource,plus,danger,climate,drive,addiction
,9,6,5,5,5,5,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"October 12, 2008 Sunday",335 of 396 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),Extreme views do not define Fulton County,"GLENN HILLER, Owner, Dott Store Warfordsburg, Fulton County \",EDITORIAL; LETTERS TO THE EDITOR; Pg. G-2,,232 words,,,"October 29, 2008",ENGLISH,,,,,,Newspaper,Copyright 2008 P.G. Publishing Co.
,choose,community,much,oct,extreme,individual,promote,people,common,attend,Fulton_County,run,article,political,climate,obama,trust,disappointing,realize,reporter,feature,viewpoint,across,racism,intolerance,sadly,part,however,include,opinion,great,number,caring,let,define,writer,sensational,foster,divisive,mentality,politician,eager,calculate,tool,class,warfare,create,division,among,act,distraction,enable,power,money,interest,fight,either,major,party,candidate,need,focus,similarity,find,ground,try,encourage,debate,watch,event,wonderful,mix,share,enjoyable,evening,coffee,dessert,host,open,never,doubt,small,group,thoughtful,committed,citizen,change,world,indeed,thing,ever,Post_Gazette,Border_County,America,open_minded,Dott_Store,Debate_Watch,Margaret_Mead
,3,3,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"November 13, 2008 Thursday",350 of 396 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),UPMC PLANS 25 FOREIGN CANCER CENTERS,"Steve Twedt, Pittsburgh Post-Gazette",BUSINESS; Pg. E-1,,438 words,,,"November 14, 2008",ENGLISH,,,,,,Newspaper,Copyright 2008 P.G. Publishing Co.
,center,GE_Healthcare,cancer,bring,treatment,patient,country,UPMC,health,medical,care,Mr._Bogosta,plan,international,service,system,currently,higher,basic,radiation,oncology,offer,specialize,staff,chief,officer,collaboration,base,although,equipment,market,reimbursement,global,knowledge,Bogosta,establish,decade,joint,venture,president,commercial,division,region,largest,already,discussion,hospital,company,operate,idea,level,area,access,surgical,might,able,therapy,target,tumor,high,dosage,sparing,surround,healthy,tissue,drug,protocol,pathways,mix,local,import,worker,least,primarily,physician,operating,mo,extension,relationship,image,information,technology,diagnostic,monitor,money,change,hand,purchase,use,whenever,appropriate,exchange,expertise,determine,best,structure,particular,site,expect
,6,6,5,5,4,4,4,4,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"November 30, 2008 Sunday",358 of 396 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),HOW TO BUILD BETTER LEADERS: AN ENGINEER'S RECIPE,MARCEL BERGERMAN,EDITORIAL; THE NEXT PAGE; Pg. G-6,,1408 words,,,"December 2, 2008",ENGLISH,,,,,,Newspaper,Copyright 2008 P.G. Publishing Co.
,leader,plan,leadership,goal,define,people,ingredient,vision,way,we,level,true,much,recipe,future,know,strategy,other,evaluation,respect,building,world,time,capable,take,work,believe,use,meaningful,good,business,execute,progress,start,think,measure,thing,execution,result,make,become,foundation,family,exercise,country,optimism,hope,multinational,barack,matter,tell,person,problem,simply,influence,engineer,need,tool,five,apply,understand,though,everyone,else,ahead,achieve,mental,note,resource,include,case,happen,activity,always,engage,part,task,lead,hard,seemingly,sure,every,something,last,ethical,humility,prevent,corrupt,ground,solid,bad,study,practice,learn,home,teach,honest,humble,different
,33,13,11,11,7,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"November 30, 2008 Sunday",359 of 396 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),EVOLUTION REVOLUTION; ANIMATRONICS REACH NEW HEIGHTS IN 'WALKING WITH DINOSAURS' ARENA SHOW,"Adrian McCoy, Pittsburgh Post-Gazette",ARTS & ENTERTAINMENT; Pg. E-1,,1161 words,,,"December 2, 2008",ENGLISH,,,"PHOTO: Top: An adult Brachiosaurus and his offspring share a moment in a scene from the live-action show. PHOTO: Above: Close-up of the eye of a Torosaurus showing the realistic detail that goes into making the creatures. PHOTO: Left: The armored herbivore from the Cretaceous period, the Ankylosaurus.",,,Newspaper,Copyright 2008 P.G. Publishing Co.
,dinosaurs,stage,make,audience,film,move,live,experience,effect,use,set,screen,show,walk,series,design,take,include,foot,build,really,creature,Dinosaurs,Tilders,spectacle,drive,large,wednesday,cast,theatrical,long,rex,movement,dinosaur,character,designer,look,tv,present,need,hold,do,skin,tilder,hydraulic,thing,something,p.m.,week,roar,animatronic,version,special,base,dino,tour,million,star,tall,guide,baby,actor,human,movie,expectation,tough,director,often,back,able,context,production,work,many,much,head,matter,different,can,key,fluidly,weight,material,inflatable,reflect,big,story,drama,principle,care,tear,apart,a.m.,night,78.75,Mellon_Arena,Faris,host,kind
,12,9,8,7,6,6,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1
"December 19, 2008 Friday",366 of 396 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),CLINTON CHARITY DISCLOSES DONOR LIST,"Peter Baker and Charlie Savage, The New York Times",NATIONAL; Pg. A-7,,854 words,,,"December 19, 2008",ENGLISH,,,,,,Newspaper,Copyright 2008 P.G. Publishing Co.
,Clinton,foundation,Mr._Clinton,million,donor,foreign,former,president,wife,give,policy,list,agreement,potential,conflict,sen,administration,world,activity,take,issue,mrs,husband,country,raise,team,represent,India,dollar,last,government,tycoon,figure,interest,complete,concern,confirm,secretary,state,make,money,library,top,job,largest,executive,try,accept,donation,relation,mrs.,question,transition,office,past,memorandum,require,source,elder,Obama,Saudi_Arabia,Saudi,United_States,Mr._Obama,collect,ten,international,lift,longstanding,cloak,secrecy,release,"200,000",part,douse,hillary,rodham,offer,glimpse,travel,leave,jetted,around,globe,raising,vast,sum,ambitious,philanthropic,program,fight,disease,poverty,climate,change,richest,people,famous,celebrity
,9,8,8,6,6,5,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"September 19, 2008 Friday",381 of 396 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),GLOBAL ECONOMIC SLOWDOWN HITS FEDEX; INCOME SLIPS 22%,"TERESA F. LINDEMAN, PITTSBURGH POST-GAZETTE",BUSINESS; Pg. A-7,,366 words,,,"September 19, 2008",ENGLISH,,,,,,Newspaper,Copyright 2008 P.G. Publishing Co.
,percent,company,share,last,FedEx,analyst,official,economy,per,quarter,fuel,expect,improvement,result,decline,million,look,market,oil,price,cut,average,rise,cost,margin,billion,projection,earning,U.S.,moment,silence,ask,chairman,fred,smith,outside,anything,optimistic,short,pause,reply,think,redskin,go,great,memphis,tenn,shipping,giant,chill,settle,spread,internationally,may,awhile,thing,warm,near,term,continue,slowdown,global,jr.,chief,financial,officer,conference,call,discuss,part,post,net,income,384,1.23,three,end,aug,compare,494,1.58,poll,1.21,alert,week,significantly,improve,quarterly,crack,expense,freezing,hire,investment,capital,tightly,watch,hour,delivery,trim
,7,5,5,4,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"January 10, 2008 Thursday",384 of 396 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),FLOODING LEAVES 4 PEOPLE DEAD,,NATIONAL; NATIONAL BRIEFS; Pg. A-5,,540 words,,,"January 10, 2008",ENGLISH,,,,,,Newspaper,Copyright 2008 P.G. Publishing Co.
,judge,federal,extradition,charge,rule,budget,CIA,White_House,river,across,three,kill,home,damage,tuesday,second,water,along,block,last,appeal,set,feb,administration,court,paperless,authority,capture,jail,U.S._District,Mr._Noriega,Iraq,WASHINGTON,Bush,Justice_Department,flood,begin,withdraw,swath,northern,indiana,people,hundred,melting,snow,heavy,rain,swell,unusual,january,warm,streak,five,death,blame,flooding,tornadoe,severe,weather,fuel,unseasonable,temperature,blow,several,state,monday,victim,young,sibling,start,receding,risen,record,level,stretch,numerous,road,still,area,emergency,management,director,immediate,estimate,many,case,former,dictator,fail,persuade,extradite,face,agree,another,ruling,status,prisoner,war,impediment
,7,5,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"April 13, 2008 Sunday",389 of 396 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),OFF-COURSE HAZARD; PINE-RICHLAND GRADUATE AND MARQUETTE STANDOUT DOESN'T LET NASTY FALL SLOW DOWN HIS GAME,,SPORTS; GOLF; Pg. H-2,,1436 words,,,"April 19, 2008",ENGLISH,,,"PHOTO: Marquette University photo: Marquette golfer Mike Van Sickle, a Pine-Richland graduate, has received invitations to some of the top amateur tournaments in the country, including the Porter Cup and the Northeast Amateur.",,,Newspaper,Copyright 2008 P.G. Publishing Co.
,course,player,golf,Van_Sickle,tournament,include,last,play,purchase,expand,hole,Eckberg,field,win,championship,name,sand,green,cart,change,qualifier,home,fall,season,per,though,right,summer,playoff,open,top,new,time,bunker,take,offer,go,pga,champ,director,beat,Tri_State,Myrtle_Beach,event,another,round,early,leave,couple,injury,pretty,good,miss,break,finger,make,accommodate,use,enough,qualify,17th,amateur,lose,professional,receive,three,end,little,improve,beverage,fee,weekday,weekend,place,match,point,format,know,variety,package,resort,tip,traffic,hit,annual,classic,june,call,titleist,personalize,order,line,ball,second,extra,NCAA,Pittsburgh_National,Ohio,three_hole
,15,13,10,9,7,6,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
