PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
"April 2, 2006 Sunday",2 of 295 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),EXPECT LOW WATER FOR TROUT OPENER,DEBORAH WEISBERG,OUTDOORS; FISHING; Pg. D-15,,897 words,,,"April 8, 2006",ENGLISH,,,,,,Newspaper,Copyright 2006 P.G. Publishing Co.
,water,low,stream,rain,Swistock,spring,groundwater,precipitation,flow,open,good,weather,april,decade,toward,season,dry,accord,right,pattern,warm,earlier,global,warming,peak,move,temperature,tend,snow,quickly,especially,less,fall,go,ground,early,Pennsylvania,trout,clear,reflect,recent,expert,change,environment,storm,level,thing,march,climate,part,well,faster,rainfall,make,pack,fluctuating,normal,time,look,foot,far,system,creek,may,pretty,still,freestone,fracture,allow,recharge,consistent,pave,cold,presentation,bait,black,Western_Pennsylvania,likely,trend,tracking,climatic,impact,head,deficit,predict,resource,specialist,might,raise,temporary,take,last,driest,half,university,model,forecast,puzzle,1895
,oil,Cuba,U.S.,water,Cuban,company,American,offshore,gas,president,executive,exploration,gulf,last,billion,barrel,drilling,exploring,petroleum,area,trade,island,embargo,argue,much,part,official,India,Mexico,know,become,country,hope,field,ease,energy,economy,potential,authority,estimate,basin,foot,natural,amount,open,major,senior,already,stake,coast,cost,million,take,crude,corporation,sanction,opponent,allow,national,mr.,structure,meeting,block,political,bill,restriction,democrat,Bush,Venezuela,state_owned,CUPET,state_run,United_States,Mexican,Washington,cigar,rum,rigs,socialist,nation,latest,draw,frenzy,hunt,gusher,caribbean,dependence,boast,result,receive,good,news,northern,contain,4.6,9.8,trillion,cubic,roughly
,25,14,11,10,10,9,5,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"December 6, 2006 Wednesday",230 of 295 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),BYLINE: PETER LEO,,LIFESTYLE; THE MORNING FILE; Pg. A-2,,754 words,,,"December 6, 2006",ENGLISH,,,"PHOTO: Damian Dovarganes/Associated Press: The noble palm that has come to define Los Angeles is not dead yet, but as they begin to disappear they're being replaced by shade trees.",,,Newspaper,Copyright 2006 P.G. Publishing Co.
,tree,palm,plant,city,percent,shade,million,urban,Sacramento,still,l.a.,program,summer,poem,Pittsburgh,air_conditioning,heart,global,warming,well,around,enough,despite,canopy,nationwide,average,expert,temperature,resident,power,federal,research,show,bill,project,pay,mature,home,reduce,pittsburgh,money,write,place,people,many,right,whose,god,make,Los_Angeles,Washington_Post,Bush,Joyce,upside,end,century,ocean,resort,overrun,retire,senior,weav,golf,cart,sway,settle,eyeball,magnificent,go,hellhole,water,sound,though,rid,famous,simply,limiting,species,tall,scrawny,fan,announcement,couple,oak,sycamore,reliable,set,round,media,obituary,iconic,true,job,balmy,weather,practically,bald,sprawling,cover
,25,7,7,7,5,5,4,4,4,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"January 10, 2006 Tuesday",235 of 295 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),"THE PAST IS PRESENT; GM AND FORD, SEEKING TO REVIVE SINKING FORTUNES ,INTRODUCE NEW VERSIONS OF OLD FAVORITES","DON HAMMONDS, PITTSBURGH POST-GAZETTE",BUSINESS; Pg. A-7,,714 words,,,"January 10, 2006",ENGLISH,,,"PHOTO: Tom Pidgeon/AFP/Getty Images: General Motors Vice Chairman Bob Lutz drives a concept version of the Chevrolet Camaro yesterday at the North American International Auto Show in Detroit. PHOTO: Stan Honda/AFP/Getty Images: Ed Welburn, foreground, chief designer at General Motors, talks to the media yesterday as people crowd around the Chevrolet Camaro concept car at the North American International Auto Show at Cobo Hall in Detroit.",,,Newspaper,Copyright 2006 P.G. Publishing Co.
,new,include,model,gm,ford,passenger,front,company,car,product,concept,plant,use,light,2007,feature,interior,mustang,Ford,industry,design,media,preview,gt,500,introduce,last,subject,cut,"30,000",job,close,2008,expect,least,lose,billion,show,vehicle,coupe,official,highway,technology,transmission,independent,suspension,crossover,wagon,center,console,seating,row,driver,panoramic,seat,hybrid,line,escalade,grille,popular,chrome,gauge,white,lead,produce,performance,Buick_Enclave,six_speed,fold_down,domestic,automobile,financially,troubled,gambling,recovery,truck,call,mind,story,display,kick,week,version,luxurious,whether,long,list,press,showing,couple,enough,turn,around,auto,giant,much,debate,already,end
,12,5,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"January 29, 2006 Sunday",240 of 295 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),FROZEN METHANE GAS DEPOSIT FOUND IN OCEAN FLOOR OFF CALIF.,"Alicia Chang, The Associated Press",SCIENCE MEDICINE AND TECHNOLOGY; Pg. A-3,,305 words,LOS ANGELES,,"January 31, 2006",ENGLISH,,,,,,Newspaper,Copyright 2006 P.G. Publishing Co.
,methane,scientist,deposit,hydrate,world,find,discover,undersea,freeze,coast,estimate,around,volcano,gas,mining,whether,harness,potential,energy,source,unknown,recent,grow,interest,tap,crystals,form,low,temperature,high,pressure,seabed,permafrost,trap,previously,know,reservoir,globe,power,century,technology,mine,prove,elusive,newly,believe,substantial,size,mile,depth,"2,600",foot,summit,mud,conduct,unrelated,study,across,sit,top,active,fault,zone,discovery,detailed,february,issue,journal,ecosystem,surround,site,unlike,vast,seashell,clam,unique,chemical,characteristic,suggest,area,experience,extreme,flux,mixing,water,marine,geologist,additional,technical,problem,stand,way,probably,difficult,proximity,shipping,lane,worry,environmental
,7,6,6,5,3,3,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"February 10, 2006 Friday",243 of 295 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),REVAMPED SEDANS OFFER A SPARK,"Bob Plunkett, New Car News",TABS; Pg. D-25,,690 words,,,"February 15, 2006",ENGLISH,,,PHOTO: PHOTO COURTESY OF NEW CAR NEWS: The 2006 Jetta sedan features a brash face with a chrome grille flanking oversized corner lamps.,,,Newspaper,Copyright 2006 P.G. Publishing Co.
,hp,2006,engine,automatic,new,six_speed,VW,vw,model,sedan,passat,system,standard,powertrain,plus,style,suspension,cabin,contain,traction,vr6,direct,injection,manual,equipment,gti,seat,five_speed,jetta,brash,luxury,gear,along,air,around,shifter,tiptronic,touar,wheel,optional,base,plant,design,car,class,body,room,2.0t,add,fuel,200,transmission,uplevel,trim,feature,face,grille,line,windshield,compact,150,hatchback,gls,go,heat,mid_size,Phaeton_V8,Phaeton_W12,Tiptronic,five_door,Passat,five_seat,Jetta,five_cylinder,four_pack,ESP,three_door,GTI,revamp,larger,packing,sparky,volkswagen,amount,limousine,stretch,wheelbase,aboard,4motion,xenon,headlight,interior,climate,temperature,controls,navigation,deluxe,digital,audio
,11,6,6,6,6,6,6,5,5,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"February 10, 2006 Friday",244 of 295 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),GERMAN AUTOMAKER KNOWNFOR UNSURPASSED PERFORMANCE,"Bob Plunkett, New Car News",TABS; Pg. D-3,,862 words,,,"February 15, 2006",ENGLISH,,,PHOTO: PHOTO COURTESY OF NEW CAR NEWS: BMW's new 330i sedan includes a revamped six-cylinder engine.,,,Newspaper,Copyright 2006 P.G. Publishing Co.
,sedan,new,hp,BMW,car,coupe,wagon,convertible,model,include,engine,530,power,2006,sport,performance,plus,750,li,760,plant,control,line,engines,version,body,4.4,360,automatic,manual,bmw,525,system,x5,AWD,vehicle,bring,equipment,project,expand,deliver,powertrain,aboard,start,stop,button,steering,pavement,three,xi,variable,215,255,550i,325,add,rear,go,movement,massive,base,3.0,cargo,compartment,device,front,traction,mechanism,bay,six_speed,mid_size,five_door,RWD,in_line_six,four_door,six_cylinder,compact_class,xDrive,build,incomparable,machine,extensive,station,several,mark,luxury,powerful,stretch,sophisticated,electronics,govern,production,stability,dazzling,interactive,voice,command,operating,navigation
,11,11,11,10,9,7,7,7,6,6,6,6,5,5,5,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"March 12, 2006 Sunday",250 of 295 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),"BYE BYE, DUBAI; ON PORT SECURITY, THE PRESIDENT IS HOIST ON HIS OWN PETARD",,EDITORIAL; Pg. H-3,,873 words,,,"March 15, 2006",ENGLISH,,,,,,Newspaper,Copyright 2006 P.G. Publishing Co.
,company,port,American,never,U.S.,president,foreign,time,country,include,we,back,have,work,number,fear,security,every,public,national,else,run,UAE,Lesson,give,moment,manage,deal,lot,seem,management,business,largely,cargo,sale,firm,own,may,die,controversy,right,force,take,life,mo,bush,party,world,turn,ally,need,long,hard,independent,base,especially,almost,nothing,interest,increasingly,trump,investment,away,election,United_Arab_Emirates,Bush,Dubai,Capitol_Hill,go_it_alone,think,blow,face,many,member,along,rest,notice,utter,peep,drop,terminal,lack,sufficient,profit,withdrawal,leave,field,handle,percent,become,clear,six,government,erupt,objection,furious,finally,agree,carve
,8,7,6,5,5,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"March 20, 2006 Monday",251 of 295 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),LOOSE USAGE,SCOTT H. KARAVLAN Shaler,EDITORIAL; LETTERS TO THE EDITOR; Pg. B-6,,173 words,,,"March 20, 2006",ENGLISH,,,,,,Newspaper,Copyright 2006 P.G. Publishing Co.
,personality,joke,multiple,feel,misconception,disorder,schizophrenics,march,brew,grant,comic,strip,character,make,goosebump,schizophrenic,suggest,due,recent,sudden,climate,change,area,mean,witty,worth,correct,common,dissociative,new,people,develop,usually,bear,neglect,childhood,abuse,funniest,subject,diagnose,display,erratic,personal,behavior,delusion,hallucination,loss,contact,reality,breakdown,communication,inappropriate,emotion,hebephrenic,take,identity,famous,individual,suffer,local,high,school,psychology,teacher,fan,include,disservice,point,h.,karavlan,shaler,Rob_Rogers,Pittsburgh,Multiple_Personality_Disorder,Mr._Rogers,long_lived,SCOTT
,3,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"April 15, 2006 Saturday",258 of 295 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),RUMSFELD HAS 'FULL SUPPORT' OF BUSH ON WAR; EX-GENERALS CRITICIZE DEFENSE SECRETARY,"PETER BAKER AND JOSH WHITE, THE WASHINGTON POST",NATIONAL; Pg. A-1,,1003 words,WASHINGTON,,"April 18, 2006",ENGLISH,,,,,,Newspaper,Copyright 2006 P.G. Publishing Co.
,Mr._Bush,military,retire,secretary,general,Iraq,Mr._Rumsfeld,president,make,offer,leadership,war,support,defense,rumsfeld,recent,public,officer,speak,vote,criticism,step,go,former,try,time,gen,way,think,Bush,call,unusual,statement,issue,mo,commander,decision,presidency,serve,poll,administration,political,act,leave,aide,resignation,view,thousand,disagree,change,forward,gen.,van,command,group,feel,obligation,policy,important,within,have,good,believe,nothing,gain,Pentagon,Rumsfeld,White_House,U.S.,United_States,interrupt,vacation,unequivocal,confidence,amid,chief,resign,already,weekend,directly,debate,performance,strong,clear,keep,embattle,separately,declare,firsthand,rely,upon,field,best,complete,mission,fight,terrorist,transform,energetic
,10,9,8,7,7,7,6,5,5,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"June 6, 2006 Tuesday",278 of 295 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),SUPREME COURT TO RULE ON PUBLIC SCHOOL RACE PLANS,"LINDA GREENHOUSE, THE NEW YORK TIMES",NATIONAL; Pg. A-6,,870 words,WASHINGTON,,"June 6, 2006",ENGLISH,,,,,,Newspaper,Copyright 2006 P.G. Publishing Co.
,school,court,plan,case,decision,Supreme_Court,system,new,Louisville,balance,race,appeal,student,percent,trial,Seattle,maintain,take,account,challenge,racially,law,upheld,debate,action,o',least,justice,seek,federal,parent,order,time,defendant,agree,rule,measure,public,use,racial,eventual,whether,area,country,accept,ky,segregate,pattern,choice,decide,transfer,application,within,conscious,write,con,nor,affirmative,unlikely,set,difference,district,try,issue,change,january,involved,review,apply,kindergarten,require,black,high,deviate,seven,charge,judge,begin,U.S.,University,Michigan,Justice,may,individual,affect,hundred,segregation,never,official,widespread,due,residential,offer,variation,approach,common,legal,attack,around
,15,12,12,9,7,6,5,5,5,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"June 15, 2006 Thursday",279 of 295 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),"WILD THINGS; DOES YOUR KITCHEN FEEL LIKE A ZOO? TAKE A PEEK AT THE REAL THING. THERE, COOKS CAN'T MONKEY AROUND.","Marlene Parrish, Pittsburgh Post-Gazette",FOOD; Pg. F-1,,2162 words,,,"June 16, 2006",ENGLISH,,,"PHOTO: John Beale/Post-Gazette: Rocky, a Kodiak bear at the Pittsburgh Zoo & PPG Aquarium, devours a cantaloupe. \ PHOTO: John Beale/Post-Gazette: Zookeeper Suellen Stanley feeds a grape to Dweezil, a mandrill. In the dish are Cheerios. \ PHOTO: John Beale/Post-Gazette: Fruit treats for Kodiak bears, prepared by handlers at the zoo. \ PHOTO: John Beale/Post-Gazette: Juma, male lion at the Pittsburgh Zoo, gets excited as he sees a horse bone. Once a week the lions get this particular treat, and the gnawing is good for their teeth. \ PHOTO: John Beale/Post-Gazette: Elephant keeper Willie Theison says that the elephants at the Pittsburgh Zoo & Aquarium will take hay that is too dry and soak it in water to make it palatable. Above, Tasha, a female elephant, digs in.",,,Newspaper,Copyright 2006 P.G. Publishing Co.
,eat,food,animal,zoo,elephant,meal,keeper,people,every,love,lion,diet,bear,fish,treat,kitchen,primate,produce,rhino,give,commissary,species,feed,prep,take,go,cat,family,make,special,buy,pound,big,tiger,good,habitat,work,branch,hay,tree,bring,mo,meat,ms.,foot,ms,brown,yogurt,social,call,three,well,biscuit,bag,cooler,little,small,week,leopard,stock,herring,sea,teach,baby,need,chew,tooth,toss,candy,know,run,horse,whole,occasional,rabbit,young,exhibit,look,giraffe,stanley,mandrill,Squirt,never,think,eater,grocery,roughly,sometimes,four,time,ton,human,lot,formulate,set,gorilla,group,consist,potatoe
,21,18,16,13,12,11,10,9,8,8,8,7,7,7,7,6,6,6,6,6,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"June 27, 2006 Tuesday",283 of 295 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),DIVIDED TOP COURT UPHOLDS KANSAS DEATH PENALTY LAW,"GINA HOLLAND, THE ASSOCIATED PRESS",NATIONAL; Pg. A-7,,526 words,WASHINGTON,,"June 27, 2006",ENGLISH,,,,,,Newspaper,Copyright 2006 P.G. Publishing Co.
,death,law,justice,rule,case,court,capital,punishment,write,penalty,decision,attorney,guarantee,Kansas,fairness,call,break,end,later,decide,state,sentence,defendant,evidence,impose,majority,liberal,measure,find,murder,trial,choice,constitutional,counsel,accuse,whether,administration,combat,Justice_Alito,upheld,splinter,reveal,deep,division,among,tie,argue,twice,o',con,nor,still,spring,deadlock,wrap,work,week,five,remain,take,summer,outcome,much,debate,unique,eight,row,inmate,execute,anyone,jury,die,rather,serve,life,prison,equal,clarence,thomas,conservative,precedent,establish,enjoy,range,discretion,h.,souter,lead,doubtful,obtuse,moral,social,overturn,violate,protection,cruel,unusual,support,addition
,8,7,7,6,6,6,4,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"July 18, 2006 Tuesday",287 of 295 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),SUMMIT TURNS TO TRADE AT END,"DAVID HOLLEY AND JAMES GERSTENZANG, LOS ANGELES TIMES",WORLD; Pg. A-4,,534 words,"STRELNA, Russia",,"July 18, 2006",ENGLISH,,,,,,Newspaper,Copyright 2006 P.G. Publishing Co.
,trade,leader,talk,statement,president,energy,world,lower,make,nation,develop,much,farm,effort,do,issue,United_States,EU,end,tariff,easier,market,summit,group,session,five,country,agriculture,region,among,subsidy,import,recent,doha,round,ago,break,sunday,negotiator,try,achieve,decision,political,card,pocket,support,gather,agree,security,Brazil,Russia,meeting,seek,energize,international,intend,sell,product,lead,industrialize,hold,suburb,conclude,final,major,participate,give,opportunity,balance,discussion,deadlock,need,industry,different,bring,split,key,progress,cut,reduce,barrier,industrial,service,complete,begin,capital,name,week,call,hope,breakthrough,organization,member,within,wrap,deal,speak,committed,successful
,6,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"August 7, 2006 Monday",289 of 295 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),"ART DOESN'T PAY THE BILLS; ARTISTS FORCED TO SEEK HELP WITH FINANCES, HEALTH CARE",Dave Carpenter,BUSINESS; WORKZONE; Pg. A-9,,545 words,,,"August 7, 2006",ENGLISH,,,"PHOTO: Brian Kersey/Associated Press: Andrew Falkowski, seen above and below in the basement studio at his home in Lake Forest, Ill., is a struggling artist. Mr. Falkowski and his wife have a combined five art degrees and six figures in debt. PHOTO: (No caption)",,,Newspaper,Copyright 2006 P.G. Publishing Co.
,artist,art,financial,work,plan,health,organization,week,offer,group,trust,service,might,six,many,insurance,income,found,nonprofit,lot,give,individual,exchange,director,money,project,New,York_based,think,debt,make,meet,teach,job,finances,another,institution,try,help,time,among,creative,career,still,large,receive,ms,bernard,note,grant,country,exhibition,venture,contribute,provide,security,sell,manage,need,future,join,grounding,capital,support,workshop,really,system,play,eight,something,Van_Gogh,self_employed,part_time,Artist_Pension_Trust,Los_Angeles,New_York,struggle,use,fact,worse,easy,understand,suburban,resident,wife,combine,five,degree,figure,simply,break,"100,000",falkowski,text,painting,weekdays,medical,receptionist,end
,24,9,9,6,6,5,5,5,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"August 21, 2006 Monday",293 of 295 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),MCCAIN BUILDING 2008 LINKS WITH BUSH TO SCARE OFF RIVALS,"JOHN M. BRODER, THE NEW YORK TIMES",NATIONAL; Pg. A-5,,814 words,WASHINGTON,,"August 22, 2006",ENGLISH,,,,,,Newspaper,Copyright 2006 P.G. Publishing Co.
,McCain,Mr._McCain,president,Mr._Bush,bush,adviser,campaign,republican,fundraiser,effort,2008,presidential,candidate,sen,strategist,policy,draw,supporter,mo,potential,party,political,may,2000,current,Virginia,build,backer,rival,schedule,include,loyalty,action,committee,long,nomination,succeed,position,mr.,mccain,war,run,conservative,among,money,ideological,sign,line,former,father,cell,phone,closer,politically,support,none,go,terrorism,Mr.,Republican_Party,Bush,lock,cast,expert,donor,methodical,machine,despite,sometimes,rocky,history,man,woo,diverse,lineup,scare,augment,travel,behalf,around,country,trip,week,next,fuel,fundraising,operation,help,throughout,doling,"800,000",start,last,hopeful,likewise,widely,judge,along,assemble
,10,10,9,7,6,6,5,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
