PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
"November 11, 2000, Saturday",1 of 302 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),NATIONS DISCUSS PROPOSALS ON KYOTO GREENHOUSE TREATY,"H. JOSEF HEBERT, THE ASSOCIATED PRESS","NATIONAL, Pg. A-10",,969 words,WASHINGTON --,,"November 12, 2000",ENGLISH,,,,,,,Copyright 2000 P.G. Publishing Co.
,treaty,U.S.,country,emission,reduction,greenhouse,target,carbon,kyoto,make,cut,credit,Kyoto,climate,may,gas,meet,week,percent,achieve,trading,land,administration,world,change,view,oppose,industrial,1990,economic,insist,proposal,*,pollution,already,use,half,environmental,negotiator,cost_effective,critical,cost,craft,discussion,next,become,nation,state,head,interview,take,additional,president,shift,accord,opposition,negotiate,fossil,fuel,level,many,require,energy,include,power,plant,buy,forest,agricultural,management,official,way,loophole,without,domestic,virtually,ton,european,strongly,deal,seek,go,free,Bush,heat_trapping,United_States,prepare,probably,contentious,global,warming,talk,warning,agree,three,ago,fall,apart,reduce
,mayor,San_Francisco,christopher,Mr._Christopher,city,mo,man,leader,Brown,Giants,United_States,Khrushchev,former,national,baseball,serve,republican,life,politics,elect,include,international,president,million,stadium,term,meet,rule,later,dairy,Communist,recognition,persuade,team,move,west,die,friday,stroke,roughh,son,vendor,grow,tough,south,area,1956,1964,characteristic,bluntness,last,goodbye,1966,defeat,gubernatorial,nomination,prepare,statement,willie,suffer,monumental,loss,dear,friend,deeply,miss,order,flag,fly,half,staff,throughout,nov,1955,margin,democrat,support,four,lead,newspaper,expand,airport,revitalize,financial,district,political,force,behind,construction,near,chilly,shore,interview,1957,convinced,san,francisco,climate,love
,7,7,4,4,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"November 4, 2000, Saturday",252 of 302 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),U.S. JURY CLEARS GENERALS IN EL SALVADOR KILLINGS,"DAVID GONZALEZ, THE NEW YORK TIMES","WORLD, Pg. A-3",,935 words,"WEST PALM BEACH, Fla. --",,"November 4, 2000",ENGLISH,,,,,,,Copyright 2000 P.G. Publishing Co.
,general,murder,control,do,relative,el,salvador,abuse,troops,woman,victim,American,jury,retire,responsibility,member,1980,verdict,trial,war,order,go,responsible,act,command,happen,lawyer,military,case,report,National_Guard,four,churchwoman,national,guard,court,man,anything,life,1992,juror,deliberation,give,era,effective,investigation,issue,defense,doctrine,know,involved,take,step,determine,sister,file,law,people,human,rights,killing,note,introduce,policy,point,cable,implicate,Ita,U.S.,federal,clear,salvadoran,abduction,rape,country,prevent,crime,shocked,friend,sit,relive,anguish,listen,gruesome,account,violence,chaos,sweep,civil,claim,"75,000",end,describe,emotional,almost,churchlike,atmosphere,find,curb
,12,7,6,5,5,5,5,5,5,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"November 16, 2000, Thursday",254 of 302 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),CREDIBILITY GAP: WHERE'S GAP'S FASHION LEADERSHIP?,"ANNE D'INNOCENZIO, THE ASSOCIATED PRESS","BUSINESS, Pg. E-8",,823 words,NEW YORK --,,"November 16, 2000",ENGLISH,,,,,,,Copyright 2000 P.G. Publishing Co.
,Gap,fashion,analyst,sale,gap,store,company,look,fall,many,division,believe,percent,purple,turn,chain,pants,three,past,brand,earning,decline,Banana_Republic,Old_Navy,hot,fix,know,style,else,problem,already,shopper,lose,struggle,management,old,navy,next,merchandise,move,execute,predict,last,least,fill,co.,president,executive,quickly,make,time,big,offer,leather,go,need,good,recent,official,Hennes,Mauritz,same_store,flagship,may,tout,pink,chunky,sweater,fleece,vest,seem,interest,walk,use,express,everybody,longer,source,trendy,item,buy,jeans,indifference,serious,whose,strong,reputation,boost,khaki,cargo,late,1990,favor,largely,leadership,sluggish,unit,take,step
,12,9,8,7,6,5,5,5,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"December 18, 2000, Monday",257 of 302 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),ONE OF BUSH'S BEST AND BRIGHTEST,"NORMAN KEMPSTER, LOS ANGELES TIMES","NATIONAL, Pg. A-10",,874 words,WASHINGTON,,"December 19, 2000",ENGLISH,,,,,,,Copyright 2000 P.G. Publishing Co.
,Rice,rice,adviser,father,secretary,foreign,White_House,Bush,Soviet,national,career,1991,work,state,college,professor,chief,government,music,family,University,Denver,life,choice,security,may,world,time,administration,set,senior,director,1989,former,provost,combination,officer,experience,intellectual,tell,interviewer,democrat,president,campaign,policy,system,program,popular,mother,black,class,become,racial,new,international,relation,foreign_policy,Soviet_Union,United_States,anti_missile,Stanford,spend,whole,far,youngest,smartest,person,almost,room,george,w.,bush,face,toughest,challenge,manage,agenda,remain,superpower,rapid,global,change,think,great,job,personality,background,start,powerful,credential,staff,closely,dick,cheney,vice,gen,colin,l.,powell
,11,9,5,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"April 18, 2000, Tuesday",262 of 302 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),"WORLD TRADE PROTESTERS COME UP SHORT, SOAKED THIS TIME","ANN MCFEATTERS, POST-GAZETTE NATIONAL BUREAU","NATIONAL, Pg. A-3",,1034 words,WASHINGTON --,,"April 18, 2000",ENGLISH,,,,,,,Copyright 2000 P.G. Publishing Co.
,protester,many,world,bank,protest,arrest,Washington,police,know,demonstrator,message,people,sunday,debt,country,turn,fail,downtown,organization,young,poor,group,peaceful,student,thousand,ask,block,spring,band,goal,meeting,keep,give,loan,environment,worker,activist,determine,organizer,walk,life,include,take,rally,staff,march,war,forgiveness,money,market,government,nation,thing,riot,total,warm,seem,try,crowd,street,gear,college,important,Seattle,AIDS,Pittsburgh,Thomas_Merton_Center,battle,storm,chill,drench,eager,raise,consciousness,pitfall,global,finance,find,foothold,express,outrage,rove,achieve,state,shut,financial,washingtonian,away,office,tourist,something,ogle,drive,home,contempt,somewhat,mysterious,americans,unfamiliar
,13,10,8,6,6,6,6,5,5,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"October 23, 2000, Monday",266 of 302 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),NEWSMAKER/ALBERT FONDY PFT HEAD MORE THAN 'UNION TO THE CORE',"CARMEN J. LEE, POST-GAZETTE EDUCATION WRITER","METRO, Pg. A-12",,1180 words,,,"October 23, 2000",ENGLISH,,,,,,,Copyright 2000 P.G. Publishing Co.
,Fondy,union,school,district,teacher,president,work,know,city,member,official,make,teach,strike,Campbell,education,mother,take,become,labor,table,many,agree,leader,issue,help,bid,care,million,right,always,job,case,vice,represent,detail,try,PFT,Pennsylvania,bargaining,long,have,mold,people,good,still,example,health,coverage,eventually,lead,proposal,face,deficit,receive,add,financial,support,problem,thing,college,ethic,math,later,move,include,organize,1967,form,give,go,1976,stoppage,1980,side,executive,director,risk,public,knowledge,attention,contract,whether,improve,allow,management,Pittsburgh_Federation,Trafford,Teachers,Pittsburgh,Pennsylvania_Federation,Fellers,core,attorney,describe,sit,across,night,past
,23,15,13,11,11,10,9,7,6,5,5,5,5,5,5,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1
"May 9, 2000, Tuesday",273 of 302 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),"DEAR GOV. BUSH: GEN. POWELL'S YOUR MAN; BE NICE TO MCCAIN, BUT PICK A WINNER FOR VP",PAUL KENGOR,"EDITORIAL, Pg. A-21",,943 words,,,"May 12, 2000",ENGLISH,,,"DRAWING, DRAWING: Powell could be a power veep",,,,Copyright 2000 P.G. Publishing Co.
,president,vice,Powell,foreign,presidency,policy,foreign_policy,state,active,need,secretary,bush,ticket,issue,among,factor,Gore,Truman,Bush,remain,next,make,matter,better,yet,history,never,role,significant,affair,change,true,may,Bush_Powell,week,speculation,w.,possibility,despite,poll,show,favor,conservative,bring,hook,offer,powell,contrary,wreath,activity,four,international,far,veep,global,vital,become,take,member,least,experience,serve,much,consult,still,open,win,able,duty,George,Bush_McCain,Republican,White_House,FDR,Clinton,have,couple,today,meeting,subsequent,recent,general,public,party,dream,2000,sure,certain,qualm,stem,stance,social,believe,team,vastly,superior,pat,robertson,underscored
,30,24,11,10,8,8,8,7,6,5,5,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"March 30, 2000, Thursday",280 of 302 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),GLOBAL PANACHE; THE HUMBLE PANCAKE MAKES ITSELF AT HOME AROUND THE WORLD,"KRISTIN EDDY, CHICAGO TRIBUNE","FOOD, Pg. E-8",,1377 words,,,"March 31, 2000",ENGLISH,,,"PHOTO (2), PHOTO: Bob Fila/Chicago Tribune: Puffy Oven Pancake bakes up; beautifully, creating a natural bowl for the season's best fruits -- and a; sprinkling of powdered sugar.; PHOTO Bob Fila/Chicago Tribune: (No caption)",,,,Copyright 2000 P.G. Publishing Co.
,pancake,batter,cup,gram,crepe,sugar,pan,bean,minute,flour,cook,egg,teaspoon,butter,fill,heat,salt,tablespoon,pork,side,place,oil,cheese,mg,vegetable,make,milk,shrimp,pound,medium,bowl,skillet,cover,remain,serve,sour,dosa,rice,bread,oven,adapt,remove,repeat,large,per,well,know,much,cream,top,fish,dry,country,people,think,hot,thin,taste,use,coconut,golden,sprout,water,farmer,note,mix,pour,edge,fold,blint,mixture,yield,nutrition,information,calory,carbohydrate,fat,cholesterol,protein,sodium,fiber,mung,slice,blend,food,add,medium_high,tender,griddlecake,begin,reflect,roll,buckwheat,crisp,typically,sprinkle,squeeze,lemon,book
,22,16,14,12,11,11,11,10,10,9,9,9,9,8,8,8,8,8,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2
"February 19, 2000, Saturday",284 of 302 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),"PSO, GUITARIST MAKE UP FOR CONDUCTOR'S DEFICIENCIES","ANDREW DRUCKENBROD, POST-GAZETTE CLASSICAL MUSIC WRITER","ARTS & ENTERTAINMENT, Pg. C-6, CONCERT REVIEW",,392 words,,,"March 2, 2000",ENGLISH,,,,,,,Copyright 2000 P.G. Publishing Co.
,orchestra,work,PSO,Ohga,night,parkening,evening,know,business,question,conduct,well,ohga,eroica,musica,play,edge,many,way,test,level,usually,height,reach,occasionally,case,last,criterion,depth,avoid,exception,guitarist,christopher,fiery,rendition,concierto,de,concert,usual,standard,have,worse,rally,despite,general,lack,direction,guest,conductor,direct,realm,chairman,yes,billion,global,electronics,entertainment,juggernaut,brilliant,man,skilled,leader,without,sort,life,preclude,training,need,musical,talent,professional,singer,youth,clearly,repertory,include,per,backward,forward,difficulty,relay,group,form,gesture,indicate,entrance,dynamics,expressiveness,orchestras,flounder,circumstance,show,mettle,darting,eye,flash,section,member,look
,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"March 28, 2000, Tuesday",286 of 302 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),"CAJUN PEACEMAKIN'; INSIDE THE MIND OF JAMES CARVILLE, THE ULTIMATE FRIEND OF BILL AND HILL",WILLIAM SAFIRE,"EDITORIAL, Pg. A-21",,704 words,WASHINGTON,,"March 28, 2000",ENGLISH,,,,,,,Copyright 2000 P.G. Publishing Co.
,Israel,billion,Ehud,way,deal,elect,hillary,al,Syria,U.S.,election,phase,sell,campaign,event,Arafat,Congress,know,plan,legacy,help,mean,every,ol,hafez,tell,referendum,summer,go,couple,buck,pay,promise,defense,move,new,peace,set,time,can,use,october,shovel,embassy,have,capital,name,enough,prize,son,Golan,Palestinian,Jerusalem,president,greatest,loyalist,author,stickin,thunk,top,pope,tour,summit,budge,everyone,tough,nut,crack,credit,future,leg,speak,global,experience,late,spring,close,blinkin,inch,golan,hill,return,host,armored,brigade,boy,plus,frenchy,front,line,forever,access,spy,satellite,handshake,already,israelis,to,financial
,7,6,5,4,4,4,4,4,4,4,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"June 21, 2000, Wednesday",288 of 302 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),'MUSIC AND PASSION' 'N' 'AT,CHRISTOPHER RAWSON,"ARTS & ENTERTAINMENT, Pg. E-2, ON STAGE",,692 words,,,"June 21, 2000",ENGLISH,,,,,,,Copyright 2000 P.G. Publishing Co.
,review,copacabana,show,shakespeare,never,write,musical,start,mean,have,production,room,sell,give,we,good,hope,think,anything,let,tour,lead,move,take,go,find,island,open,theater,next,forest,center,end,set,great,Barry_Manilow,CLO,Anna_Karenina,Bitz_Building,Chekhov,ok,enthusiastic,preview,either,tweet,foul,wrong,lot,hand,contrary,comedy,department,monday,account,friend,pok,chest,demand,course,usually,descriptive,intelligent,fair,manage,rave,provide,whatever,can,make,better,worse,still,occasion,mix,might,prove,useful,silly,enough,producer,respect,marketing,device,continue,tweak,head,far,detect,three,native,pittsburgher,connect,beside,staff,drummer,son,program,effective,light
,6,6,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"September 28, 2000, Thursday",290 of 302 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),HOW ABOUT IT? OLYMPICS 2020 IN PITTSBURGH?,"CHUCK FINDER, POST-GAZETTE SPORTS WRITER","SPORTS, Pg. A-1",,1269 words,,,"September 28, 2000",ENGLISH,,,,,,,Copyright 2000 P.G. Publishing Co.
,olympic,bid,million,Pittsburgh,city,2012,host,stadium,need,fu,think,game,new,committee,billion,government,event,area,track,use,center,summer,baltimore,washington,fall,hotel,require,venue,tennis,tournament,state,site,another,room,USOC,Roddey,podium,make,sport,open,build,field,serious,time,leave,mayor,sit,spokesman,possible,mention,"100,000",eight,submit,proposal,plan,select,2002,2020,thing,place,way,go,start,far,away,we,soccer,facility,home,basketball,table,people,know,official,construct,much,2008,project,already,organizer,transportation,plus,fund,expect,1996,well,many,award,include,marketing,meet,feasibility,study,Atlanta,Pitt,Cincinnati,Dallas,San_Francisco,IOC
,16,10,9,8,7,7,7,7,7,6,6,5,5,5,5,5,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"November 12, 2000, Sunday",292 of 302 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),NO HEADLINE,,"ARTS & ENTERTAINMENT, Pg. G-12",,677 words,,,"November 12, 2000",ENGLISH,,,,,,,Copyright 2000 P.G. Publishing Co.
,product,natural,cedar,body,skin,p.m.,call,woman,people,Downtown,benefit,show,ticket,table,available,information,shopping,organization,need,beauty,shoe,friday,saturday,make,cucumber,grapefruit,lavender,fragrance,special,three,clarin,launch,serum,lotion,moisturize,contain,vitamin,pleasing,tree,moth,alternative,chemical,item,cedarwood,pesticide,Kaufmann,Renew_Plus,Pittsburgh,annual,nov,cocktail,dinner,750,"1,500",holiday,entertaining,nonprofit,family,wednesday,bottom,nine,floor,entertainment,refreshment,fashion,home,demonstration,door,prize,include,"1,000",spree,trip,ecco,man,child,boot,feature,5850,forb,ave,raincoat,shearling,outerwear,thursday,w.,herrmann,furs,634,smithfield,st,kiehl,company,bath,149,offer,scent,candle,burn
,6,6,5,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"December 5, 2000, Tuesday",293 of 302 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),PHOTOS OF MARS FUEL THEORY OF WATERY PLANET,"ROBERT COOKE, NEWSDAY","SCIENCE, MEDICINE, TECHNOLOGY, Pg. A-16",,494 words,,,"December 6, 2000",ENGLISH,,,"PHOTO, PHOTO: Reuters: Photos such as this one lead scientists to believe; that the planet Mars may have been a land of lakes in its earliest period,; with Earthlike layers of sedimentary rock that could contain fossils of; possible Martian life.",,,,Copyright 2000 P.G. Publishing Co.
,water,Mars,planet,sign,life,surface,mar,scientist,feature,layer,idea,new,evidence,yet,announce,space,may,report,detailed,photo,significant,discovery,ago,possibility,wet,around,way,think,long,chance,Malin,Pasadena,strongest,awash,upping,odd,arise,distant,red,publish,friday,journal,science,researcher,scan,sedimentary,deposit,suggest,work,shape,stark,alternative,scenario,wind,meteor,impact,create,geological,billion,consider,exotic,less,likely,another,combination,phenomena,history,send,back,earth,surveyor,spacecraft,orbit,september,1997,highly,successful,mission,far,return,ten,thousand,image,cold,barren,use,altimeter,measure,height,prepare,specialist,colleague,private,research,company,speak,news,conference,calif
,7,7,6,4,4,4,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
