PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
"June 5, 2002 Wednesday",8 of 291 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),BUSH SPURNS REPORT ON CLIMATE CHANGE;  SAYS HE REMAINS OPPOSED TO KYOTO TREATY,"KATHARINE Q. SEELYE, THE NEW YORK TIMES","SCIENCE, MEDICINE, TECHNOLOGY, Pg.A-2",,637 words,WASHINGTON,,"June 8, 2002",ENGLISH,,,,,,,Copyright 2002 P.G. Publishing Co.
,report,Bush,change,conservative,global,president,administration,warming,call,spokesman,climate,environmental,United_States,distance,next,decade,response,put,still,treaty,greenhouse,gas,political,industry,view,uncertainty,science,prediction,go,accept,without,something,approach,United_Nations,Kyoto,Whitman,intense,criticism,conclude,human,blame,effect,environment,draft,review,several,agency,send,friday,substantially,although,rapid,reporter,ask,read,bureaucracy,oppose,ratify,mandatory,reduction,industrial,nation,critic,across,spectrum,try,appear,moderate,environmentalist,signal,promote,contain,emphasize,carry,numerous,caveat,exist,ari,fleischer,obviously,anticipate,question,daily,briefing,considerable,recent,relate,submit,recognize,definitive,potential,outcome,yet,feasible,weakest,link,knowledge,connection,regional
,15,15,14,14,13,12,11,11,11,10,10,10,9,9,9,8,8,8,8,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3
"October 17, 2002 Thursday",218 of 291 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),"SECTION: BUSINESS, Pg.C-16 EARNINGS",,,,764 words,,,"October 18, 2002",ENGLISH,,,,,,,Copyright 2002 P.G. Publishing Co.
,cent,share,million,per,billion,ago,percent,third_quarter,loss,quarter,earning,income,vs.,sale,analyst,net,dilut,exclude,company,rise,forecast,report,Thomson_First_Call,earn,profit,consensus,survey,result,charge,business,fall,revenue,Allegheny_Technologies,one_time,year_ago,Coca_Cola,post,7.5,economy,item,line,expense,increase,ford,motor,related,latest,accord,2.1,national,city,corp,Wall_Street,Ford,Revenue,specialty,metal,producer,blame,weak,reflect,3.4,previously,announce,plan,eliminate,340,employee,include,estimate,469.3,chief,executive,officer,jim,murdy,tell,condition,remain,difficult,potential,weaken,fourth,really,know,stock,market,problem,add,woe,record,pension,5.4,reduce,10.1,laser,product,fiscal,despite
,34,32,23,16,16,10,9,8,7,7,7,7,7,6,6,6,6,5,5,5,5,5,5,4,4,4,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"October 22, 2002 Tuesday",221 of 291 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),PROFITABLE U.S. STEEL TOPS FORECAST,"LEN BOSELOVIC, POST-GAZETTE STAFF WRITER","BUSINESS, Pg.E-6",,454 words,,,"October 22, 2002",ENGLISH,,,,,,,Copyright 2002 P.G. Publishing Co.
,share,percent,per,cent,rise,analyst,market,higher,price,domestic,mill,million,billion,rally,earning,expectation,U.S._Steel,Slovak,report,second,profit,shipment,income,vs.,jump,quarter,forecast,still,penny,stock,time,executive,investor,sharp,advanced,business,economic,index,consecutive,quarterly,credite,well,net,total,106,1.04,loss,1.91,combine,steelmaker,3.8,ton,sheet,plate,product,output,exclude,item,earn,expect,half,variance,cause,use,much,corporate,tax,rate,pay,think,good,independent,metal,steel,close,12.84,give,recent,stride,watcher,due,significant,short,period,vice,president,co.,important,know,create,equal,bear,tend,enough,turn,sentiment,around,rewarded,company
,7,6,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"November 15, 2002 Friday",224 of 291 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),REED TRIO TO DEBUT AT WAYNESBURG COLLEGE,,"MISCELLANEOUS, Pg.A-14",,754 words,,,"November 15, 2002",ENGLISH,,,,,,,Copyright 2002 P.G. Publishing Co.
,instrument,Rodgers,music,reed,piece,concert,contrabassoon,Waynesburg_College,ensemble,perform,symphony,go,bassoon,trio,composition,write,something,art,form,clarinet,oboe,musician,play,composer,include,wood,bass,reach,range,relatively,rare,add,woodwind,make,orchestra,produce,sound,well,together,century,work,suite,solo,three,vibrate,end,double,best,know,octave,lower,Waynesburg,French,brainstorm,session,lead,area,give,birth,novel,engross,interesting,season,series,associate,dean,student,service,group,corporate,sale,manager,strike,paydirt,send,feeler,approach,bassoonist,possibility,head,debut,better,suggest,eschew,flute,horn,standard,along,quintet,fellow,oboeist,personally,quite,feel,important,chamber,excited,honor,able
,7,7,6,6,6,5,5,5,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"December 1, 2002 Sunday",229 of 291 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),COSTA RICA'S RICHES;  CENTRAL AMERICAN COUNTRY OVERFLOWS WITH TROPICAL DELIGHTS,DR. R.L. ROMANO,"TRAVEL, Pg.C-1",,2190 words,"SAN JOSE, Costa Rica",,"December 3, 2002",ENGLISH,,,"PHOTO: Alisha Blackwood/Associated Press: Costa Rica contains a number of volcanoes among its picturesque vistas. Volcan Arenal spews molten lava and noxious gases several times each day.  PHOTO: Rick Sammon/Associated Press: Just outside of San Jose, Costa Rica's capital, visitors begin to see the natural wonders of the rain forest.  MAP: Post-Gazette: (Costa Rica)",,,,Copyright 2002 P.G. Publishing Co.
,Costa_Rica,many,country,hotel,town,call,San_Jose,theater,visit,live,place,de,several,we,crater,sight,oxcart,volcanoe,mile,woman,room,view,decorate,time,land,present,show,area,drive,make,sky,leave,paint,water,beach,nearly,surround,include,never,people,man,resort,course,downtown,restaurant,trip,coffee,tell,need,although,guest,away,small,choose,spectacular,visitor,vino,tinto,watch,mountain,green,set,every,serve,find,party,evening,Zarcero,Alfonso,Sarchi,colorful,foliage,bird,consider,three,best,world,west,often,palm,variety,except,tica,martino,expensive,per,night,accommodation,around,city,moderately,priced,adequate,complete,amenity,block,public,bar,entertainment
,13,10,9,9,9,8,8,6,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"January 11, 2002 Friday",234 of 291 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),ARGENTINA FREEZES MORE BANK DEPOSITS,"TONY SMITH, THE ASSOCIATED PRESS","BUSINESS, Pg.C-10",,553 words,"BUENOS AIRES, Argentina",,"January 11, 2002",ENGLISH,,,PHOTO: Dario Lopez-Mills/Associated Press: People wait in line to enter the Buenos Aires branch of Lloyds Bank yesterday morning. Argentines lined up at banks yesterday to find that they still couldn't withdraw savings or buy foreign currency after the government delayed lifting banking restrictions.,,,,Copyright 2002 P.G. Publishing Co.
,government,peso,foreign,account,rate,savings,dollar,Argentines,bank,president,lift,exchange,transaction,withdraw,argentine,make,banking,country,along,plan,depositor,least,next,money,check,restriction,ban,must,pay,float,new,official,1.4,place,run,billion,export,business,economy,try,free_market,Argentina,national,finances,crumble,tightened,grip,system,freezing,citizen,effort,keep,limp,juggling,devastate,nation,finally,unveiled,protect,mass,withdrawal,panick,announce,"10,000","3,000",switch,deposit,expect,instead,extend,today,people,smaller,balance,transfer,accord,limit,dec.,yank,single,"1,500","1,000",monthly,extra,"1,200",860,wait,line,downtown,branch,security,guard,earn,570,desperate,need,hand,move,street
,9,7,6,5,5,4,4,4,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"March 23, 2002 Saturday",238 of 291 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),"NOTHING'S SACRED;  IN WAKE OF ENRON, EVEN GE FACES QUERIES FROM ANALYSTS","JOHN CHRISTOFFERSEN, THE ASSOCIATED PRESS","BUSINESS, Pg.A-8",,640 words,"FAIRFIELD, Conn.",,"March 26, 2002",ENGLISH,,,Photo: Jim Mcknight/Associated Press: General Electric Co.'s Chief Executive Jeffrey Immelt is under scrutiny after the collapse of Enron Corp. Analysts have questioned the company's steady earnings through acquisition of companies rather through sound management.,,,,Copyright 2002 P.G. Publishing Co.
,company,ge,commercial,paper,Gross,GE,issue,debt,bond,report,write,marketplace,billion,plan,reduce,earning,capital,line,bank,much,short_term,world,lead,corporation,consistently,strong,profit,challenge,change,fund,proportion,financing,arm,explanation,investor,disclosure,people,thursday,risk,last,terrile,market,use,operation,growth,percent,end,think,longer_term,co.,sit,atop,valuable,estimation,admire,economic,downturn,collapse,unprecedented,scrutiny,pride,face,climate,evident,week,manager,blunt,raising,concern,hold,source,honesty,remain,doubt,head,deny,misleading,note,step,recently,annual,understand,interested,try,provide,spokesman,statement,detailed,reaffirm,next,obviously,adjust,reality,potential,six,g.,vice,president,individual
,11,11,10,10,7,7,6,5,4,4,4,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"April 22, 2002 Monday",240 of 291 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),BUSH ADMINISTRATION HAS EYES ON ANOTHER ALASKA OIL PRIZE,"KIM MURPHY, LOS ANGELES TIMES","WORLD, Pg.A-7",,1059 words,"ANCHORAGE, Alaska",,"May 8, 2002",ENGLISH,,,,,,,Copyright 2002 P.G. Publishing Co.
,oil,reserve,area,Arctic,million,wildlife,NPRA,road,drilling,acre,land,leasing,within,move,refuge,development,ice,BLM,exploration,1999,largest,way,group,administration,open,industry,lease,know,tundra,well,protection,protect,official,recent,mile,resource,equipment,Alaska,North_Slope,ANWR,gas,2004,field,federal,expand,potentially,deposit,sale,4.6,may,complete,study,quantity,much,draft,end,bird,lake,caribou,attention,develop,wild,time,take,nation,count,conservation,part,bear,along,herd,allow,associate,look,activity,logistical,challenge,become,pledge,winter,haul,far,new,operating,Bush,Prudhoe_Bay,Phillips,senate,last,week,reject,quietly,prepare,9.6,pristine,coastal,side,unlike,west
,19,10,8,8,7,7,7,6,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1
"August 11, 2002 Sunday",254 of 291 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),AVIATION INDUSTRY SAYS IT IS IN THE DARK;  INFORMATION SHARING IS A SENSITIVE SUBJECT IN AIR SECURITY,"GREG SCHNEIDER, THE WASHINGTON POST","NATIONAL, Pg.A-10",,1270 words,WASHINGTON,,"August 14, 2002",ENGLISH,,,,,,,Copyright 2002 P.G. Publishing Co.
,intelligence,airport,TSA,information,security,pilot,federal,government,airlines,agency,official,new,U.S.,flight,put,system,secure,director,take,shoe,know,airline,terrorist,threat,allow,tip,office,FAA,use,sensitive,identify,make,complain,access,plan,transportation,push,discuss,unit,staffer,detail,link,passenger,december,reserve,cockpit,carry,part,plane,weapon,warn,never,spokesman,spot,air,nearly,sept,attack,change,budget,screen,share,another,aviation,action,expand,administration,communication,department,gun,right,communicate,instead,traveler,way,oversee,warning,request,vague,we,detailed,source,either,well,already,recently,within,artificial,limb,rent,specific,order,foreign,issue,around,million,circular,send,eight
,15,13,13,12,11,8,8,8,8,7,6,6,6,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"September 17, 2002 Tuesday",261 of 291 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),"HOME NO ASSET HAVEN?;  AFTER CORPORATE SCANDALS, HIDING MILLIONS IN MANSIONS MAY BECOME HARDER","JILL BARTON, THE ASSOCIATED PRESS","BUSINESS, Pg.E-1 THE WORKING LIFE",,646 words,"BOCA RATON, Fla.",,"September 18, 2002",ENGLISH,,,"Photo: Taylor Jones/Associated Press: Former WorldCom chief financial officer Scott Sullivan used his $15 million estate near Boca Raton, Fla., as collateral last month when he posted $10 million bail after his indictment on conspiracy charges. The photo was taken June 28, when the house was under construction.",,,,Copyright 2002 P.G. Publishing Co.
,million,Florida,bankruptcy,home,executive,law,people,keep,debt,estate,file,exemption,declare,use,rule,long,state,touch,corporate,disgrace,take,advantage,provision,much,lawmaker,legislation,abuse,homestead,person,move,professor,chief,charge,creditor,seize,expert,personal,protection,asset,ago,protect,300,way,University,Boca_Raton,Enron,celebrity,pour,magnificent,know,grand,can,recent,string,scandal,might,able,longer,tired,millionaire,liberal,pursue,curb,allege,require,live,claim,goal,famous,buys,huge,force,involuntarily,house,consult,change,someone,oust,financial,officer,lavish,complete,movie,theater,six,jacuzzis,building,arrest,last,falsifying,book,3.8,billion,collateral,bail,unlimited,allow,scramble,everything
,11,9,8,8,5,5,5,4,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"November 30, 2002 Saturday",265 of 291 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),EL NINO BECALMED HURRICANE SEASON;  EXPERTS DON'T EXPECT TO BE LUCKY NEXT YEAR,"PATRICK REYNA, THE ASSOCIATED PRESS","NATIONAL, Pg.A-2",,390 words,MIAMI,,"November 30, 2002",ENGLISH,,,,,,,Copyright 2002 P.G. Publishing Co.
,storm,hurricane,el,nino,four,season,forecaster,expect,tropical,wind,Lili,next,expert,average,eight,activity,weather,six,ashore,three,mph,weaken,forecast,think,United_States,Louisiana,end,today,calmest,five,thank,climate,effect,know,help,though,probably,go,new,begin,july,echoe,concern,potential,killer,quite,ominous,buildup,people,along,coast,produce,dozen,gustav,fewer,develop,less,sept,oct.,cyclone,september,set,monthly,record,deputy,director,suppress,1997,federal,strong,enough,impact,characterize,abnormally,warm,sea,surface,central,equatorial,result,increase,evaporation,rise,air,current,affect,overhead,steer,movement,despite,northern,plentiful,deadliest,powerful,however,make,landfall,strike,oct
,9,5,5,5,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"April 9, 2002 Tuesday",269 of 291 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),"AS COLLAPSE OF ENRON SHOWS, SUCCESS IN THE NEW ECONOMY CAN BE FLEETING;  SPEED OF INNOVATION CAN QUICKLY MAKE A GOOD IDEA OBSOLETE","GREG IP, THE WALL STREET JOURNAL","BUSINESS, Pg.F-32 THE TOP 50",,2242 words,,,"April 10, 2002",ENGLISH,,,,,,,Copyright 2002 P.G. Publishing Co.
,company,asset,Winstar,technology,value,market,service,debt,building,percent,new,Enron,protection,last,firm,customer,pay,make,network,later,reputation,telecom,intangible,intellectual,broadband,patent,bankruptcy,cent,buy,capacity,business,include,money,find,change,investor,physical,among,corp,use,increase,2000,many,early,profit,drug,lose,1990,fiber,local,phone,often,bid,winstar,world,sell,antennas,today,property,speed,produce,collapse,whose,fall,consider,dollar,factor,rapid,accord,investment,hard,away,gas,instead,go,signal,skilling,valuable,bear,develop,lab,stock,1980,director,glut,cable,carrier,system,finance,back,subject,wire,EnronOnline,Whitman,IDT,file,billion,city,executive
,31,27,14,12,11,11,10,8,7,7,7,7,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2
"December 15, 2002 Sunday",273 of 291 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),IMAGES ON PAPER MONEY REVEAL A NATION'S PRIORITIES,"DAVID STANDISH, UNIVERSAL PRESS SYNDICATE","TRAVEL, Pg.G-6",,1716 words,,,"December 20, 2002",ENGLISH,,,"Photo: Joshua Dunn/Tony Armour Photography photos: Tough guy Nezahualcoyotl, whose name translates to ""Fasting Coyote,"" is revered in Mexico as a symbol of opposition to tyranny. A formidable warrior, he also was a poet.
Photo: Cover: Australia pays tribute to A.B. ""Banjo"" Patterson, the outback poet who wrote ""Waltzing Matilda."" The handsome cowboy design and a holographic windmill are imprinted on plastic currency.  Photo: Tahiti shows off its island beauty on the back side of a bill showing a lovely native woman complete with blossom in her hair. Colorful fish that play off the coral reefs complete the picture of tropical paradise.",,,,Copyright 2002 P.G. Publishing Co.
,money,currency,note,country,bill,paper,many,world,image,back,local,look,lot,another,new,beach,show,represent,make,may,think,design,tourist,scene,feature,example,current,leader,crane,away,industry,fearless,great,pastime,people,regard,portrait,become,really,simply,euro,Jamaica,Peru,travel,dollar,attention,project,important,special,long,folk,yuan,front,use,wear,woman,tractor,cowboy,perfect,along,tree,practice,undersea,creature,thing,part,agriculture,actually,romance,zoo,parade,guy,present,politician,something,run,face,seem,superimpose,window,truly,quinone,war,piece,dark,ruler,state,vast,father,home,symbol,lovely,depict,fish,recently,winter,essential,progress,favor
,16,14,10,9,9,8,7,7,6,6,5,5,5,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"May 5, 2002 Sunday",279 of 291 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),BREAKING DOWN THE WALLS OF TRADITION,,"SPORTS, Pg.A-1",,2510 words,"ITEN, Kenya",,"May 10, 2002",ENGLISH,"May 10, 2002","In Sunday's first installment of Fast Forward, our series on Kenya's women runners, we understated the number of Olympic medals won since 1968 by Kenyan men at distances between 800 and 10,000 meters. It is 38, not 33.","PHOTO: Martha Rial/Post-Gazette photos: EYING EMILY/Emily Rotich, an aspiring long-distance runner, attracts attention during an afternoon run near Iten, Kenya. In rual Kenya, where women raise kids, tend crops and fetch supplies, It is unusual to see a wonan on foot who isn't carrying something. Emily took a day off from her family farm 18 months ago for the chance to join a unique training camp geared towerd women. Earnings on the women runners are not just making money, they are investing in their nation's future.  PHOTO: A LOT ON THE LINE/Emily Rotich, far right, joins other runners at the start of Kenya's first women-only 10K race, sponsored by Lornah's Kiplagat's High Altitude Training Center in Iten, Kenya. Emily placed third. Some runners could not afford shoes. Strong performances at local races like this one against some of Kenya's best up-and-coming competitors improve a runner's chances of attracting an agent who might sponsor her on the international circut.  PHOTO: TIME FOR HERSELF/Emily has her hair braided for the wonen-only 10K at Lornah's Kiplagat's training camp.  PHOTO: A FINISH LINE/Emily receives congratulations form Peter Langerhorst, Lornah Kiplagat's husband and agent, after finishing eighth in the senior ladies division at one of the biggest cross-country meets in the Rift Valley area. Given the extraordinary talent of the region's runners, eight-place is a fine showing for a young runner like Emily.  PHOTO: DAILY CHORES/Emily scrubs the dining room floor after breakfast at Lornah Kiplagat's training camp. The runners wash their own laundry and divvy up other household tasks.  PHOTO: WORKING OUT/Emily lifts aomemade weights made of tin cans and cement after her morning run.  INFORMATIONAL GRAPHIC: James Hilston/Post-Gazette: (Kenya: No. 1 in long-distance running but near the bottom in social, economic development.",,,,Copyright 2002 P.G. Publishing Co.
,run,Kenya,woman,Kalenjin,runner,family,olympic,Kenyan,man,home,emily,meter,race,camp,world,Keino,kalenjin,distance,way,Emily,tribe,place,international,make,return,road,finish,hero,still,help,foot,begin,school,matatu,Iten,change,rise,morning,call,train,best,become,money,dynasty,1968,"10,000",walk,three,village,drop,build,boy,girl,long_distance,Kip_Keino,Lornah,Burnt_Forest,life,gold,live,work,highland,fetch,water,past,child,rural,saturday,ago,journey,top,name,chance,new,tradition,circuit,minute,athlete,nation,every,medal,country,public,national,kenyans,"1,500",five,serve,champion,mean,people,many,percent,know,altitude,never,join,transportation,travel
,23,19,17,16,13,12,11,10,9,8,8,8,7,7,7,7,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"July 26, 2002 Friday",285 of 291 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),"LURE OF LUMA;  NEW ASPINWALL SPOT OFFERS EXPERIENCE THAT'S LIGHT, TASTY AND GOOD-LOOKING","MACKENZIE CARPENTER, POST-GAZETTE STAFF WRITER","ARTS & ENTERTAINMENT, Pg.28 ON THE TABLE",,1284 words,,,"May 28, 2004",ENGLISH,,,"PHOTO: Martha Rial/Post-Gazette: Kari Klusmeier prepares a table at Luma, an upscale neighborhood restaurant with a trendy menu.",,,,Copyright 2002 P.G. Publishing Co.
,good,Luma,dining,wine,business,place,onion,sauce,entree,restaurant,menu,dish,cake,red,area,light,serve,something,luma,way,food,night,veal,seem,bring,feature,list,chicken,sausage,rather,Ackerman,aspinwall,neighborhood,owner,plan,salmon,shallot,venture,chef,new,seat,kid,chapel,woman,do,every,crab,caper,indeed,work,move,together,grill,hard,although,visit,bad,starter,salad,zucchini,fresh,mozzarella,tomato,cream,mozza,salty,meat,sear,overpower,soy,pine,nut,less,warm,toss,roast,tomatoe,balsamic,pattern,plate,little,pesto,shrimp,butter,next,pork,house,glass,range,make,fine,wait,another,a.m.,p.m.,smoking,Aspinwall,Buck,Fox
,8,7,6,6,5,5,5,5,5,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"August 22, 2002 Thursday",287 of 291 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),"BUSH IS NO WHIZ, BUT HE'S RIGHT;  WHEN IT COMES TO THE ECONOMY, HIS DETACHMENT IS JUST WHAT WE NEED",,"EDITORIAL, Pg.A-17",,660 words,,,"September 1, 2002",ENGLISH,,,,,,,Copyright 2002 P.G. Publishing Co.
,economic,Bush,think,forum,much,cool,thing,detach,people,maybe,history,news,style,indeed,economy,help,French,Clinton,waco,headline,fake,next,americans,need,detachment,prove,keep,eye,try,course,play,golf,call,upon,speak,watch,time,leadership,hot,drake,game,lip,good,begin,take,office,activity,government,politician,figure,hold,sang_froid,president,media,tuesday,anchor,barely,report,event,without,smirk,hour,end,slate.,com,jib,analysis,way,sunny,happen,tough,issue,little,attention,overall,takeaway,reportage,ordinary,adviser,feel,stage,show,fool,really,care,bad,leader,fundamental,growth,lot,better,micromanage,every,problem,distance,extend,aspect,presidency,economics
,8,6,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
